factor_name,factor_family,layer,direction,target_label,train_rank_ic_mean,test_rank_ic_mean,train_positive_ic_ratio,test_positive_ic_ratio,train_top_minus_bottom,test_top_minus_bottom,keep_flag,keep_reason,priority_score,fold_id
indicator__roe,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.105681,0.186312,0.625,0.833333,-0.00065153,0.00043448,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,194.645764,annual_01
indicator__eps,indicator,base_core,larger_better,y_quarter_avg_daily_return_close,0.073011,0.253266,0.5,1.0,0.00032139,0.00076843,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,263.266768,annual_01
derived__log_total_assets,derived,base_core,larger_better,y_quarter_avg_daily_return_close,0.123968,0.016987,0.625,0.666667,0.0009746,-0.00034294,0,fail_threshold_rule,23.653327,annual_01
bank_indicator__Nonperforming_loan_rate,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.191488,0.440019,0.764706,1.0,0.00023243,0.00080554,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,450.019806,annual_01
bank_indicator__non_performing_loan_provision_coverage,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.050207,0.492055,0.529412,1.0,-8.665e-05,0.00091862,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,502.055919,annual_01
bank_indicator__deposit_loan_ratio,bank_indicator,base_core,smaller_better,y_year_avg_daily_return_close,0.137916,0.310985,0.764706,1.0,0.00021168,0.00050241,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,320.985502,annual_01
bank_indicator__capital_adequacy_ratio,bank_indicator,base_core,larger_better,y_year_avg_daily_return_close,0.125512,0.193768,0.529412,0.833333,0.00026626,0.00025344,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,202.101583,annual_01
improve__annual_delta__bank_indicator__Nonperforming_loan_rate,improvement_bank_indicator,improvement_layer,smaller_better,y_year_avg_daily_return_close,0.082644,0.315421,0.642857,1.0,6.364e-05,0.00054849,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,325.421548,annual_01
improve__snapshot_delta__derived__investment_income_to_operating_revenue,improvement_derived,improvement_layer,smaller_better,y_quarter_avg_daily_return_close,0.027117,0.218749,0.533333,0.666667,0.00014633,0.00076544,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,225.416435,annual_01
bank_indicator__non_interest_income_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.064595,0.051413,0.647059,0.666667,0.00015941,-0.0001249,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,58.079545,annual_01
bank_indicator__net_interest_margin,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.178425,0.008822,0.764706,0.5,0.00019347,5.02e-06,1,pass_train_ic_and_test_ic_positive_ratio_and_structure|selected_after_layer_caps,13.822005,annual_01
indicator__inc_net_profit_to_shareholders_annual,indicator,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.060473,-0.071523,0.625,0.333333,-4.574e-05,-0.00032405,0,fail_threshold_rule,-68.189994,annual_01
bank_indicator__cost_to_income_ratio,bank_indicator,watch_layer,smaller_better,y_year_avg_daily_return_close,0.040722,-0.107921,0.588235,0.0,0.00011905,-0.00039762,0,fail_threshold_rule,-107.921398,annual_01
bank_indicator__core_level_capital_adequacy_ratio,bank_indicator,watch_layer,larger_better,y_year_avg_daily_return_close,0.062409,-0.026605,0.470588,0.333333,0.00010806,-3.758e-05,0,fail_threshold_rule,-23.271708,annual_01
derived__investment_income_to_operating_revenue,derived,watch_layer,larger_better,y_quarter_avg_daily_return_close,0.032737,-0.011143,0.5625,0.333333,6.748e-05,-8.242e-05,0,fail_threshold_rule,-7.809752,annual_01
