fold_id,scenario_name,combo_name,train_start,train_end,test_start,test_end,review_start,review_end,train_rank_ic_mean,test_rank_ic_mean,review_rank_ic_mean,train_top_minus_bottom,test_top_minus_bottom,review_top_minus_bottom,review_positive_ic_ratio,review_dates,review_rows,selected_factor_count
annual_01,base_core_7,combo__equal_weight,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.180249,0.302052,0.050803,0.00019317,0.00083856,0.00036748,0.75,4,90,6
annual_01,base_core_7,combo__ic_weight_train,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.176053,0.277136,0.052788,7.887e-05,0.00095505,0.00023013,0.75,4,90,6
annual_01,base_core_7,combo__quarterly_plus_annual,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.129637,0.289716,-0.080049,0.00029161,0.00073397,-4.33e-06,0.5,4,90,6
annual_01,base_plus_top2_9,combo__equal_weight,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.199149,0.333666,-0.036089,0.00022485,0.00123034,0.00020435,0.5,4,90,8
annual_01,base_plus_top2_9,combo__ic_weight_train,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.198705,0.345126,-0.006809,-0.00010099,0.00126899,0.0002035,0.75,4,87,8
annual_01,base_plus_top2_9,combo__quarterly_plus_annual,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.163382,0.376478,-0.083485,0.00036194,0.00145314,-0.00020579,0.5,4,90,8
annual_02,base_core_7,combo__equal_weight,2015-05-04,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.292036,0.293665,-0.187935,0.00049072,0.00086493,-0.00058926,0.25,4,103,7
annual_02,base_core_7,combo__ic_weight_train,2015-05-04,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.31649,0.292145,-0.13306,0.00060434,0.00091965,-0.00035782,0.5,4,103,7
annual_02,base_core_7,combo__quarterly_plus_annual,2015-05-04,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.304881,0.279889,-0.173635,0.00080163,0.00068992,-0.00045962,0.5,4,103,7
annual_02,base_plus_top2_9,combo__equal_weight,2015-05-04,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.296823,0.30551,-0.210569,0.00085073,0.00096585,-0.00079008,0.25,4,103,9
annual_02,base_plus_top2_9,combo__ic_weight_train,2015-05-04,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.29636,0.31899,-0.138357,0.00057552,0.00109299,-0.00058243,0.5,4,96,9
annual_02,base_plus_top2_9,combo__quarterly_plus_annual,2015-05-04,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.304888,0.240602,-0.177525,0.00090449,0.00044234,-0.00054019,0.5,4,103,9
annual_03,base_core_7,combo__equal_weight,2016-05-03,2021-05-05,2021-05-06,2023-05-03,2023-05-04,2024-05-03,0.248011,0.225588,0.176449,0.00045944,0.00035295,0.00034668,1.0,3,77,3
annual_03,base_core_7,combo__ic_weight_train,2016-05-03,2021-05-05,2021-05-06,2023-05-03,2023-05-04,2024-05-03,0.260298,0.20668,0.189403,0.000458,0.00036285,0.00053031,1.0,3,77,3
annual_03,base_core_7,combo__quarterly_plus_annual,2016-05-03,2021-05-05,2021-05-06,2023-05-03,2023-05-04,2024-05-03,0.215482,0.180144,0.070457,0.00041736,0.00034602,0.00055566,0.333333,3,77,3
annual_03,base_plus_top2_9,combo__equal_weight,2016-05-03,2021-05-05,2021-05-06,2023-05-03,2023-05-04,2024-05-03,0.248011,0.225588,0.176449,0.00045944,0.00035295,0.00034668,1.0,3,77,3
annual_03,base_plus_top2_9,combo__ic_weight_train,2016-05-03,2021-05-05,2021-05-06,2023-05-03,2023-05-04,2024-05-03,0.260298,0.20668,0.189403,0.000458,0.00036285,0.00053031,1.0,3,77,3
annual_03,base_plus_top2_9,combo__quarterly_plus_annual,2016-05-03,2021-05-05,2021-05-06,2023-05-03,2023-05-04,2024-05-03,0.215482,0.180144,0.070457,0.00041736,0.00034602,0.00055566,0.333333,3,77,3
annual_04,base_core_7,combo__equal_weight,2017-05-02,2022-05-04,2022-05-05,2024-05-05,2024-05-06,2025-05-05,0.231389,0.101587,0.219672,0.00048467,0.00049269,0.00029252,0.666667,3,82,2
annual_04,base_core_7,combo__ic_weight_train,2017-05-02,2022-05-04,2022-05-05,2024-05-05,2024-05-06,2025-05-05,0.246174,0.124591,0.220769,0.00041806,0.00064098,7.368e-05,0.666667,3,82,2
annual_04,base_core_7,combo__quarterly_plus_annual,2017-05-02,2022-05-04,2022-05-05,2024-05-05,2024-05-06,2025-05-05,0.179442,0.103605,0.201775,0.0003566,0.00050916,0.0001361,0.666667,3,82,2
annual_04,base_plus_top2_9,combo__equal_weight,2017-05-02,2022-05-04,2022-05-05,2024-05-05,2024-05-06,2025-05-05,0.219991,0.145278,0.214753,0.00047677,0.00037154,0.00018593,0.666667,3,82,4
annual_04,base_plus_top2_9,combo__ic_weight_train,2017-05-02,2022-05-04,2022-05-05,2024-05-05,2024-05-06,2025-05-05,0.217372,0.137614,0.247038,0.00037587,0.00028508,0.00026468,0.666667,3,81,4
annual_04,base_plus_top2_9,combo__quarterly_plus_annual,2017-05-02,2022-05-04,2022-05-05,2024-05-05,2024-05-06,2025-05-05,0.190504,0.127976,0.196502,0.00040672,0.00022474,0.00015368,0.666667,3,82,4
annual_05,base_core_7,combo__equal_weight,2018-05-02,2023-05-03,2023-05-04,2025-05-05,2025-05-06,2026-05-05,0.189052,0.119242,0.14254,0.00042023,0.00027967,0.00100667,0.5,2,62,4
annual_05,base_core_7,combo__ic_weight_train,2018-05-02,2023-05-03,2023-05-04,2025-05-05,2025-05-06,2026-05-05,0.183962,0.121677,0.149597,0.00044024,0.00034235,0.0010902,0.5,2,62,4
annual_05,base_core_7,combo__quarterly_plus_annual,2018-05-02,2023-05-03,2023-05-04,2025-05-05,2025-05-06,2026-05-05,0.147646,0.11686,-0.0125,0.00018939,0.00028962,0.00030512,0.5,2,62,4
annual_05,base_plus_top2_9,combo__equal_weight,2018-05-02,2023-05-03,2023-05-04,2025-05-05,2025-05-06,2026-05-05,0.159677,0.169609,-0.041734,0.0002767,0.00032413,0.00065389,0.5,2,62,6
annual_05,base_plus_top2_9,combo__ic_weight_train,2018-05-02,2023-05-03,2023-05-04,2025-05-05,2025-05-06,2026-05-05,0.206127,0.11632,0.141769,0.00049222,0.0003211,0.00117015,0.5,2,59,6
annual_05,base_plus_top2_9,combo__quarterly_plus_annual,2018-05-02,2023-05-03,2023-05-04,2025-05-05,2025-05-06,2026-05-05,0.142545,0.197885,-0.217944,0.00017286,0.00047896,-0.00032545,0.0,2,62,6
