fold_id,scenario_name,combo_name,train_start,train_end,test_start,test_end,review_start,review_end,train_rank_ic_mean,test_rank_ic_mean,review_rank_ic_mean,train_top_minus_bottom,test_top_minus_bottom,review_top_minus_bottom,review_positive_ic_ratio,review_dates,review_rows,selected_factor_count,train_anchor_years
expanding_01,base_core_7,combo__equal_weight,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.180249,0.302052,0.050803,0.00019317,0.00083856,0.00036748,0.75,4,90,6,5
expanding_01,base_core_7,combo__ic_weight_train,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.176053,0.277136,0.052788,7.887e-05,0.00095505,0.00023013,0.75,4,90,6,5
expanding_01,base_core_7,combo__quarterly_plus_annual,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.129637,0.289716,-0.080049,0.00029161,0.00073397,-4.33e-06,0.5,4,90,6,5
expanding_01,base_plus_top2_9,combo__equal_weight,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.199149,0.333666,-0.036089,0.00022485,0.00123034,0.00020435,0.5,4,90,8,5
expanding_01,base_plus_top2_9,combo__ic_weight_train,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.198705,0.345126,-0.006809,-0.00010099,0.00126899,0.0002035,0.75,4,87,8,5
expanding_01,base_plus_top2_9,combo__quarterly_plus_annual,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.163382,0.376478,-0.083485,0.00036194,0.00145314,-0.00020579,0.5,4,90,8,5
expanding_02,base_core_7,combo__equal_weight,2014-05-05,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.208378,0.301064,-0.192289,-0.00037683,0.00081137,-0.0006106,0.25,4,103,7,6
expanding_02,base_core_7,combo__ic_weight_train,2014-05-05,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.193513,0.280648,-0.199792,-0.0003471,0.00090537,-0.00060632,0.25,4,103,7,6
expanding_02,base_core_7,combo__quarterly_plus_annual,2014-05-05,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.227149,0.286755,-0.174252,-8.92e-06,0.00071555,-0.00061576,0.5,4,103,7,6
expanding_02,base_plus_top2_9,combo__equal_weight,2014-05-05,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.2171,0.299485,-0.203971,-5.798e-05,0.00097908,-0.00069577,0.25,4,103,9,6
expanding_02,base_plus_top2_9,combo__ic_weight_train,2014-05-05,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.219544,0.329589,-0.177884,-0.00017495,0.00107224,-0.00074837,0.25,4,96,9,6
expanding_02,base_plus_top2_9,combo__quarterly_plus_annual,2014-05-05,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.236285,0.25177,-0.180137,0.00044367,0.00084736,-0.00054019,0.25,4,103,9,6
expanding_03,base_core_7,combo__equal_weight,2014-05-05,2021-05-05,2021-05-06,2023-05-03,2023-05-04,2024-05-03,0.149266,0.213913,0.193618,0.00079365,0.00036136,0.0004689,1.0,3,77,3,7
expanding_03,base_core_7,combo__ic_weight_train,2014-05-05,2021-05-05,2021-05-06,2023-05-03,2023-05-04,2024-05-03,0.136456,0.211598,0.159674,0.00083657,0.00044301,0.00050237,0.666667,3,77,3,7
