local_code,code,status,year_key,rows_added
000001_XSHE,000001.XSHE,applied,2013,53
002142_XSHE,002142.XSHE,applied,2013,53
600000_XSHG,600000.XSHG,applied,2013,53
600015_XSHG,600015.XSHG,applied,2013,53
600016_XSHG,600016.XSHG,applied,2013,53
600036_XSHG,600036.XSHG,applied,2013,53
601009_XSHG,601009.XSHG,applied,2013,53
601166_XSHG,601166.XSHG,applied,2013,53
601169_XSHG,601169.XSHG,applied,2013,53
601288_XSHG,601288.XSHG,applied,2013,53
601328_XSHG,601328.XSHG,applied,2013,53
601398_XSHG,601398.XSHG,applied,2013,53
601818_XSHG,601818.XSHG,applied,2013,53
601939_XSHG,601939.XSHG,applied,2013,53
601988_XSHG,601988.XSHG,applied,2013,53
601998_XSHG,601998.XSHG,applied,2013,53
