local_code,code,min_standardized_year,max_standardized_year,has_2013,has_2014,earliest_existing_pub_date,backfill_report_year
000001_XSHE,000001.XSHE,2014,2026,0,1,2015-03-13,2013
002142_XSHE,002142.XSHE,2014,2026,0,1,2015-04-28,2013
600000_XSHG,600000.XSHG,2014,2026,0,1,2015-03-19,2013
600015_XSHG,600015.XSHG,2014,2026,0,1,2015-04-17,2013
600016_XSHG,600016.XSHG,2014,2026,0,1,2015-03-31,2013
600036_XSHG,600036.XSHG,2014,2026,0,1,2015-03-19,2013
601009_XSHG,601009.XSHG,2014,2026,0,1,2015-04-28,2013
601166_XSHG,601166.XSHG,2014,2026,0,1,2015-04-28,2013
601169_XSHG,601169.XSHG,2014,2026,0,1,2015-04-28,2013
601288_XSHG,601288.XSHG,2014,2026,0,1,2015-03-25,2013
601328_XSHG,601328.XSHG,2014,2026,0,1,2015-03-27,2013
601398_XSHG,601398.XSHG,2014,2026,0,1,2015-03-27,2013
601818_XSHG,601818.XSHG,2014,2026,0,1,2015-03-28,2013
601939_XSHG,601939.XSHG,2014,2026,0,1,2015-03-28,2013
601988_XSHG,601988.XSHG,2014,2026,0,1,2015-03-26,2013
601998_XSHG,601998.XSHG,2014,2026,0,1,2015-03-21,2013
