rebalance_date,quarter_key,code,avg_traded_amount_lookback,avg_traded_volume_lookback,market_cap,circulating_market_cap,turnover_ratio
2015-04-28,2014q4,600000.XSHG,7678992384.000000,936376710.100000,3413.5853,2730.8682,4.0211
2015-04-28,2014q4,600015.XSHG,3085992576.000000,470049498.850000,1516.4608,1104.8531,4.6899
2015-04-28,2014q4,600036.XSHG,6340506487.466666,562561917.000000,4630.3637,3787.4742,2.4695
2015-04-28,2014q4,601288.XSHG,6330770419.200000,3041946460.550000,13349.0382,11679.121,1.0573
2015-04-28,2014q4,601328.XSHG,4125573132.800000,1121818162.100000,5302.3587,2335.4264,3.3167
2015-04-28,2014q4,601398.XSHG,4849148876.800000,1670941736.850000,20101.3129,15206.1288,0.571
2015-04-28,2014q4,601818.XSHG,4748508352.000000,1603060701.400000,2688.7159,2293.0767,4.9056
2015-04-28,2014q4,601939.XSHG,3245695801.600000,864684077.400000,17850.7838,684.9872,8.8551
2015-04-28,2014q4,601988.XSHG,8527430694.400000,3329922156.900000,14896.0222,10664.7351,1.9064
2015-04-30,2015q1,002142.XSHE,2102188902.400000,227498798.900000,630.7917,557.5555,2.5153
2015-04-30,2015q1,600016.XSHG,6279465996.800000,1194645278.850000,3635.2978,2898.9517,1.4153
2015-04-30,2015q1,600036.XSHG,6692510549.333333,580924422.466667,4595.0559,3758.5937,1.2917
2015-04-30,2015q1,601009.XSHG,2097682259.200000,539290702.050000,521.0478,521.0478,3.7016
2015-04-30,2015q1,601166.XSHG,8613526784.000000,757823801.300000,3698.0586,3140.4636,1.9178
2015-04-30,2015q1,601169.XSHG,3869819904.000000,948521934.388889,1371.7689,1371.7689,5.4213
2015-04-30,2015q1,601288.XSHG,6631444620.800000,3153170101.300000,12861.847,11252.8758,0.401
2015-04-30,2015q1,601328.XSHG,4284495065.600000,1153269783.550000,5138.9807,2263.4665,1.1482
2015-04-30,2015q1,601998.XSHG,1937780380.800000,405790127.950000,3705.5563,2526.889,0.5204
2015-08-31,2015q2,002142.XSHE,624185760.000000,86916356.750000,486.3043,429.8434,3.4552
2015-08-31,2015q2,600000.XSHG,2108020521.600000,297898214.550000,2790.5593,2232.4475,1.3578
2015-08-31,2015q2,600015.XSHG,616055025.600000,113450240.150000,1108.0938,807.3277,2.0954
2015-08-31,2015q2,600016.XSHG,1744078067.200000,397873815.000000,3126.7944,2532.5866,0.8882
2015-08-31,2015q2,600036.XSHG,2272645945.600000,201786280.550000,4299.9837,3517.235,0.691
2015-08-31,2015q2,601009.XSHG,789230617.600000,213750033.250000,527.4452,465.2318,2.8718
2015-08-31,2015q2,601166.XSHG,2868159187.200000,335371047.550000,2777.8307,2358.9881,2.0152
2015-08-31,2015q2,601169.XSHG,1575269756.800000,454717085.700000,1191.1896,1191.1896,3.3658
2015-08-31,2015q2,601288.XSHG,1719932361.600000,948527751.450000,9711.3441,8792.2533,0.188
2015-08-31,2015q2,601328.XSHG,1827215142.400000,524145365.500000,4730.5357,2500.28,1.2615
2015-08-31,2015q2,601398.XSHG,1512154569.600000,580927048.350000,14933.4222,11296.7517,0.1114
2015-08-31,2015q2,601988.XSHG,2140372492.800000,900347813.050000,11363.3687,8135.5489,0.2452
