rebalance_date,quarter_key,code,active_quarter_key,effective_data_flag,avg_traded_amount_lookback,market_cap,circulating_market_cap,avg_traded_volume_lookback,liquidity_top_80_flag,market_cap_top_80_flag,rebalance_stock_pool_flag
2015-04-28,2014q4,600000.XSHG,2014q4,1,7678992384.000000,3413.5853,2730.8682,936376710.100000,1,1,1
2015-04-28,2014q4,600015.XSHG,2014q4,1,3085992576.000000,1516.4608,1104.8531,470049498.850000,0,0,0
2015-04-28,2014q4,600036.XSHG,2014q4,1,6340506487.466666,4630.3637,3787.4742,562561917.000000,1,1,1
2015-04-28,2014q4,601288.XSHG,2014q4,1,6330770419.200000,13349.0382,11679.121,3041946460.550000,1,1,1
2015-04-28,2014q4,601328.XSHG,2014q4,1,4125573132.800000,5302.3587,2335.4264,1121818162.100000,1,1,1
2015-04-28,2014q4,601398.XSHG,2014q4,1,4849148876.800000,20101.3129,15206.1288,1670941736.850000,1,1,1
2015-04-28,2014q4,601818.XSHG,2014q4,1,4748508352.000000,2688.7159,2293.0767,1603060701.400000,1,1,1
2015-04-28,2014q4,601939.XSHG,2014q4,1,3245695801.600000,17850.7838,684.9872,864684077.400000,1,1,1
2015-04-28,2014q4,601988.XSHG,2014q4,1,8527430694.400000,14896.0222,10664.7351,3329922156.900000,1,1,1
2015-04-30,2015q1,002142.XSHE,2015q1,1,2102188902.400000,630.7917,557.5555,227498798.900000,1,1,1
2015-04-30,2015q1,600016.XSHG,2015q1,1,6279465996.800000,3635.2978,2898.9517,1194645278.850000,1,1,1
2015-04-30,2015q1,600036.XSHG,2015q1,1,6692510549.333333,4595.0559,3758.5937,580924422.466667,1,1,1
2015-04-30,2015q1,601009.XSHG,2015q1,1,2097682259.200000,521.0478,521.0478,539290702.050000,1,0,0
2015-04-30,2015q1,601166.XSHG,2015q1,1,8613526784.000000,3698.0586,3140.4636,757823801.300000,1,1,1
2015-04-30,2015q1,601169.XSHG,2015q1,1,3869819904.000000,1371.7689,1371.7689,948521934.388889,1,1,1
2015-04-30,2015q1,601288.XSHG,2015q1,1,6631444620.800000,12861.847,11252.8758,3153170101.300000,1,1,1
2015-04-30,2015q1,601328.XSHG,2015q1,1,4284495065.600000,5138.9807,2263.4665,1153269783.550000,1,1,1
2015-04-30,2015q1,601998.XSHG,2015q1,1,1937780380.800000,3705.5563,2526.889,405790127.950000,0,1,0
2015-08-31,2015q2,002142.XSHE,2015q2,1,624185760.000000,486.3043,429.8434,86916356.750000,0,0,0
