local_code,report_year,snippet_source,matched_field_count,total_field_count,coverage_ratio,snippet_file
000001_XSHE,2024,direct_pdf_text,12,12,1.0,000001_XSHE_2024_annual_report_bank_indicator_snippets.txt
000001_XSHE,2025,direct_pdf_text,12,12,1.0,000001_XSHE_2025_annual_report_bank_indicator_snippets.txt
001227_XSHE,2024,direct_pdf_text,12,12,1.0,001227_XSHE_2024_annual_report_bank_indicator_snippets.txt
001227_XSHE,2025,direct_pdf_text,12,12,1.0,001227_XSHE_2025_annual_report_bank_indicator_snippets.txt
002142_XSHE,2024,direct_pdf_text,12,12,1.0,002142_XSHE_2024_annual_report_bank_indicator_snippets.txt
002142_XSHE,2025,direct_pdf_text,12,12,1.0,002142_XSHE_2025_annual_report_bank_indicator_snippets.txt
002807_XSHE,2024,direct_pdf_text,12,12,1.0,002807_XSHE_2024_annual_report_bank_indicator_snippets.txt
002807_XSHE,2025,direct_pdf_text,12,12,1.0,002807_XSHE_2025_annual_report_bank_indicator_snippets.txt
002839_XSHE,2024,direct_pdf_text,12,12,1.0,002839_XSHE_2024_annual_report_bank_indicator_snippets.txt
002839_XSHE,2025,direct_pdf_text,12,12,1.0,002839_XSHE_2025_annual_report_bank_indicator_snippets.txt
002936_XSHE,2024,direct_pdf_text,12,12,1.0,002936_XSHE_2024_annual_report_bank_indicator_snippets.txt
002936_XSHE,2025,direct_pdf_text,12,12,1.0,002936_XSHE_2025_annual_report_bank_indicator_snippets.txt
002948_XSHE,2024,direct_pdf_text,12,12,1.0,002948_XSHE_2024_annual_report_bank_indicator_snippets.txt
002948_XSHE,2025,direct_pdf_text,12,12,1.0,002948_XSHE_2025_annual_report_bank_indicator_snippets.txt
002958_XSHE,2024,direct_pdf_text,12,12,1.0,002958_XSHE_2024_annual_report_bank_indicator_snippets.txt
002958_XSHE,2025,direct_pdf_text,12,12,1.0,002958_XSHE_2025_annual_report_bank_indicator_snippets.txt
002966_XSHE,2024,direct_pdf_text,12,12,1.0,002966_XSHE_2024_annual_report_bank_indicator_snippets.txt
002966_XSHE,2025,direct_pdf_text,12,12,1.0,002966_XSHE_2025_annual_report_bank_indicator_snippets.txt
600000_XSHG,2024,direct_pdf_text,12,12,1.0,600000_XSHG_2024_annual_report_bank_indicator_snippets.txt
600000_XSHG,2025,direct_pdf_text,12,12,1.0,600000_XSHG_2025_annual_report_bank_indicator_snippets.txt
600015_XSHG,2024,direct_pdf_text,12,12,1.0,600015_XSHG_2024_annual_report_bank_indicator_snippets.txt
600015_XSHG,2025,direct_pdf_text,12,12,1.0,600015_XSHG_2025_annual_report_bank_indicator_snippets.txt
600016_XSHG,2024,direct_pdf_text,12,12,1.0,600016_XSHG_2024_annual_report_bank_indicator_snippets.txt
600016_XSHG,2025,direct_pdf_text,12,12,1.0,600016_XSHG_2025_annual_report_bank_indicator_snippets.txt
600036_XSHG,2024,windows_ocr_normalized,12,12,1.0,600036_XSHG_2024_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt
600036_XSHG,2025,windows_ocr_normalized,12,12,1.0,600036_XSHG_2025_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt
600908_XSHG,2024,direct_pdf_text,12,12,1.0,600908_XSHG_2024_annual_report_bank_indicator_snippets.txt
600908_XSHG,2025,direct_pdf_text,12,12,1.0,600908_XSHG_2025_annual_report_bank_indicator_snippets.txt
600919_XSHG,2024,direct_pdf_text,12,12,1.0,600919_XSHG_2024_annual_report_bank_indicator_snippets.txt
600919_XSHG,2025,direct_pdf_text,12,12,1.0,600919_XSHG_2025_annual_report_bank_indicator_snippets.txt
600926_XSHG,2024,direct_pdf_text,12,12,1.0,600926_XSHG_2024_annual_report_bank_indicator_snippets.txt
600926_XSHG,2025,direct_pdf_text,12,12,1.0,600926_XSHG_2025_annual_report_bank_indicator_snippets.txt
600928_XSHG,2024,direct_pdf_text,12,12,1.0,600928_XSHG_2024_annual_report_bank_indicator_snippets.txt
600928_XSHG,2025,direct_pdf_text,12,12,1.0,600928_XSHG_2025_annual_report_bank_indicator_snippets.txt
601009_XSHG,2024,windows_ocr_normalized,12,12,1.0,601009_XSHG_2024_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt
601009_XSHG,2025,windows_ocr_normalized,12,12,1.0,601009_XSHG_2025_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt
601077_XSHG,2024,direct_pdf_text,12,12,1.0,601077_XSHG_2024_annual_report_bank_indicator_snippets.txt
601077_XSHG,2025,direct_pdf_text,12,12,1.0,601077_XSHG_2025_annual_report_bank_indicator_snippets.txt
601128_XSHG,2024,direct_pdf_text,12,12,1.0,601128_XSHG_2024_annual_report_bank_indicator_snippets.txt
601128_XSHG,2025,direct_pdf_text,12,12,1.0,601128_XSHG_2025_annual_report_bank_indicator_snippets.txt
601166_XSHG,2024,direct_pdf_text,12,12,1.0,601166_XSHG_2024_annual_report_bank_indicator_snippets.txt
601166_XSHG,2025,direct_pdf_text,12,12,1.0,601166_XSHG_2025_annual_report_bank_indicator_snippets.txt
601169_XSHG,2024,direct_pdf_text,12,12,1.0,601169_XSHG_2024_annual_report_bank_indicator_snippets.txt
601169_XSHG,2025,direct_pdf_text,12,12,1.0,601169_XSHG_2025_annual_report_bank_indicator_snippets.txt
601187_XSHG,2024,direct_pdf_text,12,12,1.0,601187_XSHG_2024_annual_report_bank_indicator_snippets.txt
601187_XSHG,2025,direct_pdf_text,12,12,1.0,601187_XSHG_2025_annual_report_bank_indicator_snippets.txt
601229_XSHG,2024,direct_pdf_text,12,12,1.0,601229_XSHG_2024_annual_report_bank_indicator_snippets.txt
601229_XSHG,2025,direct_pdf_text,12,12,1.0,601229_XSHG_2025_annual_report_bank_indicator_snippets.txt
601288_XSHG,2024,direct_pdf_text,12,12,1.0,601288_XSHG_2024_annual_report_bank_indicator_snippets.txt
601288_XSHG,2025,direct_pdf_text,12,12,1.0,601288_XSHG_2025_annual_report_bank_indicator_snippets.txt
601328_XSHG,2024,windows_ocr_normalized,12,12,1.0,601328_XSHG_2024_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt
601328_XSHG,2025,windows_ocr_normalized,12,12,1.0,601328_XSHG_2025_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt
601398_XSHG,2024,direct_pdf_text,12,12,1.0,601398_XSHG_2024_annual_report_bank_indicator_snippets.txt
601398_XSHG,2025,windows_ocr_normalized,12,12,1.0,601398_XSHG_2025_annual_report_windows_ocr_normalized_bank_indicator_snippets.txt
601528_XSHG,2024,direct_pdf_text,12,12,1.0,601528_XSHG_2024_annual_report_bank_indicator_snippets.txt
601528_XSHG,2025,direct_pdf_text,12,12,1.0,601528_XSHG_2025_annual_report_bank_indicator_snippets.txt
