cluster_id,target_label,factor_name,factor_family,single_factor_status,validation_rank_ic_mean,suggested_keep_flag,suggested_drop_flag,corr_to_keep_factor
Q01,y_quarter_avg_daily_return_close,balance__capital_reserve_fund,balance,A,0.032047,0,1,0.874163
Q01,y_quarter_avg_daily_return_close,balance__cash_equivalents,balance,A,0.06421,0,1,0.893736
Q01,y_quarter_avg_daily_return_close,balance__deferred_tax_assets,balance,A,0.003085,0,1,0.855391
Q01,y_quarter_avg_daily_return_close,balance__equities_parent_company_owners,balance,A,0.042982,0,1,0.907106
Q01,y_quarter_avg_daily_return_close,balance__ordinary_risk_reserve_fund,balance,A,0.026662,0,1,0.88018
Q01,y_quarter_avg_daily_return_close,balance__total_assets,balance,A,0.07015,0,1,0.901503
Q01,y_quarter_avg_daily_return_close,balance__total_liability,balance,A,0.067974,0,1,0.90118
Q01,y_quarter_avg_daily_return_close,balance__total_owner_equities,balance,A,0.048194,0,1,0.906017
Q01,y_quarter_avg_daily_return_close,cash_flow__interest_and_commission_cashin,cash_flow,B,0.012403,0,1,0.874191
Q01,y_quarter_avg_daily_return_close,cash_flow__staff_behalf_paid,cash_flow,A,0.07194,1,0,
Q01,y_quarter_avg_daily_return_close,income__commission_income,income,A,0.031597,0,1,0.896455
Q01,y_quarter_avg_daily_return_close,income__interest_expense,income,A,0.023357,0,1,0.870835
Q01,y_quarter_avg_daily_return_close,income__interest_income,income,A,0.023568,0,1,0.907962
Q01,y_quarter_avg_daily_return_close,income__net_profit,income,A,0.041145,0,1,0.888703
Q01,y_quarter_avg_daily_return_close,income__np_parent_company_owners,income,A,0.048804,0,1,0.889736
Q01,y_quarter_avg_daily_return_close,income__operating_profit,income,A,0.028211,0,1,0.893691
Q01,y_quarter_avg_daily_return_close,income__operating_revenue,income,A,0.033189,0,1,0.93083
Q01,y_quarter_avg_daily_return_close,income__total_profit,income,A,0.028211,0,1,0.89379
Q01,y_quarter_avg_daily_return_close,indicator__adjusted_profit,indicator,A,0.037743,0,1,0.890542
Q01,y_quarter_avg_daily_return_close,indicator__operating_profit,indicator,A,0.019338,0,1,0.85235
Q02,y_quarter_avg_daily_return_close,cash_flow__invest_cash_paid,cash_flow,A,0.011663,0,1,0.923177
Q02,y_quarter_avg_daily_return_close,cash_flow__invest_withdrawal_cash,cash_flow,A,0.056969,1,0,
Q02,y_quarter_avg_daily_return_close,cash_flow__subtotal_invest_cash_inflow,cash_flow,A,0.037029,0,1,0.998358
Q02,y_quarter_avg_daily_return_close,cash_flow__subtotal_invest_cash_outflow,cash_flow,A,0.015089,0,1,0.920668
Q03,y_quarter_avg_daily_return_close,indicator__inc_net_profit_annual,indicator,A,0.089146,1,0,
Q03,y_quarter_avg_daily_return_close,indicator__inc_net_profit_to_shareholders_annual,indicator,A,0.074383,0,1,0.997927
Q03,y_quarter_avg_daily_return_close,indicator__inc_operation_profit_annual,indicator,A,0.036185,0,1,0.96608
Q04,y_quarter_avg_daily_return_close,indicator__inc_return,indicator,A,0.111121,0,1,0.997302
Q04,y_quarter_avg_daily_return_close,indicator__roa,indicator,A,0.040731,0,1,0.879294
Q04,y_quarter_avg_daily_return_close,indicator__roe,indicator,A,0.124165,1,0,
Q05,y_quarter_avg_daily_return_close,cash_flow__net_operate_cash_flow,cash_flow,A,0.050865,1,0,
Q05,y_quarter_avg_daily_return_close,indicator__ocf_to_revenue,indicator,A,0.049566,0,1,0.892268
Q06,y_quarter_avg_daily_return_close,income__investment_income,income,A,0.086041,1,0,
Q06,y_quarter_avg_daily_return_close,indicator__value_change_profit,indicator,A,0.004985,0,1,0.826809
Q07,y_quarter_avg_daily_return_close,indicator__net_profit_margin,indicator,B,0.179843,1,0,
Q07,y_quarter_avg_daily_return_close,indicator__net_profit_to_total_revenue,indicator,B,0.179843,0,1,1.0
