factor_name,factor_family,source_type,final_status,notes
indicator__roe,indicator,raw_existing,keep_final,validated core profitability factor
indicator__inc_net_profit_to_shareholders_annual,indicator,raw_existing,keep_final,validated shareholder-aligned annual growth factor
derived__log_total_assets,derived,derived_now,keep_final,validated preferred size factor after Q01 revision
bank_indicator__cost_to_income_ratio,bank_indicator,raw_existing,keep_final,validated annual efficiency factor
bank_indicator__deposit_loan_ratio,bank_indicator,raw_existing,keep_final,validated annual balance-sheet structure factor
bank_indicator__capital_adequacy_ratio,bank_indicator,raw_existing,keep_final,validated prudential capital factor
derived__investment_income_to_operating_revenue,derived,derived_now,keep_final,validated fallback Q06 contribution ratio
income__minority_profit,income,raw_existing,watch_keep,statistically strong but still needs accounting interpretation review
indicator__eps,indicator,raw_existing,watch_keep,statistically valid but lower conceptual priority than ROE
bank_indicator__Nonperforming_loan_rate,bank_indicator,raw_existing,downgrade_watch,core bank concept but failed this validation window
bank_indicator__non_performing_loan_provision_coverage,bank_indicator,raw_existing,downgrade_watch,core bank concept but failed this validation window
bank_indicator__core_level_capital_adequacy_ratio,bank_indicator,raw_existing,downgrade_watch,core bank concept but failed this validation window
bank_indicator__non_interest_income_ratio,bank_indicator,raw_existing,downgrade_watch,core bank concept but failed this validation window
bank_indicator__net_interest_margin,bank_indicator,raw_existing,downgrade_watch,important concept but failed this validation window
derived__staff_cash_to_operating_revenue,derived,derived_now,drop_after_retest,failed retest after derivation
