factor_name,base_factor_name,factor_family,improvement_variant,improvement_variant_cn,target_label,source_type,pool_status,train_start,train_end,validation_start,validation_end,sample_filter
improve__snapshot_delta__derived__log_total_assets,derived__log_total_assets,improvement_derived,snapshot_delta,上一次可用值变化,y_quarter_avg_daily_return_close,derived_now,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
improve__season_yoy_delta__derived__log_total_assets,derived__log_total_assets,improvement_derived,season_yoy_delta,去年同季变化,y_quarter_avg_daily_return_close,derived_now,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
improve__snapshot_delta__indicator__roe,indicator__roe,improvement_indicator,snapshot_delta,上一次可用值变化,y_quarter_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
improve__season_yoy_delta__indicator__roe,indicator__roe,improvement_indicator,season_yoy_delta,去年同季变化,y_quarter_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
improve__snapshot_delta__indicator__inc_net_profit_to_shareholders_annual,indicator__inc_net_profit_to_shareholders_annual,improvement_indicator,snapshot_delta,上一次可用值变化,y_quarter_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
improve__season_yoy_delta__indicator__inc_net_profit_to_shareholders_annual,indicator__inc_net_profit_to_shareholders_annual,improvement_indicator,season_yoy_delta,去年同季变化,y_quarter_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
improve__annual_delta__bank_indicator__Nonperforming_loan_rate,bank_indicator__Nonperforming_loan_rate,improvement_bank_indicator,annual_delta,上一年变化,y_year_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
improve__annual_delta__bank_indicator__non_performing_loan_provision_coverage,bank_indicator__non_performing_loan_provision_coverage,improvement_bank_indicator,annual_delta,上一年变化,y_year_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
improve__annual_delta__bank_indicator__capital_adequacy_ratio,bank_indicator__capital_adequacy_ratio,improvement_bank_indicator,annual_delta,上一年变化,y_year_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
improve__annual_delta__bank_indicator__core_level_capital_adequacy_ratio,bank_indicator__core_level_capital_adequacy_ratio,improvement_bank_indicator,annual_delta,上一年变化,y_year_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
improve__annual_delta__bank_indicator__cost_to_income_ratio,bank_indicator__cost_to_income_ratio,improvement_bank_indicator,annual_delta,上一年变化,y_year_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
improve__annual_delta__bank_indicator__deposit_loan_ratio,bank_indicator__deposit_loan_ratio,improvement_bank_indicator,annual_delta,上一年变化,y_year_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
improve__annual_delta__bank_indicator__net_interest_margin,bank_indicator__net_interest_margin,improvement_bank_indicator,annual_delta,上一年变化,y_year_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
