rebalance_date,code,y_quarter_avg_daily_return_close,y_year_avg_daily_return_close,improve__snapshot_delta__derived__log_total_assets,improve__season_yoy_delta__derived__log_total_assets,improve__snapshot_delta__indicator__roe,improve__season_yoy_delta__indicator__roe,improve__snapshot_delta__indicator__inc_net_profit_to_shareholders_annual,improve__season_yoy_delta__indicator__inc_net_profit_to_shareholders_annual,improve__annual_delta__bank_indicator__Nonperforming_loan_rate,improve__annual_delta__bank_indicator__non_performing_loan_provision_coverage,improve__annual_delta__bank_indicator__capital_adequacy_ratio,improve__annual_delta__bank_indicator__core_level_capital_adequacy_ratio,improve__annual_delta__bank_indicator__cost_to_income_ratio,improve__annual_delta__bank_indicator__deposit_loan_ratio,improve__annual_delta__bank_indicator__net_interest_margin,improve__annual_delta__bank_indicator__non_interest_income_ratio,improve__snapshot_delta__derived__staff_cash_to_operating_revenue,improve__season_yoy_delta__derived__staff_cash_to_operating_revenue,improve__snapshot_delta__derived__investment_income_to_operating_revenue,improve__season_yoy_delta__derived__investment_income_to_operating_revenue,improve__snapshot_delta__income__minority_profit,improve__season_yoy_delta__income__minority_profit,improve__snapshot_delta__indicator__eps,improve__season_yoy_delta__indicator__eps
2014-05-05,600000.XSHG,0.0006259282,0.0030109697,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,600015.XSHG,0.0007844566,0.0032062352,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,600016.XSHG,-0.0001640026,0.0024651978,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,600036.XSHG,0.001597566,0.0030456304,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,601166.XSHG,0.0010823557,0.0031654913,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,601288.XSHG,0.0010987309,0.0025894146,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,601328.XSHG,0.002402412,0.003163802,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,601398.XSHG,0.0012096787,0.0023826105,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,601818.XSHG,0.0019726217,0.0039757499,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,601939.XSHG,0.0011478376,0.0028865347,,,,,,,,,,,,,,,,,,,,,,
2014-05-05,601998.XSHG,-0.0001751155,0.0027537916,,,,,,,,,,,,,,,,,,,,,,
2014-09-01,600000.XSHG,0.0015883744,0.0025618261,0.049475348299999666,,0.40000000000000036,,15.09,,,,,,,,,,-0.043802372199999995,,0.0036933655000000003,,15000000.0,,0.06619999999999993,
2014-09-01,600016.XSHG,0.0002139012,0.0018779557,0.08448270539999925,,-0.25,,-39.69,,,,,,,,,,-0.0452910678,,-0.0039675631999999995,,15000000.0,,-0.0681,
2014-09-01,600036.XSHG,4.51329e-05,0.0024615083,0.1334025969999999,,0.0,,-18.240000000000002,,,,,,,,,,-0.008119821999999999,,0.007028138400000002,,16000000.0,,0.022499999999999964,
2014-09-01,601166.XSHG,0.0008033491,0.0020351288,0.0400642886,,-0.8600000000000003,,-73.76,,,,,,,,,,-0.05826555459999999,,0.0321818486,,-3000000.0,,-0.06290000000000007,
2014-09-01,601169.XSHG,0.0028946389,0.0020685256,,,,,,,,,,,,,,,,,,,,,,
2014-09-01,601288.XSHG,0.0008134791,0.0015794572,0.04370461199999909,,-0.5300000000000002,,-93.91000000000001,,,,,,,,,,-0.0668945897,,0.0189980183,,-149000000.0,,-0.008700000000000013,
2014-09-01,601328.XSHG,0.0001599691,0.0025161273,0.049682996899999665,,-0.23999999999999932,,-40.79,,,,,,,,,,-0.1172068016,,0.0494081056,,-14000000.0,,-0.008199999999999985,
2014-09-01,601398.XSHG,0.0008266709,0.0014994277,0.028424356500000414,,-0.0600000000000005,,-26.3,,,,,,,,,,-0.035079980799999994,,0.0057700505,,-37000000.0,,0.004299999999999998,
2014-09-01,601818.XSHG,0.0024572189,0.0026473326,0.034828150700001004,,-0.4900000000000002,,-67.67999999999999,,,,,,,,,,-0.1254816298,,-0.0003843258999999999,,1000000.0,,-0.010499999999999982,
2014-09-01,601998.XSHG,0.0031036052,0.0021794905,0.07955112329999992,,0.1299999999999999,,-22.950000000000003,,,,,,,,,,-0.132928795,,0.009212102200000002,,-59000000.0,,0.013300000000000006,
2014-11-03,600000.XSHG,0.0055579121,0.0027578135,0.0067010450999980264,,-0.08999999999999986,,-9.889999999999999,,,,,,,,,,0.004879252899999992,,0.021337890300000002,,44000000.0,,0.010599999999999943,
2014-11-03,600016.XSHG,0.0050143249,0.0017636957,0.05392822929999852,,-1.0300000000000002,,-14.8,,,,,,,,,,0.0336573496,,-0.0254684314,,-137000000.0,,-0.04880000000000001,
2014-11-03,600036.XSHG,0.005322558,0.0027836474,-0.06367080820000126,,-0.23000000000000043,,-4.9,,,,,,,,,,0.0007878387000000153,,-0.020597085800000005,,17000000.0,,-0.005099999999999993,
2014-11-03,601166.XSHG,0.0057458567,0.0020592145,0.011928220499999753,,0.03000000000000025,,14.010000000000002,,,,,,,,,,-0.0067218695999999994,,-0.0538741531,,21000000.0,,0.03210000000000002,
2014-11-03,601169.XSHG,0.0043546268,0.0017369569,0.010145526100000524,,-0.8799999999999999,,-9.05,,,,,,,,,,0.0501351179,,0.0133456746,,-1098000.0,,-0.13689999999999997,
2014-11-03,601288.XSHG,0.0042859541,0.0014205243,-0.0029633511000000112,,-0.3899999999999997,,0.9500000000000002,,,,,,,,,,0.027943099400000004,,0.007906371799999999,,88000000.0,,-0.0058,
2014-11-03,601328.XSHG,0.0045676072,0.0022446344,-0.011398054400000746,,-0.8200000000000003,,-15.190000000000001,,,,,,,,,,0.020042396399999995,,0.0323181982,,-4000000.0,,-0.05349999999999999,
2014-11-03,601398.XSHG,0.0038821543,0.0014289147,-0.007550271200003067,,-0.3099999999999996,,-5.29,,,,,,,,,,0.012521352900000005,,-0.0006781248000000007,,-12000000.0,,-0.007000000000000006,
2014-11-03,601818.XSHG,0.006212348,0.0021951365,-0.03358154709999894,,-0.2400000000000002,,3.37,,,,,,,,,,0.009683184799999994,,0.0049371129,,0.0,,-0.004500000000000004,
2014-11-03,601998.XSHG,0.0049680106,0.0017134133,-0.06351246270000033,0.2019856102999995,-0.5599999999999996,-0.79,-15.36,30.799999999999997,,,,,,,,,0.017147013399999994,-0.026101425999999983,-0.0312473368,-0.0324295569,16000000.0,-63000000.0,-0.02310000000000012,-0.05610000000000004
2015-04-29,600000.XSHG,-0.015258216,0.0005028122,0.058717892100002445,0.10842097689999974,-0.41999999999999993,-0.1200000000000001,-0.96,48.33,0.32000000000000006,-70.55999999999997,0.35999999999999943,0.02999999999999936,-2.7099999999999973,-1.0200000000000102,0.040000000000000036,5.449999999999999,0.12184920099999999,0.007928028800000014,-0.0131544572,-0.012751745299999999,-191000000.0,61000000.0,0.0045000000000000595,0.09019999999999995
2015-04-29,600036.XSHG,-0.0034305317,0.0003432406,0.0019421492999995849,0.0942536557000011,-1.94,-1.1000000000000005,-33.04,11.649999999999991,0.28000000000000014,-32.58000000000001,1.2400000000000002,1.17,-3.8200000000000003,-3.950000000000003,-0.17999999999999972,7.059999999999999,0.19096270599999998,-0.02743142770000001,-0.028070119399999996,0.028200188,-32000000.0,111000000.0,-0.2092,0.0020999999999999908
2015-04-29,601288.XSHG,0.0,-0.0005380495,0.0009333801000011022,0.10287473820000059,-2.48,-0.39999999999999947,-39.84,-5.140000000000001,0.32000000000000006,-80.51000000000005,0.9600000000000009,-0.16000000000000014,-1.7399999999999949,3.4399999999999977,0.1299999999999999,-1.2162000000000006,0.0681803999,-0.018544358799999994,0.0056657675,0.0564193055,-48000000.0,15000000.0,-0.0668,0.0037000000000000366
2015-04-29,601328.XSHG,0.013368984,-0.0004408089,0.008906544600002064,0.08085592699999822,-0.20000000000000018,-0.8399999999999999,15.590000000000002,5.949999999999999,0.19999999999999996,-34.77000000000001,1.959999999999999,1.540000000000001,0.9399999999999977,0.6699999999999875,-0.29780000000000006,3.4863,0.031944398799999996,-0.01488058719999999,-0.0514955151,0.0175856697,-37000000.0,-26000000.0,0.002899999999999986,-0.00010000000000001674
2015-04-29,601398.XSHG,-0.0066666667,-0.0005787865,0.022522383000001867,0.10671197859999992,-1.46,-0.6000000000000005,-20.27,-11.39,0.18999999999999995,-50.28999999999999,1.4100000000000001,1.3499999999999996,-1.2800000000000011,1.8000000000000114,0.0900000000000003,0.2981999999999978,0.018829706499999987,-0.038425830899999985,0.003138542499999999,0.0091763461,-26000000.0,1000000.0,-0.0484,0.00410000000000002
2015-04-29,601818.XSHG,-0.0095541401,-0.0011902336,0.058527223300000486,0.07943241520000299,-1.2699999999999996,-0.71,-23.009999999999998,6.219999999999999,0.32999999999999996,-60.5,0.6400000000000006,0.23000000000000043,-1.759999999999998,-2.490000000000009,0.13999999999999968,3.6966,0.0177254808,-0.008032051200000001,-0.0035543899,-0.0031657229999999996,-10000000.0,-18000000.0,-0.040900000000000006,0.0049000000000000155
2015-04-29,601939.XSHG,0.0077922078,-0.0010455804,0.03665737530000257,,-2.8899999999999997,,-109.37,,0.19999999999999996,-45.890000000000015,1.5199999999999996,1.3599999999999994,-0.7999999999999972,3.173400000000001,0.05999999999999961,-0.08310000000000173,0.0554559164,,0.010421854400000001,,-112000000.0,,-0.11299999999999999,
2015-04-29,601988.XSHG,-0.0037453184,-0.0010132646,,0.15817437599999806,,-1.04,,1.9900000000000002,,,,,,,,,,-0.01701098740000001,,0.007728195100000001,,-5000000.0,,0.04090000000000005
2015-05-04,600000.XSHG,-0.0002707882,0.0008488043,0.014059442000000644,0.18589257069999832,-0.8800000000000008,-0.9300000000000006,-9.139999999999999,-1.54,0.32000000000000006,-70.55999999999997,0.35999999999999943,0.02999999999999936,-2.7099999999999973,-1.0200000000000102,0.040000000000000036,5.449999999999999,-0.08913183599999999,-0.010369315899999995,0.022816082999999997,0.049446035,149000000.0,36000000.0,-0.055400000000000005,-0.01150000000000001
2015-05-04,600015.XSHG,-0.0009932343,-0.0003847868,0.04888975269999918,0.1319643413999998,-0.25,0.09999999999999964,1.0399999999999991,13.26,0.19000000000000006,-68.39999999999998,1.1499999999999986,0.46000000000000085,-1.5600000000000023,-1.3800000000000097,0.020000000000000018,1.7795000000000005,0.0469962944,-0.04402666549999999,-0.035687745699999995,0.0749144664,12000000.0,173000000.0,0.04650000000000004,0.0373
