current_date,factor_date,plan_id,strategy_line,selected_count,long_list,factor_summary,top_score_preview,long_score_preview
2021-05-31,2021-05-28,annual_01,primary,7,"['002142.XSHE', '600036.XSHG', '601009.XSHG', '600926.XSHG', '601658.XSHG', '601838.XSHG', '600908.XSHG']","bank_indicator__Nonperforming_loan_rate[-1,0.191488] ; bank_indicator__capital_adequacy_ratio[+1,0.125512] ; bank_indicator__deposit_loan_ratio[-1,0.137916] ; bank_indicator__non_performing_loan_provision_coverage[+1,0.050207] ; indicator__eps[+1,0.073011] ; indicator__roe[+1,0.105681] ; improve__annual_delta__bank_indicator__Nonperforming_loan_rate[-1,0.082644] ; improve__snapshot_delta__derived__investment_income_to_operating_revenue[-1,0.027117]","[002142.XSHE:score=1.1116,count=8 ; 600036.XSHG:score=1.0729,count=8 ; 601009.XSHG:score=0.9382,count=8 ; 600926.XSHG:score=0.8309,count=8 ; 601658.XSHG:score=0.6091,count=8 ; 601838.XSHG:score=0.5034,count=8 ; 600908.XSHG:score=0.4185,count=8 ; 601577.XSHG:score=0.3831,count=8 ; 601166.XSHG:score=0.3557,count=8 ; 601077.XSHG:score=0.2952,count=8]","[002142.XSHE:score=1.1116,count=8 ; 600036.XSHG:score=1.0729,count=8 ; 601009.XSHG:score=0.9382,count=8 ; 600926.XSHG:score=0.8309,count=8 ; 601658.XSHG:score=0.6091,count=8 ; 601838.XSHG:score=0.5034,count=8 ; 600908.XSHG:score=0.4185,count=8]"
2021-09-01,2021-08-31,annual_01,primary,7,"['002142.XSHE', '600036.XSHG', '601009.XSHG', '600926.XSHG', '601658.XSHG', '600908.XSHG', '601838.XSHG']","bank_indicator__Nonperforming_loan_rate[-1,0.191488] ; bank_indicator__capital_adequacy_ratio[+1,0.125512] ; bank_indicator__deposit_loan_ratio[-1,0.137916] ; bank_indicator__non_performing_loan_provision_coverage[+1,0.050207] ; indicator__eps[+1,0.073011] ; indicator__roe[+1,0.105681] ; improve__annual_delta__bank_indicator__Nonperforming_loan_rate[-1,0.082644] ; improve__snapshot_delta__derived__investment_income_to_operating_revenue[-1,0.027117]","[002142.XSHE:score=1.1639,count=8 ; 600036.XSHG:score=1.1287,count=8 ; 601009.XSHG:score=0.9567,count=8 ; 600926.XSHG:score=0.8613,count=8 ; 601658.XSHG:score=0.6208,count=8 ; 600908.XSHG:score=0.6196,count=8 ; 601838.XSHG:score=0.5897,count=8 ; 601577.XSHG:score=0.5649,count=8 ; 603323.XSHG:score=0.2988,count=8 ; 601128.XSHG:score=0.2334,count=8]","[002142.XSHE:score=1.1639,count=8 ; 600036.XSHG:score=1.1287,count=8 ; 601009.XSHG:score=0.9567,count=8 ; 600926.XSHG:score=0.8613,count=8 ; 601658.XSHG:score=0.6208,count=8 ; 600908.XSHG:score=0.6196,count=8 ; 601838.XSHG:score=0.5897,count=8]"
2021-11-01,2021-10-29,annual_01,primary,7,"['002142.XSHE', '600036.XSHG', '601009.XSHG', '600926.XSHG', '601658.XSHG', '600908.XSHG', '601838.XSHG']","bank_indicator__Nonperforming_loan_rate[-1,0.191488] ; bank_indicator__capital_adequacy_ratio[+1,0.125512] ; bank_indicator__deposit_loan_ratio[-1,0.137916] ; bank_indicator__non_performing_loan_provision_coverage[+1,0.050207] ; indicator__eps[+1,0.073011] ; indicator__roe[+1,0.105681] ; improve__annual_delta__bank_indicator__Nonperforming_loan_rate[-1,0.082644] ; improve__snapshot_delta__derived__investment_income_to_operating_revenue[-1,0.027117]","[002142.XSHE:score=1.1638,count=8 ; 600036.XSHG:score=1.1172,count=8 ; 601009.XSHG:score=0.8960,count=8 ; 600926.XSHG:score=0.7189,count=8 ; 601658.XSHG:score=0.7097,count=8 ; 600908.XSHG:score=0.6471,count=8 ; 601838.XSHG:score=0.6124,count=8 ; 601128.XSHG:score=0.5433,count=8 ; 601166.XSHG:score=0.4349,count=8 ; 601577.XSHG:score=0.3922,count=8]","[002142.XSHE:score=1.1638,count=8 ; 600036.XSHG:score=1.1172,count=8 ; 601009.XSHG:score=0.8960,count=8 ; 600926.XSHG:score=0.7189,count=8 ; 601658.XSHG:score=0.7097,count=8 ; 600908.XSHG:score=0.6471,count=8 ; 601838.XSHG:score=0.6124,count=8]"
2022-05-05,2022-04-29,annual_01,primary,7,"['600036.XSHG', '002142.XSHE', '600926.XSHG', '601838.XSHG', '601009.XSHG', '002839.XSHE', '600908.XSHG']","bank_indicator__Nonperforming_loan_rate[-1,0.191488] ; bank_indicator__capital_adequacy_ratio[+1,0.125512] ; bank_indicator__deposit_loan_ratio[-1,0.137916] ; bank_indicator__non_performing_loan_provision_coverage[+1,0.050207] ; indicator__eps[+1,0.073011] ; indicator__roe[+1,0.105681] ; improve__annual_delta__bank_indicator__Nonperforming_loan_rate[-1,0.082644] ; improve__snapshot_delta__derived__investment_income_to_operating_revenue[-1,0.027117]","[600036.XSHG:score=1.1055,count=8 ; 002142.XSHE:score=0.9701,count=8 ; 600926.XSHG:score=0.8702,count=8 ; 601838.XSHG:score=0.8142,count=8 ; 601009.XSHG:score=0.5364,count=8 ; 002839.XSHE:score=0.4437,count=8 ; 600908.XSHG:score=0.4323,count=8 ; 002807.XSHE:score=0.4037,count=8 ; 002966.XSHE:score=0.3225,count=8 ; 601398.XSHG:score=0.3114,count=8]","[600036.XSHG:score=1.1055,count=8 ; 002142.XSHE:score=0.9701,count=8 ; 600926.XSHG:score=0.8702,count=8 ; 601838.XSHG:score=0.8142,count=8 ; 601009.XSHG:score=0.5364,count=8 ; 002839.XSHE:score=0.4437,count=8 ; 600908.XSHG:score=0.4323,count=8]"
2022-09-01,2022-08-31,annual_02,primary,7,"['600036.XSHG', '002142.XSHE', '601009.XSHG', '600926.XSHG', '601838.XSHG', '600908.XSHG', '601658.XSHG']","bank_indicator__Nonperforming_loan_rate[-1,0.202109] ; bank_indicator__capital_adequacy_ratio[+1,0.268493] ; bank_indicator__deposit_loan_ratio[-1,0.303511] ; bank_indicator__non_performing_loan_provision_coverage[+1,0.165653] ; derived__log_total_assets[+1,0.156735] ; indicator__eps[+1,0.117962] ; indicator__roe[+1,0.207792] ; improve__annual_delta__bank_indicator__capital_adequacy_ratio[-1,0.210412] ; improve__snapshot_delta__derived__investment_income_to_operating_revenue[-1,0.040745]","[600036.XSHG:score=0.9509,count=9 ; 002142.XSHE:score=0.8631,count=9 ; 601009.XSHG:score=0.8075,count=9 ; 600926.XSHG:score=0.7894,count=9 ; 601838.XSHG:score=0.6713,count=9 ; 600908.XSHG:score=0.6195,count=9 ; 601658.XSHG:score=0.5578,count=9 ; 601939.XSHG:score=0.3221,count=9 ; 601288.XSHG:score=0.3048,count=9 ; 002966.XSHE:score=0.3041,count=9]","[600036.XSHG:score=0.9509,count=9 ; 002142.XSHE:score=0.8631,count=9 ; 601009.XSHG:score=0.8075,count=9 ; 600926.XSHG:score=0.7894,count=9 ; 601838.XSHG:score=0.6713,count=9 ; 600908.XSHG:score=0.6195,count=9 ; 601658.XSHG:score=0.5578,count=9]"
2022-11-01,2022-10-31,annual_02,primary,7,"['600036.XSHG', '002142.XSHE', '601009.XSHG', '601838.XSHG', '601658.XSHG', '600926.XSHG', '600908.XSHG']","bank_indicator__Nonperforming_loan_rate[-1,0.202109] ; bank_indicator__capital_adequacy_ratio[+1,0.268493] ; bank_indicator__deposit_loan_ratio[-1,0.303511] ; bank_indicator__non_performing_loan_provision_coverage[+1,0.165653] ; derived__log_total_assets[+1,0.156735] ; indicator__eps[+1,0.117962] ; indicator__roe[+1,0.207792] ; improve__annual_delta__bank_indicator__capital_adequacy_ratio[-1,0.210412] ; improve__snapshot_delta__derived__investment_income_to_operating_revenue[-1,0.040745]","[600036.XSHG:score=0.9793,count=9 ; 002142.XSHE:score=0.8914,count=9 ; 601009.XSHG:score=0.7232,count=9 ; 601838.XSHG:score=0.6948,count=9 ; 601658.XSHG:score=0.6517,count=9 ; 600926.XSHG:score=0.6176,count=9 ; 600908.XSHG:score=0.4039,count=9 ; 601128.XSHG:score=0.3907,count=9 ; 601939.XSHG:score=0.3604,count=9 ; 601288.XSHG:score=0.3531,count=9]","[600036.XSHG:score=0.9793,count=9 ; 002142.XSHE:score=0.8914,count=9 ; 601009.XSHG:score=0.7232,count=9 ; 601838.XSHG:score=0.6948,count=9 ; 601658.XSHG:score=0.6517,count=9 ; 600926.XSHG:score=0.6176,count=9 ; 600908.XSHG:score=0.4039,count=9]"
2023-05-04,2023-04-28,annual_02,primary,8,"['600036.XSHG', '002142.XSHE', '600926.XSHG', '601658.XSHG', '601825.XSHG', '601838.XSHG', '601528.XSHG', '601009.XSHG']","bank_indicator__Nonperforming_loan_rate[-1,0.202109] ; bank_indicator__capital_adequacy_ratio[+1,0.268493] ; bank_indicator__deposit_loan_ratio[-1,0.303511] ; bank_indicator__non_performing_loan_provision_coverage[+1,0.165653] ; derived__log_total_assets[+1,0.156735] ; indicator__eps[+1,0.117962] ; indicator__roe[+1,0.207792] ; improve__annual_delta__bank_indicator__capital_adequacy_ratio[-1,0.210412] ; improve__snapshot_delta__derived__investment_income_to_operating_revenue[-1,0.040745]","[600036.XSHG:score=1.0259,count=9 ; 002142.XSHE:score=0.8739,count=9 ; 600926.XSHG:score=0.7575,count=9 ; 601658.XSHG:score=0.6560,count=9 ; 601825.XSHG:score=0.6116,count=9 ; 601838.XSHG:score=0.5269,count=9 ; 601528.XSHG:score=0.4295,count=9 ; 601009.XSHG:score=0.3730,count=9 ; 601398.XSHG:score=0.3040,count=9 ; 601288.XSHG:score=0.2928,count=9]","[600036.XSHG:score=1.0259,count=9 ; 002142.XSHE:score=0.8739,count=9 ; 600926.XSHG:score=0.7575,count=9 ; 601658.XSHG:score=0.6560,count=9 ; 601825.XSHG:score=0.6116,count=9 ; 601838.XSHG:score=0.5269,count=9 ; 601528.XSHG:score=0.4295,count=9 ; 601009.XSHG:score=0.3730,count=9]"
2023-09-01,2023-08-31,annual_03,primary,8,"['601398.XSHG', '601288.XSHG', '601939.XSHG', '600036.XSHG', '601988.XSHG', '601825.XSHG', '601658.XSHG', '601077.XSHG']","bank_indicator__capital_adequacy_ratio[+1,0.323830] ; bank_indicator__deposit_loan_ratio[-1,0.259314] ; derived__log_total_assets[+1,0.160546]","[601398.XSHG:score=1.6388,count=3 ; 601288.XSHG:score=1.4120,count=3 ; 601939.XSHG:score=1.3494,count=3 ; 600036.XSHG:score=1.3408,count=3 ; 601988.XSHG:score=1.3200,count=3 ; 601825.XSHG:score=0.8168,count=3 ; 601658.XSHG:score=0.6894,count=3 ; 601077.XSHG:score=0.6177,count=3 ; 002142.XSHE:score=0.4645,count=3 ; 601009.XSHG:score=0.3272,count=3]","[601398.XSHG:score=1.6388,count=3 ; 601288.XSHG:score=1.4120,count=3 ; 601939.XSHG:score=1.3494,count=3 ; 600036.XSHG:score=1.3408,count=3 ; 601988.XSHG:score=1.3200,count=3 ; 601825.XSHG:score=0.8168,count=3 ; 601658.XSHG:score=0.6894,count=3 ; 601077.XSHG:score=0.6177,count=3]"
2023-11-01,2023-10-31,annual_03,primary,8,"['601398.XSHG', '601288.XSHG', '601939.XSHG', '600036.XSHG', '601988.XSHG', '601825.XSHG', '601658.XSHG', '601077.XSHG']","bank_indicator__capital_adequacy_ratio[+1,0.323830] ; bank_indicator__deposit_loan_ratio[-1,0.259314] ; derived__log_total_assets[+1,0.160546]","[601398.XSHG:score=1.6382,count=3 ; 601288.XSHG:score=1.4115,count=3 ; 601939.XSHG:score=1.3489,count=3 ; 600036.XSHG:score=1.3393,count=3 ; 601988.XSHG:score=1.3229,count=3 ; 601825.XSHG:score=0.8160,count=3 ; 601658.XSHG:score=0.6907,count=3 ; 601077.XSHG:score=0.6169,count=3 ; 002142.XSHE:score=0.4667,count=3 ; 601009.XSHG:score=0.3269,count=3]","[601398.XSHG:score=1.6382,count=3 ; 601288.XSHG:score=1.4115,count=3 ; 601939.XSHG:score=1.3489,count=3 ; 600036.XSHG:score=1.3393,count=3 ; 601988.XSHG:score=1.3229,count=3 ; 601825.XSHG:score=0.8160,count=3 ; 601658.XSHG:score=0.6907,count=3 ; 601077.XSHG:score=0.6169,count=3]"
2024-05-06,2024-04-30,annual_03,primary,8,"['601398.XSHG', '601288.XSHG', '601988.XSHG', '600036.XSHG', '601939.XSHG', '601825.XSHG', '601658.XSHG', '601077.XSHG']","bank_indicator__capital_adequacy_ratio[+1,0.323830] ; bank_indicator__deposit_loan_ratio[-1,0.259314] ; derived__log_total_assets[+1,0.160546]","[601398.XSHG:score=1.6217,count=3 ; 601288.XSHG:score=1.3822,count=3 ; 601988.XSHG:score=1.3559,count=3 ; 600036.XSHG:score=1.3488,count=3 ; 601939.XSHG:score=1.2967,count=3 ; 601825.XSHG:score=0.8555,count=3 ; 601658.XSHG:score=0.8353,count=3 ; 601077.XSHG:score=0.7343,count=3 ; 601665.XSHG:score=0.4634,count=3 ; 002142.XSHE:score=0.4488,count=3]","[601398.XSHG:score=1.6217,count=3 ; 601288.XSHG:score=1.3822,count=3 ; 601988.XSHG:score=1.3559,count=3 ; 600036.XSHG:score=1.3488,count=3 ; 601939.XSHG:score=1.2967,count=3 ; 601825.XSHG:score=0.8555,count=3 ; 601658.XSHG:score=0.8353,count=3 ; 601077.XSHG:score=0.7343,count=3]"
