date,line,total_asset,nav
2021-05-31,primary,2011769.4,1.0
2021-06-01,primary,2001186.4,0.9947394567190454
2021-06-02,primary,2005447.4,0.9968574927126339
2021-06-03,primary,1983372.4,0.9858845650997574
2021-06-04,primary,2019350.28,1.0037682648915924
2021-06-07,primary,1996342.28,0.9923315664310234
2021-06-08,primary,1977687.28,0.9830586348514895
2021-06-09,primary,1967006.28,0.977749378233907
2021-06-10,primary,1968812.28,0.9786470954374791
2021-06-11,primary,1942240.28,0.9654388221632162
2021-06-15,primary,1912482.28,0.9506468683736815
2021-06-16,primary,1929213.28,0.9589634279157443
2021-06-17,primary,1914673.28,0.9517359593997206
2021-06-18,primary,1895222.28,0.9420673562288004
2021-06-21,primary,1871211.28,0.9301320916800903
2021-06-22,primary,1905804.28,0.9473274024348914
2021-06-23,primary,1891204.28,0.9400701094270547
2021-06-24,primary,1912655.28,0.9507328623250757
2021-06-25,primary,1944384.28,0.9665045506706684
2021-06-28,primary,1899994.88,0.9444396957225814
2021-06-29,primary,1885598.88,0.9372838059869089
2021-06-30,primary,1898811.88,0.9438516561590011
2021-07-01,primary,1927423.88,0.958073962154907
2021-07-02,primary,1882471.88,0.9357294528885866
2021-07-05,primary,1887622.88,0.938289885510735
2021-07-06,primary,1907276.68,0.9480592954639832
2021-07-07,primary,1912030.68,0.950422389365302
2021-07-08,primary,1853565.68,0.9213609074678241
2021-07-09,primary,1815098.68,0.9022399286916284
2021-07-12,primary,1779804.68,0.8846961684574783
2021-07-13,primary,1794395.44,0.8919488684935759
2021-07-14,primary,1758473.44,0.874092945245116
2021-07-15,primary,1818707.44,0.9040337525762148
2021-07-16,primary,1819815.44,0.9045845115250287
2021-07-19,primary,1831119.44,0.9102034457826031
2021-07-20,primary,1811396.44,0.9003996382487973
2021-07-21,primary,1801700.44,0.895580000371812
2021-07-22,primary,1812430.0,0.9009133949447685
2021-07-23,primary,1811738.0,0.9005694191391916
2021-07-26,primary,1751766.0,0.8707588454223432
2021-07-27,primary,1703577.0,0.8468053048227099
2021-07-28,primary,1738641.0,0.8642347378382433
2021-07-29,primary,1726143.0,0.8580222961935896
2021-07-30,primary,1686697.0,0.838414681125978
2021-08-02,primary,1720485.0,0.855209846615621
2021-08-03,primary,1711396.0,0.8506919331808109
2021-08-04,primary,1688066.0,0.8390951766141785
2021-08-05,primary,1686338.0,0.8382362312499634
2021-08-06,primary,1686284.0,0.8382093892073317
2021-08-09,primary,1739246.0,0.8645354681306914
2021-08-10,primary,1794030.0,0.89176721745544
2021-08-11,primary,1823105.0,0.9062196691131698
2021-08-12,primary,1808780.0,0.8990990716928093
2021-08-13,primary,1811733.0,0.9005669337648738
2021-08-16,primary,1799955.0,0.8947123860219766
2021-08-17,primary,1778411.0,0.8840034051616453
2021-08-18,primary,1847169.0,0.9181812786296482
2021-08-19,primary,1786127.0,0.8878388348088007
2021-08-20,primary,1784532.0,0.8870460004014377
2021-08-23,primary,1786169.0,0.8878597119530698
2021-08-24,primary,1791254.0,0.890387337634224
2021-08-25,primary,1772268.0,0.8809498742748548
2021-08-26,primary,1747677.0,0.8687263063052854
2021-08-27,primary,1767562.0,0.8786106399669863
2021-08-30,primary,1739854.0,0.86483768964773
2021-08-31,primary,1785363.0,0.8874590696130481
2021-09-01,primary,1854897.6,0.9220229714200843
2021-09-02,primary,1866407.6,0.9277443030995501
2021-09-03,primary,1855665.6,0.9224047249152911
2021-09-06,primary,1849163.6,0.919172744152486
2021-09-07,primary,1892649.6,0.9407885416688414
2021-09-08,primary,1901415.6,0.9451458999227248
2021-09-09,primary,1905400.6,0.9471267432539734
2021-09-10,primary,1954577.6,0.9715713938187946
2021-09-13,primary,1947929.6,0.9682668401259111
2021-09-14,primary,1901582.6,0.9452289114249378
2021-09-15,primary,1867250.6,0.9281633372095232
2021-09-16,primary,1851220.6,0.9201952271468092
2021-09-17,primary,1882054.6,0.9355220334895243
2021-09-22,primary,1830977.6,0.9101329406839572
2021-09-23,primary,1828098.6,0.9087018621517954
2021-09-24,primary,1814891.6,0.9021369944288844
2021-09-27,primary,1806793.6,0.8981116821838527
2021-09-28,primary,1846308.6,0.9177535954170494
2021-09-29,primary,1876833.6,0.9329268056269273
2021-09-30,primary,1832779.6,0.9110286695880752
2021-10-08,primary,1867720.6,0.9283969623953919
2021-10-11,primary,1920650.6,0.954707134923118
2021-10-12,primary,1929288.6,0.9590008675944669
2021-10-13,primary,1928911.6,0.9588134703709084
2021-10-14,primary,1891127.6,0.9400319937265177
2021-10-15,primary,1916517.6,0.952652724512064
2021-10-18,primary,1908752.6,0.9487929381965946
2021-10-19,primary,1941123.6,0.9648837486045867
2021-10-20,primary,1911492.6,0.9501549233227229
2021-10-21,primary,1970604.6,0.979538012656918
2021-10-22,primary,1958829.6,0.9736849561386112
2021-10-25,primary,1966032.6,0.9772653863807652
2021-10-26,primary,1976637.6,0.9825368653087179
2021-10-27,primary,1958863.6,0.9737018566839719
2021-10-28,primary,1936601.6,0.9626359760716114
2021-10-29,primary,1922611.6,0.9556818987305404
2021-11-01,primary,1954814.2,0.9716890017315106
2021-11-02,primary,1898167.2,0.9435312019359674
2021-11-03,primary,1901810.2,0.9453420456638818
2021-11-04,primary,1882132.2,0.9355606064989357
2021-11-05,primary,1867081.2,0.9280791327276376
2021-11-08,primary,1856093.2,0.9226172741269452
2021-11-09,primary,1845157.2,0.9171812634191573
2021-11-10,primary,1855571.2,0.9223578010481719
