date,line,nav,benchmark_nav,excess_nav,strategy_return_pct,benchmark_return_pct,excess_return_pct
2021-05-31,primary,1.0059,0.993,1.013,0.59,-0.7,1.3
2021-06-01,primary,1.0006,0.9845,1.0164,0.06,-1.55,1.64
2021-06-02,primary,1.0027,0.9853,1.0177,0.27,-1.47,1.77
2021-06-03,primary,0.9917,0.9807,1.0112,-0.83,-1.93,1.12
2021-06-04,primary,1.0097,0.9923,1.0175,0.97,-0.77,1.75
2021-06-07,primary,0.9982,0.9861,1.0123,-0.18,-1.39,1.23
2021-06-08,primary,0.9888,0.9838,1.0051,-1.12,-1.62,0.51
2021-06-09,primary,0.9835,0.9807,1.0029,-1.65,-1.93,0.29
2021-06-10,primary,0.9844,0.9799,1.0046,-1.56,-2.01,0.46
2021-06-11,primary,0.9711,0.9652000000000001,1.0061,-2.89,-3.48,0.61
2021-06-15,primary,0.9562,0.956,1.0002,-4.38,-4.4,0.02
2021-06-16,primary,0.9646,0.9598,1.005,-3.54,-4.02,0.5
2021-06-17,primary,0.9573,0.9567,1.0006,-4.27,-4.33,0.06
2021-06-18,primary,0.9476,0.9482,0.9994,-5.24,-5.18,-0.06
2021-06-21,primary,0.9356,0.9374,0.9981,-6.44,-6.26,-0.19
2021-06-22,primary,0.9529,0.949,1.0041,-4.71,-5.1,0.41
2021-06-23,primary,0.9456,0.9474,0.9981,-5.44,-5.26,-0.19
2021-06-24,primary,0.9563,0.9513,1.0053,-4.37,-4.87,0.53
2021-06-25,primary,0.9722,0.9637,1.0088,-2.78,-3.63,0.88
2021-06-28,primary,0.95,0.9474,1.0027,-5.0,-5.26,0.27
2021-06-29,primary,0.9428,0.942,1.0008,-5.72,-5.8,0.08
2021-06-30,primary,0.9494,0.9505,0.9988,-5.06,-4.95,-0.12
2021-07-01,primary,0.9637,0.9645,0.9992,-3.63,-3.55,-0.08
2021-07-02,primary,0.9412,0.9467,0.9942,-5.88,-5.33,-0.58
2021-07-05,primary,0.9438,0.9444,0.9994,-5.62,-5.56,-0.06
2021-07-06,primary,0.9536,0.9552,0.9983,-4.64,-4.48,-0.17
2021-07-07,primary,0.956,0.9536,1.0025,-4.4,-4.64,0.25
2021-07-08,primary,0.9268,0.9281,0.9986,-7.32,-7.19,-0.14
2021-07-09,primary,0.9075,0.9204,0.986,-9.25,-7.96,-1.4
2021-07-12,primary,0.8899,0.9158,0.9717,-11.01,-8.42,-2.83
2021-07-13,primary,0.8972,0.9218999999999999,0.9732,-10.28,-7.81,-2.68
2021-07-14,primary,0.8792,0.9042,0.9724,-12.08,-9.58,-2.76
2021-07-15,primary,0.9094,0.9274,0.9806,-9.06,-7.26,-1.94
2021-07-16,primary,0.9099,0.925,0.9837,-9.01,-7.5,-1.63
2021-07-19,primary,0.9156,0.925,0.9898,-8.44,-7.5,-1.02
2021-07-20,primary,0.9057,0.9118999999999999,0.9932,-9.43,-8.81,-0.68
2021-07-21,primary,0.9009,0.9088,0.9913,-9.91,-9.12,-0.87
2021-07-22,primary,0.9062,0.9142,0.9912,-9.38,-8.58,-0.88
2021-07-23,primary,0.9059,0.9104,0.9951,-9.41,-8.96,-0.49
2021-07-26,primary,0.8759,0.8802,0.9951,-12.41,-11.98,-0.49
2021-07-27,primary,0.8518,0.8601,0.9903,-14.82,-13.99,-0.97
2021-07-28,primary,0.8693,0.8686,1.0008,-13.07,-13.14,0.08
2021-07-29,primary,0.8631,0.8617,1.0016,-13.69,-13.83,0.16
2021-07-30,primary,0.8432999999999999,0.8516,0.9903,-15.67,-14.84,-0.97
2021-08-02,primary,0.8602,0.8624,0.9974,-13.98,-13.76,-0.26
2021-08-03,primary,0.8557,0.8578,0.9976,-14.43,-14.22,-0.24
2021-08-04,primary,0.844,0.8509,0.9919,-15.6,-14.91,-0.81
2021-08-05,primary,0.8432,0.8485,0.9938,-15.68,-15.15,-0.62
2021-08-06,primary,0.8431,0.8509,0.9908,-15.69,-14.91,-0.92
2021-08-09,primary,0.8696,0.874,0.995,-13.04,-12.6,-0.5
2021-08-10,primary,0.897,0.8895,1.0084,-10.3,-11.05,0.84
2021-08-11,primary,0.9116,0.898,1.0151,-8.84,-10.2,1.51
2021-08-12,primary,0.9044,0.8926000000000001,1.0132,-9.56,-10.74,1.32
2021-08-13,primary,0.9059,0.8949,1.0123,-9.41,-10.51,1.23
2021-08-16,primary,0.9,0.8934,1.0074,-10.0,-10.66,0.74
2021-08-17,primary,0.8892,0.8841,1.0058,-11.08,-11.59,0.58
2021-08-18,primary,0.9236,0.9134,1.0112,-7.64,-8.66,1.12
2021-08-19,primary,0.8931,0.8956999999999999,0.9971,-10.69,-10.43,-0.29
2021-08-20,primary,0.8923,0.8895,1.0031,-10.77,-11.05,0.31
2021-08-23,primary,0.8931,0.891,1.0024,-10.69,-10.9,0.24
2021-08-24,primary,0.8956,0.8956999999999999,0.9999,-10.44,-10.43,-0.01
2021-08-25,primary,0.8861,0.8855999999999999,1.0006,-11.39,-11.44,0.06
2021-08-26,primary,0.8738,0.8733,1.0006,-12.62,-12.67,0.06
2021-08-27,primary,0.8838,0.874,1.0112,-11.62,-12.6,1.12
2021-08-30,primary,0.8699,0.8601,1.0114,-13.01,-13.99,1.14
2021-08-31,primary,0.8927,0.874,1.0214,-10.73,-12.6,2.14
2021-09-01,primary,0.9274,0.8934,1.0381,-7.26,-10.66,3.81
2021-09-02,primary,0.9332,0.8995,1.0375,-6.68,-10.05,3.75
2021-09-03,primary,0.9278,0.9003,1.0305,-7.22,-9.97,3.05
2021-09-06,primary,0.9246,0.9034,1.0235,-7.54,-9.66,2.35
2021-09-07,primary,0.9463,0.9165,1.0325,-5.37,-8.35,3.25
2021-09-08,primary,0.9507,0.915,1.039,-4.93,-8.5,3.9
2021-09-09,primary,0.9527,0.9142,1.0421,-4.73,-8.58,4.21
2021-09-10,primary,0.9773,0.9319999999999999,1.0486,-2.27,-6.8,4.86
2021-09-13,primary,0.974,0.9328,1.0442,-2.6,-6.72,4.42
2021-09-14,primary,0.9508,0.9065,1.0489,-4.92,-9.35,4.89
2021-09-15,primary,0.9336,0.8995,1.0379,-6.64,-10.05,3.79
2021-09-16,primary,0.9256,0.891,1.0388,-7.44,-10.9,3.88
2021-09-17,primary,0.941,0.8934,1.0533,-5.9,-10.66,5.33
2021-09-22,primary,0.9155,0.8748,1.0465,-8.45,-12.52,4.65
2021-09-23,primary,0.914,0.8756,1.0439,-8.6,-12.44,4.39
2021-09-24,primary,0.9074,0.8679,1.0455,-9.26,-13.21,4.55
2021-09-27,primary,0.9034,0.8671,1.0419,-9.66,-13.29,4.19
2021-09-28,primary,0.9232,0.8833,1.0452,-7.68,-11.67,4.52
2021-09-29,primary,0.9384,0.8895,1.055,-6.16,-11.05,5.5
2021-09-30,primary,0.9164,0.881,1.0402,-8.36,-11.9,4.02
2021-10-08,primary,0.9339,0.8934,1.0453,-6.61,-10.66,4.53
2021-10-11,primary,0.9603,0.9134,1.0513,-3.97,-8.66,5.13
2021-10-12,primary,0.9646,0.915,1.0542,-3.54,-8.5,5.42
2021-10-13,primary,0.9645,0.9127,1.0568,-3.55,-8.73,5.68
2021-10-14,primary,0.9456,0.9026,1.0476,-5.44,-9.74,4.76
2021-10-15,primary,0.9583,0.9111,1.0518,-4.17,-8.89,5.18
2021-10-18,primary,0.9544,0.9042,1.0555,-4.56,-9.58,5.55
2021-10-19,primary,0.9706,0.9104,1.0661,-2.94,-8.96,6.61
2021-10-20,primary,0.9557,0.9049,1.0561,-4.43,-9.51,5.61
2021-10-21,primary,0.9853,0.9227,1.0678,-1.47,-7.73,6.78
2021-10-22,primary,0.9794,0.925,1.0588,-2.06,-7.5,5.88
2021-10-25,primary,0.983,0.9235,1.0644,-1.7,-7.65,6.44
2021-10-26,primary,0.9883,0.9235,1.0702,-1.17,-7.65,7.02
