line,year_label,window_start,window_end,first_trade_date,last_trade_date,obs_count,start_nav,end_nav,yearly_return_pct,max_drawdown_pct,max_drawdown_start,max_drawdown_end
benchmark,2021,2021-05-31,2022-05-04,2021-05-31,2022-04-29,224,1.0082,0.9723,-3.5608014282880296,-18.52619118082274,2021-06-04,2021-08-05
benchmark,2022,2022-05-05,2023-05-03,2022-05-05,2023-04-28,243,0.9915,0.8896,-10.27735753908221,-20.453857791225428,2022-05-05,2022-10-31
benchmark,2023,2023-05-04,2024-05-05,2023-05-04,2024-04-30,242,0.9082,1.0127,11.506276150627603,-11.84728278209083,2023-05-08,2023-07-07
benchmark,2024,2024-05-06,2025-05-05,2024-05-06,2025-04-30,242,1.0124,1.3383,32.19083366258397,-11.660112839801663,2024-08-27,2024-09-13
benchmark,2025,2025-05-06,2026-05-29,2025-05-06,2026-05-29,260,1.3317,1.4306,7.426597582037986,-11.472337125129261,2025-11-20,2026-02-27
primary,2021,2021-05-31,2022-05-04,2021-05-31,2022-04-29,224,1.0059,0.9913,-1.4514365245054228,-16.499950480340697,2021-06-04,2021-08-06
primary,2022,2022-05-05,2023-05-03,2022-05-05,2023-04-28,243,1.011,0.908,-10.187932739861516,-20.702274975271994,2022-05-05,2022-10-31
primary,2023,2023-05-04,2024-05-05,2023-05-04,2024-04-30,242,0.9222,1.0199,10.594231186293657,-13.293943870014768,2023-05-08,2023-06-26
primary,2024,2024-05-06,2025-05-05,2024-05-06,2025-04-30,242,1.0197,1.3315,30.57762086888298,-12.247496180614492,2024-08-27,2024-09-11
primary,2025,2025-05-06,2026-05-29,2025-05-06,2026-05-29,260,1.323,1.4448,9.206349206349218,-11.453068014588263,2025-11-20,2026-02-27
