code,statement_family,row_count,missing_count,available_count,missing_ratio
000001.XSHE,balance,728,42,686,0.057692307692307696
000001.XSHE,bank_indicator,143,33,110,0.23076923076923078
000001.XSHE,cash_flow,1040,64,976,0.06153846153846154
000001.XSHE,income,624,83,541,0.1330128205128205
000001.XSHE,indicator,884,51,833,0.057692307692307696
001227.XSHE,balance,266,42,224,0.15789473684210525
001227.XSHE,bank_indicator,55,33,22,0.6
001227.XSHE,cash_flow,380,61,319,0.16052631578947368
001227.XSHE,income,228,36,192,0.15789473684210525
001227.XSHE,indicator,323,51,272,0.15789473684210525
002142.XSHE,balance,728,42,686,0.057692307692307696
002142.XSHE,bank_indicator,143,33,110,0.23076923076923078
002142.XSHE,cash_flow,1040,60,980,0.057692307692307696
002142.XSHE,income,624,36,588,0.057692307692307696
002142.XSHE,indicator,884,51,833,0.057692307692307696
002807.XSHE,balance,574,42,532,0.07317073170731707
002807.XSHE,bank_indicator,121,33,88,0.2727272727272727
002807.XSHE,cash_flow,820,60,760,0.07317073170731707
002807.XSHE,income,492,36,456,0.07317073170731707
002807.XSHE,indicator,697,51,646,0.07317073170731707
002839.XSHE,balance,546,42,504,0.07692307692307693
002839.XSHE,bank_indicator,110,33,77,0.3
002839.XSHE,cash_flow,780,60,720,0.07692307692307693
002839.XSHE,income,468,36,432,0.07692307692307693
002839.XSHE,indicator,663,51,612,0.07692307692307693
002936.XSHE,balance,462,42,420,0.09090909090909091
002936.XSHE,bank_indicator,99,33,66,0.3333333333333333
002936.XSHE,cash_flow,660,60,600,0.09090909090909091
002936.XSHE,income,396,36,360,0.09090909090909091
002936.XSHE,indicator,561,51,510,0.09090909090909091
002948.XSHE,balance,434,42,392,0.0967741935483871
002948.XSHE,bank_indicator,88,33,55,0.375
002948.XSHE,cash_flow,620,60,560,0.0967741935483871
002948.XSHE,income,372,36,336,0.0967741935483871
002948.XSHE,indicator,527,51,476,0.0967741935483871
002958.XSHE,balance,434,42,392,0.0967741935483871
002958.XSHE,bank_indicator,88,33,55,0.375
002958.XSHE,cash_flow,620,60,560,0.0967741935483871
002958.XSHE,income,372,37,335,0.09946236559139784
002958.XSHE,indicator,527,51,476,0.0967741935483871
002966.XSHE,balance,406,42,364,0.10344827586206896
002966.XSHE,bank_indicator,88,33,55,0.375
002966.XSHE,cash_flow,580,60,520,0.10344827586206896
002966.XSHE,income,348,36,312,0.10344827586206896
002966.XSHE,indicator,493,51,442,0.10344827586206896
600000.XSHG,balance,728,42,686,0.057692307692307696
600000.XSHG,bank_indicator,143,33,110,0.23076923076923078
600000.XSHG,cash_flow,1040,62,978,0.05961538461538462
600000.XSHG,income,624,36,588,0.057692307692307696
600000.XSHG,indicator,884,53,831,0.05995475113122172
600015.XSHG,balance,728,42,686,0.057692307692307696
600015.XSHG,bank_indicator,143,33,110,0.23076923076923078
600015.XSHG,cash_flow,1040,60,980,0.057692307692307696
