code,report_period_end,period_key,pub_date,balance__capital_reserve_fund,balance__cash_equivalents,balance__deferred_tax_assets,balance__equities_parent_company_owners,balance__lend_capital,balance__ordinary_risk_reserve_fund,balance__paidin_capital,balance__retained_profit,balance__salaries_payable,balance__surplus_reserve_fund,balance__taxs_payable,balance__total_assets,balance__total_liability,balance__total_owner_equities,bank_indicator__Nonperforming_loan_rate,bank_indicator__capital_adequacy_ratio,bank_indicator__core_level_capital_adequacy_ratio,bank_indicator__cost_to_income_ratio,bank_indicator__deposit_loan_ratio,bank_indicator__net_interest_margin,bank_indicator__non_interest_income_ratio,bank_indicator__non_performing_loan_provision_coverage,bank_indicator__total_deposit,bank_indicator__total_loan,bank_indicator__weighted_risky_asset,cash_flow__cash_and_equivalents_at_end,cash_flow__cash_equivalent_increase,cash_flow__cash_equivalents_at_beginning,cash_flow__exchange_rate_change_effect,cash_flow__fix_intan_other_asset_acqui_cash,cash_flow__interest_and_commission_cashin,cash_flow__invest_cash_paid,cash_flow__invest_proceeds,cash_flow__invest_withdrawal_cash,cash_flow__net_finance_cash_flow,cash_flow__net_invest_cash_flow,cash_flow__net_loan_and_advance_increase,cash_flow__net_operate_cash_flow,cash_flow__staff_behalf_paid,cash_flow__subtotal_finance_cash_outflow,cash_flow__subtotal_invest_cash_inflow,cash_flow__subtotal_invest_cash_outflow,cash_flow__subtotal_operate_cash_inflow,cash_flow__subtotal_operate_cash_outflow,cash_flow__tax_payments,income__commission_expense,income__commission_income,income__income_tax_expense,income__interest_expense,income__interest_income,income__investment_income,income__minority_profit,income__net_profit,income__np_parent_company_owners,income__operating_profit,income__operating_revenue,income__total_profit,indicator__adjusted_profit,indicator__eps,indicator__expense_to_total_revenue,indicator__inc_net_profit_annual,indicator__inc_net_profit_to_shareholders_annual,indicator__inc_operation_profit_annual,indicator__inc_return,indicator__inc_revenue_annual,indicator__inc_total_revenue_annual,indicator__net_profit_margin,indicator__net_profit_to_total_revenue,indicator__ocf_to_revenue,indicator__operating_profit,indicator__operation_profit_to_total_revenue,indicator__roa,indicator__roe,indicator__value_change_profit
000001.XSHE,2014-03-31,2014q1,2014-04-24,51899000000.0,343931000000.0,3912000000.0,117300000000.0,47292000000.0,16509000000.0,9521000000.0,35017000000.0,4482000000.0,4354000000.0,4409000000.0,2097102000000.0,1979802000000.0,117300000000.0,,,,,,,,,,,,259026000000.0,77922000000.0,181104000000.0,767000000.0,1231000000.0,24808000000.0,109355000000.0,6053000000.0,112591000000.0,9000000000.0,8058000000.0,44288000000.0,60097000000.0,4932000000.0,,118644000000.0,110586000000.0,242068000000.0,181971000000.0,2279000000.0,672000000.0,3879000000.0,1643000000.0,16354000000.0,27904000000.0,2185000000.0,,5054000000.0,5054000000.0,6712000000.0,16100000000.0,6697000000.0,5065000000.0,0.5308,45.47,42.97,42.97,44.41,4.42,8.46,8.46,31.39,31.39,373.27,7479000000.0,41.69,0.25,4.41,1300000000.0
000001.XSHE,2014-06-30,2014q2,2014-08-14,50140000000.0,355294000000.0,4786000000.0,120940000000.0,44582000000.0,16509000000.0,11425000000.0,38512000000.0,5715000000.0,4354000000.0,3765000000.0,2136475000000.0,2015535000000.0,120940000000.0,,,,,,,,,,,,-27435000000.0,-27435000000.0,0.0,46000000.0,216000000.0,27053000000.0,137720000000.0,5484000000.0,109174000000.0,2464000000.0,-23272000000.0,50221000000.0,-6673000000.0,2174000000.0,,114664000000.0,137936000000.0,65869000000.0,72542000000.0,4627000000.0,498000000.0,5062000000.0,1613000000.0,16042000000.0,29046000000.0,-12000000.0,,5018000000.0,5018000000.0,6633000000.0,18633000000.0,6631000000.0,5020000000.0,0.4392,45.16,-0.71,-0.71,-1.18,4.21,15.73,15.73,26.93,26.93,-35.81,9197000000.0,35.6,0.24,4.21,1021000000.0
000001.XSHE,2014-09-30,2014q3,2014-10-24,52270000000.0,377360000000.0,6154000000.0,126736000000.0,48567000000.0,16509000000.0,11425000000.0,44134000000.0,6983000000.0,4354000000.0,5524000000.0,2144358000000.0,2017622000000.0,126736000000.0,,,,,,,,,,,,-48732000000.0,-48732000000.0,0.0,-521000000.0,708000000.0,28036000000.0,156146000000.0,6636000000.0,136776000000.0,23763000000.0,-13441000000.0,57169000000.0,-58533000000.0,2517000000.0,1500000000.0,143413000000.0,156854000000.0,25666000000.0,84199000000.0,2921000000.0,506000000.0,5532000000.0,1798000000.0,16756000000.0,30620000000.0,1132000000.0,,5622000000.0,5622000000.0,7426000000.0,19918000000.0,7420000000.0,5626000000.0,0.49,42.39,12.04,12.04,11.96,4.54,6.9,6.9,28.23,28.23,-293.87,10517000000.0,37.28,0.26,4.54,958000000.0
000001.XSHE,2014-12-31,2014.0,2015-03-13,,,,,,,,,,,,,,,1.02,10.86,8.64,36.33,65.39,2.6,27.74,200.9,1533183000000.0,1024734000000.0,1380432000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.XSHE,2014-12-31,2014q4,2015-03-13,52270000000.0,373267000000.0,6834000000.0,130949000000.0,45841000000.0,19115000000.0,11425000000.0,43656000000.0,7961000000.0,6334000000.0,5794000000.0,2186459000000.0,2055510000000.0,130949000000.0,,,,,,,,,,,,597000000.0,597000000.0,0.0,33000000.0,1680000000.0,29308000000.0,63753000000.0,6178000000.0,33427000000.0,-4038000000.0,-25828000000.0,34905000000.0,30430000000.0,2552000000.0,14300000000.0,39605000000.0,65433000000.0,107273000000.0,76843000000.0,3164000000.0,652000000.0,5233000000.0,1338000000.0,17004000000.0,31632000000.0,-137000000.0,,4108000000.0,4108000000.0,5475000000.0,18756000000.0,5446000000.0,4130000000.0,0.3596,122.53,-26.93,-26.93,-26.27,3.21,-5.83,-5.83,21.9,21.9,162.24,-3717000000.0,29.19,0.19,3.19,-509000000.0
000001.XSHE,2015-03-31,2015q1,2015-04-24,52270000000.0,334273000000.0,7484000000.0,136704000000.0,46360000000.0,19115000000.0,11425000000.0,49285000000.0,6584000000.0,6334000000.0,7212000000.0,2304775000000.0,2168071000000.0,136704000000.0,,,,,,,,,,,,207038000000.0,23582000000.0,183456000000.0,-198000000.0,1251000000.0,31341000000.0,150547000000.0,6843000000.0,122185000000.0,35055000000.0,-22770000000.0,102500000000.0,11495000000.0,5135000000.0,20662000000.0,129028000000.0,151798000000.0,167092000000.0,155597000000.0,2669000000.0,580000000.0,5967000000.0,1808000000.0,17320000000.0,32464000000.0,464000000.0,,5629000000.0,5629000000.0,7447000000.0,20671000000.0,7437000000.0,5637000000.0,0.4927,63.97,37.03,37.03,36.02,4.21,10.21,10.21,27.23,27.23,55.61,7339000000.0,36.03,0.25,4.21,108000000.0
000001.XSHE,2015-06-30,2015q2,2015-08-14,59326000000.0,361762000000.0,9308000000.0,150880000000.0,69267000000.0,17658000000.0,14309000000.0,53253000000.0,8896000000.0,6334000000.0,7293000000.0,2570508000000.0,2419628000000.0,150880000000.0,,,,,,,,,,,,180547000000.0,180547000000.0,0.0,28000000.0,441000000.0,34617000000.0,166331000000.0,7632000000.0,131997000000.0,36635000000.0,-27143000000.0,67459000000.0,171027000000.0,2299000000.0,41067000000.0,139629000000.0,166772000000.0,280342000000.0,109315000000.0,5519000000.0,659000000.0,8994000000.0,1866000000.0,17426000000.0,33400000000.0,1640000000.0,,5956000000.0,5956000000.0,7820000000.0,25904000000.0,7822000000.0,5954000000.0,0.4162,69.81,5.81,5.81,5.01,4.14,25.32,25.32,22.99,22.99,660.23,6254000000.0,30.19,0.24,4.14,1566000000.0
000001.XSHE,2015-09-30,2015q3,2015-10-23,59326000000.0,405186000000.0,9367000000.0,157136000000.0,104189000000.0,17760000000.0,14309000000.0,59407000000.0,10520000000.0,6334000000.0,7393000000.0,2599060000000.0,2441924000000.0,157136000000.0,,,,,,,,,,,,12275000000.0,12275000000.0,0.0,893000000.0,752000000.0,32835000000.0,313988000000.0,6569000000.0,323323000000.0,86767000000.0,15152000000.0,30825000000.0,-90537000000.0,2461000000.0,47850000000.0,329892000000.0,314740000000.0,-23555000000.0,66982000000.0,3549000000.0,682000000.0,7183000000.0,1872000000.0,16273000000.0,33361000000.0,977000000.0,,6155000000.0,6155000000.0,8038000000.0,24577000000.0,8027000000.0,6163000000.0,0.43,38.76,3.34,3.34,2.79,4.0,-5.12,-5.12,25.04,25.04,-368.38,7105000000.0,32.71,0.24,4.0,933000000.0
000001.XSHE,2015-12-31,2015.0,2016-03-10,,,,,,,,,,,,,,,1.45,10.94,9.03,31.31,69.01,2.81,31.26,165.86,1733921000000.0,1216138000000.0,1661747000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
000001.XSHE,2015-12-31,2015q4,2016-03-10,59326000000.0,400761000000.0,8728000000.0,161500000000.0,76636000000.0,26411000000.0,14309000000.0,52933000000.0,10351000000.0,8521000000.0,6571000000.0,2507149000000.0,2345649000000.0,161500000000.0,,,,,,,,,,,,-138519000000.0,-138519000000.0,0.0,1037000000.0,1090000000.0,32056000000.0,221334000000.0,5544000000.0,155415000000.0,15720000000.0,-61465000000.0,15471000000.0,-93811000000.0,2976000000.0,96980000000.0,160959000000.0,222424000000.0,-62135000000.0,31676000000.0,3369000000.0,819000000.0,7041000000.0,1435000000.0,14531000000.0,32424000000.0,843000000.0,,4125000000.0,4125000000.0,5590000000.0,25011000000.0,5560000000.0,4148000000.0,0.2883,77.65,-32.98,-32.98,-30.46,2.6,1.77,1.77,16.49,16.49,-375.08,4739000000.0,22.35,0.16,2.59,851000000.0
000001.XSHE,2016-03-31,2016q1,2016-04-21,59326000000.0,477015000000.0,9732000000.0,187569000000.0,87212000000.0,46394000000.0,14309000000.0,59019000000.0,8374000000.0,8521000000.0,8752000000.0,2681155000000.0,2493586000000.0,187569000000.0,,,,,,,,,,,,277537000000.0,16196000000.0,261341000000.0,-171000000.0,236000000.0,32860000000.0,511273000000.0,7219000000.0,409509000000.0,51880000000.0,-94781000000.0,53973000000.0,59268000000.0,5904000000.0,135540000000.0,416728000000.0,511509000000.0,159508000000.0,100240000000.0,2689000000.0,795000000.0,8896000000.0,1943000000.0,13961000000.0,32359000000.0,824000000.0,,6086000000.0,6086000000.0,8014000000.0,27532000000.0,8029000000.0,6075000000.0,0.4253,70.89,47.54,47.54,43.36,3.48,10.08,10.08,22.11,22.11,215.27,7052000000.0,29.11,0.23,3.49,962000000.0
