combo_name,window_name,rebalance_date,bucket,avg_return
combo__equal_weight,train,2015-04-28,1,-0.0229309182
combo__equal_weight,train,2015-04-28,2,-0.0157894737
combo__equal_weight,train,2015-04-28,3,-0.0195419122
combo__equal_weight,train,2015-04-28,4,-0.0178571429
combo__equal_weight,train,2015-04-28,5,-0.016748366
combo__equal_weight,train,2015-04-30,1,-0.001721986
combo__equal_weight,train,2015-04-30,2,-0.001772798
combo__equal_weight,train,2015-04-30,3,-0.0021511196
combo__equal_weight,train,2015-04-30,4,0.0002768292
combo__equal_weight,train,2015-04-30,5,-0.0010640069
combo__equal_weight,train,2015-08-31,1,0.0014523971
combo__equal_weight,train,2015-08-31,2,0.0002329004
combo__equal_weight,train,2015-08-31,3,-0.0011161501
combo__equal_weight,train,2015-08-31,4,0.0005565961
combo__equal_weight,train,2015-08-31,5,-6.06562e-05
combo__equal_weight,train,2016-04-28,1,0.0010499984
combo__equal_weight,train,2016-04-28,2,0.0002760009
combo__equal_weight,train,2016-04-28,3,0.0012904352
combo__equal_weight,train,2016-04-28,4,0.0013803946
combo__equal_weight,train,2016-04-28,5,0.0014978442
combo__equal_weight,train,2016-08-31,1,-0.0005801995
combo__equal_weight,train,2016-08-31,2,0.0004719371
combo__equal_weight,train,2016-08-31,3,0.0001300966
combo__equal_weight,train,2016-08-31,4,-0.0011569304
combo__equal_weight,train,2016-08-31,5,-0.0002644173
combo__equal_weight,train,2016-10-31,1,0.0003776186
combo__equal_weight,train,2016-10-31,2,0.0009503395
combo__equal_weight,train,2016-10-31,3,0.0009970313
combo__equal_weight,train,2016-10-31,4,0.0014840305
combo__equal_weight,train,2016-10-31,5,0.0013648937
combo__equal_weight,train,2017-08-31,1,-0.000740448
combo__equal_weight,train,2017-08-31,2,-0.0015756129
combo__equal_weight,train,2017-08-31,3,-0.0001005492
combo__equal_weight,train,2017-08-31,4,-0.0004976426
combo__equal_weight,train,2017-08-31,5,-0.0003746513
combo__equal_weight,train,2017-10-31,1,-0.0009729292
combo__equal_weight,train,2017-10-31,2,-8.53775e-05
combo__equal_weight,train,2017-10-31,3,5.84622e-05
combo__equal_weight,train,2017-10-31,4,-6.58177e-05
combo__equal_weight,train,2017-10-31,5,0.0002827971
combo__equal_weight,train,2018-08-31,1,0.0016128354
combo__equal_weight,train,2018-08-31,2,0.0013434294
combo__equal_weight,train,2018-08-31,3,0.001687927
combo__equal_weight,train,2018-08-31,4,0.0007624145
combo__equal_weight,train,2018-08-31,5,0.0016070046
combo__equal_weight,train,2018-10-31,1,0.0009363967
combo__equal_weight,train,2018-10-31,2,0.0010026909
combo__equal_weight,train,2018-10-31,3,0.0005518598
combo__equal_weight,train,2018-10-31,4,0.0012696524
combo__equal_weight,train,2018-10-31,5,0.0014414485
combo__equal_weight,train,2019-04-30,1,0.0003955576
combo__equal_weight,train,2019-04-30,2,0.0004604751
combo__equal_weight,train,2019-04-30,3,-0.0003646353
combo__equal_weight,train,2019-04-30,4,0.0002263097
combo__equal_weight,train,2019-04-30,5,0.0009578755
combo__equal_weight,validation,2019-10-31,1,-0.0011704057
combo__equal_weight,validation,2019-10-31,2,-0.0012414325
combo__equal_weight,validation,2019-10-31,3,-0.0009942905
combo__equal_weight,validation,2019-10-31,4,-0.0012564056
combo__equal_weight,validation,2019-10-31,5,-0.0009267243
combo__equal_weight,validation,2020-04-30,1,0.001344816
combo__equal_weight,validation,2020-04-30,2,0.0008864398
combo__equal_weight,validation,2020-04-30,3,0.0005483111
combo__equal_weight,validation,2020-04-30,4,0.0007593921
combo__equal_weight,validation,2020-04-30,5,0.0019227869
combo__equal_weight,validation,2020-08-31,1,-0.0002755217
combo__equal_weight,validation,2020-08-31,2,0.0002662155
combo__equal_weight,validation,2020-08-31,3,0.0003127807
combo__equal_weight,validation,2020-08-31,4,-6.8348e-06
combo__equal_weight,validation,2020-08-31,5,0.0014583629
combo__equal_weight,validation,2021-04-30,1,-0.0011580062
combo__equal_weight,validation,2021-04-30,2,-0.0011084301
combo__equal_weight,validation,2021-04-30,3,-0.0007131033
combo__equal_weight,validation,2021-04-30,4,-0.0003666935
combo__equal_weight,validation,2021-04-30,5,-0.0007326542
combo__ic_weight,train,2015-04-28,1,-0.0229309182
combo__ic_weight,train,2015-04-28,2,-0.0157894737
combo__ic_weight,train,2015-04-28,3,-0.0195419122
combo__ic_weight,train,2015-04-28,4,-0.0178571429
combo__ic_weight,train,2015-04-28,5,-0.016748366
combo__ic_weight,train,2015-04-30,1,-0.001721986
combo__ic_weight,train,2015-04-30,2,-0.001772798
combo__ic_weight,train,2015-04-30,3,-0.0021511196
