rebalance_date,quarter_key,code,active_quarter_key,avg_traded_amount_lookback,avg_traded_volume_lookback,market_cap,circulating_market_cap,y_quarter_avg_daily_return_close,y_quarter_end_date,y_year_avg_daily_return_close,y_year_end_date,derived__log_total_assets,derived__staff_cash_to_operating_revenue,derived__investment_income_to_operating_revenue
2014-05-05,2014q1,600000.XSHG,2014q1,1603066598.400000,367057354.650000,1816.8481,1453.4785,0.0006259282,2014-09-01,0.0030109697,2015-05-04,28.9502404083,0.1435765524,-0.0125353235
2014-05-05,2014q1,600015.XSHG,2014q1,326432299.200000,92526634.100000,747.9901,544.9657,0.0007844566,2014-09-01,0.0032062352,2015-05-04,28.1815632914,0.1952373185,0.0171260806
2014-05-05,2014q1,600016.XSHG,2014q1,832614625.600000,256569018.500000,2201.2235,1752.852,-0.0001640026,2014-09-01,0.0024651978,2015-05-04,28.8195103663,0.1647081426,0.0309308059
2014-05-05,2014q1,600036.XSHG,2014q1,553017172.000000,90815115.850000,2506.8527,2050.5171,0.0015975660,2014-09-01,0.0030456304,2015-05-04,29.1136589864,0.1355484329,0.0464877297
2014-05-05,2014q1,601166.XSHG,2014q1,1269949360.000000,229800382.900000,1909.0441,1621.1976,0.0010823557,2014-09-01,0.0031654913,2015-05-04,28.9642166062,0.1814558422,-0.0024473813
2014-05-05,2014q1,601288.XSHG,2014q1,207189742.800000,170609754.050000,7762.5794,6791.5083,0.0010987309,2014-09-01,0.0025894146,2015-05-04,30.3603183908,0.2429316679,-0.0156502572
2014-05-05,2014q1,601328.XSHG,2014q1,274879361.200000,143732043.850000,2755.1472,1213.5059,0.0024024120,2014-09-01,0.0031638020,2015-05-04,29.4193346548,0.2065820068,-0.0513995707
2014-05-05,2014q1,601398.XSHG,2014q1,162545743.200000,90978753.150000,12017.528,9049.1717,0.0012096787,2014-09-01,0.0023826105,2015-05-04,30.6133987621,0.1797974581,0.0026501387
2014-05-05,2014q1,601818.XSHG,2014q1,237580835.600000,179119651.150000,1134.302,967.3917,0.0019726217,2014-09-01,0.0039757499,2015-05-04,28.5781133727,0.2443280004,-0.0028429678
2014-05-05,2014q1,601939.XSHG,2014q1,103075189.800000,49384581.000000,9875.4336,378.9495,0.0011478376,2014-09-01,0.0028865347,2015-05-04,30.4124114897,0.1443220609,0.0057278200
2014-05-05,2014q1,601998.XSHG,2014q1,266931067.600000,97869263.350000,2208.3618,1505.9237,-0.0001751155,2014-09-01,0.0027537916,2015-05-04,29.0126832649,0.2491610738,0.0320805369
2014-09-01,2014q2,600000.XSHG,2014q2,944162920.000000,207945617.350000,1770.2144,1416.1715,0.0015883744,2014-11-03,0.0025618261,2015-09-01,28.9997157566,0.0997741802,-0.0088419580
2014-09-01,2014q2,600016.XSHG,2014q2,670554678.400000,209904992.150000,2127.4765,1694.1278,0.0002139012,2014-11-03,0.0018779557,2015-09-01,28.9039930717,0.1194170748,0.0269632427
2014-09-01,2014q2,600036.XSHG,2014q2,601497756.800000,86973903.350000,2658.1717,2174.2907,0.0000451329,2014-11-03,0.0024615083,2015-09-01,29.2470615834,0.1274286109,0.0535158681
2014-09-01,2014q2,601166.XSHG,2014q2,1029198404.800000,170094772.150000,1964.2959,1668.1185,0.0008033491,2014-11-03,0.0020351288,2015-09-01,29.0042808948,0.1231902876,0.0297344673
2014-09-01,2014q2,601169.XSHG,2014q2,252002054.400000,103092955.450000,777.2301,660.0219,0.0028946389,2014-11-03,0.0020685256,2015-09-01,28.0200898688,0.0888001639,-0.0004020420
2014-09-01,2014q2,601288.XSHG,2014q2,266240318.400000,198275634.450000,7924.9765,6933.5901,0.0008134791,2014-11-03,0.0015794572,2015-09-01,30.4040230028,0.1760370782,0.0033477611
2014-09-01,2014q2,601328.XSHG,2014q2,531536654.400000,226480931.100000,3119.0345,1373.7802,0.0001599691,2014-11-03,0.0025161273,2015-09-01,29.4690176517,0.0893752052,-0.0019914651
2014-09-01,2014q2,601398.XSHG,2014q2,238141524.000000,121988018.000000,12228.8914,9208.4586,0.0008266709,2014-11-03,0.0014994277,2015-09-01,30.6418231186,0.1447174773,0.0084201892
2014-09-01,2014q2,601818.XSHG,2014q2,328922906.400000,212661403.500000,1236.996,1054.9745,0.0024572189,2014-11-03,0.0026473326,2015-09-01,28.6129415234,0.1188463706,-0.0032272937
2014-09-01,2014q2,601998.XSHG,2014q2,172850588.000000,65245435.950000,2007.1763,1368.7315,0.0031036052,2014-11-03,0.0021794905,2015-09-01,29.0922343882,0.1162322788,0.0412926391
2014-11-03,2014q3,600000.XSHG,2014q3,1486228694.400000,320966410.450000,1895.1927,1516.1542,0.0055579121,2015-04-29,0.0027578135,2015-11-02,29.0064168017,0.1046534331,0.0124959323
2014-11-03,2014q3,600016.XSHG,2014q3,949693819.200000,302358034.200000,2168.326,1726.657,0.0050143249,2015-04-29,0.0017636957,2015-11-02,28.9579213010,0.1530744244,0.0014948113
