rebalance_date,quarter_key,code,active_quarter_key,effective_data_flag,rebalance_stock_pool_flag,liquidity_top_80_flag,market_cap_top_80_flag,avg_traded_amount_lookback,avg_traded_volume_lookback,market_cap,circulating_market_cap,y_quarter_avg_daily_return_close,y_quarter_end_date,y_year_avg_daily_return_close,y_year_end_date,income__operating_revenue,income__interest_income,income__interest_expense,income__commission_income,income__commission_expense,income__investment_income,income__operating_profit,income__total_profit,income__income_tax_expense,income__net_profit,income__np_parent_company_owners,income__minority_profit,cash_flow__cash_and_equivalents_at_end,cash_flow__cash_equivalent_increase,cash_flow__cash_equivalents_at_beginning,cash_flow__invest_cash_paid,cash_flow__net_invest_cash_flow,cash_flow__net_operate_cash_flow,cash_flow__staff_behalf_paid,cash_flow__subtotal_invest_cash_inflow,cash_flow__subtotal_invest_cash_outflow,cash_flow__subtotal_operate_cash_inflow,cash_flow__subtotal_operate_cash_outflow,cash_flow__net_finance_cash_flow,cash_flow__interest_and_commission_cashin,cash_flow__invest_withdrawal_cash,cash_flow__subtotal_finance_cash_outflow,cash_flow__fix_intan_other_asset_acqui_cash,cash_flow__net_loan_and_advance_increase,cash_flow__tax_payments,cash_flow__invest_proceeds,cash_flow__exchange_rate_change_effect,indicator__eps,indicator__adjusted_profit,indicator__operating_profit,indicator__value_change_profit,indicator__roe,indicator__inc_return,indicator__roa,indicator__net_profit_margin,indicator__expense_to_total_revenue,indicator__operation_profit_to_total_revenue,indicator__net_profit_to_total_revenue,indicator__ocf_to_revenue,indicator__inc_total_revenue_annual,indicator__inc_revenue_annual,indicator__inc_operation_profit_annual,indicator__inc_net_profit_annual,indicator__inc_net_profit_to_shareholders_annual,balance__cash_equivalents,balance__deferred_tax_assets,balance__lend_capital,balance__paidin_capital,balance__retained_profit,balance__total_assets,balance__total_liability,balance__total_owner_equities,balance__capital_reserve_fund,balance__equities_parent_company_owners,balance__ordinary_risk_reserve_fund,balance__surplus_reserve_fund,balance__taxs_payable,balance__salaries_payable,bank_indicator__Nonperforming_loan_rate,bank_indicator__Nonperforming_loan_rate__source_year,bank_indicator__capital_adequacy_ratio,bank_indicator__capital_adequacy_ratio__source_year,bank_indicator__core_level_capital_adequacy_ratio,bank_indicator__core_level_capital_adequacy_ratio__source_year,bank_indicator__cost_to_income_ratio,bank_indicator__cost_to_income_ratio__source_year,bank_indicator__deposit_loan_ratio,bank_indicator__deposit_loan_ratio__source_year,bank_indicator__net_interest_margin,bank_indicator__net_interest_margin__source_year,bank_indicator__non_interest_income_ratio,bank_indicator__non_interest_income_ratio__source_year,bank_indicator__non_performing_loan_provision_coverage,bank_indicator__non_performing_loan_provision_coverage__source_year,bank_indicator__total_deposit,bank_indicator__total_deposit__source_year,bank_indicator__total_loan,bank_indicator__total_loan__source_year,bank_indicator__weighted_risky_asset,bank_indicator__weighted_risky_asset__source_year,derived__log_total_assets,derived__staff_cash_to_operating_revenue,derived__investment_income_to_operating_revenue
2015-04-28,2014q4,600000.XSHG,2014q4,1,1,1,1,7678992384.000000,936376710.100000,3413.5853,2730.8682,-0.0240549828,2015-04-30,0.0004425429,2016-08-31,33408000000.0,56086000000.0,29411000000.0,6037000000.0,338000000.0,-22000000.0,16017000000.0,16171000000.0,3978000000.0,12193000000.0,12227000000.0,-34000000.0,23030000000.0,23030000000.0,0.0,79595000000.0,-172241000000.0,141089000000.0,7567000000.0,-90093000000.0,82148000000.0,256580000000.0,115491000000.0,53628000000.0,43390000000.0,-88457000000.0,13468000000.0,2553000000.0,60423000000.0,4263000000.0,-1637000000.0,554000000.0,0.6555,12108000000.0,15164000000.0,504000000.0,4.98,4.93,0.3,36.5,52.06,47.94,36.5,422.32,8.71,8.71,0.25,-0.87,0.69,648354000000.0,10692000000.0,21969000000.0,18653000000.0,78157000000.0,4195924000000.0,3932639000000.0,263285000000.0,60639000000.0,260169000000.0,36858000000.0,64607000000.0,12066000000.0,5696000000.0,1.06,2014,11.33,2014,8.61,2014,23.12,2014,71.99,2014,2.5,2014,20.29,2014,249.09,2014,2724004000000.0,2014,2028380000000.0,2014,2868897000000.0,2014,29.0651346938,0.2265026341,-0.0006585249
2015-04-28,2014q4,600015.XSHG,2014q4,1,0,0,0,3085992576.000000,470049498.850000,1516.4608,1104.8531,-0.0357634113,2015-04-30,-0.0003990938,2016-08-31,14066000000.0,24180000000.0,12187000000.0,2291000000.0,420000000.0,133000000.0,6391000000.0,6384000000.0,1576000000.0,4808000000.0,4804000000.0,4000000.0,57291000000.0,57291000000.0,0.0,36636000000.0,-4081000000.0,57952000000.0,2499000000.0,32159000000.0,36240000000.0,69575000000.0,11623000000.0,3398000000.0,10872000000.0,15622000000.0,1119000000.0,-396000000.0,34235000000.0,2702000000.0,16509000000.0,22000000.0,0.5395,4816000000.0,5996000000.0,198000000.0,4.86,4.87,0.26,34.18,54.56,45.44,34.18,412.0,-2.6,-2.6,6.53,6.25,6.59,354914000000.0,4419000000.0,19108000000.0,8905000000.0,38695000000.0,1851628000000.0,1749529000000.0,102099000000.0,30543000000.0,101458000000.0,17100000000.0,6134000000.0,4077000000.0,6733000000.0,1.09,2014,11.03,2014,8.49,2014,37.37,2014,68.52,2014,2.69,2014,15.7493,2014,233.13,2014,1303216000000.0,2014,939989000000.0,2014,1201101000000.0,2014,28.2470863680,0.1776624485,0.0094554244
2015-04-28,2014q4,600036.XSHG,2014q4,1,1,1,1,6340506487.466666,562561917.000000,4630.3637,3787.4742,-0.0135363790,2015-04-30,0.0004894522,2016-08-31,40836000000.0,57489000000.0,27756000000.0,11743000000.0,1293000000.0,198000000.0,12895000000.0,13059000000.0,2929000000.0,10130000000.0,10107000000.0,23000000.0,115875000000.0,115875000000.0,0.0,241820000000.0,-6748000000.0,121003000000.0,13034000000.0,240227000000.0,246975000000.0,77663000000.0,-43340000000.0,6665000000.0,40018000000.0,228297000000.0,5156000000.0,5155000000.0,73556000000.0,,10653000000.0,-5045000000.0,0.4008,9966000000.0,12403000000.0,492000000.0,3.28,3.23,0.21,24.81,68.42,31.58,24.81,296.31,0.17,0.17,-35.07,-34.22,-34.13,710771000000.0,10291000000.0,124085000000.0,25220000000.0,138562000000.0,4731829000000.0,4416769000000.0,315060000000.0,67523000000.0,314404000000.0,53979000000.0,28690000000.0,11656000000.0,6068000000.0,1.11,2014,12.38,2014,10.44,2014,30.54,2014,70.49,2014,2.64,2014,32.47,2014,233.42,2014,3304438000000.0,2014,2513919000000.0,2014,2893732000000.0,2014,29.1853329245,0.3191791556,0.0048486629
2015-04-28,2014q4,601288.XSHG,2014q4,1,1,1,1,6330770419.200000,3041946460.550000,13349.0382,11679.121,-0.0138888889,2015-04-30,-0.0002039243,2016-08-31,126892000000.0,181920000000.0,69822000000.0,17630000000.0,3427000000.0,2147000000.0,34706000000.0,34986000000.0,7981000000.0,27005000000.0,27022000000.0,-17000000.0,30356000000.0,30356000000.0,0.0,267439000000.0,31855000000.0,-30983000000.0,34535000000.0,311440000000.0,279585000000.0,146707000000.0,177690000000.0,30240000000.0,160865000000.0,275363000000.0,74932000000.0,12146000000.0,106134000000.0,20640000000.0,33866000000.0,-756000000.0,0.0832,27390000000.0,30084000000.0,1208000000.0,2.72,2.76,0.17,21.28,72.65,27.35,21.28,-24.42,-0.34,-0.34,-43.7,-44.25,-44.18,3315870000000.0,78640000000.0,407062000000.0,324794000000.0,329989000000.0,15974152000000.0,14941533000000.0,1032619000000.0,98773000000.0,1031066000000.0,156707000000.0,78594000000.0,48873000000.0,40511000000.0,1.54,2014,12.82,2014,9.09,2014,34.56,2014,64.61,2014,2.92,2014,17.4648,2014,286.53,2014,12533397000000.0,2014,8098067000000.0,2014,10852619000000.0,2014,30.4019930318,0.2721605775,0.0169199004
2015-04-28,2014q4,601328.XSHG,2014q4,1,1,1,1,4125573132.800000,1121818162.100000,5302.3587,2335.4264,-0.0157894737,2015-04-30,0.0000124931,2016-08-31,42232000000.0,71660000000.0,39264000000.0,7517000000.0,897000000.0,-894000000.0,17323000000.0,17912000000.0,3571000000.0,14341000000.0,14328000000.0,13000000.0,35600000000.0,35600000000.0,0.0,243020000000.0,-35928000000.0,56961000000.0,5970000000.0,215082000000.0,251010000000.0,97891000000.0,40930000000.0,15341000000.0,79235000000.0,215998000000.0,25945000000.0,7990000000.0,-38624000000.0,7370000000.0,-774000000.0,-774000000.0,0.1929,13995000000.0,14702000000.0,1883000000.0,3.09,3.02,0.23,33.96,58.98,41.02,33.96,134.88,-5.62,-5.62,-12.07,-3.09,-2.85,1112316000000.0,16077000000.0,172318000000.0,74263000000.0,71825000000.0,6268299000000.0,5794694000000.0,473605000000.0,113496000000.0,471055000000.0,71549000000.0,142764000000.0,11190000000.0,6163000000.0,1.25,2014,14.04,2014,11.3,2014,30.29,2014,74.07,2014,2.36,2014,24.0275,2014,178.88,2014,4029668000000.0,2014,3431735000000.0,2014,4164477000000.0,2014,29.4665261419,0.1413620004,-0.0211687820
2015-04-28,2014q4,601398.XSHG,2014q4,1,1,1,1,4849148876.800000,1670941736.850000,20101.3129,15206.1288,-0.0196078431,2015-04-30,-0.0001331631,2016-08-31,170303000000.0,222228000000.0,91640000000.0,36080000000.0,4468000000.0,1853000000.0,72107000000.0,73381000000.0,17950000000.0,55431000000.0,55347000000.0,84000000.0,171945000000.0,171945000000.0,0.0,275115000000.0,-13909000000.0,124768000000.0,29985000000.0,286562000000.0,300471000000.0,643890000000.0,519122000000.0,56490000000.0,255579000000.0,284449000000.0,15323000000.0,20003000000.0,172906000000.0,25981000000.0,71000000.0,4596000000.0,0.1575,54419000000.0,72107000000.0,3035000000.0,3.74,3.68,0.27,32.55,57.66,42.34,32.55,73.26,6.33,6.33,-23.29,-23.52,-23.52,3827895000000.0,24758000000.0,478503000000.0,353495000000.0,650236000000.0,20609953000000.0,19072649000000.0,1537304000000.0,144874000000.0,1530859000000.0,221622000000.0,150752000000.0,72278000000.0,28148000000.0,1.13,2014,14.53,2014,11.92,2014,26.75,2014,68.4,2014,2.66,2014,25.0982,2014,206.9,2014,15556601000000.0,2014,11026331000000.0,2014,12475939000000.0,2014,30.6567952304,0.1760685367,0.0108806069
2015-04-28,2014q4,601818.XSHG,2014q4,1,1,1,1,4748508352.000000,1603060701.400000,2688.7159,2293.0767,-0.0218068536,2015-04-30,-0.0005431519,2016-08-31,20601000000.0,33823000000.0,19033000000.0,6054000000.0,340000000.0,-38000000.0,7801000000.0,7877000000.0,2312000000.0,5565000000.0,5561000000.0,4000000.0,-27460000000.0,-27460000000.0,0.0,52453000000.0,-13031000000.0,-39325000000.0,3013000000.0,40540000000.0,53571000000.0,133721000000.0,173046000000.0,24749000000.0,43006000000.0,40452000000.0,263000000.0,1118000000.0,30110000000.0,3679000000.0,-3000000.0,147000000.0,0.1191,5510000000.0,7705000000.0,65000000.0,3.16,3.13,0.21,27.01,62.13,37.87,27.01,-190.89,0.64,0.64,-21.23,-25.71,-25.63,394501000000.0,3034000000.0,132733000000.0,46679000000.0,52756000000.0,2737010000000.0,2557527000000.0,179483000000.0,33365000000.0,178975000000.0,33903000000.0,12050000000.0,3829000000.0,9668000000.0,1.19,2014,11.21,2014,9.34,2014,29.82,2014,70.1,2014,2.3,2014,25.814,2014,180.52,2014,1785337000000.0,2014,1299455000000.0,2014,1898231000000.0,2014,28.6378871996,0.1462550362,-0.0018445707
2015-04-28,2014q4,601939.XSHG,2014q4,1,1,1,1,3245695801.600000,864684077.400000,17850.7838,684.9872,-0.0178571429,2015-04-30,-0.0002948728,2016-08-31,141427000000.0,192114000000.0,77953000000.0,25784000000.0,1068000000.0,2284000000.0,53439000000.0,53853000000.0,16291000000.0,37562000000.0,37532000000.0,30000000.0,-265145000000.0,-265145000000.0,0.0,191075000000.0,-126984000000.0,-146976000000.0,28254000000.0,82847000000.0,209831000000.0,108541000000.0,255517000000.0,8388000000.0,219250000000.0,81740000000.0,5395000000.0,18541000000.0,143398000000.0,21246000000.0,0.0,427000000.0,0.1501,37094000000.0,53439000000.0,1207000000.0,3.08,3.04,0.22,26.56,62.21,37.79,26.56,-103.92,-0.37,-0.37,-29.0,-37.1,-37.06,2877242000000.0,39436000000.0,248525000000.0,250011000000.0,558705000000.0,16744130000000.0,15491767000000.0,1252363000000.0,135118000000.0,1242179000000.0,169496000000.0,130515000000.0,62644000000.0,34535000000.0,1.19,2014,14.86,2014,12.11,2014,28.85,2014,73.4534,2014,2.8,2014,23.3267,2014,222.33,2014,12898675000000.0,2014,9474510000000.0,2014,10203754000000.0,2014,30.4490688650,0.1997779773,0.0161496744
2015-04-28,2014q4,601988.XSHG,2014q4,1,1,1,1,8527430694.400000,3329922156.900000,14896.0222,10664.7351,-0.0255474453,2015-04-30,-0.0005482175,2016-08-31,109997000000.0,153335000000.0,71008000000.0,21195000000.0,2033000000.0,166000000.0,52954000000.0,53143000000.0,12743000000.0,40400000000.0,38462000000.0,1938000000.0,-361447000000.0,-361447000000.0,0.0,391286000000.0,-154847000000.0,-287759000000.0,17546000000.0,254236000000.0,409083000000.0,-2060000000.0,285699000000.0,90412000000.0,159489000000.0,234202000000.0,19985000000.0,17695000000.0,47227000000.0,21108000000.0,17369000000.0,-9253000000.0,0.1371,38077000000.0,52954000000.0,3053000000.0,3.58,3.55,0.26,36.73,51.86,48.14,36.73,-261.61,-1.27,-1.27,-6.34,-6.89,-7.12,3119142000000.0,25043000000.0,299111000000.0,288731000000.0,407836000000.0,15251382000000.0,14067954000000.0,1183428000000.0,130797000000.0,1140859000000.0,159341000000.0,96105000000.0,41636000000.0,30724000000.0,1.18,2014,13.87,2014,10.61,2014,28.57,2014,72.97,2014,2.25,2014,29.63,2014,187.6,2014,10885223000000.0,2014,8483275000000.0,2014,9934105000000.0,2014,30.3556912378,0.1595134413,0.0015091321
2015-04-30,2015q1,002142.XSHE,2015q1,1,1,1,1,2102188902.400000,227498798.900000,630.7917,557.5555,-0.0017727980,2015-08-31,0.0006781584,2016-10-31,4401527000.0,7621319000.0,3890977000.0,900333000.0,83045000.0,121349000.0,2175600000.0,2173870000.0,413767000.0,1760103000.0,1751657000.0,8446000.0,44893864000.0,-776153000.0,45670017000.0,86622983000.0,-15368970000.0,584343000.0,1335535000.0,71388244000.0,86757214000.0,50544826000.0,49960483000.0,14010000000.0,4975599000.0,67904933000.0,0.0,134231000.0,10497613000.0,446690000.0,3483467000.0,-1526000.0,0.539,1752955000.0,2175600000.0,-153123000.0,5.01,5.01,0.3,39.99,50.57,49.43,39.99,13.28,3.07,3.07,68.33,67.99,67.94,102041349000.0,898986000.0,3814828000.0,3249829000.0,15098880000.0,608484255000.0,572534628000.0,35949627000.0,10598362000.0,35868070000.0,4054756000.0,2531957000.0,1165979000.0,510426000.0,0.89,2014,12.4,2014,10.07,2014,32.07,2014,64.12,2014,2.51,2014,13.0371,2014,285.17,2014,306531829000.0,2014,210062182000.0,2014,337552562000.0,2014,27.1342368739,0.3034253794,0.0275697502
