id,code,pubDate,statDate,total_loan,total_deposit,interest_earning_assets,non_interest_earning_assets,interest_earning_assets_yield,interest_bearing_liabilities,non_interest_bearing_liabilities,interest_bearing_liabilities_interest_rate,non_interest_income,non_interest_income_ratio,net_interest_margin,net_profit_margin,core_level_capital,net_core_level_capital,core_level_capital_adequacy_ratio,net_level_1_capital,level_1_capital_adequacy_ratio,net_capital,capital_adequacy_ratio,weighted_risky_asset,deposit_loan_ratio,short_term_asset_liquidity_ratio_CNY,short_term_asset_liquidity_ratio_FC,Nonperforming_loan_rate,single_largest_customer_loan_ratio,top_ten_customer_loan_ratio,bad_debts_reserve,non_performing_loan_provision_coverage,cost_to_income_ratio,former_core_capital,former_net_core_capital,former_net_core_capital_adequacy_ratio,former_net_capital,former_capital_adequacy_ratio,former_weighted_risky_asset,normal_amount,normal_amount_ratio,concerned_amount,concerned_amount_ratio,secondary_amount,secondary_amount_ratio,suspicious_amount,suspicious_amount_ratio,loss_amount,loss_amount_ratio,short_term_loan_average_balance,short_term_loan_annualized_average_interest_rate,mid_term_loan_annualized_average_balance,mid_term_loan_annualized_average_interest_rate,enterprise_deposits_average_balance,enterprise_deposits_average_interest_rate,savings_deposit_average_balance,savings_deposit_average_interest_rate,requested_year
110536,000001.XSHE,2015-03-13,2014-12-31,1024734000000.0,1533183000000.0,2064595000000.0,121864000000.0,5.77,1668199000000.0,387311000000.0,3.37,20361000000.0,27.74,2.6,2.39,130949000000.0,119241000000.0,8.64,119241000000.0,8.64,149951000000.0,10.86,1380432000000.0,65.39,52.51,82.49,1.02,2.93,19.77,21097000000.0,200.9,36.33,,,9.28,,11.75,,977284000000.0,95.37,36949000000.0,3.61,4374000000.0,0.42,2146000000.0,0.21,3981000000.0,0.39,,,,,909159000000.0,2.75,221609000000.0,2.57,2014
110606,000001.XSHE,2016-03-10,2015-12-31,1216138000000.0,1733921000000.0,2439991000000.0,67158000000.0,5.5,2282197000000.0,63452000000.0,2.88,30064000000.0,31.26,2.81,2.62,161500000000.0,150070000000.0,9.03,150070000000.0,9.03,181805000000.0,10.94,1661747000000.0,69.01,52.14,103.3,1.45,3.46,20.16,29266000000.0,165.86,31.31,,,,,,,1148011000000.0,94.4,50482000000.0,4.15,7945000000.0,0.65,2141000000.0,0.18,7559000000.0,0.62,,,,,1097310000000.0,2.67,238062000000.0,2.39,2015
110511,000001.XSHE,2017-03-17,2016-12-31,1475801000000.0,1921835000000.0,2774577000000.0,178857000000.0,4.73,2572154000000.0,179109000000.0,2.13,31304000000.0,29.0619,2.75,2.6,182218000000.0,170088000000.0,8.36,190041000000.0,9.34,234387000000.0,11.53,2033715000000.0,75.21,47.62,99.04,1.74,5.19,25.78,39932000000.0,155.37,25.97,,,,,,,1389396000000.0,94.15,60703000000.0,4.11,13833000000.0,0.94,4494000000.0,0.3,7375000000.0,0.5,,,,,1293731000000.0,1.99,251530000000.0,1.62,2016
110723,000001.XSHE,2018-03-15,2017-12-31,1704230000000.0,2000420000000.0,3120038000000.0,128436000000.0,4.75,2898943000000.0,127477000000.0,2.55,31777000000.0,30.0389,2.37,2.2,,184340000000.0,8.28,204293000000.0,9.18,249227000000.0,11.2,2226112000000.0,83.58,52.57,55.41,1.7,5.2,22.79,43810000000.0,151.08,29.89,,,,,,,1612249000000.0,94.6,62984000000.0,3.7,12510000000.0,0.73,3343000000.0,0.2,13144000000.0,0.77,,,,,1610802000000.0,1.96,299054000000.0,2.08,2017
110769,000001.XSHE,2019-03-07,2018-12-31,1997529000000.0,2149142000000.0,3186151000000.0,232441000000.0,5.11,3096860000000.0,81690000000.0,2.85,41971000000.0,35.9599,2.35,2.26,,199782000000.0,8.54,219735000000.0,9.39,269115000000.0,11.5,2340236000000.0,92.38,59.23,96.4,1.75,5.13,21.45,54033000000.0,155.24,30.32,,,,,,,1908072000000.0,95.52,54552000000.0,2.73,17955000000.0,0.9,4509000000.0,0.23,12441000000.0,0.62,,,,,1657435000000.0,2.37,394832000000.0,2.61,2018
110883,000001.XSHE,2020-02-14,2019-12-31,2323205000000.0,2459768000000.0,3433756000000.0,505314000000.0,5.17,3320408000000.0,305679000000.0,2.64,47997000000.0,34.79,2.95,2.87,273035000000.0,253646000000.0,9.11,293594000000.0,10.54,368193000000.0,13.22,2784405000000.0,93.72,61.46,91.18,1.65,3.8,16.96,69560000000.0,183.12,29.61,,,,,,,2238307000000.0,96.34,46665000000.0,2.01,18891000000.0,0.81,6272000000.0,0.27,13070000000.0,0.57,,,,,1762693000000.0,2.42,512060000000.0,2.62,2019
110977,000001.XSHE,2021-02-02,2020-12-31,2666297000000.0,2695935000000.0,3944430000000.0,524084000000.0,5.1,3776287000000.0,328096000000.0,2.32,40072000000.0,35.1,2.88,2.78,294187000000.0,273791000000.0,8.69,343735000000.0,10.91,418767000000.0,13.29,3151764000000.0,98.9006,60.64,96.43,1.18,1.96,14.02,62821000000.0,201.4,29.11,,,,,,,2605204000000.0,97.71,29703000000.0,1.11,14205000000.0,0.53,5942000000.0,0.22,11243000000.0,0.43,,,,,1898373000000.0,2.17,619425000000.0,2.42,2020
111053,000001.XSHE,2022-03-10,2021-12-31,3063448000000.0,2990518000000.0,,4921380000000.0,4.95,,4525932000000.0,2.21,49047000000.0,28.96,2.79,2.74,324505000000.0,306549000000.0,8.6,376493000000.0,10.56,475844000000.0,13.34,3566465000000.0,102.4387,53.98,89.83,1.02,2.25,12.66,89256000000.0,288.42,28.3,,,,,,,2988759000000.0,97.56,43414000000.0,1.42,17971000000.0,0.59,7390000000.0,0.24,5914000000.0,0.19,,,,,2090380000000.0,1.96,699855000000.0,2.3,2021
111324,000001.XSHE,2023-03-09,2022-12-31,3329161000000.0,3352266000000.0,4738938000000.0,582576000000.0,4.83,4565745000000.0,321089000000.0,2.16,49765000000.0,27.66,2.75,2.67,361459000000.0,343409000000.0,8.64,413353000000.0,10.4,517037000000.0,13.01,3975182000000.0,99.3108,54.16,79.51,1.05,2.74,13.93,97919000000.0,290.28,27.45,,,,,,,3233708000000.0,97.13,60592000000.0,1.82,18900000000.0,0.57,9703000000.0,0.29,6258000000.0,0.19,,,,,2335115000000.0,2.0,869912000000.0,2.33,2022
112001,000001.XSHE,2024-03-15,2023-12-31,3407509000000.0,3458287000000.0,4966063000000.0,621053000000.0,4.58,4838729000000.0,276059000000.0,2.27,46708000000.0,28.36,2.38,2.31,399692000000.0,384886000000.0,9.22,454830000000.0,10.9,560773000000.0,13.43,4174044000000.0,98.5317,67.17,89.76,1.06,2.58,12.77,97353000000.0,277.63,27.9,,,,,,,3311741000000.0,97.19,59732000000.0,1.75,19133000000.0,0.56,10763000000.0,0.32,6140000000.0,0.18,,,,,2290339000000.0,2.13,1147038000000.0,2.33,2023
