id,code,statDate,pubDate,statDate.1,goods_sale_and_service_render_cash,net_deposit_increase,net_borrowing_from_central_bank,net_borrowing_from_finance_co,net_original_insurance_cash,net_cash_received_from_reinsurance_business,net_insurer_deposit_investment,net_deal_trading_assets,interest_and_commission_cashin,net_increase_in_placements,net_buyback,tax_levy_refund,other_cashin_related_operate,subtotal_operate_cash_inflow,goods_and_services_cash_paid,net_loan_and_advance_increase,net_deposit_in_cb_and_ib,original_compensation_paid,handling_charges_and_commission,policy_dividend_cash_paid,staff_behalf_paid,tax_payments,other_operate_cash_paid,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_withdrawal_cash,invest_proceeds,fix_intan_other_asset_dispo_cash,net_cash_deal_subcompany,other_cash_from_invest_act,subtotal_invest_cash_inflow,fix_intan_other_asset_acqui_cash,invest_cash_paid,impawned_loan_net_increase,net_cash_from_sub_company,other_cash_to_invest_act,subtotal_invest_cash_outflow,net_invest_cash_flow,cash_from_invest,cash_from_mino_s_invest_sub,cash_from_borrowing,cash_from_bonds_issue,other_finance_act_cash,subtotal_finance_cash_inflow,borrowing_repayment,dividend_interest_payment,proceeds_from_sub_to_mino_s,other_finance_act_payment,subtotal_finance_cash_outflow,net_finance_cash_flow,exchange_rate_change_effect,cash_equivalent_increase,cash_equivalents_at_beginning,cash_and_equivalents_at_end,requested_period
9,000001.XSHE,2014-03-31,2014-04-24,2014-03-31,,215590993920.0,,,,,,,24807999488.0,,,,1222000000.0,242067996672.0,,44288000000.0,57735999488.0,,14222000128.0,,4931999744.0,2279000064.0,23460999168.0,181970993152.0,60096999424.0,112591003648.0,6053000192.0,,,,118643998720.0,1231000064.0,109354999808.0,,,,110586003456.0,8057999872.0,,,,8999999488.0,,8999999488.0,,,,,,8999999488.0,767000000.0,77922000896.0,181104001024.0,259025993728.0,2014q1
8,000001.XSHE,2014-06-30,2014-08-14,2014-06-30,,17769000960.0,,,,,,,27053000704.0,,,,1292999936.0,65869000704.0,,50220998656.0,-6394999808.0,,14094999552.0,,2174000128.0,4626999808.0,7410999808.0,72542003200.0,-6672999936.0,109173997568.0,5484000256.0,,,,114663997440.0,216000000.0,137720004608.0,,,,137935994880.0,-23271999488.0,,,,7482999808.0,,7482999808.0,3000000000.0,1523000064.0,,,5018999808.0,2464000000.0,46000000.0,-27434999808.0,0.0,-27434999808.0,2014q2
7,000001.XSHE,2014-09-30,2014-10-24,2014-09-30,,-23734999040.0,,,,,,,28035999744.0,,,,1464000000.0,25666000896.0,,57168998400.0,5613000192.0,,13521000448.0,,2516999936.0,2920999936.0,3572000000.0,84198998016.0,-58532999168.0,136775999488.0,6636000256.0,,,,143413002240.0,708000000.0,156146008064.0,,,,156853993472.0,-13441000448.0,,,,25259999232.0,3000000.0,25262999552.0,1500000000.0,0.0,,,1500000000.0,23762999296.0,-521000000.0,-48732000256.0,0.0,-48732000256.0,2014q3
6,000001.XSHE,2014-12-31,2015-03-13,2014-12-31,,40903999488.0,453000000.0,,,,,,29308000256.0,,,,136000000.0,107273003008.0,,34905001984.0,13260999680.0,,16693999616.0,,2552000000.0,3164000000.0,14881000448.0,76842999808.0,30429999104.0,33426999296.0,6177999872.0,,,,39604998144.0,1680000000.0,63752998912.0,,,,65433001984.0,-25827999744.0,,,,10261999616.0,0.0,10261999616.0,14300000256.0,0.0,,,14300000256.0,-4038000128.0,33000000.0,597000000.0,0.0,597000000.0,2014q4
5,000001.XSHE,2015-03-31,2015-04-24,2015-03-31,,77042999296.0,1318000000.0,,,,,,31341000704.0,182000000.0,,,321000000.0,167091994624.0,,102499999744.0,,,17415999488.0,,5135000064.0,2668999936.0,21639999488.0,155596996608.0,11495000064.0,122184998912.0,6842999808.0,,,,129027997696.0,1251000064.0,150547005440.0,,,,151798005760.0,-22769999872.0,,,,55716999168.0,,55716999168.0,20049999872.0,,,,20661999616.0,35055001600.0,-198000000.0,23581999104.0,183456006144.0,207038005248.0,2015q1
4,000001.XSHE,2015-06-30,2015-08-14,2015-06-30,,233794994176.0,-1176999936.0,,,,,,34616999936.0,4196999936.0,,,2982000128.0,280342003712.0,,67458998272.0,,,16316000256.0,,2299000064.0,5519000064.0,-455000000.0,109314998272.0,171027005440.0,131996999680.0,7632000000.0,,,,139629002752.0,441000000.0,166331006976.0,,,,166771998720.0,-27143000064.0,,,,67761999872.0,,77701996544.0,38329999360.0,1988000000.0,,,41066999808.0,36635000832.0,28000000.0,180546994176.0,0.0,180546994176.0,2015q2
3,000001.XSHE,2015-09-30,2015-10-23,2015-09-30,,-71439998976.0,662000000.0,,,,,,32835000320.0,-1084000000.0,,,6640999936.0,-23555000320.0,,30825000960.0,8178999808.0,,13671999488.0,,2460999936.0,3548999936.0,5150000128.0,66981998592.0,-90537000960.0,323323002880.0,6568999936.0,,,,329892003840.0,752000000.0,313987989504.0,,,,314740015104.0,15152000000.0,,,,134616997888.0,,134616997888.0,47850000384.0,0.0,,,47850000384.0,86767001600.0,893000000.0,12275000320.0,0.0,12275000320.0,2015q3
2,000001.XSHE,2015-12-31,2016-03-10,2015-12-31,,-114398003200.0,-568000000.0,,,,,,32056000512.0,-3295000064.0,,,2372999936.0,-62135001088.0,,15470999552.0,-2707000064.0,,15916000256.0,,2976000000.0,3368999936.0,7664999936.0,31676000256.0,-93810999296.0,155415003136.0,5544000000.0,,,,160959004672.0,1090000000.0,221333995520.0,,,,222424006656.0,-61465001984.0,,,,112699998208.0,,112699998208.0,96980000768.0,0.0,,,96980000768.0,15719999488.0,1037000000.0,-138519003136.0,0.0,-138519003136.0,2015q4
1,000001.XSHE,2016-03-31,2016-04-21,2016-03-31,,108325003264.0,,,,,,,32860000256.0,,,,614000000.0,159508004864.0,,53973000192.0,,,12471000064.0,,5904000000.0,2688999936.0,9194000384.0,100239998976.0,59268001792.0,409509003264.0,7218999808.0,,,,416727990272.0,236000000.0,511273009152.0,,,,511509004288.0,-94780997632.0,,,,167420002304.0,,187420000256.0,134880002048.0,,,,135539998720.0,51880001536.0,-171000000.0,16195999744.0,261341003776.0,277536997376.0,2016q1
93847,000001.XSHE,2016-06-30,2016-08-12,2016-06-30,,3129999872.0,38028001280.0,,,,,,33458999296.0,,,,1552999936.0,78080999424.0,,103736000512.0,16807000064.0,,13416999936.0,,2480000000.0,7196000256.0,18716999680.0,170547003392.0,-92466003968.0,584525021184.0,6850999808.0,,,,591376023552.0,364000000.0,620131975168.0,,,,620496027648.0,-29120000000.0,,,,253033005056.0,,253033005056.0,194520006656.0,2188999936.0,,,197458001920.0,55574999040.0,1619000064.0,-64391999488.0,0.0,-64391999488.0,2016q2
