day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set
2014-01-02,000001.XSHE,0.8786,1002.5372,681.9328,6.7458,1.0563,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-03,000001.XSHE,0.9884,977.9451,665.2051,6.5803,1.0304,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-06,000001.XSHE,1.044,956.632,650.7077,6.4369,1.0079,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-07,000001.XSHE,0.6069,953.353,648.4774,6.4148,1.0044,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-08,000001.XSHE,0.821,1119.6397,655.7261,7.5337,1.1796,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-09,000001.XSHE,0.8707,1125.3521,659.0716,7.5722,1.1857,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-10,000001.XSHE,0.6837,1125.3521,659.0716,7.5722,1.1857,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-13,000001.XSHE,0.8588,1104.4065,646.8046,7.4312,1.1636,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-14,000001.XSHE,0.65,1115.8314,653.4957,7.5081,1.1756,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-15,000001.XSHE,0.5344,1111.071,650.7077,7.4761,1.1706,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-16,000001.XSHE,0.5373,1112.9752,651.8229,7.4889,1.1726,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-17,000001.XSHE,0.7595,1092.9816,640.1135,7.3544,1.1516,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-20,000001.XSHE,0.551,1075.8443,630.0769,7.239,1.1335,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-21,000001.XSHE,0.4767,1081.5567,633.4225,7.2775,1.1395,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-22,000001.XSHE,1.1103,1122.4959,657.3988,7.5529,1.1827,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-23,000001.XSHE,0.6735,1113.9272,652.3805,7.4953,1.1736,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-24,000001.XSHE,0.8703,1110.1189,650.1502,7.4697,1.1696,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
