id,company_id,company_name,code,a_code,b_code,h_code,pub_date,start_date,end_date,report_date,report_type,source_id,source,operate_cash_flow,net_loan_and_advance_decrease,net_deposit_increase,net_borrowing_from_central_bank,net_deposit_in_cb_and_ib_de,net_borrowing_from_finance_co,interest_and_commission_cashin,trade_asset_increase,net_increase_in_placements,net_buyback,tax_levy_refund,net_original_insurance_cash,insurance_cash_amount,net_insurer_deposit_investment,subtotal_operate_cash_inflow,net_loan_and_advance_increase,saving_clients_decrease_amount,net_deposit_in_cb_and_ib,central_borrowing_decrease,other_money_increase,purchase_trade_asset_increase,repurchase_decrease,handling_charges_and_commission,goods_and_services_cash_paid,goods_sale_and_service_render_cash,net_cash_re_insurance,reserve_investment_decrease,original_compensation_paid,policy_dividend_cash_paid,staff_behalf_paid,tax_payments,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_cash_flow,invest_withdrawal_cash,invest_proceeds,gain_from_disposal,subtotal_invest_cash_inflow,invest_cash_paid,impawned_loan_net_increase,fix_intan_other_asset_acqui_cash,subtotal_invest_cash_outflow,net_invest_cash_flow,finance_cash_flow,cash_from_invest,cash_from_bonds_issue,cash_from_borrowing,subtotal_finance_cash_inflow,borrowing_repayment,dividend_interest_payment,subtotal_finance_cash_outflow,net_finance_cash_flow,exchange_rate_change_effect,other_reason_effect_cash,cash_equivalent_increase,cash_equivalents_at_beginning,cash_and_equivalents_at_end,net_profit_cashflow_adjustment,net_profit,assets_depreciation_reserves,fixed_assets_depreciation,intangible_assets_amortization,defferred_expense_amortization,fix_intan_other_asset_dispo_loss,fixed_asset_scrap_loss,fair_value_change_loss,financial_cost,invest_loss,deffered_tax_asset_decrease,deffered_tax_liability_increase,inventory_decrease,operate_receivables_decrease,operate_payable_increase,others,net_operate_cash_flow2,activities_not_relate_major,debt_to_capital,cbs_expiring_in_one_year,financial_lease_fixed_assets,change_info_cash,cash_at_end,cash_at_beginning,equivalents_at_end,equivalents_at_beginning,other_influence2,cash_equivalent_increase2,investment_property_depreciation,net_dec_finance_out,net_cash_received_from_proxy_secu,net_inc_finance_out,net_cash_paid_to_proxy_secu,net_dec_in_placements,credit_impairment_loss
2364,430000001,平安银行股份有限公司,000001.XSHE,000001,,,2014-04-24,2014-01-01,2014-03-31,2014-03-31,0,321003,定期报告,,0.0,215591000000.0,,0.0,,24808000000.0,,,,,,,,242068000000.0,44288000000.0,,57736000000.0,476000000.0,2428000000.0,,,14222000000.0,,,,,,,4932000000.0,2279000000.0,181971000000.0,60097000000.0,,112591000000.0,6053000000.0,,118644000000.0,109355000000.0,,1231000000.0,110586000000.0,8058000000.0,,0.0,9000000000.0,,9000000000.0,,0.0,,9000000000.0,767000000.0,,77922000000.0,181104000000.0,259026000000.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,
2366,430000001,平安银行股份有限公司,000001.XSHE,000001,,,2014-08-14,2014-01-01,2014-06-30,2014-06-30,0,321003,定期报告,,0.0,233360000000.0,,0.0,,51861000000.0,,,,,,,,307937000000.0,94509000000.0,,51341000000.0,983000000.0,11119000000.0,,,28317000000.0,,,,,,,7106000000.0,6906000000.0,254513000000.0,53424000000.0,,221765000000.0,11537000000.0,,233308000000.0,247075000000.0,,1447000000.0,248522000000.0,-15214000000.0,,0.0,16483000000.0,,16483000000.0,3000000000.0,2019000000.0,5019000000.0,11464000000.0,813000000.0,,50487000000.0,181104000000.0,231591000000.0,,10072000000.0,5652000000.0,307000000.0,282000000.0,146000000.0,1000000.0,,-366000000.0,380000000.0,-10260000000.0,-485000000.0,,,-173781000000.0,221473000000.0,3000000.0,53424000000.0,,,,,,3888000000.0,3731000000.0,227703000000.0,177373000000.0,0.0,50487000000.0,,,,,,,
2368,430000001,平安银行股份有限公司,000001.XSHE,000001,,,2014-10-24,2014-01-01,2014-09-30,2014-09-30,0,321003,定期报告,,0.0,209625000000.0,,0.0,,79897000000.0,,,,,,,,333603000000.0,151678000000.0,,56954000000.0,932000000.0,6103000000.0,,,41838000000.0,,,,,,,9623000000.0,9827000000.0,338712000000.0,-5109000000.0,,358541000000.0,18173000000.0,,376721000000.0,403221000000.0,,2155000000.0,405376000000.0,-28655000000.0,,0.0,41743000000.0,,41746000000.0,4500000000.0,2019000000.0,6519000000.0,35227000000.0,292000000.0,,1755000000.0,181104000000.0,182859000000.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,
2370,430000001,平安银行股份有限公司,000001.XSHE,000001,,,2015-03-13,2014-01-01,2014-12-31,2014-12-31,0,321003,定期报告,,0.0,250529000000.0,453000000.0,0.0,,109205000000.0,,,,,,,,440876000000.0,186583000000.0,,70215000000.0,,0.0,,,58532000000.0,,,,,,,12175000000.0,12991000000.0,415555000000.0,25321000000.0,,391968000000.0,24351000000.0,,416326000000.0,466974000000.0,,3835000000.0,470809000000.0,-54483000000.0,,0.0,52005000000.0,,52008000000.0,18800000000.0,2019000000.0,20819000000.0,31189000000.0,325000000.0,,2352000000.0,181104000000.0,183456000000.0,,19802000000.0,15011000000.0,628000000.0,631000000.0,332000000.0,,,,1657000000.0,-22182000000.0,-2626000000.0,,,-228745000000.0,241762000000.0,-949000000.0,25321000000.0,,,,,,4159000000.0,3731000000.0,179297000000.0,177373000000.0,0.0,2352000000.0,,,,,,,
2372,430000001,平安银行股份有限公司,000001.XSHE,000001,,,2015-04-24,2015-01-01,2015-03-31,2015-03-31,0,321003,定期报告,,0.0,77043000000.0,1318000000.0,0.0,,31341000000.0,,,,,,,,167092000000.0,102500000000.0,,0.0,,1656000000.0,,,17416000000.0,,,,,,,5135000000.0,2669000000.0,155597000000.0,11495000000.0,,122185000000.0,6843000000.0,,129028000000.0,150547000000.0,,1251000000.0,151798000000.0,-22770000000.0,,0.0,55717000000.0,,55717000000.0,20050000000.0,612000000.0,20662000000.0,35055000000.0,-198000000.0,,23582000000.0,183456000000.0,207038000000.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,
2374,430000001,平安银行股份有限公司,000001.XSHE,000001,,,2015-08-14,2015-01-01,2015-06-30,2015-06-30,0,321003,定期报告,,0.0,310838000000.0,141000000.0,0.0,,65958000000.0,,,,,,,,447434000000.0,169959000000.0,,0.0,,939000000.0,,,33732000000.0,,,,,,,7434000000.0,8188000000.0,264912000000.0,182522000000.0,,254182000000.0,14475000000.0,,268657000000.0,316878000000.0,,1692000000.0,318570000000.0,-49913000000.0,,0.0,123479000000.0,,133419000000.0,58380000000.0,3349000000.0,61729000000.0,71690000000.0,-170000000.0,,204129000000.0,183456000000.0,387585000000.0,,11585000000.0,12923000000.0,336000000.0,306000000.0,187000000.0,,,,2079000000.0,-14306000000.0,-2587000000.0,,,-127173000000.0,297748000000.0,1424000000.0,182522000000.0,,,,,,4673000000.0,4159000000.0,382912000000.0,179297000000.0,0.0,204129000000.0,,,,,,,
2376,430000001,平安银行股份有限公司,000001.XSHE,000001,,,2015-10-23,2015-01-01,2015-09-30,2015-09-30,0,321003,定期报告,,0.0,239398000000.0,803000000.0,0.0,,98793000000.0,,,,,,,,423879000000.0,200784000000.0,,8179000000.0,,4989000000.0,,,47404000000.0,,,,,,,9895000000.0,11737000000.0,331894000000.0,91985000000.0,,577505000000.0,21044000000.0,,598549000000.0,630866000000.0,,2444000000.0,633310000000.0,-34761000000.0,,0.0,258096000000.0,,268036000000.0,106230000000.0,3349000000.0,109579000000.0,158457000000.0,723000000.0,,216404000000.0,183456000000.0,399860000000.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,
2378,430000001,平安银行股份有限公司,000001.XSHE,000001,,,2016-03-10,2015-01-01,2015-12-31,2015-12-31,0,321003,定期报告,,0.0,125000000000.0,235000000.0,0.0,,130849000000.0,,,,,,,,361744000000.0,216255000000.0,,5472000000.0,,1728000000.0,,,63320000000.0,,,,,,,12871000000.0,15106000000.0,363570000000.0,-1826000000.0,,732920000000.0,26588000000.0,,759508000000.0,852200000000.0,,3534000000.0,855734000000.0,-96226000000.0,,0.0,370796000000.0,,380736000000.0,,3349000000.0,206559000000.0,174177000000.0,1760000000.0,,77885000000.0,183456000000.0,261341000000.0,,21865000000.0,30485000000.0,725000000.0,623000000.0,423000000.0,,,972000000.0,5485000000.0,-27061000000.0,-2137000000.0,,,-148886000000.0,117113000000.0,-1433000000.0,-1826000000.0,,,,,,4119000000.0,4159000000.0,257222000000.0,179297000000.0,0.0,77885000000.0,,,,,,,
2380,430000001,平安银行股份有限公司,000001.XSHE,000001,,,2016-04-21,2016-01-01,2016-03-31,2016-03-31,0,321003,定期报告,,0.0,108325000000.0,,0.0,,32860000000.0,,,,,,,,159508000000.0,53973000000.0,,0.0,283000000.0,6100000000.0,,,12471000000.0,,,,,,,5904000000.0,2689000000.0,100240000000.0,59268000000.0,,409509000000.0,7219000000.0,,416728000000.0,511273000000.0,,236000000.0,511509000000.0,-94781000000.0,,0.0,167420000000.0,,187420000000.0,134880000000.0,612000000.0,135540000000.0,51880000000.0,-171000000.0,,16196000000.0,261341000000.0,277537000000.0,,0.0,0.0,0.0,,0.0,,,,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,,,,,,,,
2382,430000001,平安银行股份有限公司,000001.XSHE,000001,,,2016-08-12,2016-01-01,2016-06-30,2016-06-30,0,321003,定期报告,,,111455000000.0,38028000000.0,,,66319000000.0,,,,,,,,237589000000.0,157709000000.0,,16807000000.0,,11011000000.0,,,25888000000.0,,,,,,,8384000000.0,9885000000.0,270787000000.0,-33198000000.0,,994034000000.0,14070000000.0,,1008104000000.0,1131405000000.0,,600000000.0,1132005000000.0,-123901000000.0,,,420453000000.0,,440453000000.0,,2189000000.0,332998000000.0,107455000000.0,1448000000.0,,-48196000000.0,261341000000.0,213145000000.0,,12292000000.0,20000000000.0,395000000.0,285000000.0,226000000.0,5000000.0,5000000.0,,,,,-3053000000.0,,-214420000000.0,154094000000.0,-3027000000.0,-33198000000.0,,,,,,3594000000.0,4119000000.0,209551000000.0,257222000000.0,,-48196000000.0,5000000.0,,,,,,
