id,code,statDate,pubDate,statDate.1,total_operating_revenue,operating_revenue,interest_income,premiums_earned,commission_income,total_operating_cost,operating_cost,interest_expense,commission_expense,refunded_premiums,net_pay_insurance_claims,withdraw_insurance_contract_reserve,policy_dividend_payout,reinsurance_cost,operating_tax_surcharges,sale_expense,administration_expense,financial_expense,asset_impairment_loss,fair_value_variable_income,investment_income,invest_income_associates,exchange_income,operating_profit,non_operating_revenue,non_operating_expense,disposal_loss_non_current_liability,total_profit,income_tax_expense,net_profit,np_parent_company_owners,minority_profit,basic_eps,diluted_eps,other_composite_income,total_composite_income,ci_parent_company_owners,ci_minority_owners,rd_expenses,asset_deal_income,sust_operate_net_profit,discon_operate_net_profit,credit_impairment_loss,net_open_hedge_income,interest_cost_fin,interest_income_fin,other_earnings,other_composite_income_mino_at,requested_period
8,000001.XSHE,2014-03-31,2014-04-24,2014-03-31,16100000000.0,16100000000.0,11550000000.0,,3207000000.0,9388000000.0,,,,,0.0,0.0,,0.0,1259000000.0,,6062000000.0,,2067000000.0,-848000000.0,2185000000.0,,-37000000.0,6712000000.0,3000000.0,18000000.0,,6697000000.0,1643000000.0,5054000000.0,5054000000.0,,0.37,0.53,165000000.0,5219000000.0,,,,,,,,,,,,,2014q1
7,000001.XSHE,2014-06-30,2014-08-14,2014-06-30,18633000000.0,18633000000.0,13004000000.0,,4564000000.0,12000000000.0,,,,,0.0,0.0,,0.0,1422000000.0,,6993000000.0,,5652000000.0,916000000.0,-12000000.0,,117000000.0,6633000000.0,14000000.0,16000000.0,,6631000000.0,1613000000.0,5018000000.0,5018000000.0,,0.3637,0.35,145000000.0,5163000000.0,,,,,,,,,,,,,2014q2
6,000001.XSHE,2014-09-30,2014-10-24,2014-09-30,19918000000.0,19918000000.0,13864000000.0,,5026000000.0,12492000000.0,,,,,0.0,0.0,,0.0,1442000000.0,,7001000000.0,,9701000000.0,-41000000.0,1132000000.0,,-133000000.0,7426000000.0,13000000.0,19000000.0,,7420000000.0,1798000000.0,5622000000.0,5622000000.0,,0.4084,0.49,171000000.0,5793000000.0,,,,,,,,,,,,,2014q3
5,000001.XSHE,2014-12-31,2015-03-13,2014-12-31,18756000000.0,18756000000.0,14628000000.0,,4581000000.0,13281000000.0,,,,,0.0,0.0,,0.0,1359000000.0,,6612000000.0,,15011000000.0,-37000000.0,-137000000.0,,-335000000.0,5475000000.0,10000000.0,39000000.0,,5446000000.0,1338000000.0,4108000000.0,4108000000.0,,0.2987,0.36,105000000.0,4213000000.0,,,,,,,,,,,,,2014q4
4,000001.XSHE,2015-03-31,2015-04-24,2015-03-31,20671000000.0,20671000000.0,15144000000.0,,5387000000.0,13224000000.0,,,,,0.0,0.0,,0.0,1572000000.0,,6901000000.0,,4751000000.0,-58000000.0,464000000.0,,-298000000.0,7447000000.0,2000000.0,12000000.0,,7437000000.0,1808000000.0,5629000000.0,5629000000.0,,0.41,0.41,126000000.0,5755000000.0,,,,,,,,,,,,,2015q1
3,000001.XSHE,2015-06-30,2015-08-14,2015-06-30,25904000000.0,25904000000.0,15974000000.0,,8335000000.0,18084000000.0,,,,,0.0,0.0,,0.0,1808000000.0,,8104000000.0,,12923000000.0,143000000.0,1640000000.0,,-217000000.0,7820000000.0,11000000.0,9000000.0,,7822000000.0,1866000000.0,5956000000.0,5956000000.0,,0.3599,0.43,268000000.0,6224000000.0,,,,,,,,,,,,,2015q2
2,000001.XSHE,2015-09-30,2015-10-23,2015-09-30,24577000000.0,24577000000.0,17088000000.0,,6501000000.0,16539000000.0,,,,,0.0,0.0,,0.0,1666000000.0,,7861000000.0,,19935000000.0,12000000.0,977000000.0,,-56000000.0,8038000000.0,8000000.0,19000000.0,,8027000000.0,1872000000.0,6155000000.0,6155000000.0,,0.3678,0.43,101000000.0,6256000000.0,,,,,,,,,,,,,2015q3
1,000001.XSHE,2015-12-31,2016-03-10,2015-12-31,25011000000.0,25011000000.0,17893000000.0,,6222000000.0,19421000000.0,,,,,0.0,0.0,,0.0,1625000000.0,,7246000000.0,,30485000000.0,10000000.0,843000000.0,,-2000000.0,5590000000.0,19000000.0,49000000.0,,5560000000.0,1435000000.0,4125000000.0,4125000000.0,,0.2453,0.29,,4364000000.0,,,,,,,,,,,,,2015q4
47,000001.XSHE,2016-03-31,2016-04-21,2016-03-31,27532000000.0,27532000000.0,18398000000.0,,8101000000.0,19518000000.0,,,,,0.0,0.0,,0.0,1888000000.0,,8080000000.0,,9550000000.0,-14000000.0,824000000.0,,152000000.0,8014000000.0,18000000.0,3000000.0,,8029000000.0,1943000000.0,6086000000.0,6086000000.0,,0.35,0.43,30000000.0,6116000000.0,,,,,,,,,,,,,2016q1
95773,000001.XSHE,2016-06-30,2016-08-12,2016-06-30,27237000000.0,27237000000.0,17798000000.0,,8347000000.0,19095000000.0,,,,,0.0,0.0,,0.0,951000000.0,,7694000000.0,,20000000000.0,174000000.0,784000000.0,,131000000.0,8142000000.0,11000000.0,28000000.0,,8125000000.0,1919000000.0,6206000000.0,6206000000.0,,0.3635,0.29,114000000.0,6320000000.0,,,,,,,,,,,,,2016q2
98990,000001.XSHE,2016-09-30,2016-10-21,2016-09-30,27199000000.0,27199000000.0,18367000000.0,,7726000000.0,18810000000.0,,,,,0.0,0.0,,0.0,261000000.0,,6934000000.0,,31615000000.0,-50000000.0,858000000.0,,285000000.0,8389000000.0,23000000.0,6000000.0,,8406000000.0,1979000000.0,6427000000.0,6427000000.0,,0.3742,0.37,101000000.0,6528000000.0,6528000000.0,,,,,,,,,,,,2016q3
