id,code,statDate,pubDate,statDate.1,cash_equivalents,settlement_provi,lend_capital,trading_assets,bill_receivable,account_receivable,advance_payment,insurance_receivables,reinsurance_receivables,reinsurance_contract_reserves_receivable,interest_receivable,dividend_receivable,other_receivable,bought_sellback_assets,inventories,non_current_asset_in_one_year,other_current_assets,total_current_assets,loan_and_advance,hold_for_sale_assets,hold_to_maturity_investments,longterm_receivable_account,longterm_equity_invest,investment_property,fixed_assets,constru_in_process,construction_materials,fixed_assets_liquidation,biological_assets,oil_gas_assets,intangible_assets,development_expenditure,good_will,long_deferred_expense,deferred_tax_assets,other_non_current_assets,total_non_current_assets,total_assets,shortterm_loan,borrowing_from_centralbank,deposit_in_interbank,borrowing_capital,trading_liability,notes_payable,accounts_payable,advance_peceipts,sold_buyback_secu_proceeds,commission_payable,salaries_payable,taxs_payable,interest_payable,dividend_payable,other_payable,reinsurance_payables,insurance_contract_reserves,proxy_secu_proceeds,receivings_from_vicariously_sold_securities,non_current_liability_in_one_year,other_current_liability,total_current_liability,longterm_loan,bonds_payable,longterm_account_payable,specific_account_payable,estimate_liability,deferred_tax_liability,other_non_current_liability,total_non_current_liability,total_liability,paidin_capital,capital_reserve_fund,treasury_stock,specific_reserves,surplus_reserve_fund,ordinary_risk_reserve_fund,retained_profit,foreign_currency_report_conv_diff,equities_parent_company_owners,minority_interests,total_owner_equities,total_sheet_owner_equities,other_comprehensive_income,deferred_earning,loan_and_advance_current_assets,derivative_financial_asset,hold_sale_asset,loan_and_advance_noncurrent_assets,derivative_financial_liability,hold_sale_liability,estimate_liability_current,deferred_earning_current,preferred_shares_noncurrent,pepertual_liability_noncurrent,longterm_salaries_payable,other_equity_tools,preferred_shares_equity,pepertual_liability_equity,receivable_fin,usufruct_assets,contract_assets,bond_invest,other_bond_invest,other_equity_tools_invest,other_non_current_financial_assets,contract_liability,lease_liability,requested_period
28034,002142.XSHE,2014-03-31,2014-04-26,2014-03-31,83164139000.0,,3540075000.0,2379397000.0,,,,,,0.0,2743236000.0,,,58518026000.0,,,,,,122144085000.0,15690669000.0,,13250000.0,16610000.0,2951214000.0,,,,,,143085000.0,,,,629660000.0,,,531748357000.0,0.0,0.0,392431734000.0,21151934000.0,,,,,44452451000.0,,588953000.0,754955000.0,5709827000.0,,,,0.0,,,,,,,18469531000.0,,,,73000.0,,,504390494000.0,2883821000.0,7496936000.0,,,1970844000.0,2859911000.0,12131490000.0,,27343001000.0,14861000.0,27357863000.0,531748357000.0,,,,7849024000.0,,,7311574000.0,,,,,,,,,,,,,,,,,,,2014q1
28033,002142.XSHE,2014-06-30,2014-08-25,2014-06-30,94701460000.0,,3485688000.0,3964703000.0,,,,,,0.0,2952975000.0,,,33567385000.0,,,,,,117333414000.0,15810511000.0,,13250000.0,16609000.0,3266504000.0,,,,,,137040000.0,,,,569662000.0,,,524228902000.0,0.0,,387941615000.0,20016052000.0,524516000.0,,,,42307894000.0,,810442000.0,516054000.0,5689833000.0,,,,0.0,,,,,,,13472286000.0,,,,283000.0,,,495008088000.0,2883821000.0,7775606000.0,,,1970844000.0,4054626000.0,12520608000.0,,29205505000.0,15309000.0,29220814000.0,524228902000.0,,,,8330510000.0,,,8090558000.0,,,,,,,,,,,,,,,,,,,2014q2
28032,002142.XSHE,2014-09-30,2014-10-28,2014-09-30,96375344000.0,,8267845000.0,4727221000.0,,,,,,0.0,3074898000.0,,,11072644000.0,,,,,,126138513000.0,15462451000.0,,0.0,16610000.0,3289607000.0,,,,,,155548000.0,,,,687380000.0,,,537920245000.0,0.0,0.0,393260048000.0,20594417000.0,523459000.0,,,,23721320000.0,,939506000.0,656390000.0,6054251000.0,,,,0.0,,,,,,,27822613000.0,,,,720000.0,,,505189559000.0,3249828000.0,10599628000.0,,,1970844000.0,3975848000.0,12865419000.0,,32661567000.0,69119000.0,32730686000.0,537920245000.0,,,,8724224000.0,,,9032858000.0,,,,,,,,,,,,,,,,,,,2014q3
28031,002142.XSHE,2014-12-31,2015-04-28,2014-12-31,101401538000.0,,2866596000.0,8878979000.0,,,,,,0.0,3015047000.0,,,17079001000.0,,,,,,120109026000.0,16569101000.0,,,16596000.0,3352019000.0,,,,,,208642000.0,,,,769245000.0,,,554112618000.0,0.0,,393166164000.0,14071981000.0,1272100000.0,,,,28155132000.0,,1098768000.0,795134000.0,5587627000.0,,,,0.0,,,,,,,50655391000.0,,,,3871000.0,,,519948406000.0,3249829000.0,10598201000.0,,,2531957000.0,4054719000.0,13347261000.0,,34091097000.0,73115000.0,34164212000.0,554112618000.0,309130000.0,,,1293140000.0,,,1303488000.0,,,,,,,,,,,,,,,,,,,2014q4
28030,002142.XSHE,2015-03-31,2015-04-28,2015-03-31,102041349000.0,,3814828000.0,10011458000.0,,,,,,0.0,3055508000.0,,,37388978000.0,,,,,,119954819000.0,19469792000.0,,,16596000.0,3383552000.0,,,,,,190895000.0,,,,898986000.0,,,608484255000.0,0.0,0.0,431449064000.0,10968156000.0,,,,,28872893000.0,,510426000.0,1165979000.0,5856564000.0,,,,0.0,,,,,,,64330316000.0,,,,11343000.0,,,572534628000.0,3249829000.0,10598362000.0,,,2531957000.0,4054756000.0,15098880000.0,,35868070000.0,81557000.0,35949627000.0,608484255000.0,334286000.0,,,1595545000.0,,,1895228000.0,,,,,,,,,,,,,,,,,,,2015q1
28029,002142.XSHE,2015-06-30,2015-08-28,2015-06-30,90487459000.0,,1676750000.0,8560927000.0,,,,,,0.0,2872363000.0,,,4960511000.0,,,,,,190461485000.0,23735600000.0,,,16596000.0,3345353000.0,,,,,,182070000.0,,,,753836000.0,,,657312585000.0,0.0,,451445372000.0,12812572000.0,,,,,21261804000.0,,694721000.0,844519000.0,5597662000.0,,,,0.0,,,,,,,95487137000.0,,,,4413000.0,,,619208408000.0,3249829000.0,10598201000.0,,,2531957000.0,5735204000.0,15900155000.0,,38015346000.0,88831000.0,38104177000.0,657312585000.0,,,,2442743000.0,,,2568495000.0,,,,,,,,,,,,,,,,,,,2015q2
28028,002142.XSHE,2015-09-30,2015-10-30,2015-09-30,78703046000.0,,2211690000.0,9975815000.0,,,,,,0.0,2534668000.0,,,7600043000.0,,,,,,196886016000.0,30464854000.0,,,16596000.0,3398074000.0,,,,,,174354000.0,,,,737044000.0,,,658504582000.0,0.0,1000000000.0,424329981000.0,6926488000.0,,,,,27966470000.0,,953116000.0,877100000.0,6096999000.0,,,,0.0,,,,,,,128204796000.0,,,,1856000.0,,,620022374000.0,3899794000.0,9948236000.0,,,2531957000.0,5800023000.0,16205611000.0,,38385621000.0,96587000.0,38482208000.0,658504582000.0,,,,2663697000.0,,,2515179000.0,,,,,,,,,,,,,,,,,,,2015q3
28027,002142.XSHE,2015-12-31,2016-04-26,2015-12-31,80389416000.0,,1381143000.0,7039891000.0,,,,,,0.0,2765145000.0,,,10980600000.0,,,,,,249257941000.0,32671512000.0,,,16559000.0,3420258000.0,1598042000.0,,,,,244245000.0,,,,751245000.0,,,716464653000.0,0.0,1700000000.0,424318143000.0,20200607000.0,,,,,46497690000.0,,1495977000.0,899812000.0,6195876000.0,,,,0.0,,,,,,,144056767000.0,,,,6122000.0,,,671367334000.0,3899794000.0,9948236000.0,,,3181124000.0,11193375000.0,16778919000.0,,45001448000.0,95871000.0,45097319000.0,716464653000.0,,,,3537564000.0,,,3355296000.0,,,,,,,,,,,,,,,,,,,2015q4
28026,002142.XSHE,2016-03-31,2016-04-26,2016-03-31,85844340000.0,,1274272000.0,12811793000.0,,,,,,0.0,2757584000.0,,,16480455000.0,,,,,,296458847000.0,31332977000.0,,,16559000.0,3375515000.0,1664569000.0,,,,,232164000.0,,,,946166000.0,,,814209863000.0,0.0,5700000000.0,528698588000.0,28662546000.0,,,,,43683651000.0,,883901000.0,1402941000.0,6921961000.0,,,,0.0,,,,,,,134378454000.0,,,,1246000.0,,,766876759000.0,3899794000.0,9948236000.0,,,3181124000.0,11395678000.0,18807852000.0,,47232684000.0,100420000.0,47333104000.0,814209863000.0,,,,3450962000.0,,,3480671000.0,,,,,,,,,,,,,,,,,,,2016q1
94070,002142.XSHE,2016-06-30,2016-08-29,2016-06-30,89352172000.0,,6155402000.0,10739883000.0,,,,,,0.0,3004185000.0,,,18785680000.0,,,,,,288334154000.0,36897390000.0,,,16559000.0,3396308000.0,1714329000.0,,,,,219606000.0,,,,990193000.0,,,833692976000.0,0.0,7500000000.0,582198935000.0,23568964000.0,3382701000.0,,,,16875752000.0,,1282944000.0,845593000.0,6503711000.0,,,,0.0,,,,,,,127727319000.0,,,,291000.0,,,784530572000.0,3899794000.0,9948236000.0,,,3181124000.0,6579630000.0,19393943000.0,,49060008000.0,102396000.0,49162404000.0,833692976000.0,1232590000.0,,,5294746000.0,,,4563467000.0,,,,,,,4824691000.0,4824691000.0,,,,,,,,,,,2016q2
