id,code,pubDate,statDate,total_loan,total_deposit,interest_earning_assets,non_interest_earning_assets,interest_earning_assets_yield,interest_bearing_liabilities,non_interest_bearing_liabilities,interest_bearing_liabilities_interest_rate,non_interest_income,non_interest_income_ratio,net_interest_margin,net_profit_margin,core_level_capital,net_core_level_capital,core_level_capital_adequacy_ratio,net_level_1_capital,level_1_capital_adequacy_ratio,net_capital,capital_adequacy_ratio,weighted_risky_asset,deposit_loan_ratio,short_term_asset_liquidity_ratio_CNY,short_term_asset_liquidity_ratio_FC,Nonperforming_loan_rate,single_largest_customer_loan_ratio,top_ten_customer_loan_ratio,bad_debts_reserve,non_performing_loan_provision_coverage,cost_to_income_ratio,former_core_capital,former_net_core_capital,former_net_core_capital_adequacy_ratio,former_net_capital,former_capital_adequacy_ratio,former_weighted_risky_asset,normal_amount,normal_amount_ratio,concerned_amount,concerned_amount_ratio,secondary_amount,secondary_amount_ratio,suspicious_amount,suspicious_amount_ratio,loss_amount,loss_amount_ratio,short_term_loan_average_balance,short_term_loan_annualized_average_interest_rate,mid_term_loan_annualized_average_balance,mid_term_loan_annualized_average_interest_rate,enterprise_deposits_average_balance,enterprise_deposits_average_interest_rate,savings_deposit_average_balance,savings_deposit_average_interest_rate,requested_year
110537,002142.XSHE,2015-04-28,2014-12-31,210062182000.0,306531829000.0,474228955000.0,79883663000.0,5.63,473660477000.0,46287929000.0,3.13,2002069000.0,13.0371,2.51,2.5,34164212000.0,33994546000.0,10.07,33994546000.0,10.07,41844020000.0,12.4,337552562000.0,64.12,,,0.89,2.56,12.7,5312304000.0,285.17,32.07,,,10.32,,13.31,,204479949000.0,97.34,3719403000.0,1.77,543229000.0,0.26,881732000.0,0.42,437869000.0,0.21,,,,,218104675000.0,,71034790000.0,,2014
110608,002142.XSHE,2016-04-26,2015-12-31,255688580000.0,355685634000.0,578600135000.0,137864518000.0,5.18,583794932000.0,87572402000.0,2.78,3899510000.0,19.9809,2.38,2.4,40176757000.0,39970280000.0,9.03,44794971000.0,10.12,58822834000.0,13.29,442562618000.0,63.73,,,0.92,2.07,12.57,7289475000.0,308.67,34.03,,,,,,,248799232000.0,97.31,4527737000.0,1.77,1062020000.0,0.41,894656000.0,0.35,404935000.0,0.16,,,,,270239561000.0,,82224679000.0,,2015
110513,002142.XSHE,2017-04-28,2016-12-31,302506678000.0,511404984000.0,765239890000.0,119780521000.0,4.13,764045111000.0,70589187000.0,2.18,6081865000.0,25.7216,1.95,1.95,45453311000.0,45201969000.0,8.55,50026660000.0,9.46,64783567000.0,12.25,528644875000.0,53.68,44.95,,0.91,1.72,13.23,9718337000.0,351.42,34.26,,,,,,,295710612000.0,97.75,4030597000.0,1.33,1551499000.0,0.51,885237000.0,0.29,328733000.0,0.11,,,,,375549387000.0,,98732074000.0,,2016
110736,002142.XSHE,2018-03-29,2017-12-31,346200780000.0,565253904000.0,781975346000.0,250067096000.0,4.52,857797241000.0,117039229000.0,2.35,8925342000.0,35.2581,1.94,2.17,52264554000.0,51985720000.0,8.61,56810411000.0,9.41,82019503000.0,13.58,603762790000.0,58.06,51.54,,0.82,1.56,10.89,14001472000.0,493.26,34.63,,,,,,,341011625000.0,98.5,2350601000.0,0.68,1038663000.0,0.3,1265567000.0,0.37,534324000.0,0.15,,,,,551235242000.0,1.71,,,2017
110777,002142.XSHE,2019-03-30,2018-12-31,429087000000.0,646721375000.0,878435310000.0,237988045000.0,4.67,960692251000.0,74501236000.0,2.47,9810051000.0,33.9093,2.23,2.31,66067633000.0,65804184000.0,9.16,80616000000.0,11.22,106757000000.0,14.86,718274000000.0,65.88,,,0.78,1.02,8.18,17495000000.0,521.83,34.44,,,,,,,423376651000.0,98.67,2357570000.0,0.55,1413041000.0,0.33,1291261000.0,0.3,648404000.0,0.15,,,,,515792108000.0,1.71,119620713000.0,2.16,2018
110929,002142.XSHE,2020-04-25,2019-12-31,529102000000.0,779224138000.0,980790000000.0,336927046000.0,4.88,1105577000000.0,111403935000.0,2.31,12844000000.0,36.611999999999995,2.27,2.57,,85199000000.0,9.62,100009000000.0,11.3,137797000000.0,15.57,885202000000.0,66.51,,,0.78,,,21702000000.0,524.08,34.32,,,,,,,521064220000.0,98.48,3896546000.0,0.74,1097570000.0,0.21,2052920000.0,0.39,990541000.0,0.18,,,,,617023599000.0,1.76,153372212000.0,2.35,2019
111023,002142.XSHE,2021-04-10,2020-12-31,687715000000.0,933164000000.0,1212314000000.0,414435000000.0,4.68,1353329000000.0,154427000000.0,2.14,13252000000.0,32.23,2.3,2.54,103670000000.0,103263000000.0,9.52,118073000000.0,10.88,160958000000.0,14.84,1084870000000.0,71.85,,,0.79,,,27583000000.0,505.59,37.96,,,,,,,678837000000.0,98.71,3422000000.0,0.5,1777000000.0,0.26,2504000000.0,0.36,1175000000.0,0.17,,,,,769103000000.0,,183693000000.0,2.36,2020
111114,002142.XSHE,2022-04-08,2021-12-31,862709000000.0,1062328000000.0,1477351000000.0,538256000000.0,4.59,1649202000000.0,216405000000.0,2.13,20077000000.0,38.04,2.21,2.46,134614000000.0,133971000000.0,10.16,148781000000.0,11.28,203522000000.0,15.43,1318873000000.0,79.75,64.25,,0.77,,,34595000000.0,525.52,36.95,,,,,,,851990000000.0,98.75,4100000000.0,0.48,2414000000.0,0.29,2628000000.0,0.3,1577000000.0,0.18,,,,,825713000000.0,1.62,218007000000.0,2.62,2021
111359,002142.XSHE,2023-04-06,2022-12-31,1046002000000.0,1310305000000.0,1854177000000.0,511920000000.0,4.25,2011224000000.0,186347000000.0,2.05,20358000000.0,35.1734,2.02,2.2,152923000000.0,151288000000.0,9.75,166112000000.0,10.71,235407000000.0,15.18,1551141000000.0,79.79,73.21,,0.75,,,39456000000.0,504.9,37.29,,,,,,,1032112000000.0,98.67,6044000000.0,0.58,2546000000.0,0.24,3553000000.0,0.34,1747000000.0,0.17,,,,,984431000000.0,,238079000000.0,,2022
112053,002142.XSHE,2024-04-10,2023-12-31,1252718000000.0,1588536000000.0,2181497000000.0,530165000000.0,4.16,2324124000000.0,185328000000.0,2.15,20678000000.0,33.58,1.88,2.01,,174611000000.0,9.64,199446000000.0,11.01,271772000000.0,15.01,1811196000000.0,78.98,,,0.76,,,43797000000.0,461.04,38.99,,,,,,,1235113000000.0,98.59,8106000000.0,0.65,1256000000.0,0.1,4227000000.0,0.34,4016000000.0,0.32,,,,,1149420000000.0,1.92,369980000000.0,2.3,2023
