id,code,statDate,pubDate,statDate.1,goods_sale_and_service_render_cash,net_deposit_increase,net_borrowing_from_central_bank,net_borrowing_from_finance_co,net_original_insurance_cash,net_cash_received_from_reinsurance_business,net_insurer_deposit_investment,net_deal_trading_assets,interest_and_commission_cashin,net_increase_in_placements,net_buyback,tax_levy_refund,other_cashin_related_operate,subtotal_operate_cash_inflow,goods_and_services_cash_paid,net_loan_and_advance_increase,net_deposit_in_cb_and_ib,original_compensation_paid,handling_charges_and_commission,policy_dividend_cash_paid,staff_behalf_paid,tax_payments,other_operate_cash_paid,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_withdrawal_cash,invest_proceeds,fix_intan_other_asset_dispo_cash,net_cash_deal_subcompany,other_cash_from_invest_act,subtotal_invest_cash_inflow,fix_intan_other_asset_acqui_cash,invest_cash_paid,impawned_loan_net_increase,net_cash_from_sub_company,other_cash_to_invest_act,subtotal_invest_cash_outflow,net_invest_cash_flow,cash_from_invest,cash_from_mino_s_invest_sub,cash_from_borrowing,cash_from_bonds_issue,other_finance_act_cash,subtotal_finance_cash_inflow,borrowing_repayment,dividend_interest_payment,proceeds_from_sub_to_mino_s,other_finance_act_payment,subtotal_finance_cash_outflow,net_finance_cash_flow,exchange_rate_change_effect,cash_equivalent_increase,cash_equivalents_at_beginning,cash_and_equivalents_at_end,requested_period
27981,002142.XSHE,2014-03-31,2014-04-26,2014-03-31,,47098212352.0,,,,,,,4923681792.0,,,,1058585984.0,53080481792.0,,13053723648.0,789916032.0,,2910567936.0,,1066651008.0,383468992.0,4153018112.0,25868748800.0,27211732992.0,41777623040.0,2248432896.0,,,106000.0,44026163200.0,454561984.0,86531457024.0,,,,86986014720.0,-42959851520.0,,,,,,,,,,,,,-41040000.0,-15789161472.0,60659085312.0,44869922816.0,2014q1
27980,002142.XSHE,2014-06-30,2014-08-25,2014-06-30,,-4539103232.0,,,,,,,5076975104.0,11225444352.0,,,493188000.0,23600533504.0,,6674413056.0,-789916032.0,,4095305984.0,,589628992.0,884665024.0,-1707995008.0,6234698752.0,17365833728.0,1965168000.0,2579838976.0,,,1048000.0,4546054144.0,304182016.0,-49083000.0,,,,255099008.0,4290955008.0,,,,,,,5000000000.0,,,,5000000000.0,-5000000000.0,31307000.0,16688096256.0,-8447702016.0,8240393216.0,2014q2
27979,002142.XSHE,2014-09-30,2014-10-28,2014-09-30,,5324925952.0,,,,,,,4750843904.0,8619730944.0,,,6746908160.0,23613882368.0,,10033546240.0,,,3136944896.0,,290867008.0,608868992.0,39573000.0,14109800448.0,9504081920.0,-19407302656.0,2700346112.0,,,2265000.0,-16704692224.0,192960000.0,17935000.0,,,,210895008.0,-16915587072.0,,,,14700000256.0,,17826510848.0,0.0,1732428032.0,,,1732428032.0,16094083072.0,-23864000.0,8658713600.0,0.0,8658713600.0,2014q3
27978,002142.XSHE,2014-12-31,2015-04-28,2014-12-31,,11700296704.0,,,,,,,5126312960.0,-5938920960.0,,,-8056658944.0,-6684472832.0,,8708505600.0,11830278144.0,,2983674112.0,,497022016.0,545092992.0,-143695008.0,24620877824.0,-31305351168.0,683360649216.0,2748596992.0,,,13626000.0,686122860544.0,184230000.0,692985528320.0,,,,693169815552.0,-7046926848.0,,50000000.0,,22480740352.0,,22480740352.0,0.0,249636992.0,,,249636992.0,22231103488.0,22160000.0,-16099013632.0,0.0,-16099013632.0,2014q4
27977,002142.XSHE,2015-03-31,2015-04-28,2015-03-31,,38283169792.0,,,,,,,4975599104.0,,,,5829521920.0,50544824320.0,,10497612800.0,,,3705067008.0,,1335534976.0,446689984.0,7670717952.0,49960484864.0,584342976.0,67904933888.0,3483467008.0,,,-156000.0,71388241920.0,134231008.0,86622986240.0,,,,86757212160.0,-15368970240.0,,,,14010000384.0,,14010000384.0,,,,,,14010000384.0,-1526000.0,-776153024.0,45670014976.0,44893863936.0,2015q1
27976,002142.XSHE,2015-06-30,2015-08-28,2015-06-30,,20139671552.0,,,,,,,5780560896.0,,,,-4254426880.0,22864406528.0,,11135424512.0,,,4561675776.0,,578558016.0,1020062976.0,-6250043904.0,-14829041664.0,37693448192.0,-67499450368.0,3548081920.0,,,529000.0,-63950839808.0,136723008.0,17146533888.0,,,,17283256320.0,-81234100224.0,,,,31389999104.0,,31389999104.0,,388900000.0,,,388900000.0,31001100288.0,738000.0,-12538810368.0,0.0,-12538810368.0,2015q2
27975,002142.XSHE,2015-09-30,2015-10-30,2015-09-30,,-26754672640.0,,,,,,,5744745984.0,,,,1585948032.0,-18056400896.0,,10087729152.0,,,3702078976.0,,615684992.0,697875008.0,9126867968.0,25128593408.0,-43184996352.0,64218000.0,4114257920.0,,,4000.0,4178480128.0,430744000.0,-1028838016.0,,,,-598094016.0,4776573952.0,,,,32810000384.0,,32810000384.0,,1462423040.0,,,1462423040.0,31347576832.0,62044000.0,-6998799872.0,0.0,-6998799872.0,2015q3
27974,002142.XSHE,2015-12-31,2016-04-26,2015-12-31,,14619973632.0,1700000000.0,,,,,,5643250176.0,8572397056.0,,,-2176659968.0,32078780416.0,,10182149120.0,,,5430448128.0,,708700032.0,626910016.0,-8008672256.0,7611037184.0,24467744768.0,1841020141568.0,3924435968.0,,,1133000.0,1844945616896.0,306280992.0,1883885535232.0,,,,1884259090432.0,-39313457152.0,,,,54864838656.0,,59689529344.0,39680741376.0,3448008960.0,,,43128750080.0,16560779264.0,-137796000.0,1577267968.0,0.0,1577267968.0,2015q4
27973,002142.XSHE,2016-03-31,2016-04-26,2016-03-31,,104857976832.0,4000000000.0,,,,,,5971060224.0,6625626112.0,,,4580210176.0,126034870272.0,,17881419776.0,3082644992.0,,3504722944.0,,1843111936.0,366160992.0,18084091904.0,44762152960.0,81272717312.0,62599405568.0,4334397952.0,,,82397000.0,67016200192.0,194866000.0,126856306688.0,,,,127051169792.0,-60034969600.0,,,,-10360000512.0,,-10360000512.0,,,,,,-10360000512.0,-22252000.0,10855497728.0,26933522432.0,37789020160.0,2016q1
94185,002142.XSHE,2016-06-30,2016-08-29,2016-06-30,,53630885888.0,1800000000.0,,,,,,5808244224.0,-6625626112.0,,,2666561024.0,57280065536.0,,9584702464.0,1961762944.0,,4598694912.0,,804531008.0,1252016000.0,-678843008.0,45970735104.0,11309329408.0,102179610624.0,3882405120.0,,,-82394000.0,105979625472.0,97673000.0,104648556544.0,,,924000.0,104747155456.0,1232466048.0,,,,10360000512.0,,10360000512.0,17180000256.0,772800000.0,,,17952800768.0,-7592800256.0,107431000.0,5056425984.0,0.0,5056425984.0,2016q2
