day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set
2014-01-02,002142.XSHE,0.3113,263.2928,262.1477,5.6291,1.0521,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-03,002142.XSHE,0.3079,260.9858,259.8507,5.5798,1.0429,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-06,002142.XSHE,0.5418,264.4463,263.2962,5.6538,1.0567,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-07,002142.XSHE,0.2603,261.8509,260.7121,5.5983,1.0464,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-08,002142.XSHE,0.3248,264.4463,263.2962,5.6538,1.0567,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-09,002142.XSHE,0.2969,262.7161,261.5735,5.6168,1.0498,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-10,002142.XSHE,0.2384,261.8509,260.7121,5.5983,1.0464,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-13,002142.XSHE,,261.8509,260.7121,5.5983,1.0464,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-14,002142.XSHE,0.4043,255.7949,254.6824,5.4688,1.0222,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-15,002142.XSHE,0.2948,252.0459,250.9497,5.3886,1.0072,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-16,002142.XSHE,0.2613,252.6227,251.524,5.401,1.0095,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-17,002142.XSHE,0.3299,248.8737,247.7913,5.3208,0.9945,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-20,002142.XSHE,0.1921,247.4318,246.3557,5.29,0.9887,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-21,002142.XSHE,0.198,249.4505,248.3656,5.3332,0.9968,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-22,002142.XSHE,0.3215,254.6414,253.5339,5.4441,1.0175,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-23,002142.XSHE,0.228,253.7762,252.6725,5.4256,1.0141,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-24,002142.XSHE,0.2736,254.9297,253.821,5.4503,1.0187,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-27,002142.XSHE,0.2087,254.6414,253.5339,5.4441,1.0175,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-28,002142.XSHE,0.1848,256.3716,255.2567,5.4811,1.0245,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-29,002142.XSHE,0.1461,256.9484,255.8309,5.4935,1.0268,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-01-30,002142.XSHE,0.1279,254.6414,253.5339,5.4441,1.0175,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-07,002142.XSHE,0.2799,256.0833,254.9695,5.475,1.0233,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-10,002142.XSHE,0.4097,258.9671,257.8408,5.5366,1.0348,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-11,002142.XSHE,0.8141,262.7161,261.5735,5.6168,1.0498,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-12,002142.XSHE,0.4359,263.5812,262.4349,5.6353,1.0533,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-13,002142.XSHE,0.8919,266.465,265.3061,5.6969,1.0648,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2014-02-14,002142.XSHE,0.4222,264.4463,263.2962,5.6538,1.0567,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
