open,close,high,low,volume,money
3.19,3.55,3.55,3.19,235797.0,836901.8
3.91,3.91,3.91,3.91,93598.0,365890.35
4.3,4.3,4.3,4.3,97534.0,419660.66
4.73,4.73,4.73,4.73,188523.0,892376.3
5.21,5.21,5.21,5.21,486180.0,2531478.62
5.73,5.73,5.73,5.73,1326092.0,7595984.07
6.3,6.3,6.3,6.3,3521109.0,22191803.1
6.94,6.94,6.94,6.94,3145946.0,21818436.72
7.63,7.63,7.63,7.63,5472308.0,41736354.9
8.39,8.39,8.39,8.39,36336485.0,304768023.7
8.62,8.73,9.2,8.42,257788030.0,2242982771.2
8.51,8.35,8.67,8.32,141142451.0,1194641702.2
8.46,8.05,8.59,8.01,143029943.0,1177528087.55
7.97,7.66,8.11,7.63,101174230.0,792087728.61
7.62,7.37,7.81,7.37,73884487.0,561618314.13
7.34,7.17,7.43,6.89,96379543.0,688656221.73
7.1,6.96,7.13,6.89,59526811.0,416421541.19
6.97,6.99,7.22,6.96,60618480.0,428691100.33
6.94,6.72,6.98,6.71,62537087.0,424934435.23
6.77,6.91,6.91,6.68,55750765.0,380108652.62
6.91,7.15,7.16,6.87,78287216.0,550693910.64
7.02,6.97,7.08,6.94,50216686.0,351261419.16
6.97,6.81,7.0,6.76,50492204.0,346693464.25
6.81,6.88,7.02,6.77,47351581.0,327402672.06
6.84,6.62,6.84,6.6,48668399.0,326278013.0
6.6,6.65,6.66,6.49,42466312.0,279421890.25
6.62,6.57,6.65,6.55,27648710.0,182262234.55
6.57,6.54,6.61,6.49,23284041.0,152379272.87
6.52,6.49,6.59,6.45,28372811.0,184804572.14
6.51,6.63,6.73,6.48,51664346.0,342930604.8
6.59,6.97,7.02,6.56,96245923.0,655806025.82
6.88,6.83,6.97,6.78,64169137.0,439513482.68
6.83,6.74,6.87,6.67,46493162.0,315301607.68
6.67,6.99,7.39,6.67,111402601.0,792402022.58
6.89,7.12,7.2,6.77,86542315.0,604796645.34
7.02,7.0,7.05,6.92,54804144.0,382728742.55
6.96,6.86,6.98,6.83,43646193.0,300206205.16
6.81,6.86,6.94,6.76,39988625.0,274532681.94
6.82,6.76,6.88,6.74,34273338.0,233196059.85
6.75,6.75,6.81,6.71,23923794.0,161498113.82
6.76,6.89,6.96,6.76,42304045.0,290522608.09
6.86,6.75,6.87,6.65,37270484.0,251663415.4
6.83,7.04,7.33,6.79,90836490.0,642706237.62
7.06,7.21,7.27,6.98,95443431.0,681060189.35
7.14,7.43,7.7,7.11,104595932.0,772262278.95
7.36,7.31,7.38,7.25,47773196.0,348787069.43
7.31,7.29,7.36,7.23,35728669.0,260614708.76
7.26,7.2,7.26,7.11,28794232.0,206543160.48
7.18,7.09,7.22,7.07,24990278.0,178448079.02
7.11,7.12,7.24,7.08,31321214.0,224057490.78
7.11,7.17,7.21,7.08,29467588.0,210512792.83
7.18,7.15,7.41,7.13,51700332.0,375189860.54
7.09,7.04,7.12,7.03,32166690.0,227167814.61
7.04,7.1,7.12,6.97,28269128.0,199540792.78
7.11,7.12,7.21,7.08,33130838.0,237092077.25
7.07,6.83,7.09,6.83,36179933.0,251711258.41
6.79,6.7,6.79,6.68,24231834.0,162713945.4
6.73,6.73,6.77,6.66,18781990.0,125940751.28
6.73,6.61,6.73,6.6,18291744.0,121618475.37
6.54,6.63,6.64,6.51,13750971.0,90523748.17
6.64,6.66,6.71,6.63,12936045.0,86273412.64
6.64,6.7,6.72,6.63,13017964.0,86820382.82
6.7,6.76,6.86,6.68,24896753.0,168585703.0
6.75,6.78,6.88,6.71,30229432.0,206102414.65
6.75,6.31,6.84,6.2,29357793.0,192667969.07
6.31,6.31,6.37,6.21,15973268.0,100665626.18
6.31,6.31,6.41,6.26,13943237.0,88334115.8
6.28,6.29,6.35,6.26,12705568.0,80077104.6
6.28,6.32,6.32,6.25,9483359.0,59621908.45
6.31,6.19,6.32,6.19,12400734.0,77295911.16
6.19,5.99,6.19,5.97,25205714.0,152369278.8
6.02,6.05,6.07,6.0,17353166.0,104808794.37
6.04,5.98,6.04,5.92,14469020.0,86357336.48
5.95,5.79,5.97,5.79,18472168.0,108293258.94
5.74,5.84,5.84,5.62,14861413.0,84959643.62
5.81,5.77,5.83,5.76,8865503.0,51344463.15
5.77,5.72,5.8,5.7,7523524.0,43210545.46
5.72,5.74,5.81,5.71,9937305.0,57209729.63
5.72,5.75,5.79,5.72,6869829.0,39533608.5
5.76,5.87,5.87,5.76,12316839.0,71862092.88
5.87,5.87,5.88,5.79,10688886.0,62557577.02
5.86,5.86,5.91,5.85,8900302.0,52313186.88
5.85,5.77,5.85,5.77,8539553.0,49529212.2
5.76,5.74,5.79,5.71,8400780.0,48199970.89
5.74,5.67,5.74,5.66,11392337.0,64894465.24
5.67,5.58,5.69,5.57,10796513.0,60755381.0
5.57,5.52,5.62,5.5,7336056.0,40810710.81
5.52,5.41,5.53,5.39,10720935.0,58274636.27
5.39,5.16,5.4,5.01,17874729.0,93570963.8
5.12,5.2,5.23,5.03,12200940.0,62661150.06
5.19,5.1,5.19,5.09,7979966.0,40907631.0
5.07,5.08,5.12,5.02,9280572.0,47115901.18
5.07,5.19,5.21,5.06,13303266.0,68642612.16
5.17,5.2,5.24,5.16,8334766.0,43356809.5
5.2,5.21,5.4,5.17,7898286.0,41339791.22
5.2,5.21,5.23,5.18,6346858.0,33060055.4
5.21,5.27,5.29,5.21,7585078.0,39880138.19
5.27,5.21,5.28,5.2,5449300.0,28465991.74
5.21,5.3,5.3,5.2,8316273.0,43711478.14
5.28,5.27,5.35,5.24,9230114.0,48871432.95
5.24,5.37,5.38,5.2,16382689.0,86924400.41
5.35,5.36,5.4,5.33,12802690.0,68679399.84
5.4,5.89,5.89,5.38,46189509.0,267035681.2
6.48,6.48,6.48,6.48,33340515.0,216157748.77
7.13,7.13,7.13,6.48,198599421.0,1403171607.9
7.45,7.84,7.84,7.19,156936770.0,1218841955.92
7.98,8.63,8.63,7.79,162616242.0,1361275072.22
8.52,8.92,9.23,8.48,136759234.0,1214002450.42
8.54,8.72,8.98,8.03,92741202.0,791672269.69
8.56,8.72,8.76,8.3,66493307.0,569432214.83
8.48,8.51,8.56,8.17,59373523.0,495765297.77
8.4,8.58,8.65,8.27,61535193.0,519644780.47
8.51,9.43,9.44,8.23,120628562.0,1068884846.73
8.83,10.37,10.37,8.79,132423398.0,1307300638.83
10.16,11.38,11.41,10.12,120387734.0,1324095985.49
11.16,10.64,11.17,10.31,119944491.0,1288245174.66
10.17,10.69,10.99,10.12,90424716.0,952444543.96
10.42,10.0,10.45,9.66,122631310.0,1222068360.26
10.05,10.05,10.13,9.72,65323974.0,651600339.28
10.53,11.05,11.06,10.53,163508910.0,1794761371.97
10.99,11.07,11.53,10.53,105419372.0,1161438816.85
11.26,11.28,11.54,10.9,88787706.0,1006314858.98
11.01,11.01,11.33,10.64,66928937.0,732397528.9
10.82,11.12,11.21,10.53,62280354.0,680929183.92
11.06,11.05,11.15,10.85,46330925.0,509605817.85
10.64,11.01,11.25,10.52,46615368.0,511771210.05
10.99,11.12,11.38,10.53,156732599.0,1717674285.64
10.86,10.09,11.04,10.08,96537761.0,1024173177.22
10.48,10.71,11.0,10.47,103622193.0,1110542049.82
10.39,10.64,10.74,10.21,51852999.0,544555123.23
10.58,10.69,10.8,10.42,40683776.0,433639457.78
10.9,10.83,11.0,10.7,53892763.0,584226903.71
10.88,10.74,10.9,10.65,34794842.0,374482973.49
10.74,10.88,10.9,10.22,47181234.0,504715586.31
10.88,11.57,11.59,10.75,88504352.0,989113556.46
11.46,11.31,11.5,11.11,74796146.0,843287244.24
11.22,11.05,11.34,10.96,41950094.0,467778759.59
10.88,9.94,11.04,9.94,158328489.0,1598747507.14
8.95,10.01,10.13,8.95,135324487.0,1250984412.61
9.62,10.47,10.48,9.61,102788493.0,1027755660.87
10.33,10.96,11.48,10.26,115005219.0,1276360284.2
11.14,11.32,11.7,11.11,79972722.0,913992817.55
11.32,12.22,12.29,10.47,65562243.0,746991954.1
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
11.0,11.81,12.13,11.0,81763931.0,915999164.96
10.66,10.91,11.22,10.63,81687731.0,880430635.23
10.94,11.71,11.97,10.64,60012376.0,685508171.15
11.49,12.54,12.55,11.17,66582549.0,788292675.06
11.7,12.57,12.77,11.59,42215848.0,523330979.16
12.18,11.43,12.23,11.31,57573283.0,661852562.59
11.38,10.29,11.38,10.29,64002554.0,665500422.22
9.41,10.58,10.76,9.31,177052958.0,1746437895.84
10.0,9.52,10.12,9.52,151710271.0,1465083452.1
9.16,8.57,9.16,8.57,77060166.0,673429083.86
7.98,8.42,8.74,7.98,99312456.0,832536969.37
8.43,8.92,9.14,8.36,129214665.0,1140370756.45
8.67,8.51,8.87,8.41,85519893.0,736017457.16
8.56,8.65,8.94,8.45,80499050.0,703202760.01
8.61,8.28,8.61,8.23,71201343.0,596200525.55
8.34,8.51,8.67,8.34,69553315.0,591307312.29
8.45,8.48,8.68,8.26,74598238.0,630869793.19
8.34,7.64,8.45,7.64,88802658.0,711275239.25
7.53,7.46,7.72,7.22,69055236.0,515133652.19
7.45,7.55,7.63,7.26,60357728.0,449895510.37
7.55,7.01,7.58,6.87,57113374.0,419046090.81
6.97,6.9,7.08,6.65,60165190.0,412951611.3
6.94,7.0,7.17,6.84,70433336.0,494749883.47
6.95,6.8,6.95,6.71,51873689.0,352618917.26
6.92,6.71,6.99,6.66,43938846.0,301497184.11
6.63,6.23,6.79,6.17,51163175.0,331855461.67
6.23,6.33,6.38,5.92,48524068.0,299175313.48
6.31,6.37,6.4,6.27,30489671.0,193272499.45
6.34,6.27,6.36,6.14,32433147.0,202732740.75
6.29,6.9,6.9,6.28,93185513.0,623466183.94
6.94,6.76,6.95,6.74,73900680.0,504070383.15
6.71,6.71,6.79,6.6,38893263.0,260436631.55
6.65,6.78,7.1,6.6,64670596.0,443933847.69
6.7,6.82,6.95,6.65,42948779.0,291831760.14
6.79,6.81,6.9,6.71,36365913.0,247694040.84
6.81,7.01,7.24,6.77,71602790.0,500547384.42
6.93,7.08,7.11,6.87,53170250.0,371628911.68
7.08,7.07,7.18,7.03,46330310.0,328451768.61
7.03,7.09,7.17,7.01,36232201.0,256282912.74
7.15,6.96,7.17,6.9,38776467.0,271709377.48
6.92,6.89,7.14,6.87,46408398.0,325272539.31
6.82,6.72,6.83,6.5,39955916.0,266474010.14
6.68,6.74,6.76,6.67,22847593.0,153581314.8
6.79,6.93,7.13,6.76,50876206.0,353143986.92
6.87,6.89,7.03,6.79,42040612.0,291083677.32
6.85,6.81,6.95,6.78,25369584.0,174098583.75
6.78,6.72,6.83,6.61,24040398.0,161359646.98
6.73,6.8,6.8,6.68,18138526.0,122464750.26
6.77,6.91,6.92,6.76,30196661.0,206553284.68
6.91,6.9,6.97,6.83,33093458.0,228155157.19
6.86,6.91,6.97,6.83,30004106.0,206925282.5
6.95,6.9,7.02,6.88,38807388.0,269296598.31
6.82,6.67,6.82,6.61,31889833.0,213508213.0
6.63,6.61,6.73,6.61,22807636.0,151882873.38
6.6,6.49,6.63,6.39,27694065.0,180000754.68
6.51,6.55,6.61,6.37,31588668.0,205196310.95
6.55,6.45,6.55,6.45,20583974.0,133283312.81
6.43,6.19,6.58,5.96,43724587.0,277225503.91
6.09,6.31,6.31,6.06,28534423.0,177247691.49
6.31,6.32,6.39,6.23,33259010.0,209739264.35
6.28,6.25,6.33,6.23,24675445.0,154761163.94
6.23,6.06,6.23,6.04,23629211.0,144769288.32
6.04,6.05,6.1,5.97,14888579.0,89917072.82
6.07,6.02,6.11,5.99,14321192.0,86756556.49
6.0,5.95,6.07,5.9,19127922.0,114366167.09
5.94,5.98,6.01,5.76,26029284.0,153476026.07
5.96,5.89,5.96,5.88,14467274.0,85468372.53
5.88,5.83,5.89,5.82,16624025.0,97263902.65
5.83,6.42,6.42,5.81,49028483.0,309089085.12
