id,company_id,company_name,code,a_code,b_code,h_code,pub_date,start_date,end_date,report_date,report_type,source_id,source,operate_cash_flow,net_loan_and_advance_decrease,net_deposit_increase,net_borrowing_from_central_bank,net_deposit_in_cb_and_ib_de,net_borrowing_from_finance_co,interest_and_commission_cashin,trade_asset_increase,net_increase_in_placements,net_buyback,tax_levy_refund,net_original_insurance_cash,insurance_cash_amount,net_insurer_deposit_investment,subtotal_operate_cash_inflow,net_loan_and_advance_increase,saving_clients_decrease_amount,net_deposit_in_cb_and_ib,central_borrowing_decrease,other_money_increase,purchase_trade_asset_increase,repurchase_decrease,handling_charges_and_commission,goods_and_services_cash_paid,goods_sale_and_service_render_cash,net_cash_re_insurance,reserve_investment_decrease,original_compensation_paid,policy_dividend_cash_paid,staff_behalf_paid,tax_payments,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_cash_flow,invest_withdrawal_cash,invest_proceeds,gain_from_disposal,subtotal_invest_cash_inflow,invest_cash_paid,impawned_loan_net_increase,fix_intan_other_asset_acqui_cash,subtotal_invest_cash_outflow,net_invest_cash_flow,finance_cash_flow,cash_from_invest,cash_from_bonds_issue,cash_from_borrowing,subtotal_finance_cash_inflow,borrowing_repayment,dividend_interest_payment,subtotal_finance_cash_outflow,net_finance_cash_flow,exchange_rate_change_effect,other_reason_effect_cash,cash_equivalent_increase,cash_equivalents_at_beginning,cash_and_equivalents_at_end,net_profit_cashflow_adjustment,net_profit,assets_depreciation_reserves,fixed_assets_depreciation,intangible_assets_amortization,defferred_expense_amortization,fix_intan_other_asset_dispo_loss,fixed_asset_scrap_loss,fair_value_change_loss,financial_cost,invest_loss,deffered_tax_asset_decrease,deffered_tax_liability_increase,inventory_decrease,operate_receivables_decrease,operate_payable_increase,others,net_operate_cash_flow2,activities_not_relate_major,debt_to_capital,cbs_expiring_in_one_year,financial_lease_fixed_assets,change_info_cash,cash_at_end,cash_at_beginning,equivalents_at_end,equivalents_at_beginning,other_influence2,cash_equivalent_increase2,investment_property_depreciation,net_dec_finance_out,net_cash_received_from_proxy_secu,net_inc_finance_out,net_cash_paid_to_proxy_secu,net_dec_in_placements,credit_impairment_loss
1211,300022943,江苏张家港农村商业银行股份有限公司,002839.XSHE,002839,,,2017-04-28,2017-01-01,2017-03-31,2017-03-31,0,321003,定期报告,,,2676535957.86,,334001511.28,252701100.18,916197837.52,,,,,,,,4185293245.82,1909416958.5,,,100000000.0,,,,529035447.03,,,,,,,211270261.04,71587893.34,5126228778.12,-940935532.3,,28150352471.01,29529569.06,,28179882040.07,29925005874.44,,9338139.74,29934344014.18,-1754461974.11,,733996895.63,43717207.95,,777714103.58,,6656434.74,6656434.74,771057668.84,2776699.14,,-1921563138.43,4960576941.56,3039013803.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,300022943,江苏张家港农村商业银行股份有限公司,002839.XSHE,002839,,,2017-08-23,2017-01-01,2017-06-30,2017-06-30,0,321003,定期报告,,,7775419772.42,89703000.0,388999119.58,,2159502920.08,,,,,,,,10456402274.59,3460531414.91,,,,,,,988143906.42,,,,,,,291760830.5,93211094.44,8685361109.08,1771041165.51,,67557692489.27,70344123.17,,67628036612.44,71933730206.44,,183761610.76,72117491817.2,-4489455204.76,,733996895.63,1277642127.14,,2011639022.77,,182717091.32,182717091.32,1828921931.45,5308174.65,,-884183933.15,4960576941.56,4076393008.41,,352332031.01,426002163.46,27982373.21,10346266.3,6975442.02,4229.35,0.0,-605111.12,,-98412411.49,-80381324.03,0.0,,-156398116.79,192204018.02,1090991605.57,1771041165.51,,,,,,272274316.53,231545933.74,3804118691.88,4729031007.82,,-884183933.15,,,,,,,
1213,300022943,江苏张家港农村商业银行股份有限公司,002839.XSHE,002839,,,2017-10-27,2017-01-01,2017-09-30,2017-09-30,0,321003,定期报告,,,3653282411.47,189703000.0,490732707.22,,3433375203.9,,,,,,,,9555454408.22,3930706191.23,,,,855650.0,,,1419229603.05,,,,,,,395971352.75,229108511.16,6216954666.33,3338499741.89,,153375487745.16,71613939.97,,153447101685.13,158055219173.17,276567152.76,276567152.76,158331786325.93,-4884684640.8,,733996895.63,,,733996895.63,537397622.03,189921182.7,727318804.73,6678090.9,9771583.06,,-1529735224.95,4960576941.56,3430841716.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,300022943,江苏张家港农村商业银行股份有限公司,002839.XSHE,002839,,,2018-03-24,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,,,6749064179.53,2989703000.0,,,4330561197.5,,,,,,,,14597422113.81,5436860893.0,,339829281.65,,,,,1810242960.93,,,,,,,501868161.49,150674362.96,9091635555.46,5505786558.35,,200222842268.83,87537825.22,,200312719287.91,207760892260.79,,191709687.14,207952601947.93,-7639882660.02,,733996895.63,7778784683.42,,8512781579.05,5560000000.04,191723279.08,5751723279.12,2761058299.93,8155188.73,,635117386.99,4960576941.56,5595694328.55,,754291236.09,804417432.11,54403414.76,20626336.1,14951593.99,-2034190.09,-160358.54,-3575478.37,,-181789879.69,-127829549.84,85114.87,,291340097.09,2798998308.37,1082062481.5,5505786558.35,,,,,,2634076788.84,3842196145.92,2961617539.71,1118380795.64,,635117386.99,,,,,,,
3860,300022943,江苏张家港农村商业银行股份有限公司,002839.XSHE,002839,,,2018-04-24,2018-01-01,2018-03-31,2018-03-31,0,321003,定期报告,,,,,221887519.65,409551400.37,1044913521.51,,,,,,,,1679995830.58,1979473884.79,651614008.8,,2500000000.0,,,,617620715.65,,,,,,,220882763.74,141553903.67,7284865617.11,-5604869786.53,,54372027094.65,67480572.29,,54439507666.94,49408153921.8,,30551768.97,49438705690.77,5000801976.17,,,794814603.54,,794814603.54,1780000000.0,872220.42,1780872220.42,-986057616.88,631067.96,,-1589494359.28,5595694328.55,4006199969.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4053,300022943,江苏张家港农村商业银行股份有限公司,002839.XSHE,002839,,,2018-08-14,2018-01-01,2018-06-30,2018-06-30,0,321003,定期报告,,,2775845442.01,,307239097.26,1480997000.37,2346947212.58,,,,,,,,6952430741.57,4915225942.75,,,2600000000.0,,,,1146986172.09,,,,,,,326084331.23,113300725.34,11791877891.78,-4839447150.21,,87280084958.54,52961800.96,,87333046959.51,82426740109.74,,47315982.86,82474056092.6,4858990866.91,,,3730000000.0,,3730000000.0,5450000000.09,163528868.06,5613528868.15,-1883528868.15,3391456.56,,-1860593694.89,5595694328.55,3735100633.66,,412516447.49,463730071.11,29975049.1,10417698.06,9363514.94,164972.23,0.0,-13395718.32,,-55237557.83,-99078917.91,4256084.54,,-4709624.12,-2782613347.78,-2814835821.72,-4839447150.21,,,,,,2881559233.66,2634076788.84,853541400.0,2961617539.71,,-1860593694.89,,,,,,,
4275,300022943,江苏张家港农村商业银行股份有限公司,002839.XSHE,002839,,,2018-10-30,2018-01-01,2018-09-30,2018-09-30,0,321003,定期报告,,,9933855678.03,0.0,,182570200.37,3566751661.82,,,,,,,,13691754612.77,8607274140.8,,519722139.5,1800000000.0,,,,1558308199.39,,,,,,,439410717.97,128926983.92,16815709122.93,-3123954510.16,,130104236756.02,78495331.86,,130183346123.63,129828841499.58,,55176107.71,129884017607.29,299328516.34,,0.0,9213487981.01,,9213487981.01,9140000000.36,181683161.56,9321683161.92,-108195180.91,6285990.94,,-2926535183.79,5595694328.55,2669159144.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4605,300022943,江苏张家港农村商业银行股份有限公司,002839.XSHE,002839,,,2019-04-27,2018-01-01,2018-12-31,2018-12-31,0,321003,定期报告,,,9135673635.84,,,2092570200.37,4747334493.87,,,,,,,,16140402040.32,11495724801.67,,615879548.51,903000000.0,,,,1985843037.52,,,,,,,577287432.06,151385944.49,19936436712.02,-3796034671.7,,194900839739.15,124390496.83,,195025232355.98,195596155915.71,,174012769.02,195770168684.73,-744936328.75,,,7718972985.93,,7718972985.93,5450000000.09,181683161.56,5631683161.65,2087289824.28,13826826.75,,-2439854349.42,5595694328.55,3155839979.13,,817741745.01,1064835923.52,68979991.79,18603065.86,19078108.27,13811.1,962743.68,-11264059.19,,-208377742.97,-186465297.38,2951902.27,,-125003046.63,-507018487.11,-4751073329.92,-3796034671.7,,,,,,2867585579.13,2634076788.84,288254400.0,2961617539.71,,-2439854349.42,,,,,,,
4606,300022943,江苏张家港农村商业银行股份有限公司,002839.XSHE,002839,,,2019-04-27,2019-01-01,2019-03-31,2019-03-31,0,321003,定期报告,,,9837199983.06,,,,1550250049.17,,,,,,,,11652281675.1,3039516547.25,,495876649.08,,,5025056493.92,,673305586.51,,,,,,,306005793.26,86410460.19,10490487553.84,1161794121.26,,16663336044.36,43632919.78,,16707494395.13,17343333616.55,,19022057.55,17362355674.1,-654861278.97,,,7190748328.64,,7190748328.64,6010000000.02,278248.79,6010278248.81,1180470079.83,2290871.92,,1689693794.04,3155839979.13,4845533773.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,689552500.0,
6728,300022943,江苏张家港农村商业银行股份有限公司,002839.XSHE,002839,,,2019-08-20,2019-01-01,2019-06-30,2019-06-30,0,321003,定期报告,,,8237172485.4,,,,2211273704.94,,,,,,,,10518705697.34,6178603556.57,,554757265.14,70000000.0,,5025056493.91,,1288968160.14,,,,,,,480509155.14,145657646.83,17986045639.42,-7467339942.08,,92229272227.34,84690755.54,,92314942773.32,87048954808.5,,65383839.73,87114338648.23,5200604125.09,,,12735596325.07,,12735596325.07,8540000000.14,271213319.53,8811213319.67,3924383005.4,6773760.13,,1664420948.54,3155839979.13,4820260927.67,,481351435.39,722042765.32,31033401.45,7929317.96,9815402.66,-763100.74,-22535.0,33892212.0,,-129106931.82,-11946597.3,-8678787.29,,-805518325.17,-80594333.23,-7716773866.31,-7467339942.08,,,,,,3321609000.12,2867585579.13,1498651927.55,288254400.0,,1664420948.54,,,,,,411941050.04,
