id,company_id,company_name,code,a_code,b_code,h_code,pub_date,start_date,end_date,report_date,report_type,source_id,source,operate_cash_flow,net_loan_and_advance_decrease,net_deposit_increase,net_borrowing_from_central_bank,net_deposit_in_cb_and_ib_de,net_borrowing_from_finance_co,interest_and_commission_cashin,trade_asset_increase,net_increase_in_placements,net_buyback,tax_levy_refund,net_original_insurance_cash,insurance_cash_amount,net_insurer_deposit_investment,subtotal_operate_cash_inflow,net_loan_and_advance_increase,saving_clients_decrease_amount,net_deposit_in_cb_and_ib,central_borrowing_decrease,other_money_increase,purchase_trade_asset_increase,repurchase_decrease,handling_charges_and_commission,goods_and_services_cash_paid,goods_sale_and_service_render_cash,net_cash_re_insurance,reserve_investment_decrease,original_compensation_paid,policy_dividend_cash_paid,staff_behalf_paid,tax_payments,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_cash_flow,invest_withdrawal_cash,invest_proceeds,gain_from_disposal,subtotal_invest_cash_inflow,invest_cash_paid,impawned_loan_net_increase,fix_intan_other_asset_acqui_cash,subtotal_invest_cash_outflow,net_invest_cash_flow,finance_cash_flow,cash_from_invest,cash_from_bonds_issue,cash_from_borrowing,subtotal_finance_cash_inflow,borrowing_repayment,dividend_interest_payment,subtotal_finance_cash_outflow,net_finance_cash_flow,exchange_rate_change_effect,other_reason_effect_cash,cash_equivalent_increase,cash_equivalents_at_beginning,cash_and_equivalents_at_end,net_profit_cashflow_adjustment,net_profit,assets_depreciation_reserves,fixed_assets_depreciation,intangible_assets_amortization,defferred_expense_amortization,fix_intan_other_asset_dispo_loss,fixed_asset_scrap_loss,fair_value_change_loss,financial_cost,invest_loss,deffered_tax_asset_decrease,deffered_tax_liability_increase,inventory_decrease,operate_receivables_decrease,operate_payable_increase,others,net_operate_cash_flow2,activities_not_relate_major,debt_to_capital,cbs_expiring_in_one_year,financial_lease_fixed_assets,change_info_cash,cash_at_end,cash_at_beginning,equivalents_at_end,equivalents_at_beginning,other_influence2,cash_equivalent_increase2,investment_property_depreciation,net_dec_finance_out,net_cash_received_from_proxy_secu,net_inc_finance_out,net_cash_paid_to_proxy_secu,net_dec_in_placements,credit_impairment_loss
4206,300011028,郑州银行股份有限公司,002936.XSHE,002936,,06196,2018-10-22,2017-01-01,2017-09-30,2018-09-30,1,321003,定期报告,,,32521296000.0,1042550000.0,23907000.0,,9514815000.0,,6062816000.0,,,,,,53955082000.0,14696312000.0,,2979702000.0,,4277399000.0,,,6311380000.0,,,,,,,977192000.0,1634954000.0,66320787000.0,-12365705000.0,,179409269000.0,5947515000.0,2315000.0,185427535000.0,213058594000.0,,426945000.0,213485539000.0,-28058004000.0,,490000000.0,81781660000.0,,82271660000.0,48255870000.0,1165469000.0,49421339000.0,32850321000.0,-65156000.0,,-7638544000.0,16122799000.0,8484255000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4207,300011028,郑州银行股份有限公司,002936.XSHE,002936,,06196,2018-10-22,2018-01-01,2018-09-30,2018-09-30,0,321003,定期报告,,,15864731000.0,2534650000.0,,,9159703000.0,,,5250950000.0,,,,,44968101000.0,25272275000.0,5335018000.0,256993000.0,,,,,6683335000.0,,,,,,,1135671000.0,1334731000.0,67467625000.0,-22499524000.0,,114360680000.0,6143095000.0,7739000.0,120511514000.0,117440581000.0,,400322000.0,117840903000.0,2670611000.0,,2708785000.0,76664076000.0,,79372861000.0,72228403000.0,,72228403000.0,7144458000.0,179285000.0,,-12505170000.0,19254054000.0,6748884000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9412064000.0,
4443,300011028,郑州银行股份有限公司,002936.XSHE,002936,,06196,2019-03-29,2017-01-01,2017-12-31,2018-12-31,1,321003,定期报告,,,41606476000.0,1522550000.0,,,11519407000.0,,3242778000.0,,,,,,58931546000.0,17953685000.0,,4990470000.0,,,2996165000.0,19165870000.0,6451302000.0,,,,,,,1419706000.0,1952206000.0,60912940000.0,-1981394000.0,,251568492000.0,8545294000.0,4663000.0,260186885000.0,287487324000.0,,456476000.0,287943800000.0,-27756915000.0,,8378258000.0,103216337000.0,,111594595000.0,77346965000.0,1169346000.0,78516311000.0,33078284000.0,-208720000.0,,3131255000.0,16122799000.0,19254054000.0,,4333537000.0,,261677000.0,,,-6489000.0,,125275000.0,,-590806000.0,-292139000.0,,,-30404826000.0,28876456000.0,-4284079000.0,-1981394000.0,,,,,,19254054000.0,16122799000.0,,,,3131255000.0,,,,,,,
4444,300011028,郑州银行股份有限公司,002936.XSHE,002936,,06196,2019-03-29,2018-01-01,2018-12-31,2018-12-31,0,321003,定期报告,,,8723536000.0,2534150000.0,3972139000.0,,12875515000.0,,,4860780000.0,,,,,47638737000.0,33021362000.0,1815982000.0,346134000.0,,,12380709000.0,,9038450000.0,,,,,,,1650107000.0,1978200000.0,73458206000.0,-25819469000.0,,164171904000.0,10580815000.0,24598000.0,174777317000.0,164260205000.0,,644071000.0,164904276000.0,9873041000.0,,2708786000.0,111834858000.0,,114543644000.0,95028218000.0,502343000.0,95530561000.0,19013083000.0,200405000.0,,3267060000.0,19254054000.0,22521114000.0,,3101456000.0,,301903000.0,,,-130000.0,,36143000.0,,-2466339000.0,-420987000.0,,,-29831095000.0,5380684000.0,-1921104000.0,-25819469000.0,,,,,,22521114000.0,19254054000.0,,,,3267060000.0,,,,,,8899599000.0,
4655,300011028,郑州银行股份有限公司,002936.XSHE,002936,,06196,2019-04-30,2018-01-01,2018-03-31,2019-03-31,1,321003,定期报告,,,,500000000.0,1048421000.0,,2896749000.0,,406118000.0,4247470000.0,,,,,12839703000.0,3973221000.0,5258780000.0,25068000.0,,,827234000.0,2830800000.0,2073381000.0,,,,,,,509037000.0,604668000.0,17919674000.0,-5079971000.0,,39149359000.0,2848334000.0,,41997693000.0,39832147000.0,,186493000.0,40018640000.0,1979053000.0,,,24320080000.0,,24320080000.0,22503815000.0,,22503815000.0,1816265000.0,-129349000.0,,-1414002000.0,19254054000.0,17840052000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4656,300011028,郑州银行股份有限公司,002936.XSHE,002936,,06196,2019-04-30,2019-01-01,2019-03-31,2019-03-31,0,321003,定期报告,,,25531382000.0,,968299000.0,,3170592000.0,,,1981163000.0,,,,,32545235000.0,13276633000.0,1355043000.0,301538000.0,14522000.0,,5057775000.0,,2413323000.0,,,,,,,615067000.0,184505000.0,26563411000.0,5981824000.0,,31954731000.0,2142030000.0,9378000.0,34106139000.0,33057421000.0,,138238000.0,33195659000.0,910480000.0,,,15068589000.0,,15068589000.0,22133467000.0,,22133467000.0,-7064878000.0,-285960000.0,,-458534000.0,22521117000.0,22062583000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,708998000.0,
6737,300011028,郑州银行股份有限公司,002936.XSHE,002936,,06196,2019-08-21,2018-01-01,2018-06-30,2019-06-30,1,321003,定期报告,,,7705327000.0,,2685373000.0,,6078868000.0,,,5639250000.0,,,,,30206667000.0,11305300000.0,1156388000.0,290448000.0,550000.0,,491997000.0,,4559571000.0,,,,,,,790408000.0,1065122000.0,33249389000.0,-3042722000.0,,79278323000.0,5216214000.0,6514000.0,84501051000.0,79031368000.0,,276809000.0,79308177000.0,5192874000.0,,,45706861000.0,,45706861000.0,49187836000.0,,49187836000.0,-3480975000.0,40764000.0,,-1290059000.0,19254054000.0,17963995000.0,,2382765000.0,696523000.0,,,,2000.0,,-395339000.0,,-1266295000.0,172480000.0,,,-10180286000.0,7921702000.0,-2522117000.0,-3042722000.0,,,,,,17963995000.0,19254054000.0,,,,-1290059000.0,147843000.0,,,,,4303180000.0,
6738,300011028,郑州银行股份有限公司,002936.XSHE,002936,,06196,2019-08-21,2019-01-01,2019-06-30,2019-06-30,0,321003,定期报告,,,7464314000.0,982500000.0,1106355000.0,,6816531000.0,4922793000.0,129377000.0,2950920000.0,,,,,29334589000.0,18356061000.0,,7606227000.0,,,,,5393483000.0,,,,,,,949356000.0,990827000.0,33634530000.0,-4299941000.0,,74459313000.0,6095464000.0,8842000.0,80563619000.0,92456139000.0,,473149000.0,92929288000.0,-12365669000.0,,,51618165000.0,,51618165000.0,45945074000.0,888290000.0,46833364000.0,4784801000.0,4537000.0,,-11876272000.0,22521114000.0,10644842000.0,,2510034000.0,1485424000.0,,,,115000.0,,-662821000.0,,-659266000.0,-305423000.0,,,-8776373000.0,4757406000.0,-2886187000.0,-4299941000.0,,,,,,10644842000.0,22521114000.0,,,,-11876272000.0,237150000.0,,,,,,
6967,300011028,郑州银行股份有限公司,002936.XSHE,002936,,06196,2019-10-29,2018-01-01,2018-09-30,2019-09-30,1,321003,定期报告,,,15864731000.0,2534650000.0,1511176000.0,,9159703000.0,,,,,,,,44968101000.0,25272275000.0,5335018000.0,256993000.0,,,6094072000.0,,6683335000.0,,,,,,,1135671000.0,1334731000.0,67467625000.0,-22499524000.0,,114360680000.0,6143095000.0,7739000.0,120511514000.0,117440581000.0,,400322000.0,117840903000.0,2670611000.0,,2708785000.0,76664076000.0,,79372861000.0,72228403000.0,,72228403000.0,7144458000.0,179285000.0,,-12505170000.0,19254054000.0,6748884000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9412064000.0,
6968,300011028,郑州银行股份有限公司,002936.XSHE,002936,,06196,2019-10-29,2019-01-01,2019-09-30,2019-09-30,0,321003,定期报告,,,18984348000.0,2542300000.0,2632713000.0,,10317755000.0,,,,,,,,43183665000.0,30515205000.0,7968366000.0,,,,,,7551331000.0,,,,,,,1419655000.0,1607397000.0,51355219000.0,-8171554000.0,,105023745000.0,8191942000.0,1379000.0,113217066000.0,122468240000.0,,652826000.0,123121066000.0,-9904000000.0,,,87577101000.0,,87577101000.0,80532405000.0,888290000.0,81420695000.0,6156406000.0,40702000.0,,-11878446000.0,22521114000.0,10642668000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,981805000.0,
