id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,requested_period
131952,002936.XSHE,2018-09-30,2018-10-22,2018-09-30,0.2,1067244000.0,605633000.0,748544000.0,3.0,3.0,0.24,37.96,,52.88,47.12,37.96,,25.75,,44.6,55.12,99.81,,-675.78,-3212.64,20.42,10.78,20.42,10.78,-2.03,-13.21,0.39,-10.7,-1.03,-11.73,2018q3
238302,002936.XSHE,2018-12-31,2019-03-29,2018-12-31,-0.0637,-401375000.0,-1106032000.0,487615000.0,-1.02,-1.08,-0.08,-12.0,,119.4,-19.4,-12.0,,31.84,,189.15,-83.39,106.48,,-106.47,300.17,6.2,8.3,6.2,8.3,-154.44,-144.6,-140.7,-134.25,-140.61,-135.25,2018q4
247397,002936.XSHE,2019-03-31,2019-04-30,2019-03-31,0.1768,1044665000.0,757390000.0,588761000.0,2.82,2.81,0.23,37.58,,52.93,47.07,37.58,,30.93,,56.12,43.62,99.76,,209.14,789.79,11.71,-8.27,11.71,-8.27,-8.49,322.53,-7.25,387.14,-9.35,377.79,2019q1
253364,002936.XSHE,2019-06-30,2019-08-21,2019-06-30,0.2401,1422094000.0,766205000.0,942666000.0,3.74,3.74,0.3,42.26,,49.65,50.35,42.26,,22.83,,44.83,55.15,100.0,,-302.72,-1341.91,30.68,18.75,30.68,18.75,9.41,27.01,17.26,33.53,17.4,35.81,2019q2
261743,002936.XSHE,2019-09-30,2019-10-29,2019-09-30,0.1892,1120330000.0,827109000.0,592109000.0,2.89,2.89,0.24,34.02,,57.75,42.25,34.02,,21.43,,58.28,41.72,99.97,,-115.04,-468.09,16.89,-0.91,16.89,-0.91,4.82,-16.85,4.74,-20.24,4.81,-21.2,2019q3
285744,002936.XSHE,2019-12-31,2020-03-31,2019-12-31,-0.0515,-313730000.0,-1225892000.0,738398000.0,-0.78,-0.8,-0.06,-7.29,,112.24,-12.24,-7.29,,30.74,,259.62,-156.38,102.92,,8.3,-26.16,23.95,14.84,23.95,14.84,21.84,-133.26,24.77,-124.6,19.14,-127.2,2019q4
290359,002936.XSHE,2020-03-31,2020-04-27,2020-03-31,0.1849,1098541000.0,712997000.0,690673000.0,2.79,2.8,0.22,30.2,,62.36,37.64,30.2,,19.0,,50.98,49.39,100.32,,394.06,2060.9,30.37,-3.52,30.37,-3.52,4.26,396.83,4.76,499.86,4.57,459.25,2020q1
329623,002936.XSHE,2020-06-30,2020-08-31,2020-06-30,0.2031,1321648000.0,1147943000.0,533869000.0,3.3,3.3,0.25,33.85,,57.71,42.29,33.85,,15.96,,68.17,31.7,99.91,,-210.43,-729.43,17.16,6.71,17.16,6.71,-1.6,19.87,-6.14,19.64,-6.99,20.79,2020q2
338673,002936.XSHE,2020-09-30,2020-10-30,2020-09-30,0.1343,861976000.0,1201758000.0,-71271000.0,2.16,2.13,0.18,29.19,,64.36,35.64,29.19,,22.44,,104.55,-6.2,98.53,,-214.89,-575.85,-4.31,-19.07,-4.31,-19.07,-19.28,-31.79,-17.88,-30.22,-21.93,-33.87,2020q3
370305,002936.XSHE,2020-12-31,2021-03-31,2020-12-31,-0.0166,-138050000.0,-675160000.0,438025000.0,-0.29,-0.32,-0.02,-2.51,,105.89,-5.89,-2.51,,32.77,,307.75,-199.66,110.35,,-287.63,1566.99,-4.83,14.22,-4.83,14.22,54.21,-118.87,67.27,-109.81,58.96,-114.3,2020q4
