id,code,statDate,pubDate,statDate.1,cash_equivalents,settlement_provi,lend_capital,trading_assets,bill_receivable,account_receivable,advance_payment,insurance_receivables,reinsurance_receivables,reinsurance_contract_reserves_receivable,interest_receivable,dividend_receivable,other_receivable,bought_sellback_assets,inventories,non_current_asset_in_one_year,other_current_assets,total_current_assets,loan_and_advance,hold_for_sale_assets,hold_to_maturity_investments,longterm_receivable_account,longterm_equity_invest,investment_property,fixed_assets,constru_in_process,construction_materials,fixed_assets_liquidation,biological_assets,oil_gas_assets,intangible_assets,development_expenditure,good_will,long_deferred_expense,deferred_tax_assets,other_non_current_assets,total_non_current_assets,total_assets,shortterm_loan,borrowing_from_centralbank,deposit_in_interbank,borrowing_capital,trading_liability,notes_payable,accounts_payable,advance_peceipts,sold_buyback_secu_proceeds,commission_payable,salaries_payable,taxs_payable,interest_payable,dividend_payable,other_payable,reinsurance_payables,insurance_contract_reserves,proxy_secu_proceeds,receivings_from_vicariously_sold_securities,non_current_liability_in_one_year,other_current_liability,total_current_liability,longterm_loan,bonds_payable,longterm_account_payable,specific_account_payable,estimate_liability,deferred_tax_liability,other_non_current_liability,total_non_current_liability,total_liability,paidin_capital,capital_reserve_fund,treasury_stock,specific_reserves,surplus_reserve_fund,ordinary_risk_reserve_fund,retained_profit,foreign_currency_report_conv_diff,equities_parent_company_owners,minority_interests,total_owner_equities,total_sheet_owner_equities,other_comprehensive_income,deferred_earning,loan_and_advance_current_assets,derivative_financial_asset,hold_sale_asset,loan_and_advance_noncurrent_assets,derivative_financial_liability,hold_sale_liability,estimate_liability_current,deferred_earning_current,preferred_shares_noncurrent,pepertual_liability_noncurrent,longterm_salaries_payable,other_equity_tools,preferred_shares_equity,pepertual_liability_equity,receivable_fin,usufruct_assets,contract_assets,bond_invest,other_bond_invest,other_equity_tools_invest,other_non_current_financial_assets,contract_liability,lease_liability,requested_period
133942,600928.XSHG,2019-03-31,2019-04-24,2019-03-31,26846673000.0,,421797000.0,13565834000.0,,,,,,0.0,,,,1988171000.0,,,,,,,,,365757000.0,,399539000.0,39659000.0,,,,,53057000.0,,,,1005267000.0,,,252217253000.0,0.0,820580000.0,162494358000.0,332079000.0,0.0,,,,2701355000.0,,309377000.0,352309000.0,,,,,0.0,,,,,,,61175100000.0,,,78067000.0,,,,229598461000.0,4444444000.0,3693544000.0,,,1780109000.0,3224237000.0,9183757000.0,,22575183000.0,43609000.0,22618792000.0,252217253000.0,249092000.0,,,,,,,,,,,,,,,,,,,,,,,,,2019q1
145578,600928.XSHG,2019-06-30,2019-08-28,2019-06-30,30288566000.0,,413347000.0,15379103000.0,,,,,,0.0,,,,4639521000.0,,,,,,,,,373114000.0,,402954000.0,30304000.0,,,,,63132000.0,,,,1082303000.0,,,257126870000.0,0.0,3921755000.0,169082234000.0,175285000.0,0.0,,,,8045399000.0,,393635000.0,377459000.0,,,,,0.0,,,,,,,50024751000.0,,,61715000.0,,,,234501100000.0,4444444000.0,3693544000.0,,,1780109000.0,3224078000.0,9106061000.0,,22583303000.0,42467000.0,22625770000.0,257126870000.0,335067000.0,,,,,,,,,,,,,,,,,,,,,,,,,2019q2
155469,600928.XSHG,2019-09-30,2019-10-30,2019-09-30,26772148000.0,,200534000.0,18288395000.0,,,,,,0.0,,,,439345000.0,,,,,,,,,381578000.0,,392289000.0,21725000.0,,,,,69888000.0,,,,1195172000.0,,,265402078000.0,0.0,920572000.0,170381278000.0,512673000.0,0.0,,,,999781000.0,,484022000.0,387444000.0,,,,,0.0,,,,,,,67296522000.0,,,88421000.0,,,,242203655000.0,4444444000.0,3693544000.0,,,1780109000.0,3224078000.0,9784269000.0,,23154590000.0,43833000.0,23198423000.0,265402078000.0,228146000.0,,,,,,,,,,,,,,,,,,,,,,,,,2019q3
180079,600928.XSHG,2019-12-31,2020-04-22,2019-12-31,27432860000.0,,665759000.0,15213360000.0,,,,,,0.0,,,,2026258000.0,,,,,,,,,382349000.0,,386420000.0,23317000.0,,,,,70777000.0,,,,1326819000.0,,,278282722000.0,0.0,420255000.0,174048376000.0,940575000.0,,,,,3991885000.0,,480960000.0,485720000.0,,,,,0.0,,,,,,,73001983000.0,,,122945000.0,,,,254615146000.0,4444444000.0,3693544000.0,,,2047341000.0,3413386000.0,9991745000.0,,23620159000.0,47417000.0,23667576000.0,278282722000.0,29699000.0,,,,,,,,,,,,,,,,,,,,,,,,,2019q4
180046,600928.XSHG,2020-03-31,2020-04-22,2020-03-31,25303881000.0,,670835000.0,12695955000.0,,,,,,0.0,,,,785216000.0,,,,,,,,,396235000.0,,377948000.0,18475000.0,,,,,72430000.0,,,,1346424000.0,,,281116525000.0,0.0,502623000.0,176409634000.0,2111994000.0,,,,,5970763000.0,,377194000.0,488087000.0,,,,,0.0,,,,,,,,,,108546000.0,,,,256610139000.0,4444444000.0,3693544000.0,,,2047341000.0,3413386000.0,10761910000.0,,24459477000.0,46909000.0,24506386000.0,281116525000.0,98852000.0,,,,,,,,,,,,,,,,,,,,,,,,,2020q1
204745,600928.XSHG,2020-06-30,2020-08-28,2020-06-30,26594200000.0,,674299000.0,99866368000.0,,,,,,0.0,,,,5316985000.0,,,,,,,,,403687000.0,,364785000.0,18099000.0,,,,,80274000.0,,,,1641537000.0,,,296288642000.0,0.0,4191814000.0,197118319000.0,2608281000.0,,,,,,,435315000.0,384828000.0,,,,,0.0,,,,,,,,,,194007000.0,,,,272199247000.0,4444444000.0,3693544000.0,,,2047341000.0,3413386000.0,10517235000.0,,24043434000.0,45961000.0,24089395000.0,296288642000.0,-72516000.0,,,,,,,,,,,,,,,,,,,,,,,,,2020q2
208775,600928.XSHG,2020-09-30,2020-10-30,2020-09-30,27478477000.0,,682118000.0,11681717000.0,,,,,,0.0,,,,3599717000.0,,,,,,,,,410381000.0,,362364000.0,19127000.0,,,,,79918000.0,,,,1765739000.0,,,303354220000.0,0.0,7527641000.0,207423002000.0,2134698000.0,0.0,,,,2681451000.0,,501723000.0,441121000.0,,,,,0.0,,,,,,,56146891000.0,,,253017000.0,,,,278574112000.0,4444444000.0,3693544000.0,,,2047341000.0,3413386000.0,11160433000.0,,24736637000.0,43471000.0,24780108000.0,303354220000.0,-22511000.0,,,,,,,,,,,,,,,,,,,86852649000.0,,,,,,2020q3
222196,600928.XSHG,2020-12-31,2021-04-30,2020-12-31,26687065000.0,,1152073000.0,9965005000.0,,,,,,0.0,,,,7884210000.0,,,,,,,,,405249000.0,,363214000.0,16840000.0,,,,,86110000.0,,,,1898812000.0,,,306391591000.0,0.0,6550291000.0,213858679000.0,1626919000.0,,,,,5996686000.0,,558144000.0,539376000.0,,,,,0.0,,,,,,,50025113000.0,,,245538000.0,,,,280768067000.0,4444444000.0,3690747000.0,,,2322766000.0,3932842000.0,11131141000.0,,25565386000.0,58138000.0,25623524000.0,306391591000.0,43446000.0,,,,,,,,,,,,,,,,,,,85591095000.0,4191868000.0,,,,,2020q4
221434,600928.XSHG,2021-03-31,2021-04-30,2021-03-31,26342643000.0,,1162416000.0,13472861000.0,,,,,,0.0,,,,5325697000.0,,,,,,,,,408541000.0,,351308000.0,16902000.0,,,,,82720000.0,,,,2001776000.0,,,310613167000.0,0.0,5865741000.0,221786123000.0,1453246000.0,0.0,,,,1989207000.0,,466126000.0,571437000.0,,,,,0.0,,,,,,,50074083000.0,,,202469000.0,,,,284277452000.0,4444444000.0,3690747000.0,,,2322766000.0,3932842000.0,11839364000.0,,26277381000.0,58334000.0,26335715000.0,310613167000.0,47218000.0,,,,,,,,,,,,,,,,,378626000.0,,85785851000.0,4207532000.0,,,,317149000.0,2021q1
226189,600928.XSHG,2021-06-30,2021-08-28,2021-06-30,26411756000.0,,1119387000.0,14187474000.0,,,,,,0.0,,,,4727031000.0,,,,,,,,,414268000.0,,346215000.0,17923000.0,,,,,79773000.0,,,,2148137000.0,,,321312787000.0,0.0,4510126000.0,225870423000.0,1397605000.0,,,,,759138000.0,,536205000.0,354818000.0,,,,,0.0,,,,,,,,,,209779000.0,,,,295154765000.0,4444444000.0,3690747000.0,,,2322766000.0,3932842000.0,11704573000.0,,26098145000.0,59877000.0,26158022000.0,321312787000.0,2773000.0,,,,,,,,,,,,,,,,,364410000.0,,,,,,,311242000.0,2021q2
