id,code,statDate,pubDate,statDate.1,total_operating_revenue,operating_revenue,interest_income,premiums_earned,commission_income,total_operating_cost,operating_cost,interest_expense,commission_expense,refunded_premiums,net_pay_insurance_claims,withdraw_insurance_contract_reserve,policy_dividend_payout,reinsurance_cost,operating_tax_surcharges,sale_expense,administration_expense,financial_expense,asset_impairment_loss,fair_value_variable_income,investment_income,invest_income_associates,exchange_income,operating_profit,non_operating_revenue,non_operating_expense,disposal_loss_non_current_liability,total_profit,income_tax_expense,net_profit,np_parent_company_owners,minority_profit,basic_eps,diluted_eps,other_composite_income,total_composite_income,ci_parent_company_owners,ci_minority_owners,rd_expenses,asset_deal_income,sust_operate_net_profit,discon_operate_net_profit,credit_impairment_loss,net_open_hedge_income,interest_cost_fin,interest_income_fin,other_earnings,other_composite_income_mino_at,requested_period
88973,601009.XSHG,2014-03-31,2014-04-30,2014-03-31,3424964728.68,3424964728.68,2873449883.73,,417817652.42,1695957745.25,,,,,0.0,0.0,,0.0,299717107.12,,1009904193.0,,386029935.79,205619183.53,109967930.9,101479293.6,-190734286.67,1729006983.43,15798914.85,2003415.84,,1742802482.44,311141860.28,1431660622.16,1419791721.53,11868900.63,0.48,0.48,446062496.7,1877723118.86,1865854218.23,11868900.63,,,,,,,,,,,2014q1
88972,601009.XSHG,2014-06-30,2014-08-27,2014-06-30,4007138271.32,4007138271.32,3299483116.27,,472306347.58,2147683254.75,,,,,0.0,0.0,,0.0,333707892.88,,1034326807.0,,1163747000.0,-142321183.53,188006069.1,98516706.4,170058286.67,1859455016.57,23050085.15,3652584.16,,1878852517.56,419135139.72,1459717377.84,1446769278.47,12948099.37,0.4896,0.49,636750503.3,2096467881.14,2083522781.77,12945099.37,,,,,,,,,,,2014q2
88971,601009.XSHG,2014-09-30,2014-10-29,2014-09-30,4099325700.8,4099325700.8,3466165017.37,,594775037.83,2507443390.17,,,,,0.0,0.0,,0.0,355782930.99,,999801907.02,,2307265941.84,-93731995.54,67865176.36,64719052.19,21601313.17,1591882310.63,20814764.6,4343115.71,,1608353959.52,304210481.24,1304143478.28,1293381482.26,10761996.02,0.4353,0.43,196546350.66,1500689828.94,1489927832.92,10761996.02,,,,,,,,,,,2014q3
88970,601009.XSHG,2014-12-31,2015-04-28,2014-12-31,4460105299.2,4460105299.2,3795582982.63,,469095962.17,2629657609.83,,,,,0.0,0.0,,0.0,261223069.01,,1419036092.98,,3245272000.0,160712995.54,245747823.64,125718947.81,-286092313.17,1830447689.37,10534235.4,13382884.29,,1827599040.48,366888518.76,1460710521.72,1448678517.74,12032003.98,0.4882,0.49,336762649.34,1797473171.06,1785433167.08,12040003.98,,,,,,,,,,,2014q4
88969,601009.XSHG,2015-03-31,2015-04-28,2015-03-31,5064037000.0,5064037000.0,4184312000.0,,817313000.0,2877753000.0,,,,,0.0,0.0,,0.0,401160000.0,,1104847000.0,,1368931000.0,-320438000.0,186740000.0,90480000.0,147324000.0,2186284000.0,21190000.0,1520000.0,,2205954000.0,415688000.0,1790266000.0,1773447000.0,16819000.0,0.6,0.6,-275472000.0,1514794000.0,1497975000.0,16819000.0,,,,,,,,,,,2015q1
88968,601009.XSHG,2015-06-30,2015-07-29,2015-06-30,5851194000.0,5851194000.0,4737067000.0,,975558000.0,3428566000.0,,,,,0.0,0.0,,0.0,434721000.0,,1209686000.0,,3122863000.0,30532000.0,307007000.0,82469000.0,-315115000.0,2422628000.0,11463000.0,6995000.0,,2427096000.0,616338000.0,1810758000.0,1794091000.0,16667000.0,0.3369,0.6,312904000.0,2123662000.0,2107003000.0,16659000.0,,,,,,,,,,,2015q2
88967,601009.XSHG,2015-09-30,2015-10-29,2015-09-30,5689633000.0,5689633000.0,4792447000.0,,833871000.0,3655450000.0,,,,,0.0,0.0,,0.0,431590000.0,,1642453000.0,,4678914000.0,648408000.0,134226000.0,109524000.0,-798344000.0,2034183000.0,7847000.0,5634000.0,,2036396000.0,409267000.0,1627129000.0,1610653000.0,16476000.0,0.2644,0.47,383551000.0,2010680000.0,1994182000.0,16498000.0,,,,,,,,,,,2015q3
88966,601009.XSHG,2015-12-31,2016-04-28,2015-12-31,6225618000.0,6225618000.0,5114853000.0,,626475000.0,3890132000.0,,,,,0.0,0.0,,0.0,422650000.0,,1545128000.0,,6611472000.0,-77510000.0,412701000.0,59379000.0,-20281000.0,2335486000.0,25327000.0,10511000.0,,2350302000.0,512797000.0,1837505000.0,1822385000.0,15120000.0,0.3202,0.54,1043433000.0,2880938000.0,2865618000.0,15320000.0,,,,,,,,,,,2015q4
88965,601009.XSHG,2016-03-31,2016-04-28,2016-03-31,7848192000.0,7848192000.0,5927720000.0,,1457086000.0,5013966000.0,,,,,0.0,0.0,,0.0,597613000.0,,1453889000.0,,2951386000.0,-374428000.0,446678000.0,86786000.0,311476000.0,2834226000.0,2266000.0,3497000.0,,2832995000.0,695113000.0,2137882000.0,2119020000.0,18862000.0,0.35,0.63,-210783000.0,1927099000.0,1908136000.0,18963000.0,,,,,,,,,,,2016q1
98587,601009.XSHG,2016-06-30,2016-08-31,2016-06-30,7128793000.0,7128793000.0,5624450000.0,,1173691000.0,4086888000.0,,,,,0.0,0.0,,0.0,231338000.0,,1630045000.0,,5147996000.0,414737000.0,272173000.0,85267000.0,-525142000.0,3041905000.0,12385000.0,1811000.0,,3052479000.0,776789000.0,2275690000.0,2242803000.0,32887000.0,0.2622,0.09,-414436000.0,1861254000.0,1828259000.0,32995000.0,,,,,,,,,,,2016q2
99318,601009.XSHG,2016-09-30,2016-10-25,2016-09-30,6083909000.0,6083909000.0,5097028000.0,,524437000.0,3619386000.0,,,,,0.0,0.0,,0.0,67481000.0,,1432781000.0,,7252603000.0,-89709000.0,289477000.0,75397000.0,108488000.0,2464523000.0,16445000.0,10421000.0,,2470547000.0,450890000.0,2019657000.0,1990249000.0,29408000.0,0.235,0.33,221305000.0,2240962000.0,2211950000.0,29012000.0,,,,,,,,,,,2016q3
104252,601009.XSHG,2016-12-31,2017-04-21,2016-12-31,5559774000.0,5559774000.0,4580490000.0,,667403000.0,3388862000.0,,,,,0.0,0.0,,0.0,97901000.0,,2085494000.0,,8456431000.0,-26122000.0,355498000.0,73550000.0,-210569000.0,2170912000.0,17139000.0,30758000.0,,2157293000.0,244148000.0,1913145000.0,1909563000.0,3582000.0,0.2196,0.28,-1381223000.0,531922000.0,528395000.0,3527000.0,,,,,,,,,,,2016q4
107091,601009.XSHG,2017-03-31,2017-04-28,2017-03-31,6230537000.0,6230537000.0,5078143000.0,,844190000.0,3162651000.0,,,,,0.0,0.0,,0.0,88793000.0,,1682845000.0,,1375436000.0,-175911000.0,127240000.0,128287000.0,244788000.0,3067886000.0,12266000.0,3399000.0,,3076753000.0,598146000.0,2478607000.0,2453408000.0,25199000.0,0.29,0.4,-478188000.0,2000419000.0,1975261000.0,25158000.0,,,,,,,,,,,2017q1
109813,601009.XSHG,2017-06-30,2017-08-25,2017-06-30,6194546000.0,6194546000.0,5071392000.0,,771143000.0,2917095000.0,,,,,0.0,0.0,,0.0,67922000.0,,1641468000.0,,2547638000.0,-338067000.0,128234000.0,105768000.0,395037000.0,3277451000.0,15378000.0,3353000.0,,3289476000.0,607720000.0,2681756000.0,2651119000.0,30637000.0,0.3116,0.2,-820087000.0,1861669000.0,1831186000.0,30483000.0,,,,,,,,,,,2017q2
113869,601009.XSHG,2017-09-30,2017-10-28,2017-09-30,6142031000.0,6142031000.0,4949279000.0,,746739000.0,3301862000.0,,,,,0.0,0.0,,0.0,91196000.0,,1676342000.0,,4040816000.0,-275507000.0,376589000.0,109344000.0,180735000.0,2840169000.0,7243000.0,9673000.0,,2837739000.0,481926000.0,2355813000.0,2328569000.0,27244000.0,0.2757,0.28,-170771000.0,2185042000.0,2157440000.0,27602000.0,,,,,,,,,,,2017q3
123272,601009.XSHG,2017-12-31,2018-04-26,2017-12-31,6271623000.0,6271623000.0,4991786000.0,,1126801000.0,3559000000.0,,,,,0.0,0.0,,0.0,66246000.0,,2252828000.0,,5304681000.0,-1166962000.0,893901000.0,86424000.0,693989000.0,2712623000.0,-18133000.0,13997000.0,,2680493000.0,435893000.0,2244600000.0,2235077000.0,9523000.0,0.252,0.21,-790696000.0,1453904000.0,1444061000.0,9843000.0,,,,,,,,,,,2017q4
123085,601009.XSHG,2018-03-31,2018-04-26,2018-03-31,6699781000.0,6699781000.0,5366650000.0,,976996000.0,3140360000.0,,,,,0.0,0.0,,0.0,56817000.0,,1816248000.0,,1237571000.0,-958310000.0,182543000.0,119007000.0,1103019000.0,3559421000.0,1335000.0,35361000.0,,3525395000.0,610698000.0,2914697000.0,2885517000.0,29180000.0,0.34,0.34,571232000.0,3485929000.0,3456736000.0,29193000.0,,,,,,,,,700000.0,,2018q1
126280,601009.XSHG,2018-06-30,2018-08-10,2018-06-30,6795948000.0,6795948000.0,5219898000.0,,917082000.0,3124613000.0,,,,,0.0,0.0,,0.0,76088000.0,,1809052000.0,,2458686000.0,3036920000.0,344502000.0,102769000.0,-2813391000.0,3671335000.0,15783000.0,7631000.0,,3679487000.0,556708000.0,3122779000.0,3092254000.0,30525000.0,0.3621,0.36,412503000.0,3535282000.0,3505550000.0,29732000.0,,,,,,,,,39780000.0,,2018q2
133007,601009.XSHG,2018-09-30,2018-10-31,2018-09-30,6695762000.0,6695762000.0,5275110000.0,,880063000.0,3760557000.0,,,,,0.0,0.0,,0.0,73639000.0,,1898463000.0,,4215593000.0,745563000.0,443101000.0,103789000.0,-696620000.0,2935205000.0,7716000.0,9139000.0,,2933782000.0,309958000.0,2623824000.0,2596418000.0,27406000.0,0.3058,0.31,443089000.0,3066913000.0,3040038000.0,26875000.0,,,,,,,,,5135000.0,,2018q3
149002,601009.XSHG,2018-12-31,2019-04-30,2018-12-31,7214067000.0,7214067000.0,5705069000.0,,813826000.0,4668482000.0,,,,,0.0,0.0,,0.0,64959000.0,,2317510000.0,,6478914000.0,-422320000.0,1075752000.0,88856000.0,-14969000.0,2545585000.0,4434000.0,16084000.0,,2533935000.0,7515000.0,2526420000.0,2498722000.0,27698000.0,0.2843,0.25,852133000.0,3378553000.0,3350172000.0,28381000.0,,,,,,,,,34732000.0,,2018q4
