id,company_id,company_name,code,a_code,b_code,h_code,pub_date,start_date,end_date,report_date,report_type,source_id,source,operate_cash_flow,net_loan_and_advance_decrease,net_deposit_increase,net_borrowing_from_central_bank,net_deposit_in_cb_and_ib_de,net_borrowing_from_finance_co,interest_and_commission_cashin,trade_asset_increase,net_increase_in_placements,net_buyback,tax_levy_refund,net_original_insurance_cash,insurance_cash_amount,net_insurer_deposit_investment,subtotal_operate_cash_inflow,net_loan_and_advance_increase,saving_clients_decrease_amount,net_deposit_in_cb_and_ib,central_borrowing_decrease,other_money_increase,purchase_trade_asset_increase,repurchase_decrease,handling_charges_and_commission,goods_and_services_cash_paid,goods_sale_and_service_render_cash,net_cash_re_insurance,reserve_investment_decrease,original_compensation_paid,policy_dividend_cash_paid,staff_behalf_paid,tax_payments,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_cash_flow,invest_withdrawal_cash,invest_proceeds,gain_from_disposal,subtotal_invest_cash_inflow,invest_cash_paid,impawned_loan_net_increase,fix_intan_other_asset_acqui_cash,subtotal_invest_cash_outflow,net_invest_cash_flow,finance_cash_flow,cash_from_invest,cash_from_bonds_issue,cash_from_borrowing,subtotal_finance_cash_inflow,borrowing_repayment,dividend_interest_payment,subtotal_finance_cash_outflow,net_finance_cash_flow,exchange_rate_change_effect,other_reason_effect_cash,cash_equivalent_increase,cash_equivalents_at_beginning,cash_and_equivalents_at_end,net_profit_cashflow_adjustment,net_profit,assets_depreciation_reserves,fixed_assets_depreciation,intangible_assets_amortization,defferred_expense_amortization,fix_intan_other_asset_dispo_loss,fixed_asset_scrap_loss,fair_value_change_loss,financial_cost,invest_loss,deffered_tax_asset_decrease,deffered_tax_liability_increase,inventory_decrease,operate_receivables_decrease,operate_payable_increase,others,net_operate_cash_flow2,activities_not_relate_major,debt_to_capital,cbs_expiring_in_one_year,financial_lease_fixed_assets,change_info_cash,cash_at_end,cash_at_beginning,equivalents_at_end,equivalents_at_beginning,other_influence2,cash_equivalent_increase2,investment_property_depreciation,net_dec_finance_out,net_cash_received_from_proxy_secu,net_inc_finance_out,net_cash_paid_to_proxy_secu,net_dec_in_placements,credit_impairment_loss
7257,300016867,重庆农村商业银行股份有限公司,601077.XSHG,601077,,03618,2020-03-27,2019-01-01,2019-12-31,2019-12-31,0,321003,定期报告,,,41085799000.0,896698000.0,20508603000.0,,34552498000.0,,,,,,,,111301964000.0,56609846000.0,,,,,,,14189755000.0,,,,,,,6130484000.0,5337261000.0,87450705000.0,23851259000.0,,179247875000.0,12926435000.0,56207000.0,192230517000.0,243245791000.0,,837524000.0,244083315000.0,-51852798000.0,,9887711000.0,256640438000.0,,266528149000.0,249820000000.0,2709435000.0,252642919000.0,13885230000.0,12102000.0,,-14104207000.0,34637437000.0,20533230000.0,,9988110000.0,847000.0,726214000.0,34737000.0,21010000.0,,,,,,,,,-32734991000.0,50126914000.0,-10884225000.0,23851259000.0,,,,,,,,20533230000.0,34637437000.0,,-14104207000.0,,,,,,2840687000.0,6572643000.0
8583,300016867,重庆农村商业银行股份有限公司,601077.XSHG,601077,,03618,2020-04-25,2020-01-01,2020-03-31,2020-03-31,0,321003,定期报告,,,36353381000.0,8472710000.0,0.0,,10092279000.0,,,,,,,,72525798000.0,13014388000.0,,3517239000.0,,0.0,1864573000.0,,4897061000.0,,,,,,,1570870000.0,2340992000.0,31189791000.0,41336007000.0,,42309675000.0,4017774000.0,336300000.0,46663749000.0,52702959000.0,,404720000.0,53107679000.0,-6443930000.0,,,37395877000.0,,37395877000.0,,36000.0,63644044000.0,-26248167000.0,19615000.0,,8663525000.0,20533230000.0,29196755000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,617039000.0,
8836,300016867,重庆农村商业银行股份有限公司,601077.XSHG,601077,,03618,2020-08-27,2020-01-01,2020-06-30,2020-06-30,0,321003,定期报告,,,52802170000.0,7359260000.0,2718444000.0,,17354663000.0,,,20203878000.0,,,,,115354826000.0,37504012000.0,,,,,,,8181799000.0,,,,,,,2833980000.0,2765189000.0,57140391000.0,58214435000.0,,98377400000.0,8289422000.0,14787000.0,106681609000.0,112083949000.0,,133595000.0,112217544000.0,-5535935000.0,,,96586114000.0,,96586114000.0,,2464136000.0,138422152000.0,-41836038000.0,17925000.0,,10860387000.0,20533230000.0,31393617000.0,,5265134000.0,,,20074000.0,9118000.0,,,-13123000.0,,-384646000.0,-430036000.0,,,-22529217000.0,77296465000.0,-1019334000.0,58214435000.0,,,,,,31393617000.0,20533230000.0,,,,10860387000.0,,,,,,942401000.0,
9047,300016867,重庆农村商业银行股份有限公司,601077.XSHG,601077,,03618,2020-10-30,2020-01-01,2020-09-30,2020-09-30,0,321003,定期报告,,,87762801000.0,13838730000.0,0.0,639778000.0,26651053000.0,,,,,,,,158390703000.0,60809998000.0,,2890403000.0,,0.0,1127667000.0,,11719631000.0,,,,,,,3766285000.0,3857357000.0,89123321000.0,69267382000.0,,145390767000.0,11422632000.0,39025000.0,156852424000.0,178295758000.0,,279230000.0,178574988000.0,-21722564000.0,,,194100541000.0,,194100541000.0,,2464136000.0,234938173000.0,-40837632000.0,10885000.0,,6718071000.0,20533230000.0,27251301000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
9484,300016867,重庆农村商业银行股份有限公司,601077.XSHG,601077,,03618,2021-03-31,2020-01-01,2020-12-31,2020-12-31,0,321003,定期报告,,,74862031000.0,31067674000.0,,624106000.0,34386741000.0,,,,,,,,159472100000.0,79903872000.0,,849150000.0,,,1135806000.0,,14826592000.0,,,,,,,4661016000.0,4775896000.0,117101820000.0,42370280000.0,,176771684000.0,14237030000.0,143059000.0,191151773000.0,228247446000.0,,790128000.0,229037574000.0,-37885801000.0,,,225530930000.0,,225530930000.0,,3318963000.0,231221852000.0,-5690922000.0,-58649000.0,,-1265092000.0,20533230000.0,19268138000.0,,8564773000.0,1087000.0,788660000.0,43238000.0,17805000.0,-96336000.0,,119499000.0,,-929400000.0,-1543062000.0,,,-63628080000.0,99452538000.0,-10629035000.0,42370280000.0,,,,,,19268138000.0,20533230000.0,,,,-1265092000.0,,,,,,,10208593000.0
12943,300016867,重庆农村商业银行股份有限公司,601077.XSHG,601077,,03618,2021-04-30,2021-01-01,2021-03-31,2021-03-31,0,321003,定期报告,,,32985356000.0,4086323000.0,3776329000.0,5093864000.0,8966311000.0,,,,,,,,60684026000.0,31476731000.0,,1054446000.0,,387705000.0,,,6856868000.0,,,,,,,1869097000.0,638611000.0,44015805000.0,16668221000.0,,51888579000.0,4787549000.0,61899000.0,56738027000.0,72456697000.0,,158356000.0,72615053000.0,-15877026000.0,,,50500438000.0,,50500438000.0,45610000000.0,373813000.0,46008728000.0,4491710000.0,-23533000.0,,5259372000.0,19268138000.0,24527510000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
13051,300016867,重庆农村商业银行股份有限公司,601077.XSHG,601077,,03618,2021-08-26,2021-01-01,2021-06-30,2021-06-30,0,321003,定期报告,,,28680521000.0,5034805000.0,7533535000.0,7137278000.0,18341778000.0,,,,,,,,84300778000.0,55910400000.0,,,,,976566000.0,,10594722000.0,,,,,,,3179676000.0,3048165000.0,74491388000.0,9809390000.0,,110446749000.0,9143857000.0,30551000.0,119621157000.0,152700117000.0,,202702000.0,152902819000.0,-33281662000.0,,,148105347000.0,,148105347000.0,,3058474000.0,117299259000.0,30806088000.0,-16781000.0,,7317035000.0,19268138000.0,26585173000.0,,5817887000.0,,374802000.0,22395000.0,7018000.0,-18563000.0,,-131178000.0,,-435883000.0,-962321000.0,,,-41223774000.0,47892136000.0,-5486088000.0,9809390000.0,,,,,,26585173000.0,19268138000.0,,,,7317035000.0,,,,,,,3952959000.0
13235,300016867,重庆农村商业银行股份有限公司,601077.XSHG,601077,,03618,2021-10-29,2021-01-01,2021-09-30,2021-09-30,0,321003,定期报告,,,31860649000.0,5257424000.0,14916541000.0,7187490000.0,27438357000.0,,,,,,,,127324797000.0,73970607000.0,,,,,8259527000.0,,14538998000.0,,,,,,,4227344000.0,3729289000.0,106249077000.0,21075720000.0,,171694162000.0,12682501000.0,50600000.0,184427263000.0,231238748000.0,,495756000.0,231734504000.0,-47307241000.0,,,229262429000.0,,233262429000.0,,3240824000.0,184325355000.0,48937074000.0,-18764000.0,,22686789000.0,19268138000.0,41954927000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13491,300016867,重庆农村商业银行股份有限公司,601077.XSHG,601077,,03618,2022-03-31,2021-01-01,2021-12-31,2021-12-31,0,321003,定期报告,,,27249811000.0,18153576000.0,18091601000.0,,39627145000.0,,7387709000.0,,,,,,156128073000.0,81091565000.0,,,,,903725000.0,,18533948000.0,,,,,,,5383181000.0,5912155000.0,114899228000.0,41228845000.0,,207479022000.0,16061473000.0,85598000.0,223626093000.0,294790854000.0,,880675000.0,295671529000.0,-72045436000.0,,,289601353000.0,,293601353000.0,,3592245000.0,246230282000.0,47371071000.0,-37193000.0,,16517287000.0,19268138000.0,35785425000.0,,9718354000.0,1209000.0,791011000.0,46125000.0,13753000.0,-55109000.0,,-235265000.0,,-1133263000.0,,,,-32135005000.0,65911295000.0,-12546396000.0,41228845000.0,,,,,,35785425000.0,19268138000.0,,,,16517287000.0,,,,,,,10852136000.0
13702,300016867,重庆农村商业银行股份有限公司,601077.XSHG,601077,,03618,2022-04-29,2022-01-01,2022-03-31,2022-03-31,0,321003,定期报告,,,54355149000.0,5091637000.0,958223000.0,8994843000.0,9916771000.0,,,4154413000.0,,,,,91664244000.0,25300927000.0,,,,,2527769000.0,,6803148000.0,,,,,,,1851252000.0,828397000.0,38037245000.0,53626999000.0,,65202533000.0,5416377000.0,17541000.0,70636451000.0,84812369000.0,,79252000.0,84891621000.0,-14255170000.0,,,29478427000.0,,29478427000.0,,295201000.0,62757552000.0,-33279125000.0,-95880000.0,,5996824000.0,35785425000.0,41782249000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
