id,code,statDate,pubDate,statDate.1,goods_sale_and_service_render_cash,net_deposit_increase,net_borrowing_from_central_bank,net_borrowing_from_finance_co,net_original_insurance_cash,net_cash_received_from_reinsurance_business,net_insurer_deposit_investment,net_deal_trading_assets,interest_and_commission_cashin,net_increase_in_placements,net_buyback,tax_levy_refund,other_cashin_related_operate,subtotal_operate_cash_inflow,goods_and_services_cash_paid,net_loan_and_advance_increase,net_deposit_in_cb_and_ib,original_compensation_paid,handling_charges_and_commission,policy_dividend_cash_paid,staff_behalf_paid,tax_payments,other_operate_cash_paid,subtotal_operate_cash_outflow,net_operate_cash_flow,invest_withdrawal_cash,invest_proceeds,fix_intan_other_asset_dispo_cash,net_cash_deal_subcompany,other_cash_from_invest_act,subtotal_invest_cash_inflow,fix_intan_other_asset_acqui_cash,invest_cash_paid,impawned_loan_net_increase,net_cash_from_sub_company,other_cash_to_invest_act,subtotal_invest_cash_outflow,net_invest_cash_flow,cash_from_invest,cash_from_mino_s_invest_sub,cash_from_borrowing,cash_from_bonds_issue,other_finance_act_cash,subtotal_finance_cash_inflow,borrowing_repayment,dividend_interest_payment,proceeds_from_sub_to_mino_s,other_finance_act_payment,subtotal_finance_cash_outflow,net_finance_cash_flow,exchange_rate_change_effect,cash_equivalent_increase,cash_equivalents_at_beginning,cash_and_equivalents_at_end,requested_period
310427,601187.XSHG,2020-09-30,2020-10-26,2020-09-30,,5856775371.21,,,,,,,2658293132.85,,,,-1651659442.03,-909679446.48,,6648264799.37,766361933.45,,1359129513.96,,169777525.13,129836364.74,7107909167.47,16181278304.12,-17090958750.6,1538089628856.26,-120288211.29,325082.99,,,1537969665727.96,38273900.71,1535010709987.26,,,,1535048983887.97,2920681839.99,,,,50494499360.0,,50494499360.0,36044576000.0,690879818.7,,,36735455818.7,13759042541.3,-14567354.15,-425801723.46,18843468723.46,18417667000.0,2020q3
218718,601187.XSHG,2020-12-31,2021-04-27,2020-12-31,,3983018704.02,,,,,,,900178297.32,,,,3412244541.24,8295440542.58,,9478656972.22,-1075301563.27,,1433729297.25,,232338758.83,130040287.89,-8213562754.03,1985901998.89,6309539543.69,160352587113.5,2290008697.46,42971921.0,,,162685567731.96,128403480.59,157205799879.28,,,,157334203359.87,5351364372.09,,,,44970477740.0,,47708503487.27,53115424000.0,-1217789814.16,,,52627334185.84,-4918829698.57,-16847247.51,6725226969.7,18417666636.0,25142893605.7,2020q4
218408,601187.XSHG,2021-03-31,2021-04-27,2021-03-31,,1129706000.0,,,,,,,2110625000.0,737232000.0,,,19124000.0,6666330000.0,,9388662000.0,3314933000.0,,1048906000.0,,452446000.0,182901000.0,2154067000.0,26948629000.0,-20282299000.0,508609196000.0,268816000.0,80000.0,,,508878092000.0,77817000.0,505420271000.0,,,,505498088000.0,3380004000.0,1654132000.0,155000000.0,,35202241000.0,,36856373000.0,28510000000.0,186846000.0,,,28696846000.0,8159527000.0,-89326000.0,-8832094000.0,25142894000.0,16310800000.0,2021q1
226692,601187.XSHG,2021-06-30,2021-08-28,2021-06-30,,19797905434.97,,,,,,,2447673514.77,3750656282.0,,,17074171.55,23343666403.29,,11381872107.44,12517226911.19,,1299766418.63,,166198831.17,536180604.83,1125380711.01,23850183057.07,-506516653.78,408264996171.76,711703014.2,614881.85,,,408977314067.81,60474348.48,409585754276.4,,,,409646228624.88,-668914557.07,-301.89,0.0,,39784601980.0,,39784601678.11,44590000000.0,340684327.22,,,44977984195.89,-5193382517.78,-141943308.63,-6510757037.26,16310800000.0,9800042568.44,2021q2
228560,601187.XSHG,2021-09-30,2021-10-26,2021-09-30,,9040527565.03,,,,,,,2446414485.23,-3312097282.0,,,18077828.45,10925119596.71,,7546848892.56,2613133088.81,,1002102581.37,,353600168.83,158108395.17,-2173268711.01,10124890942.93,800227653.78,465678798828.24,1075371985.8,460118.15,,,466754629932.19,77667651.52,461751310723.6,,,,461828979375.12,4925651557.07,301.89,0.0,,38094932020.0,,38094931321.89,37470000000.0,521303672.78,,,38021344804.11,73587517.78,-616923691.37,5182543037.26,9800042568.44,14982585000.0,2021q3
233601,601187.XSHG,2021-12-31,2022-03-30,2021-12-31,,-27980783926.85,,,,,,,2639786825.2,360084513.65,,,26897119017.89,2663230948.26,,6176046482.83,-9883763245.59,,1466527830.09,,100076560.39,142501805.46,6630401442.93,4631789876.11,-1968557927.85,492941722685.04,763458228.83,21726880.98,,,493726907794.85,115388003.43,498112845498.52,,,,498228233501.95,-4501325707.1,-301.89,,,41569171530.0,,41569171228.11,35830000000.0,48035044.52,,122627840.62,36000662885.14,5568508342.97,729637165.03,-171738126.95,14982585605.7,14810847478.75,2021q4
239647,601187.XSHG,2022-03-31,2022-04-28,2022-03-31,,2004219000.0,217440000.0,,,,,,2523565000.0,7330762000.0,,,8074684000.0,20150671000.0,,6095657000.0,,,1181133000.0,,473495000.0,183563000.0,2928718000.0,10862566000.0,9288105000.0,328534164000.0,450844000.0,9394000.0,,,328994402000.0,63187000.0,337397712000.0,,,,337460899000.0,-8466497000.0,,,,38225597000.0,,38225597000.0,36870000000.0,90029000.0,,28302000.0,36988331000.0,1237266000.0,-17486000.0,2041388000.0,14810847000.0,16852235000.0,2022q1
245630,601187.XSHG,2022-06-30,2022-08-27,2022-06-30,,78343381.85,-124280000.0,,,,,,2862111384.18,-4748023644.77,,,30441378043.53,28509528164.79,,3911450264.25,,,1408025120.9,,216133130.54,304371422.78,12049229794.14,20318510622.55,8191017542.24,-95440523864.58,104364312.42,-2048731.23,,,-95338208283.39,130958386.99,-95374445960.32,,,,-95243487573.33,-94720710.06,,,,32917869810.0,,32917869810.0,37390000000.0,648876718.55,,403452227.71,38442328946.26,-5524459136.26,104932850.46,2676770546.38,16852235478.83,19529006025.21,2022q2
248586,601187.XSHG,2022-09-30,2022-10-26,2022-09-30,,22897426618.15,-52870000.0,,,,,,2620062615.82,3273576644.77,,,-30742212043.53,-478293164.79,,5589236735.75,-1833006889.94,,1287687879.1,,282735869.46,258317577.22,6007357205.86,2651072377.45,-3129365542.24,163429668864.58,1005431687.58,14835731.23,,,164449936283.39,183349613.01,165083858960.32,,,,165267208573.33,-817272289.94,,,,26267093190.0,,26267093190.0,19020000000.0,294499281.45,,-345476227.71,18969023053.74,7298069136.26,78521149.54,3429953453.62,19529005546.38,22958959000.0,2022q3
260339,601187.XSHG,2022-12-31,2023-04-28,2022-12-31,,4965684770.92,,,,,,,2372407510.85,378916331.01,,,12981152266.57,19132147879.35,,10380514477.53,,,1393027833.43,,283005302.49,74696241.07,-13289956838.06,7186249016.46,11945898862.89,117893990256.04,1029274418.07,55060936.36,,,118978325610.47,172771575.74,119215843154.36,,,,119388614730.1,-410289119.63,,,,31753510050.0,,31753510050.0,33900000000.0,302137374.66,,30733003.66,34232870378.32,-2479359328.32,13769175.93,9070018590.87,22958959478.75,32028978069.62,2022q4
