open,close,high,low,volume,money
6.32,7.39,7.58,6.32,171508203.0,1225382298.16
7.03,6.65,7.03,6.65,63352051.0,427544725.35
6.05,6.12,6.3,5.98,124107013.0,759110152.7
6.03,5.98,6.23,5.95,85218711.0,517226082.84
5.95,5.86,6.07,5.83,62540321.0,369355760.58
5.88,6.35,6.45,5.77,133957055.0,835719366.96
6.32,6.38,6.51,6.14,105573962.0,667026414.31
6.38,6.24,6.38,6.15,72256832.0,450999270.35
6.2,6.5,6.5,6.09,82173548.0,516576956.53
6.6,7.15,7.15,6.38,141163791.0,952475574.42
7.54,7.0,7.87,6.96,197241316.0,1486316722.44
6.65,7.7,7.7,6.56,166659119.0,1171379848.45
7.52,7.21,7.69,7.14,138864630.0,1023590675.05
7.0,7.05,7.39,6.93,92569330.0,661408779.9
7.14,7.08,7.22,6.88,84526534.0,598627393.94
7.0,7.23,7.46,6.79,113667088.0,806296859.9
7.21,7.95,7.95,7.13,177620574.0,1385527972.62
8.04,8.47,8.75,7.82,227697864.0,1891674717.56
8.18,8.01,8.26,7.73,150499419.0,1199488313.66
7.85,8.28,8.71,7.81,150398220.0,1236308147.87
8.05,8.06,8.27,7.95,96553821.0,781053693.77
8.03,8.07,8.3,7.9,82462979.0,668810618.73
7.93,8.11,8.2,7.85,73558439.0,591814457.21
8.07,8.92,8.92,8.06,153607893.0,1301827228.65
9.54,9.18,9.81,9.07,216590096.0,2085948276.01
9.27,10.1,10.1,8.88,200053996.0,1905318835.19
10.44,11.11,11.11,10.25,203790165.0,2194199069.04
11.01,11.22,12.15,10.57,207668471.0,2373706734.11
10.5,10.1,10.75,10.1,157993575.0,1626752055.69
9.87,10.27,10.34,9.7,107059159.0,1067715606.82
9.96,10.02,10.18,9.85,75750872.0,756173969.21
9.97,10.28,10.72,9.9,126384989.0,1308705475.84
9.81,9.7,10.05,9.42,99766647.0,975508478.66
9.62,9.33,9.65,9.19,75432266.0,704481430.55
9.3,9.46,9.5,9.17,60557859.0,567323152.1
9.37,9.17,9.38,8.94,68277705.0,620754952.12
