day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio,field_set
2016-11-16,601229.XSHG,0.0847,1536.5388,153.6552,10.9719,1.4867,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-11-17,601229.XSHG,0.1832,1690.2527,169.0267,12.0695,1.6354,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-11-18,601229.XSHG,41.1043,1815.7457,181.5761,12.9656,1.7568,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-11-21,601229.XSHG,26.5989,1710.6678,171.0682,12.2153,1.6552,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-11-22,601229.XSHG,15.2499,1707.0651,170.7079,12.1895,1.6517,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-11-23,601229.XSHG,16.8678,1698.0585,169.8073,12.1252,1.643,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-11-24,601229.XSHG,16.5051,1638.014,163.8028,11.6965,1.5849,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-11-25,601229.XSHG,8.2574,1644.6189,164.4633,11.7436,1.5913,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-11-28,601229.XSHG,8.1433,1639.8153,163.9829,11.7093,1.5866,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-11-29,601229.XSHG,11.8032,1592.9806,159.2994,11.3749,1.5413,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-11-30,601229.XSHG,6.5748,1573.1659,157.3179,11.2334,1.5221,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-01,601229.XSHG,4.9526,1579.1704,157.9184,11.2763,1.5279,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-02,601229.XSHG,6.5122,1545.5454,154.5558,11.0362,1.4954,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-05,601229.XSHG,3.8661,1549.1481,154.9161,11.0619,1.4989,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-06,601229.XSHG,4.1388,1553.3512,155.3364,11.0919,1.503,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-07,601229.XSHG,3.591,1560.5566,156.057,11.1434,1.5099,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-08,601229.XSHG,7.8106,1576.1681,157.6181,11.2548,1.525,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-09,601229.XSHG,7.3758,1573.1659,157.3179,11.2334,1.5221,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-12,601229.XSHG,8.3562,1499.9116,149.9924,10.7103,1.4513,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-13,601229.XSHG,5.2923,1474.0925,147.4105,10.526,1.4263,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-14,601229.XSHG,3.6509,1472.8916,147.2904,10.5174,1.4251,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-15,601229.XSHG,4.0565,1467.4876,146.75,10.4788,1.4199,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-16,601229.XSHG,3.9545,1459.6818,145.9694,10.4231,1.4123,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-19,601229.XSHG,4.6324,1429.0591,142.9071,10.2044,1.3827,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-20,601229.XSHG,3.1492,1429.0591,142.9071,10.2044,1.3827,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-21,601229.XSHG,5.1548,1454.8782,145.489,10.3888,1.4077,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-22,601229.XSHG,2.9208,1441.6684,144.168,10.2944,1.3949,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-23,601229.XSHG,3.4189,1413.4475,141.3459,10.0929,1.3676,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-26,601229.XSHG,3.2911,1417.0502,141.7062,10.1186,1.3711,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-27,601229.XSHG,2.145,1403.8404,140.3852,10.0243,1.3583,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-28,601229.XSHG,2.0893,1392.432,139.2444,9.9429,1.3473,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-29,601229.XSHG,2.4839,1395.4342,139.5446,9.9643,1.3502,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2016-12-30,601229.XSHG,1.8309,1397.836,139.7848,9.9814,1.3525,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-03,601229.XSHG,3.4383,1416.4498,141.6462,10.1144,1.3705,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-04,601229.XSHG,2.9528,1424.2555,142.4267,10.1701,1.3781,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-05,601229.XSHG,2.9977,1411.0458,141.1058,10.0758,1.3653,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-06,601229.XSHG,3.4872,1390.6306,139.0642,9.93,1.3455,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-09,601229.XSHG,2.0287,1395.4342,139.5446,9.9643,1.3502,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-10,601229.XSHG,2.8778,1379.8226,137.9834,9.8528,1.3351,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-11,601229.XSHG,4.2888,1353.403,135.3414,9.6642,1.3095,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-12,601229.XSHG,2.6394,1338.3919,133.8403,9.557,1.295,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-13,601229.XSHG,3.8408,1323.3808,132.3392,9.4498,1.2805,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-16,601229.XSHG,6.7186,1346.1977,134.6209,9.4061,1.1628,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-17,601229.XSHG,3.773,1347.999,134.801,9.4187,1.1643,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-18,601229.XSHG,2.691,1338.3919,133.8403,9.3515,1.156,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-19,601229.XSHG,4.2949,1354.0035,135.4015,9.4606,1.1695,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-20,601229.XSHG,5.7553,1377.4208,137.7432,9.6242,1.1898,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-23,601229.XSHG,4.5291,1382.8248,138.2836,9.662,1.1944,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-24,601229.XSHG,1.9098,1378.0213,137.8033,9.6284,1.1903,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-25,601229.XSHG,1.8262,1382.2244,138.2236,9.6578,1.1939,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-01-26,601229.XSHG,2.9118,1397.836,139.7848,9.7669,1.2074,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-02-03,601229.XSHG,1.9505,1376.8204,137.6832,9.62,1.1892,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-02-06,601229.XSHG,1.9321,1383.4253,138.3437,9.6662,1.1949,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-02-07,601229.XSHG,2.3891,1369.0146,136.9026,9.5655,1.1825,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
2017-02-08,601229.XSHG,2.7859,1381.6239,138.1635,9.6536,1.1934,"day,code,turnover_ratio,market_cap,circulating_market_cap,pe_ratio,pb_ratio"
