id,company_id,company_name,code,a_code,b_code,h_code,pub_date,start_date,end_date,report_date,report_type,source_id,source,operating_revenue,interest_net_revenue,interest_income,interest_expense,commission_net_income,commission_income,commission_expense,agent_security_income,sell_security_income,manage_income,premiums_earned,assurance_income,premiums_income,premiums_expense,prepare_money,investment_income,invest_income_associates,fair_value_variable_income,exchange_income,other_income,operation_expense,refunded_premiums,compensate_loss,compensation_back,insurance_reserve,insurance_reserve_back,policy_dividend_payout,reinsurance_cost,operating_tax_surcharges,commission_expense2,operation_manage_fee,separate_fee,asset_impairment_loss,other_cost,operating_profit,subsidy_income,non_operating_revenue,non_operating_expense,other_items_influenced_profit,total_profit,income_tax_expense,other_influence_net_profit,net_profit,np_parent_company_owners,minority_profit,eps,basic_eps,diluted_eps,other_composite_income,total_composite_income,ci_parent_company_owners,ci_minority_owners,other_earnings,asset_deal_income,sust_operate_net_profit,discon_operate_net_profit,credit_impairment_loss
1123,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2017-04-24,2016-01-01,2016-12-31,2016-12-31,0,321003,定期报告,34408813000.0,25998109000.0,60651931000.0,34653822000.0,6156844000.0,6484309000.0,327465000.0,,,,,,,,,1648500000.0,,2119075000.0,-1609515000.0,95800000.0,18195608000.0,,,,,,,,714649000.0,,7875911000.0,,9576344000.0,28704000.0,16213205000.0,,181359000.0,75191000.0,,16319373000.0,1994309000.0,,14325064000.0,14308265000.0,16799000.0,,2.61,2.61,-1397034000.0,12928030000.0,12917435000.0,10595000.0,,,,,
1124,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2017-04-28,2017-01-01,2017-03-31,2017-03-31,0,321003,定期报告,8185120000.0,5234160000.0,14974258000.0,9740098000.0,1681606000.0,1761089000.0,79483000.0,,,,,,,,,1891921000.0,,-2030095000.0,1388380000.0,19148000.0,4057566000.0,,,,,,,,89162000.0,,1685039000.0,,2279360000.0,4005000.0,4127554000.0,,29298000.0,1981000.0,,4154871000.0,275310000.0,,3879561000.0,3874419000.0,5142000.0,,0.65,0.65,196705000.0,4076266000.0,4068322000.0,7944000.0,,,,,
1125,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2017-08-26,2017-01-01,2017-06-30,2017-06-30,0,321003,定期报告,15393673000.0,9205299000.0,29001044000.0,19795745000.0,3189649000.0,3363738000.0,174089000.0,,,,,,,,,4050170000.0,,-3750300000.0,2654434000.0,44421000.0,7342566000.0,,,,,,,,175419000.0,,3715395000.0,,3443194000.0,8558000.0,8051107000.0,,81037000.0,5094000.0,,8127050000.0,320842000.0,,7806208000.0,7795857000.0,10351000.0,,1.0,1.0,222751000.0,8028959000.0,8015136000.0,13823000.0,,,,,
1126,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2017-10-28,2017-01-01,2017-09-30,2017-09-30,0,321003,定期报告,24426595000.0,14032531000.0,44000880000.0,29968349000.0,4616923000.0,4923537000.0,306614000.0,,,,,,,,,7065368000.0,,-3617268000.0,2254866000.0,74175000.0,12493673000.0,,,,,,,,256065000.0,,5764327000.0,,6464354000.0,8927000.0,11932922000.0,,124953000.0,9066000.0,,12048809000.0,401284000.0,,11647525000.0,11657574000.0,-10049000.0,,1.49,1.49,-233038000.0,11414487000.0,11418192000.0,-3705000.0,,,,,
4119,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2018-04-21,2017-01-01,2017-12-31,2017-12-31,0,321003,定期报告,33124995000.0,19117309000.0,60082285000.0,40964976000.0,6255786000.0,6785558000.0,529772000.0,,,,,,,,,9636523000.0,,-5569912000.0,3535189000.0,111090000.0,17139272000.0,,,,,,,,343679000.0,,8105358000.0,,8671315000.0,18920000.0,15985723000.0,,122727000.0,25988000.0,,16082462000.0,745669000.0,,15336793000.0,15328499000.0,8294000.0,,1.96,1.96,-1056287000.0,14280506000.0,14260968000.0,19538000.0,29105000.0,9905000.0,15336793000.0,,
4275,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2018-04-28,2018-01-01,2018-03-31,2018-03-31,0,321003,定期报告,9155512000.0,5932741000.0,17261213000.0,11328472000.0,1649562000.0,1783857000.0,134295000.0,,,,,,,,,2275845000.0,,-1154958000.0,429984000.0,19956000.0,4544879000.0,,,,,,,,92259000.0,,1813911000.0,,2633516000.0,5193000.0,4610633000.0,,40355000.0,1498000.0,,4649490000.0,242892000.0,,4406598000.0,4398267000.0,8331000.0,,0.56,0.56,58979000.0,4465577000.0,4461823000.0,3754000.0,2109000.0,273000.0,4406598000.0,,
4359,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2018-08-25,2018-01-01,2018-06-30,2018-06-30,0,321003,定期报告,19749818000.0,12764512000.0,35794431000.0,23029919000.0,3120772000.0,3394208000.0,273436000.0,,,,,,,,,4485719000.0,,5399354000.0,-6079570000.0,54809000.0,9819937000.0,,,,,,,,193152000.0,,4002081000.0,,5619128000.0,5576000.0,9929881000.0,,80772000.0,3330000.0,,10007323000.0,618499000.0,,9388824000.0,9371747000.0,17077000.0,,0.86,0.86,228594000.0,9617418000.0,9609025000.0,8393000.0,5291000.0,-1069000.0,,,
4506,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2018-10-27,2018-01-01,2018-09-30,2018-09-30,0,321003,定期报告,31629713000.0,20758175000.0,55376666000.0,34618491000.0,4489052000.0,4941023000.0,451971000.0,,,,,,,,,6682006000.0,,5768420000.0,-6186583000.0,84752000.0,16381296000.0,,,,,,,,311675000.0,,6412499000.0,,9638947000.0,18175000.0,15248417000.0,,144027000.0,7607000.0,,15384837000.0,1077117000.0,,14307720000.0,14276443000.0,31277000.0,,1.31,1.31,541480000.0,14849200000.0,14834948000.0,14252000.0,35345000.0,-1454000.0,,,
5045,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2019-04-20,2018-01-01,2018-12-31,2018-12-31,0,321003,定期报告,43887822000.0,29936829000.0,75877060000.0,45940231000.0,5979539000.0,6744495000.0,764956000.0,,,,,,,,,7906133000.0,,4652482000.0,-4718719000.0,95427000.0,24803503000.0,,,,,,,,446728000.0,,9006391000.0,,15331901000.0,18483000.0,19084319000.0,,199037000.0,31484000.0,,19251872000.0,1184037000.0,,18067835000.0,18034040000.0,33795000.0,,1.56,1.56,1180474000.0,19248309000.0,19232831000.0,15478000.0,42998000.0,-6867000.0,18067835000.0,,
5153,300010207,上海银行股份有限公司,601229.XSHG,601229,,,2019-04-27,2019-01-01,2019-03-31,2019-03-31,0,321003,定期报告,13015439000.0,6820627000.0,18493867000.0,11673240000.0,1824991000.0,1984184000.0,159193000.0,,,,,,,,,2732829000.0,,1869153000.0,-276492000.0,40850000.0,7398452000.0,,,,,,,,101276000.0,,2050493000.0,,,303000.0,5616987000.0,,40135000.0,19495000.0,,5637627000.0,602504000.0,,5035123000.0,5019498000.0,15625000.0,,0.46,0.46,127296000.0,5162419000.0,5146794000.0,15625000.0,3464000.0,17000.0,,,5246380000.0
