id,code,pubDate,statDate,total_loan,total_deposit,interest_earning_assets,non_interest_earning_assets,interest_earning_assets_yield,interest_bearing_liabilities,non_interest_bearing_liabilities,interest_bearing_liabilities_interest_rate,non_interest_income,non_interest_income_ratio,net_interest_margin,net_profit_margin,core_level_capital,net_core_level_capital,core_level_capital_adequacy_ratio,net_level_1_capital,level_1_capital_adequacy_ratio,net_capital,capital_adequacy_ratio,weighted_risky_asset,deposit_loan_ratio,short_term_asset_liquidity_ratio_CNY,short_term_asset_liquidity_ratio_FC,Nonperforming_loan_rate,single_largest_customer_loan_ratio,top_ten_customer_loan_ratio,bad_debts_reserve,non_performing_loan_provision_coverage,cost_to_income_ratio,former_core_capital,former_net_core_capital,former_net_core_capital_adequacy_ratio,former_net_capital,former_capital_adequacy_ratio,former_weighted_risky_asset,normal_amount,normal_amount_ratio,concerned_amount,concerned_amount_ratio,secondary_amount,secondary_amount_ratio,suspicious_amount,suspicious_amount_ratio,loss_amount,loss_amount_ratio,short_term_loan_average_balance,short_term_loan_annualized_average_interest_rate,mid_term_loan_annualized_average_balance,mid_term_loan_annualized_average_interest_rate,enterprise_deposits_average_balance,enterprise_deposits_average_interest_rate,savings_deposit_average_balance,savings_deposit_average_interest_rate,requested_year
110548,601818.XSHG,2015-03-28,2014-12-31,1299455000000.0,1785337000000.0,2528762000000.0,208248000000.0,5.3,2332517000000.0,225010000000.0,3.24,20272000000.0,25.814,2.3,2.06,179356000000.0,177271000000.0,9.34,177281000000.0,9.34,212719000000.0,11.21,1898231000000.0,70.1,45.9,109.61,1.19,3.05,15.19,28025000000.0,180.52,29.82,179025000000.0,,9.9,218379000000.0,9.95,1762382000000.0,1241912000000.0,95.57,42018000000.0,3.24,8685000000.0,0.67,4864000000.0,0.37,1976000000.0,0.15,,,,,1286024000000.0,2.61,398346000000.0,3.11,2014
110619,601818.XSHG,2016-03-30,2015-12-31,1513543000000.0,1993843000000.0,2949241000000.0,218469000000.0,4.81,2697768000000.0,245895000000.0,2.8,26700000000.0,28.6607,2.25,2.01,203950000000.0,201835000000.0,9.24,221827000000.0,10.15,259482000000.0,11.87,2185516000000.0,73.59,54.9,98.87,1.61,2.38,11.86,38119000000.0,156.39,26.91,,,,,11.87,,1422656000000.0,94.0,66512000000.0,4.39,11109000000.0,0.73,10572000000.0,0.7,2694000000.0,0.18,,,,,1444628000000.0,2.48,430132000000.0,2.73,2015
110530,601818.XSHG,2017-03-31,2016-12-31,1795278000000.0,2120887000000.0,3658902000000.0,361140000000.0,3.92,3352365000000.0,416609000000.0,2.33,28749000000.0,30.572,1.78,1.59,221001000000.0,218876000000.0,8.21,248873000000.0,9.34,287880000000.0,10.8,2665037000000.0,84.6475,63.18,78.81,1.6,2.37,14.62,43634000000.0,152.02,28.77,,,,,,,1698723000000.0,94.62,67853000000.0,3.78,11367000000.0,0.63,14078000000.0,0.79,3257000000.0,0.18,,,,,1625568000000.0,1.97,465575000000.0,2.02,2016
110734,601818.XSHG,2018-03-29,2017-12-31,2032056000000.0,2272665000000.0,4011966000000.0,76277000000.0,4.0,3710275000000.0,72532000000.0,2.68,30900000000.0,33.6418,1.52,1.32,275302000000.0,273026000000.0,9.56,303038000000.0,10.61,385524000000.0,13.49,2856800000000.0,89.4129,59.93,62.45,1.59,1.29,10.0,51238000000.0,158.18,31.92,,,,,,,1939378000000.0,95.44,60286000000.0,2.97,10204000000.0,0.5,13875000000.0,0.68,8313000000.0,0.41,,,,,1741071000000.0,1.94,444179000000.0,1.92,2017
110768,601818.XSHG,2019-03-29,2018-12-31,2421329000000.0,2571961000000.0,3959636000000.0,397696000000.0,4.69,3870593000000.0,164266000000.0,2.78,49201000000.0,44.6292,1.97,1.91,292093000000.0,289638000000.0,9.15,319659000000.0,10.09,412012000000.0,13.01,3166668000000.0,94.1433,64.26,62.15,1.59,2.12,11.88,67209000000.0,176.16,28.79,,,,,,,2324565000000.0,96.0,58343000000.0,2.41,17392000000.0,0.72,14437000000.0,0.6,6592000000.0,0.27,,,,,1856309000000.0,2.11,519440000000.0,2.28,2018
110894,601818.XSHG,2020-03-28,2019-12-31,2712204000000.0,3017888000000.0,4415397000000.0,318034000000.0,4.76,4188693000000.0,158684000000.0,2.58,30894000000.0,23.2615,2.31,2.18,320793000000.0,317863000000.0,9.2,382865000000.0,11.08,465505000000.0,13.47,3456054000000.0,89.8709,72.63,93.29,1.56,1.86,10.91,76228000000.0,181.62,27.29,,,,,,,2609993000000.0,96.23,59999000000.0,2.21,23466000000.0,0.87,12049000000.0,0.44,6697000000.0,0.25,,,,,2150995000000.0,2.19,658313000000.0,2.56,2019
110985,601818.XSHG,2021-03-27,2020-12-31,3009482000000.0,3480667000000.0,4827712000000.0,540398000000.0,4.59,4630122000000.0,282990000000.0,2.39,31782000000.0,22.3064,2.29,2.2,349479000000.0,346022000000.0,9.02,451045000000.0,11.75,533530000000.0,13.9,3837489000000.0,86.4628,66.07,127.9,1.38,2.08,8.77,75533000000.0,182.71,26.41,,,,,,,2903043000000.0,96.47,64773000000.0,2.15,19795000000.0,0.66,11604000000.0,0.38,10267000000.0,0.34,,,,,2613811000000.0,2.22,770019000000.0,2.55,2020
111065,601818.XSHG,2022-03-26,2021-12-31,3307304000000.0,3675743000000.0,5193812000000.0,708257000000.0,4.42,4987677000000.0,430026000000.0,2.35,40596000000.0,26.5766,2.16,2.07,378813000000.0,374792000000.0,8.91,479854000000.0,11.41,562254000000.0,13.37,4204733000000.0,89.9765,75.58,125.41,1.25,1.17,7.74,76889000000.0,187.02,28.02,,,,,,,3204469000000.0,96.89,61469000000.0,1.86,23012000000.0,0.7,12513000000.0,0.37,5841000000.0,0.18,,,,,2680063000000.0,2.16,806458000000.0,2.45,2021
111329,601818.XSHG,2023-03-25,2022-12-31,3582531000000.0,3917168000000.0,5662757000000.0,637753000000.0,4.26,5488217000000.0,302280000000.0,2.33,37977000000.0,25.0455,2.01,1.93,404205000000.0,399396000000.0,8.72,504459000000.0,11.01,593218000000.0,12.95,4579772000000.0,91.4572,74.44,123.89,1.25,1.63,8.11,83180000000.0,187.93,27.88,,,,,,,3461714000000.0,96.91,65888000000.0,1.84,25037000000.0,0.7,13427000000.0,0.38,6210000000.0,0.17,,,,,2836706000000.0,2.26,922978000000.0,2.42,2022
112013,601818.XSHG,2024-03-28,2023-12-31,3786954000000.0,4094528000000.0,6165145000000.0,607651000000.0,4.07,5995467000000.0,222544000000.0,2.39,38205000000.0,26.2244,1.74,1.68,448686000000.0,443100000000.0,9.18,548159000000.0,11.36,651382000000.0,13.5,4824278000000.0,92.4882,76.71,77.51,1.25,2.24,10.51,85371000000.0,181.27,28.17,,,,,,,3669687000000.0,96.91,69791000000.0,1.84,23335000000.0,0.62,15258000000.0,0.4,8883000000.0,0.23,,,,,2839223000000.0,2.3,1159907000000.0,2.37,2023
