id,company_id,company_name,code,a_code,b_code,h_code,pub_date,start_date,end_date,report_date,report_type,source_id,source,operating_revenue,interest_net_revenue,interest_income,interest_expense,commission_net_income,commission_income,commission_expense,agent_security_income,sell_security_income,manage_income,premiums_earned,assurance_income,premiums_income,premiums_expense,prepare_money,investment_income,invest_income_associates,fair_value_variable_income,exchange_income,other_income,operation_expense,refunded_premiums,compensate_loss,compensation_back,insurance_reserve,insurance_reserve_back,policy_dividend_payout,reinsurance_cost,operating_tax_surcharges,commission_expense2,operation_manage_fee,separate_fee,asset_impairment_loss,other_cost,operating_profit,subsidy_income,non_operating_revenue,non_operating_expense,other_items_influenced_profit,total_profit,income_tax_expense,other_influence_net_profit,net_profit,np_parent_company_owners,minority_profit,eps,basic_eps,diluted_eps,other_composite_income,total_composite_income,ci_parent_company_owners,ci_minority_owners,other_earnings,asset_deal_income,sust_operate_net_profit,discon_operate_net_profit,credit_impairment_loss
13630,300010687,上海农村商业银行股份有限公司,601825.XSHG,601825,,,2021-10-30,2020-01-01,2020-09-30,2021-09-30,1,321003,定期报告,16672989000.0,13167787000.0,27347447000.0,14179660000.0,2073826000.0,2290963000.0,217137000.0,,,,,,,,,1374694000.0,,-262095000.0,258832000.0,31563000.0,9032357000.0,,,,,,,,168893000.0,,4585764000.0,,,6159000.0,7640632000.0,,58658000.0,39177000.0,,7660113000.0,1088766000.0,,6571347000.0,6302583000.0,268764000.0,,0.73,,-1026551000.0,5544796000.0,5276032000.0,268764000.0,24175000.0,4207000.0,6571347000.0,,4271541000.0
13634,300010687,上海农村商业银行股份有限公司,601825.XSHG,601825,,,2021-10-30,2021-01-01,2021-09-30,2021-09-30,0,321003,定期报告,18152168000.0,14330059000.0,30449234000.0,16119175000.0,1789305000.0,1977683000.0,188378000.0,,,,,,,,,955073000.0,,636703000.0,208317000.0,55036000.0,8537595000.0,,,,,,,,190208000.0,,5423052000.0,,,7815000.0,9614573000.0,,46074000.0,35030000.0,,9625617000.0,1689768000.0,,7935849000.0,7667683000.0,268166000.0,,0.87,,588620000.0,8524469000.0,8256303000.0,268166000.0,39369000.0,138306000.0,7935849000.0,,2916520000.0
14075,300010687,上海农村商业银行股份有限公司,601825.XSHG,601825,,,2022-04-30,2021-01-01,2021-12-31,2021-12-31,0,321003,定期报告,24164319000.0,19370723000.0,41075496000.0,21704773000.0,2166225000.0,2434089000.0,267864000.0,,,,,,,,,1411877000.0,40635000.0,678404000.0,272683000.0,66163000.0,11996390000.0,,,,,,,,264188000.0,,7221524000.0,,-3016000.0,15235000.0,12167929000.0,,53756000.0,43475000.0,,12178210000.0,2131291000.0,,10046919000.0,9697866000.0,349053000.0,,1.08,,855028000.0,10901947000.0,10552894000.0,349053000.0,53726000.0,144518000.0,10046919000.0,,4498459000.0
14090,300010687,上海农村商业银行股份有限公司,601825.XSHG,601825,,,2022-04-30,2020-01-01,2020-12-31,2021-12-31,1,321003,定期报告,22039556000.0,17870875000.0,37092698000.0,19221823000.0,2332148000.0,2626265000.0,294117000.0,,,,,,,,,1386169000.0,,314707000.0,50970000.0,37793000.0,12208801000.0,,,,,,,,241509000.0,,6343560000.0,,,15956000.0,9830755000.0,,118517000.0,48810000.0,,9900462000.0,1481889000.0,,8418573000.0,8160671000.0,257902000.0,,0.94,,-450507000.0,7968066000.0,7710164000.0,257902000.0,39273000.0,7621000.0,8418573000.0,,5607776000.0
14109,300010687,上海农村商业银行股份有限公司,601825.XSHG,601825,,,2022-04-30,2022-01-01,2022-03-31,2022-03-31,0,321003,定期报告,6356499000.0,4963338000.0,10547362000.0,5584024000.0,774319000.0,835969000.0,61650000.0,,,,,,,,,529804000.0,,91521000.0,-8056000.0,2586000.0,2431605000.0,,,,,,,,70793000.0,,1692902000.0,,,6043000.0,3924894000.0,,16749000.0,3528000.0,,3938115000.0,724369000.0,,3213746000.0,3112999000.0,100747000.0,,0.32,,-179753000.0,3033993000.0,2933246000.0,100747000.0,106000.0,2881000.0,3213746000.0,,661867000.0
14113,300010687,上海农村商业银行股份有限公司,601825.XSHG,601825,,,2022-04-30,2021-01-01,2021-03-31,2022-03-31,1,321003,定期报告,5829175000.0,4548482000.0,9809790000.0,5261308000.0,663925000.0,718489000.0,54564000.0,,,,,,,,,358531000.0,,97581000.0,34559000.0,22223000.0,2848470000.0,,,,,,,,54427000.0,,1599344000.0,,,2898000.0,2980705000.0,,18232000.0,9010000.0,,2989927000.0,492151000.0,,2497776000.0,2412274000.0,85502000.0,,0.28,,-87903000.0,2409873000.0,2324371000.0,85502000.0,7917000.0,95957000.0,2497776000.0,,1191801000.0
14263,300010687,上海农村商业银行股份有限公司,601825.XSHG,601825,,,2022-08-19,2022-01-01,2022-06-30,2022-06-30,0,321003,定期报告,12865983000.0,10208740000.0,21308465000.0,11099725000.0,1194517000.0,1299952000.0,105435000.0,,,,,,,,,813923000.0,24564000.0,366730000.0,269084000.0,3462000.0,5546438000.0,,,,,,,,134504000.0,,3650374000.0,,,6248000.0,7319545000.0,,22636000.0,4410000.0,,7337771000.0,1285530000.0,,6052241000.0,5847370000.0,204871000.0,,0.61,0.61,-22564000.0,6029677000.0,5824806000.0,204871000.0,251000.0,9276000.0,6052241000.0,,1755312000.0
14264,300010687,上海农村商业银行股份有限公司,601825.XSHG,601825,,,2022-08-19,2021-01-01,2021-06-30,2022-06-30,1,321003,定期报告,12020501000.0,9318380000.0,19944900000.0,10626520000.0,1374943000.0,1488972000.0,114029000.0,,,,,,,,,697337000.0,23099000.0,344568000.0,107965000.0,38769000.0,5624824000.0,,,,,,,,134358000.0,,4014700000.0,,,5535000.0,6395677000.0,,38924000.0,19353000.0,,6415248000.0,1118593000.0,,5296655000.0,5117973000.0,178682000.0,,0.59,0.59,121736000.0,5418391000.0,5239709000.0,178682000.0,24141000.0,114398000.0,5296655000.0,,1470231000.0
14612,300010687,上海农村商业银行股份有限公司,601825.XSHG,601825,,,2022-10-29,2022-01-01,2022-09-30,2022-09-30,0,321003,定期报告,19537054000.0,15556617000.0,32365383000.0,16808766000.0,1748840000.0,1929986000.0,181146000.0,,,,,,,,,1238201000.0,,513731000.0,435365000.0,21681000.0,8214600000.0,,,,,,,,195493000.0,,5591945000.0,,,10159000.0,11322454000.0,,27310000.0,19527000.0,,11330237000.0,2013908000.0,,9316329000.0,8979723000.0,336606000.0,,0.93,0.93,652998000.0,9969327000.0,9632721000.0,336606000.0,13142000.0,9477000.0,9316329000.0,,2417003000.0
14620,300010687,上海农村商业银行股份有限公司,601825.XSHG,601825,,,2022-10-29,2021-01-01,2021-09-30,2022-09-30,1,321003,定期报告,18152168000.0,14330059000.0,30449234000.0,16119175000.0,1789305000.0,1977683000.0,188378000.0,,,,,,,,,955073000.0,,636703000.0,208317000.0,55036000.0,8537595000.0,,,,,,,,190208000.0,,5423052000.0,,,7815000.0,9614573000.0,,46074000.0,35030000.0,,9625617000.0,1689768000.0,,7935849000.0,7667683000.0,268166000.0,,0.87,0.87,588620000.0,8524469000.0,8256303000.0,268166000.0,39369000.0,138306000.0,7935849000.0,,2916520000.0
15109,300010687,上海农村商业银行股份有限公司,601825.XSHG,601825,,,2023-04-28,2022-01-01,2022-12-31,2022-12-31,0,321003,定期报告,25627270000.0,20754248000.0,43452865000.0,22698617000.0,2155663000.0,2448001000.0,292338000.0,,,,,,,,,1586676000.0,34033000.0,532786000.0,519069000.0,33747000.0,11952647000.0,,,,,,,,268602000.0,,7798740000.0,,3701000.0,16394000.0,13674623000.0,,42002000.0,47650000.0,,13668975000.0,2275798000.0,,11393177000.0,10974378000.0,418799000.0,,1.14,1.14,-15179000.0,11377998000.0,10959199000.0,418799000.0,25364000.0,19717000.0,11393177000.0,,3865210000.0
15134,300010687,上海农村商业银行股份有限公司,601825.XSHG,601825,,,2023-04-28,2021-01-01,2021-12-31,2022-12-31,1,321003,定期报告,24164319000.0,19370723000.0,41075496000.0,21704773000.0,2166225000.0,2434089000.0,267864000.0,,,,,,,,,1411877000.0,40635000.0,678404000.0,272683000.0,66163000.0,11996390000.0,,,,,,,,264188000.0,,7221524000.0,,-3016000.0,15235000.0,12167929000.0,,53756000.0,43475000.0,,12178210000.0,2131291000.0,,10046919000.0,9697866000.0,349053000.0,,1.08,1.08,855028000.0,10901947000.0,10552894000.0,349053000.0,53726000.0,144518000.0,10046919000.0,,4498459000.0
15180,300010687,上海农村商业银行股份有限公司,601825.XSHG,601825,,,2023-04-28,2023-01-01,2023-03-31,2023-03-31,0,321003,定期报告,6832482000.0,5150619000.0,11133615000.0,5982996000.0,844990000.0,902469000.0,57479000.0,,,,,,,,,305156000.0,,490059000.0,23093000.0,15463000.0,2388223000.0,,,,,,,,81364000.0,,1807109000.0,,,13735000.0,4444259000.0,,9003000.0,4849000.0,,4448413000.0,847205000.0,,3601208000.0,3500275000.0,100933000.0,,0.36,0.36,55219000.0,3656427000.0,3555494000.0,100933000.0,1601000.0,1501000.0,3601208000.0,,486015000.0
