id,code,statDate,pubDate,statDate.1,eps,adjusted_profit,operating_profit,value_change_profit,roe,inc_return,roa,net_profit_margin,gross_profit_margin,expense_to_total_revenue,operation_profit_to_total_revenue,net_profit_to_total_revenue,operating_expense_to_total_revenue,ga_expense_to_total_revenue,financing_expense_to_total_revenue,operating_profit_to_profit,invesment_profit_to_profit,adjusted_profit_to_profit,goods_sale_and_service_to_revenue,ocf_to_revenue,ocf_to_operating_profit,inc_total_revenue_year_on_year,inc_total_revenue_annual,inc_revenue_year_on_year,inc_revenue_annual,inc_operation_profit_year_on_year,inc_operation_profit_annual,inc_net_profit_year_on_year,inc_net_profit_annual,inc_net_profit_to_shareholders_year_on_year,inc_net_profit_to_shareholders_annual,requested_period
109687,603323.XSHG,2016-12-31,2017-04-28,2016-12-31,0.0787,82143000.0,107353000.0,-4033000.0,1.18,1.11,0.11,15.15,,81.9,18.1,15.15,,36.62,,97.05,-3.65,93.65,,119.35,634.47,-2.58,-3.25,-2.58,-3.25,28.2,-49.21,29.44,-50.93,27.19,-48.71,2016q4
109488,603323.XSHG,2017-03-31,2017-04-28,2017-03-31,0.1528,169238000.0,194014000.0,17279000.0,2.1675,2.1548,0.2126,28.0137,,66.032,33.968,28.0137,,31.8392,,91.2436,8.1262,99.4167,,36.4548,116.8792,13.1413,8.9966,13.1413,8.9966,7.8961,104.5035,8.1214,101.5371,9.8236,94.0839,2017q1
112191,603323.XSHG,2017-06-30,2017-08-25,2017-06-30,0.2402,267212992.0,235439008.0,68808000.0,3.3324,3.3284,0.3187,35.9099,,58.7204,41.2796,35.9099,,28.3283,,77.1271,22.5407,99.8808,,77.3373,243.7251,24.5948,19.2818,24.5948,19.2818,7.001,44.9575,13.2807,52.9041,13.0927,57.1582,2017q2
114381,603323.XSHG,2017-09-30,2017-10-25,2017-09-30,0.14,179245000.0,211348000.0,10321000.0,2.2021,2.1832,0.2142,26.7228,,67.8557,32.1443,26.7228,,31.9593,,94.4125,4.6106,99.1443,,-185.8152,-606.2953,16.9065,-7.0582,16.9065,-7.0582,8.9775,-27.6266,4.5809,-30.8362,5.7164,-32.4223,2017q3
125470,603323.XSHG,2017-12-31,2018-04-26,2017-12-31,0.0777,112604000.0,93047000.0,27535000.0,1.3511,1.3517,0.1248,16.9574,,82.0286,17.9714,16.9574,,38.4699,,77.3928,22.9025,100.0391,,-44.0302,-318.1693,17.8165,-2.499,17.8165,-2.499,16.9499,-45.4885,31.868000000000002,-38.1291,28.331999999999997,-37.7406,2017q4
125287,603323.XSHG,2018-03-31,2018-04-26,2018-03-31,0.1348,194351000.0,209030000.0,25962000.0,2.3033,2.294,0.201,28.3786,,66.3404,33.6596,28.3786,,33.3589,,88.5334,10.995999999999999,99.5967,,-493.2844,-1647.751,12.2472,3.8467,12.2472,3.8467,11.2224,94.4999,13.7127,73.7899,14.6313,73.3635,2018q1
130975,603323.XSHG,2018-06-30,2018-08-30,2018-06-30,0.2141,311936000.0,164532000.0,177993000.0,3.59,3.61,0.3,37.87,,58.24,41.76,37.87,,28.39,,48.28,52.23,100.6,,354.28,1767.88,10.65,17.58,10.65,17.58,11.92,45.87,16.68,56.9,15.9,58.9,2018q2
135030,603323.XSHG,2018-09-30,2018-10-31,2018-09-30,0.15,212288000.0,188536000.0,49493000.0,2.38,2.37,0.2,27.95,,68.92,31.08,27.95,,31.9,,78.64,20.64,99.28,,-24.03,-98.3,11.87,-6.04,11.87,-6.04,8.2,-30.06,17.0,-30.65,18.28,-31.04,2018q3
245342,603323.XSHG,2018-12-31,2019-04-26,2018-12-31,0.0574,86071000.0,-52168000.0,132232000.0,0.89,0.92,0.08,9.96,,90.64,9.36,9.96,,42.44,,-67.49,171.07,103.55,,392.68,-6465.07,27.73,11.34,27.73,11.34,-33.49,-66.47,-24.97,-60.32,-26.15,-61.13,2018q4
245185,603323.XSHG,2019-03-31,2019-04-26,2019-03-31,0.1334,217610000.0,179684000.0,73126000.0,2.12,2.11,0.19,25.18,,71.07,28.93,25.18,,34.38,,70.72,28.78,99.56,,-238.52,-1160.22,25.17,1.76,25.17,1.76,7.57,214.45,11.05,157.21,12.01,162.95,2019q1
253612,603323.XSHG,2019-06-30,2019-08-23,2019-06-30,0.2004,359814000.0,230168000.0,171736000.0,3.25,3.24,0.3,41.53,,53.81,46.19,41.53,,34.55,,56.98,42.51,99.57,,379.17,1432.83,5.94,-0.48,5.94,-0.48,17.2,58.92,16.2,64.18,16.54,65.33,2019q2
264142,603323.XSHG,2019-09-30,2019-10-30,2019-09-30,0.1374,239575000.0,163912000.0,103004000.0,2.21,2.14,0.2,28.76,,68.94,31.06,28.76,,27.9,,58.86,36.99,96.67,,-194.71,-1027.81,12.16,-0.52,12.16,-0.52,12.07,-33.12,15.41,-31.12,15.89,-31.42,2019q3
289665,603323.XSHG,2019-12-31,2020-04-24,2019-12-31,0.0474,86256000.0,-28884000.0,97391000.0,0.75,0.75,0.07,9.31,,91.31,8.69,9.31,,41.24,,-42.71,144.02,100.9,,467.12,-14746.53,6.16,5.39,6.16,5.39,-1.49,-70.52,-0.76,-65.88,2.85,-65.5,2019q4
289492,603323.XSHG,2020-03-31,2020-04-24,2020-03-31,0.1345,244717000.0,149643000.0,133343000.0,2.08,2.09,0.19,26.3,,69.47,30.53,26.3,,31.35,,53.43,47.61,100.91,,583.11,3611.53,6.04,1.64,6.04,1.64,11.93,257.27,10.77,187.08,10.96,183.69,2020q1
328355,603323.XSHG,2020-06-30,2020-08-28,2020-06-30,0.1943,341663000.0,163551000.0,247595000.0,2.97,2.9,0.26,34.73,,57.95,42.05,34.73,,30.78,,38.69,58.57,97.52,,58.6,357.44,14.7,7.64,14.7,7.64,4.43,48.26,-4.07,42.18,-3.04,44.47,2020q2
337502,603323.XSHG,2020-09-30,2020-10-29,2020-09-30,0.1611,283332000.0,266433000.0,21672000.0,2.45,2.39,0.22,33.56,,66.71,33.29,33.56,,35.18,,87.95,7.15,97.54,,355.11,1169.54,1.42,-12.04,1.42,-12.04,8.7,-30.38,18.34,-15.02,17.22,-17.09,2020q3
377736,603323.XSHG,2020-12-31,2021-04-29,2020-12-31,0.0378,56487000.0,-128867000.0,189019000.0,0.57,0.47,0.05,7.79,,92.29,7.71,7.79,,33.83,,-179.89,263.86,82.94,,-183.69,1355.38,4.28,8.36,4.28,8.36,-7.48,-74.91,-12.74,-74.84,-20.34,-76.56,2020q4
