date,line,nav
2021-05-31,benchmark,1.0082
2021-06-01,benchmark,1.0032
2021-06-02,benchmark,1.0064
2021-06-03,benchmark,0.9957
2021-06-04,benchmark,1.0137
2021-06-07,benchmark,1.0055
2021-06-08,benchmark,0.9961
2021-06-09,benchmark,0.9891
2021-06-10,benchmark,0.9896
2021-06-11,benchmark,0.9766
2021-06-15,benchmark,0.9601
2021-06-16,benchmark,0.9702
2021-06-17,benchmark,0.9623
2021-06-18,benchmark,0.9523
2021-06-21,benchmark,0.9381
2021-06-22,benchmark,0.956
2021-06-23,benchmark,0.9485
2021-06-24,benchmark,0.9595
2021-06-25,benchmark,0.9742
2021-06-28,benchmark,0.9518
2021-06-29,benchmark,0.943
2021-06-30,benchmark,0.9498
2021-07-01,benchmark,0.9645
2021-07-02,benchmark,0.9415
2021-07-05,benchmark,0.9442
2021-07-06,benchmark,0.9563
2021-07-07,benchmark,0.9593
2021-07-08,benchmark,0.9296
2021-07-09,benchmark,0.9125
2021-07-12,benchmark,0.892
2021-07-13,benchmark,0.8989
2021-07-14,benchmark,0.8795
2021-07-15,benchmark,0.9095
2021-07-16,benchmark,0.9115
2021-07-19,benchmark,0.9126
2021-07-20,benchmark,0.896
2021-07-21,benchmark,0.8915
2021-07-22,benchmark,0.8984
2021-07-23,benchmark,0.8971
2021-07-26,benchmark,0.8645
2021-07-27,benchmark,0.8364
2021-07-28,benchmark,0.8515
2021-07-29,benchmark,0.8453999999999999
2021-07-30,benchmark,0.8287
2021-08-02,benchmark,0.8455
2021-08-03,benchmark,0.8392000000000001
2021-08-04,benchmark,0.8282
2021-08-05,benchmark,0.8259
2021-08-06,benchmark,0.8268
2021-08-09,benchmark,0.8541
2021-08-10,benchmark,0.8851
2021-08-11,benchmark,0.8996999999999999
2021-08-12,benchmark,0.8938
2021-08-13,benchmark,0.8959
2021-08-16,benchmark,0.8883
2021-08-17,benchmark,0.8812
2021-08-18,benchmark,0.9191
2021-08-19,benchmark,0.8948
2021-08-20,benchmark,0.8939
2021-08-23,benchmark,0.8956999999999999
2021-08-24,benchmark,0.8977999999999999
2021-08-25,benchmark,0.8888
2021-08-26,benchmark,0.8774
2021-08-27,benchmark,0.8841
2021-08-30,benchmark,0.8679
