fold_id,scenario_name,combo_name,train_start,train_end,test_start,test_end,review_start,review_end,train_rank_ic_mean,test_rank_ic_mean,review_rank_ic_mean,train_top_minus_bottom,test_top_minus_bottom,review_top_minus_bottom,review_positive_ic_ratio,review_dates,review_rows,selected_factor_count
memory_01,base_core_7,combo__equal_weight,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.180249,0.302052,0.050803,0.00019317,0.00083856,0.00036748,0.75,4,90,6
memory_01,base_core_7,combo__ic_weight_train,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.176053,0.277136,0.052788,7.887e-05,0.00095505,0.00023013,0.75,4,90,6
memory_01,base_core_7,combo__quarterly_plus_annual,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.129637,0.289716,-0.080049,0.00029161,0.00073397,-4.33e-06,0.5,4,90,6
memory_01,base_plus_top2_9,combo__equal_weight,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.199149,0.333666,-0.036089,0.00022485,0.00123034,0.00020435,0.5,4,90,8
memory_01,base_plus_top2_9,combo__ic_weight_train,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.198705,0.345126,-0.006809,-0.00010099,0.00126899,0.0002035,0.75,4,87,8
memory_01,base_plus_top2_9,combo__quarterly_plus_annual,2014-05-05,2019-05-05,2019-05-06,2021-05-05,2021-05-06,2022-05-05,0.163382,0.376478,-0.083485,0.00036194,0.00145314,-0.00020579,0.5,4,90,8
memory_02,base_core_7,combo__equal_weight,2015-05-04,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.292036,0.293665,-0.187935,0.00049072,0.00086493,-0.00058926,0.25,4,103,7
memory_02,base_core_7,combo__ic_weight_train,2015-05-04,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.31649,0.292145,-0.13306,0.00060434,0.00091965,-0.00035782,0.5,4,103,7
memory_02,base_core_7,combo__quarterly_plus_annual,2015-05-04,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.304881,0.279889,-0.173635,0.00080163,0.00068992,-0.00045962,0.5,4,103,7
memory_02,base_plus_top2_9,combo__equal_weight,2015-05-04,2020-05-05,2020-05-06,2022-05-04,2022-05-05,2023-05-04,0.296823,0.30551,-0.210569,0.00085073,0.00096585,-0.00079008,0.25,4,103,9
