factor_name,factor_family,target_label,source_type,pool_status,train_start,train_end,validation_start,validation_end,sample_filter
derived__log_total_assets,derived,y_quarter_avg_daily_return_close,derived_now,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
indicator__roe,indicator,y_quarter_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
indicator__inc_net_profit_to_shareholders_annual,indicator,y_quarter_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
bank_indicator__Nonperforming_loan_rate,bank_indicator,y_year_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
bank_indicator__non_performing_loan_provision_coverage,bank_indicator,y_year_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
bank_indicator__capital_adequacy_ratio,bank_indicator,y_year_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
bank_indicator__core_level_capital_adequacy_ratio,bank_indicator,y_year_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
bank_indicator__cost_to_income_ratio,bank_indicator,y_year_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
bank_indicator__deposit_loan_ratio,bank_indicator,y_year_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
bank_indicator__net_interest_margin,bank_indicator,y_year_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
bank_indicator__non_interest_income_ratio,bank_indicator,y_year_avg_daily_return_close,raw_existing,core_keep,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
derived__staff_cash_to_operating_revenue,derived,y_quarter_avg_daily_return_close,derived_now,secondary_candidate,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
derived__investment_income_to_operating_revenue,derived,y_quarter_avg_daily_return_close,derived_now,secondary_candidate,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
income__minority_profit,income,y_quarter_avg_daily_return_close,raw_existing,watch_only,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
indicator__eps,indicator,y_quarter_avg_daily_return_close,raw_existing,watch_only,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1
