factor_name,factor_family,target_label,train_start,train_end,validation_start,validation_end,sample_filter,primary_group_count,robustness_group_count,status
income__operating_revenue,income,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
income__interest_income,income,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
income__interest_expense,income,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
income__commission_income,income,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
income__commission_expense,income,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
income__investment_income,income,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
income__operating_profit,income,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
income__total_profit,income,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
income__income_tax_expense,income,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
income__net_profit,income,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
income__np_parent_company_owners,income,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
income__minority_profit,income,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__cash_and_equivalents_at_end,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__cash_equivalent_increase,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__cash_equivalents_at_beginning,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__invest_cash_paid,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__net_invest_cash_flow,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__net_operate_cash_flow,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__staff_behalf_paid,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__subtotal_invest_cash_inflow,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__subtotal_invest_cash_outflow,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__subtotal_operate_cash_inflow,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__subtotal_operate_cash_outflow,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__net_finance_cash_flow,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__interest_and_commission_cashin,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__invest_withdrawal_cash,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__subtotal_finance_cash_outflow,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__fix_intan_other_asset_acqui_cash,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__net_loan_and_advance_increase,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__tax_payments,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__invest_proceeds,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
cash_flow__exchange_rate_change_effect,cash_flow,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__eps,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__adjusted_profit,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__operating_profit,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__value_change_profit,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
indicator__roe,indicator,y_quarter_avg_daily_return_close,2014-05-01,2019-05-01,2019-05-01,2021-05-01,rebalance_stock_pool_flag=1,5,3,pending
