code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,net_deposit_increase,215591000000.0,finance_cashflow_statement_current_only.csv,net_deposit_increase,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,net_borrowing_from_central_bank,,finance_cashflow_statement_current_only.csv,net_borrowing_from_central_bank,,identity_q1_or_ytd_diff,missing_raw_value
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,net_borrowing_from_finance_co,,finance_cashflow_statement_current_only.csv,net_borrowing_from_finance_co,,identity_q1_or_ytd_diff,missing_raw_value
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,interest_and_commission_cashin,24808000000.0,finance_cashflow_statement_current_only.csv,interest_and_commission_cashin,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,net_increase_in_placements,,finance_cashflow_statement_current_only.csv,net_increase_in_placements,,identity_q1_or_ytd_diff,missing_raw_value
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,net_buyback,,finance_cashflow_statement_current_only.csv,net_buyback,,identity_q1_or_ytd_diff,missing_raw_value
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,tax_levy_refund,,finance_cashflow_statement_current_only.csv,tax_levy_refund,,identity_q1_or_ytd_diff,missing_raw_value
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,goods_and_services_cash_paid,,finance_cashflow_statement_current_only.csv,goods_and_services_cash_paid,,identity_q1_or_ytd_diff,missing_raw_value
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,net_loan_and_advance_increase,44288000000.0,finance_cashflow_statement_current_only.csv,net_loan_and_advance_increase,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,net_deposit_in_cb_and_ib,57736000000.0,finance_cashflow_statement_current_only.csv,net_deposit_in_cb_and_ib,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,original_compensation_paid,,finance_cashflow_statement_current_only.csv,original_compensation_paid,,identity_q1_or_ytd_diff,missing_raw_value
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,policy_dividend_cash_paid,,finance_cashflow_statement_current_only.csv,policy_dividend_cash_paid,,identity_q1_or_ytd_diff,missing_raw_value
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,staff_behalf_paid,4932000000.0,finance_cashflow_statement_current_only.csv,staff_behalf_paid,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,tax_payments,2279000000.0,finance_cashflow_statement_current_only.csv,tax_payments,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,subtotal_operate_cash_inflow,242068000000.0,finance_cashflow_statement_current_only.csv,subtotal_operate_cash_inflow,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,subtotal_operate_cash_outflow,181971000000.0,finance_cashflow_statement_current_only.csv,subtotal_operate_cash_outflow,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,net_operate_cash_flow,60097000000.0,finance_cashflow_statement_current_only.csv,net_operate_cash_flow,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,invest_withdrawal_cash,112591000000.0,finance_cashflow_statement_current_only.csv,invest_withdrawal_cash,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,invest_proceeds,6053000000.0,finance_cashflow_statement_current_only.csv,invest_proceeds,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,fix_intan_other_asset_acqui_cash,1231000000.0,finance_cashflow_statement_current_only.csv,fix_intan_other_asset_acqui_cash,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,invest_cash_paid,109355000000.0,finance_cashflow_statement_current_only.csv,invest_cash_paid,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,impawned_loan_net_increase,,finance_cashflow_statement_current_only.csv,impawned_loan_net_increase,,identity_q1_or_ytd_diff,missing_raw_value
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,subtotal_invest_cash_inflow,118644000000.0,finance_cashflow_statement_current_only.csv,subtotal_invest_cash_inflow,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,subtotal_invest_cash_outflow,110586000000.0,finance_cashflow_statement_current_only.csv,subtotal_invest_cash_outflow,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,net_invest_cash_flow,8058000000.0,finance_cashflow_statement_current_only.csv,net_invest_cash_flow,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,cash_from_invest,0.0,finance_cashflow_statement_current_only.csv,cash_from_invest,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,cash_from_bonds_issue,9000000000.0,finance_cashflow_statement_current_only.csv,cash_from_bonds_issue,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,cash_from_borrowing,,finance_cashflow_statement_current_only.csv,cash_from_borrowing,,identity_q1_or_ytd_diff,missing_raw_value
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,subtotal_finance_cash_inflow,9000000000.0,finance_cashflow_statement_current_only.csv,subtotal_finance_cash_inflow,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,borrowing_repayment,,finance_cashflow_statement_current_only.csv,borrowing_repayment,,identity_q1_or_ytd_diff,missing_raw_value
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,dividend_interest_payment,0.0,finance_cashflow_statement_current_only.csv,dividend_interest_payment,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,subtotal_finance_cash_outflow,,finance_cashflow_statement_current_only.csv,subtotal_finance_cash_outflow,,identity_q1_or_ytd_diff,missing_raw_value
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,net_finance_cash_flow,9000000000.0,finance_cashflow_statement_current_only.csv,net_finance_cash_flow,single_quarter,identity_q1_or_ytd_diff,
000001.XSHE,cash_flow,2014-03-31,2014q1,,2014-04-24,exchange_rate_change_effect,767000000.0,finance_cashflow_statement_current_only.csv,exchange_rate_change_effect,single_quarter,identity_q1_or_ytd_diff,
