code,statement_family,report_period_end,quarter_key,year_key,standard_field_name,source_table,source_field,raw_primary_value,raw_fallback_value,raw_value_used,prior_cumulative_value_used,transformation_rule,conversion_success,missing_reason
000001.XSHE,indicator,2014-03-31,2014q1,,eps,indicator.csv,eps,0.5308,0.5308,0.5308,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,adjusted_profit,indicator.csv,adjusted_profit,5065000000.0,5065000000.0,5065000000.0,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,operating_profit,indicator.csv,operating_profit,7479000000.0,7479000000.0,7479000000.0,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,value_change_profit,indicator.csv,value_change_profit,1300000000.0,1300000000.0,1300000000.0,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,roe,indicator.csv,roe,4.41,4.41,4.41,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,inc_return,indicator.csv,inc_return,4.42,4.42,4.42,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,roa,indicator.csv,roa,0.25,0.25,0.25,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,net_profit_margin,indicator.csv,net_profit_margin,31.39,31.39,31.39,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,gross_profit_margin,indicator.csv,gross_profit_margin,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
000001.XSHE,indicator,2014-03-31,2014q1,,expense_to_total_revenue,indicator.csv,expense_to_total_revenue,45.47,45.47,45.47,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,operation_profit_to_total_revenue,indicator.csv,operation_profit_to_total_revenue,41.69,41.69,41.69,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,net_profit_to_total_revenue,indicator.csv,net_profit_to_total_revenue,31.39,31.39,31.39,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,operating_expense_to_total_revenue,indicator.csv,operating_expense_to_total_revenue,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
000001.XSHE,indicator,2014-03-31,2014q1,,ga_expense_to_total_revenue,indicator.csv,ga_expense_to_total_revenue,37.65,37.65,37.65,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,financing_expense_to_total_revenue,indicator.csv,financing_expense_to_total_revenue,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
000001.XSHE,indicator,2014-03-31,2014q1,,operating_profit_to_profit,indicator.csv,operating_profit_to_profit,111.68,111.68,111.68,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,invesment_profit_to_profit,indicator.csv,invesment_profit_to_profit,19.41,19.41,19.41,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,adjusted_profit_to_profit,indicator.csv,adjusted_profit_to_profit,100.22,100.22,100.22,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,goods_sale_and_service_to_revenue,indicator.csv,goods_sale_and_service_to_revenue,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
000001.XSHE,indicator,2014-03-31,2014q1,,ocf_to_revenue,indicator.csv,ocf_to_revenue,373.27,373.27,373.27,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,ocf_to_operating_profit,indicator.csv,ocf_to_operating_profit,803.54,803.54,803.54,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,inc_total_revenue_year_on_year,indicator.csv,inc_total_revenue_year_on_year,49.05,49.05,49.05,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,inc_total_revenue_annual,indicator.csv,inc_total_revenue_annual,8.46,8.46,8.46,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,inc_revenue_year_on_year,indicator.csv,inc_revenue_year_on_year,49.05,49.05,49.05,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,inc_revenue_annual,indicator.csv,inc_revenue_annual,8.46,8.46,8.46,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,inc_operation_profit_year_on_year,indicator.csv,inc_operation_profit_year_on_year,42.29,42.29,42.29,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,inc_operation_profit_annual,indicator.csv,inc_operation_profit_annual,44.41,44.41,44.41,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,inc_net_profit_year_on_year,indicator.csv,inc_net_profit_year_on_year,40.82,40.82,40.82,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,inc_net_profit_annual,indicator.csv,inc_net_profit_annual,42.97,42.97,42.97,,identity_q1_or_ytd_diff,True,
000001.XSHE,indicator,2014-03-31,2014q1,,inc_net_profit_to_shareholders_year_on_year,indicator.csv,inc_net_profit_to_shareholders_year_on_year,40.82,40.82,40.82,,identity_q1_or_ytd_diff,True,
