code,statement_family,report_period_end,quarter_key,year_key,standard_field_name,source_table,source_field,raw_primary_value,raw_fallback_value,raw_value_used,prior_cumulative_value_used,transformation_rule,conversion_success,missing_reason
002142.XSHE,cash_flow,2014-03-31,2014q1,,net_deposit_increase,finance_cashflow_statement_current_only.csv,net_deposit_increase,47098212000.0,47098212352.0,47098212000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,cash_flow,2014-03-31,2014q1,,net_borrowing_from_central_bank,finance_cashflow_statement_current_only.csv,net_borrowing_from_central_bank,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,cash_flow,2014-03-31,2014q1,,net_borrowing_from_finance_co,finance_cashflow_statement_current_only.csv,net_borrowing_from_finance_co,0.0,,0.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,cash_flow,2014-03-31,2014q1,,interest_and_commission_cashin,finance_cashflow_statement_current_only.csv,interest_and_commission_cashin,4923682000.0,4923681792.0,4923682000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,cash_flow,2014-03-31,2014q1,,net_increase_in_placements,finance_cashflow_statement_current_only.csv,net_increase_in_placements,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,cash_flow,2014-03-31,2014q1,,net_buyback,finance_cashflow_statement_current_only.csv,net_buyback,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,cash_flow,2014-03-31,2014q1,,tax_levy_refund,finance_cashflow_statement_current_only.csv,tax_levy_refund,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,cash_flow,2014-03-31,2014q1,,goods_and_services_cash_paid,finance_cashflow_statement_current_only.csv,goods_and_services_cash_paid,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,cash_flow,2014-03-31,2014q1,,net_loan_and_advance_increase,finance_cashflow_statement_current_only.csv,net_loan_and_advance_increase,13053724000.0,13053723648.0,13053724000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,cash_flow,2014-03-31,2014q1,,net_deposit_in_cb_and_ib,finance_cashflow_statement_current_only.csv,net_deposit_in_cb_and_ib,789916000.0,789916032.0,789916000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,cash_flow,2014-03-31,2014q1,,original_compensation_paid,finance_cashflow_statement_current_only.csv,original_compensation_paid,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,cash_flow,2014-03-31,2014q1,,policy_dividend_cash_paid,finance_cashflow_statement_current_only.csv,policy_dividend_cash_paid,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,cash_flow,2014-03-31,2014q1,,staff_behalf_paid,finance_cashflow_statement_current_only.csv,staff_behalf_paid,1066651000.0,1066651008.0,1066651000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,cash_flow,2014-03-31,2014q1,,tax_payments,finance_cashflow_statement_current_only.csv,tax_payments,383469000.0,383468992.0,383469000.0,,identity_q1_or_ytd_diff,True,
