code,statement_family,report_period_end,quarter_key,year_key,standard_field_name,source_table,source_field,raw_primary_value,raw_fallback_value,raw_value_used,prior_cumulative_value_used,transformation_rule,conversion_success,missing_reason
002142.XSHE,income,2014-03-31,2014q1,,operating_revenue,finance_income_statement_current_only.csv,operating_revenue,3529709000.0,3529709000.0,3529709000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-03-31,2014q1,,interest_income,finance_income_statement_current_only.csv,interest_income,6757313000.0,3141794000.0,6757313000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-03-31,2014q1,,interest_expense,finance_income_statement_current_only.csv,interest_expense,3615519000.0,,3615519000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-03-31,2014q1,,commission_income,finance_income_statement_current_only.csv,commission_income,684159000.0,642247000.0,684159000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-03-31,2014q1,,commission_expense,finance_income_statement_current_only.csv,commission_expense,41912000.0,,41912000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-03-31,2014q1,,asset_impairment_loss,finance_income_statement_current_only.csv,asset_impairment_loss,340356000.0,340356000.0,340356000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-03-31,2014q1,,credit_impairment_loss,finance_income_statement_current_only.csv,credit_impairment_loss,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,income,2014-03-31,2014q1,,investment_income,finance_income_statement_current_only.csv,investment_income,47904000.0,47904000.0,47904000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-03-31,2014q1,,operating_profit,finance_income_statement_current_only.csv,operating_profit,1872177000.0,1872177000.0,1872177000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-03-31,2014q1,,total_profit,finance_income_statement_current_only.csv,total_profit,1870802000.0,1870802000.0,1870802000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-03-31,2014q1,,income_tax_expense,finance_income_statement_current_only.csv,income_tax_expense,369004000.0,369004000.0,369004000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-03-31,2014q1,,net_profit,finance_income_statement_current_only.csv,net_profit,1501798000.0,1501798000.0,1501798000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-03-31,2014q1,,np_parent_company_owners,finance_income_statement_current_only.csv,np_parent_company_owners,1502152000.0,1502152000.0,1502152000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-03-31,2014q1,,minority_profit,finance_income_statement_current_only.csv,minority_profit,-354000.0,-354000.0,-354000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-06-30,2014q2,,operating_revenue,finance_income_statement_current_only.csv,operating_revenue,7294292000.0,3764583000.0,7294292000.0,3529709000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-06-30,2014q2,,interest_income,finance_income_statement_current_only.csv,interest_income,13993051000.0,3210926000.0,13993051000.0,6757313000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-06-30,2014q2,,interest_expense,finance_income_statement_current_only.csv,interest_expense,7640331000.0,,7640331000.0,3615519000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-06-30,2014q2,,commission_income,finance_income_statement_current_only.csv,commission_income,1326165000.0,590259000.0,1326165000.0,684159000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-06-30,2014q2,,commission_expense,finance_income_statement_current_only.csv,commission_expense,93659000.0,,93659000.0,41912000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-06-30,2014q2,,asset_impairment_loss,finance_income_statement_current_only.csv,asset_impairment_loss,700253000.0,700253000.0,700253000.0,340356000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-06-30,2014q2,,credit_impairment_loss,finance_income_statement_current_only.csv,credit_impairment_loss,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,income,2014-06-30,2014q2,,investment_income,finance_income_statement_current_only.csv,investment_income,91657000.0,43753000.0,91657000.0,47904000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-06-30,2014q2,,operating_profit,finance_income_statement_current_only.csv,operating_profit,3857525000.0,1985348000.0,3857525000.0,1872177000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-06-30,2014q2,,total_profit,finance_income_statement_current_only.csv,total_profit,3844464000.0,1973662000.0,3844464000.0,1870802000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-06-30,2014q2,,income_tax_expense,finance_income_statement_current_only.csv,income_tax_expense,758354000.0,389350000.0,758354000.0,369004000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-06-30,2014q2,,net_profit,finance_income_statement_current_only.csv,net_profit,3086110000.0,1584312000.0,3086110000.0,1501798000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-06-30,2014q2,,np_parent_company_owners,finance_income_statement_current_only.csv,np_parent_company_owners,3086079000.0,1583927000.0,3086079000.0,1502152000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-06-30,2014q2,,minority_profit,finance_income_statement_current_only.csv,minority_profit,31000.0,385000.0,31000.0,-354000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-09-30,2014q3,,operating_revenue,finance_income_statement_current_only.csv,operating_revenue,11086335000.0,3792043000.0,11086335000.0,7294292000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-09-30,2014q3,,interest_income,finance_income_statement_current_only.csv,interest_income,20931606000.0,3492761000.0,20931606000.0,13993051000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-09-30,2014q3,,interest_expense,finance_income_statement_current_only.csv,interest_expense,11086125000.0,,11086125000.0,7640331000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-09-30,2014q3,,commission_income,finance_income_statement_current_only.csv,commission_income,1969855000.0,589452000.0,1969855000.0,1326165000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-09-30,2014q3,,commission_expense,finance_income_statement_current_only.csv,commission_expense,147897000.0,,147897000.0,93659000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-09-30,2014q3,,asset_impairment_loss,finance_income_statement_current_only.csv,asset_impairment_loss,1240309000.0,1240309000.0,1240309000.0,700253000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-09-30,2014q3,,credit_impairment_loss,finance_income_statement_current_only.csv,credit_impairment_loss,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,income,2014-09-30,2014q3,,investment_income,finance_income_statement_current_only.csv,investment_income,135210000.0,43553000.0,135210000.0,91657000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-09-30,2014q3,,operating_profit,finance_income_statement_current_only.csv,operating_profit,5734137000.0,1876612000.0,5734137000.0,3857525000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-09-30,2014q3,,total_profit,finance_income_statement_current_only.csv,total_profit,5712135000.0,1867671000.0,5712135000.0,3844464000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-09-30,2014q3,,income_tax_expense,finance_income_statement_current_only.csv,income_tax_expense,1125751000.0,367397000.0,1125751000.0,758354000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-09-30,2014q3,,net_profit,finance_income_statement_current_only.csv,net_profit,4586384000.0,1500274000.0,4586384000.0,3086110000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-09-30,2014q3,,np_parent_company_owners,finance_income_statement_current_only.csv,np_parent_company_owners,4584419000.0,1498340000.0,4584419000.0,3086079000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-09-30,2014q3,,minority_profit,finance_income_statement_current_only.csv,minority_profit,1965000.0,1934000.0,1965000.0,31000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-12-31,2014q4,,operating_revenue,finance_income_statement_current_only.csv,operating_revenue,15356750000.0,4270415000.0,15356750000.0,11086335000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-12-31,2014q4,,interest_income,finance_income_statement_current_only.csv,interest_income,28175470000.0,3509200000.0,28175470000.0,20931606000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-12-31,2014q4,,interest_expense,finance_income_statement_current_only.csv,interest_expense,14820789000.0,,14820789000.0,11086125000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-12-31,2014q4,,commission_income,finance_income_statement_current_only.csv,commission_income,2696649000.0,663085000.0,2696649000.0,1969855000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-12-31,2014q4,,commission_expense,finance_income_statement_current_only.csv,commission_expense,211606000.0,,211606000.0,147897000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-12-31,2014q4,,asset_impairment_loss,finance_income_statement_current_only.csv,asset_impairment_loss,2521150000.0,2521150000.0,2521150000.0,1240309000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-12-31,2014q4,,credit_impairment_loss,finance_income_statement_current_only.csv,credit_impairment_loss,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,income,2014-12-31,2014q4,,investment_income,finance_income_statement_current_only.csv,investment_income,164941000.0,29731000.0,164941000.0,135210000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-12-31,2014q4,,operating_profit,finance_income_statement_current_only.csv,operating_profit,7026577000.0,1292440000.0,7026577000.0,5734137000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-12-31,2014q4,,total_profit,finance_income_statement_current_only.csv,total_profit,7006892000.0,1294757000.0,7006892000.0,5712135000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-12-31,2014q4,,income_tax_expense,finance_income_statement_current_only.csv,income_tax_expense,1372762000.0,247011000.0,1372762000.0,1125751000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-12-31,2014q4,,net_profit,finance_income_statement_current_only.csv,net_profit,5634130000.0,1047746000.0,5634130000.0,4586384000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-12-31,2014q4,,np_parent_company_owners,finance_income_statement_current_only.csv,np_parent_company_owners,5627466000.0,1043047000.0,5627466000.0,4584419000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2014-12-31,2014q4,,minority_profit,finance_income_statement_current_only.csv,minority_profit,6664000.0,4699000.0,6664000.0,1965000.0,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2015-03-31,2015q1,,operating_revenue,finance_income_statement_current_only.csv,operating_revenue,4401527000.0,4401527000.0,4401527000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2015-03-31,2015q1,,interest_income,finance_income_statement_current_only.csv,interest_income,7621319000.0,3730342000.0,7621319000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2015-03-31,2015q1,,interest_expense,finance_income_statement_current_only.csv,interest_expense,3890977000.0,,3890977000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2015-03-31,2015q1,,commission_income,finance_income_statement_current_only.csv,commission_income,900333000.0,817288000.0,900333000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2015-03-31,2015q1,,commission_expense,finance_income_statement_current_only.csv,commission_expense,83045000.0,,83045000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2015-03-31,2015q1,,asset_impairment_loss,finance_income_statement_current_only.csv,asset_impairment_loss,646982000.0,646982000.0,646982000.0,,identity_q1_or_ytd_diff,True,
002142.XSHE,income,2015-03-31,2015q1,,credit_impairment_loss,finance_income_statement_current_only.csv,credit_impairment_loss,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002142.XSHE,income,2015-03-31,2015q1,,investment_income,finance_income_statement_current_only.csv,investment_income,121349000.0,121349000.0,121349000.0,,identity_q1_or_ytd_diff,True,
