code,statement_family,report_period_end,quarter_key,year_key,standard_field_name,source_table,source_field,raw_primary_value,raw_fallback_value,raw_value_used,prior_cumulative_value_used,transformation_rule,conversion_success,missing_reason
002807.XSHE,balance,2016-12-31,2016q4,,cash_equivalents,balance.csv,cash_equivalents,12043409000.0,12043409000.0,12043409000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,settlement_provi,balance.csv,settlement_provi,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,lend_capital,balance.csv,lend_capital,1235590000.0,1235590000.0,1235590000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,trading_assets,balance.csv,trading_assets,1998752000.0,1998752000.0,1998752000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,bill_receivable,balance.csv,bill_receivable,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,account_receivable,balance.csv,account_receivable,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,advance_payment,balance.csv,advance_payment,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,insurance_receivables,balance.csv,insurance_receivables,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,interest_receivable,balance.csv,interest_receivable,470698000.0,470698000.0,470698000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,other_receivable,balance.csv,other_receivable,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,bought_sellback_assets,balance.csv,bought_sellback_assets,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,inventories,balance.csv,inventories,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,other_current_assets,balance.csv,other_current_assets,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,total_current_assets,balance.csv,total_current_assets,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,loan_and_advance,balance.csv,loan_and_advance,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,hold_for_sale_assets,balance.csv,hold_for_sale_assets,22805778000.0,22805778000.0,22805778000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,hold_to_maturity_investments,balance.csv,hold_to_maturity_investments,12282024000.0,12282024000.0,12282024000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,longterm_equity_invest,balance.csv,longterm_equity_invest,187241000.0,187241000.0,187241000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,investment_property,balance.csv,investment_property,74390000.0,74390000.0,74390000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,fixed_assets,balance.csv,fixed_assets,568693000.0,568693000.0,568693000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,constru_in_process,balance.csv,constru_in_process,282295000.0,282295000.0,282295000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,intangible_assets,balance.csv,intangible_assets,89155000.0,89155000.0,89155000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,good_will,balance.csv,good_will,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,long_deferred_expense,balance.csv,long_deferred_expense,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,deferred_tax_assets,balance.csv,deferred_tax_assets,687775000.0,687775000.0,687775000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,other_non_current_assets,balance.csv,other_non_current_assets,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,total_non_current_assets,balance.csv,total_non_current_assets,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,total_assets,balance.csv,total_assets,104084887000.0,104084887000.0,104084887000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,shortterm_loan,balance.csv,shortterm_loan,0.0,0.0,0.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,borrowing_from_centralbank,balance.csv,borrowing_from_centralbank,407471000.0,407471000.0,407471000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,deposit_in_interbank,balance.csv,deposit_in_interbank,74619519000.0,74619519000.0,74619519000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,borrowing_capital,balance.csv,borrowing_capital,34685000.0,34685000.0,34685000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,trading_liability,balance.csv,trading_liability,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,notes_payable,balance.csv,notes_payable,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,accounts_payable,balance.csv,accounts_payable,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,advance_peceipts,balance.csv,advance_peceipts,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,sold_buyback_secu_proceeds,balance.csv,sold_buyback_secu_proceeds,13198500000.0,13198500000.0,13198500000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,commission_payable,balance.csv,commission_payable,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,salaries_payable,balance.csv,salaries_payable,396901000.0,396901000.0,396901000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,taxs_payable,balance.csv,taxs_payable,77380000.0,77380000.0,77380000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,interest_payable,balance.csv,interest_payable,2009420000.0,2009420000.0,2009420000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,other_payable,balance.csv,other_payable,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,insurance_contract_reserves,balance.csv,insurance_contract_reserves,0.0,0.0,0.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,proxy_secu_proceeds,balance.csv,proxy_secu_proceeds,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,non_current_liability_in_one_year,balance.csv,non_current_liability_in_one_year,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,other_current_liability,balance.csv,other_current_liability,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,total_current_liability,balance.csv,total_current_liability,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,longterm_loan,balance.csv,longterm_loan,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,bonds_payable,balance.csv,bonds_payable,4104858000.0,4104858000.0,4104858000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,estimate_liability,balance.csv,estimate_liability,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,deferred_tax_liability,balance.csv,deferred_tax_liability,88433000.0,88433000.0,88433000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,other_non_current_liability,balance.csv,other_non_current_liability,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,total_non_current_liability,balance.csv,total_non_current_liability,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,total_liability,balance.csv,total_liability,95071979000.0,95071979000.0,95071979000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,paidin_capital,balance.csv,paidin_capital,1767354000.0,1767354000.0,1767354000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,capital_reserve_fund,balance.csv,capital_reserve_fund,714438000.0,714438000.0,714438000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,treasury_stock,balance.csv,treasury_stock,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,surplus_reserve_fund,balance.csv,surplus_reserve_fund,2437946000.0,2437946000.0,2437946000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,ordinary_risk_reserve_fund,balance.csv,ordinary_risk_reserve_fund,1226195000.0,1226195000.0,1226195000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,retained_profit,balance.csv,retained_profit,2498141000.0,2498141000.0,2498141000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,equities_parent_company_owners,balance.csv,equities_parent_company_owners,8751954000.0,8751954000.0,8751954000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,minority_interests,balance.csv,minority_interests,260953000.0,260953000.0,260953000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,total_owner_equities,balance.csv,total_owner_equities,9012908000.0,9012908000.0,9012908000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,other_comprehensive_income,balance.csv,other_comprehensive_income,107880000.0,107880000.0,107880000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2016-12-31,2016q4,,contract_assets,balance.csv,contract_assets,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,contract_liability,balance.csv,contract_liability,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2016-12-31,2016q4,,usufruct_assets,balance.csv,usufruct_assets,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2017-03-31,2017q1,,cash_equivalents,balance.csv,cash_equivalents,10822145000.0,10822145000.0,10822145000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2017-03-31,2017q1,,settlement_provi,balance.csv,settlement_provi,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2017-03-31,2017q1,,lend_capital,balance.csv,lend_capital,1196909000.0,1196909000.0,1196909000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2017-03-31,2017q1,,trading_assets,balance.csv,trading_assets,2021655000.0,2021655000.0,2021655000.0,,identity_q1_or_ytd_diff,True,
002807.XSHE,balance,2017-03-31,2017q1,,bill_receivable,balance.csv,bill_receivable,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2017-03-31,2017q1,,account_receivable,balance.csv,account_receivable,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2017-03-31,2017q1,,advance_payment,balance.csv,advance_payment,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
002807.XSHE,balance,2017-03-31,2017q1,,insurance_receivables,balance.csv,insurance_receivables,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
