code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
002807.XSHE,income,2016-12-31,2016q4,,2017-03-15,operating_revenue,622190000.0,finance_income_statement_current_only.csv,operating_revenue,converted_from_ytd,identity_q1_or_ytd_diff,
002807.XSHE,income,2016-12-31,2016q4,,2017-03-15,interest_income,1121389000.0,finance_income_statement_current_only.csv,interest_income,converted_from_ytd,identity_q1_or_ytd_diff,
002807.XSHE,income,2016-12-31,2016q4,,2017-03-15,interest_expense,498771000.0,finance_income_statement_current_only.csv,interest_expense,converted_from_ytd,identity_q1_or_ytd_diff,
002807.XSHE,income,2016-12-31,2016q4,,2017-03-15,commission_income,11449000.0,finance_income_statement_current_only.csv,commission_income,converted_from_ytd,identity_q1_or_ytd_diff,
002807.XSHE,income,2016-12-31,2016q4,,2017-03-15,commission_expense,5988000.0,finance_income_statement_current_only.csv,commission_expense,converted_from_ytd,identity_q1_or_ytd_diff,
002807.XSHE,income,2016-12-31,2016q4,,2017-03-15,asset_impairment_loss,83826000.0,finance_income_statement_current_only.csv,asset_impairment_loss,converted_from_ytd,identity_q1_or_ytd_diff,
002807.XSHE,income,2016-12-31,2016q4,,2017-03-15,credit_impairment_loss,,finance_income_statement_current_only.csv,credit_impairment_loss,,identity_q1_or_ytd_diff,missing_raw_value
002807.XSHE,income,2016-12-31,2016q4,,2017-03-15,investment_income,-2021000.0,finance_income_statement_current_only.csv,investment_income,converted_from_ytd,identity_q1_or_ytd_diff,
002807.XSHE,income,2016-12-31,2016q4,,2017-03-15,operating_profit,257761000.0,finance_income_statement_current_only.csv,operating_profit,converted_from_ytd,identity_q1_or_ytd_diff,
002807.XSHE,income,2016-12-31,2016q4,,2017-03-15,total_profit,258691000.0,finance_income_statement_current_only.csv,total_profit,converted_from_ytd,identity_q1_or_ytd_diff,
002807.XSHE,income,2016-12-31,2016q4,,2017-03-15,income_tax_expense,8479000.0,finance_income_statement_current_only.csv,income_tax_expense,converted_from_ytd,identity_q1_or_ytd_diff,
002807.XSHE,income,2016-12-31,2016q4,,2017-03-15,net_profit,250212000.0,finance_income_statement_current_only.csv,net_profit,converted_from_ytd,identity_q1_or_ytd_diff,
002807.XSHE,income,2016-12-31,2016q4,,2017-03-15,np_parent_company_owners,267692000.0,finance_income_statement_current_only.csv,np_parent_company_owners,converted_from_ytd,identity_q1_or_ytd_diff,
002807.XSHE,income,2016-12-31,2016q4,,2017-03-15,minority_profit,-17479000.0,finance_income_statement_current_only.csv,minority_profit,converted_from_ytd,identity_q1_or_ytd_diff,
002807.XSHE,income,2017-03-31,2017q1,,2017-04-28,operating_revenue,550765000.0,finance_income_statement_current_only.csv,operating_revenue,single_quarter,identity_q1_or_ytd_diff,
002807.XSHE,income,2017-03-31,2017q1,,2017-04-28,interest_income,1004659000.0,finance_income_statement_current_only.csv,interest_income,single_quarter,identity_q1_or_ytd_diff,
002807.XSHE,income,2017-03-31,2017q1,,2017-04-28,interest_expense,520648000.0,finance_income_statement_current_only.csv,interest_expense,single_quarter,identity_q1_or_ytd_diff,
002807.XSHE,income,2017-03-31,2017q1,,2017-04-28,commission_income,20661000.0,finance_income_statement_current_only.csv,commission_income,single_quarter,identity_q1_or_ytd_diff,
002807.XSHE,income,2017-03-31,2017q1,,2017-04-28,commission_expense,4785000.0,finance_income_statement_current_only.csv,commission_expense,single_quarter,identity_q1_or_ytd_diff,
002807.XSHE,income,2017-03-31,2017q1,,2017-04-28,asset_impairment_loss,143833000.0,finance_income_statement_current_only.csv,asset_impairment_loss,single_quarter,identity_q1_or_ytd_diff,
002807.XSHE,income,2017-03-31,2017q1,,2017-04-28,credit_impairment_loss,,finance_income_statement_current_only.csv,credit_impairment_loss,,identity_q1_or_ytd_diff,missing_raw_value
