code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
002966.XSHE,bank_indicator,2019-12-31,,2019,2020-03-31,total_loan,155326331000.0,bank_indicator.csv,total_loan,annual_direct,identity_q1_or_ytd_diff,
002966.XSHE,bank_indicator,2019-12-31,,2019,2020-03-31,total_deposit,222114144042.0,bank_indicator.csv,total_deposit,annual_direct,identity_q1_or_ytd_diff,
002966.XSHE,bank_indicator,2019-12-31,,2019,2020-03-31,interest_earning_assets,290799268000.0,bank_indicator.csv,interest_earning_assets,annual_direct,identity_q1_or_ytd_diff,
002966.XSHE,bank_indicator,2019-12-31,,2019,2020-03-31,non_interest_earning_assets,52672289896.0,bank_indicator.csv,non_interest_earning_assets,annual_direct,identity_q1_or_ytd_diff,
002966.XSHE,bank_indicator,2019-12-31,,2019,2020-03-31,interest_earning_assets_yield,5.04,bank_indicator.csv,interest_earning_assets_yield,annual_direct,identity_q1_or_ytd_diff,
002966.XSHE,bank_indicator,2019-12-31,,2019,2020-03-31,interest_bearing_liabilities,313750987000.0,bank_indicator.csv,interest_bearing_liabilities,annual_direct,identity_q1_or_ytd_diff,
002966.XSHE,bank_indicator,2019-12-31,,2019,2020-03-31,non_interest_bearing_liabilities,767369521.0,bank_indicator.csv,non_interest_bearing_liabilities,annual_direct,identity_q1_or_ytd_diff,
002966.XSHE,bank_indicator,2019-12-31,,2019,2020-03-31,interest_bearing_liabilities_interest_rate,2.62,bank_indicator.csv,interest_bearing_liabilities_interest_rate,annual_direct,identity_q1_or_ytd_diff,
002966.XSHE,bank_indicator,2019-12-31,,2019,2020-03-31,non_interest_income,3000058000.0,bank_indicator.csv,non_interest_income,annual_direct,identity_q1_or_ytd_diff,
002966.XSHE,bank_indicator,2019-12-31,,2019,2020-03-31,non_interest_income_ratio,31.8334,bank_indicator.csv,non_interest_income_ratio,annual_direct,identity_q1_or_ytd_diff,
