code,statement_family,report_period_end,quarter_key,year_key,standard_field_name,source_table,source_field,raw_primary_value,raw_fallback_value,raw_value_used,prior_cumulative_value_used,transformation_rule,conversion_success,missing_reason
601229.XSHG,parent_balance,2017-03-31,2017q1,,deposit_in_ib,finance_balance_sheet_parent_current_only.csv,deposit_in_ib,0.0,0.0,0.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,cash_equivalents,finance_balance_sheet_parent_current_only.csv,cash_equivalents,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,deposit_client,finance_balance_sheet_parent_current_only.csv,deposit_client,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,cash_in_cb,finance_balance_sheet_parent_current_only.csv,cash_in_cb,134475447000.0,134475447000.0,134475447000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,settlement_provi,finance_balance_sheet_parent_current_only.csv,settlement_provi,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,settlement_provi_client,finance_balance_sheet_parent_current_only.csv,settlement_provi_client,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,lend_capital,finance_balance_sheet_parent_current_only.csv,lend_capital,97572350000.0,97572350000.0,97572350000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,bought_sellback_assets,finance_balance_sheet_parent_current_only.csv,bought_sellback_assets,27525680000.0,27525680000.0,27525680000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,interest_receivable,finance_balance_sheet_parent_current_only.csv,interest_receivable,7839498000.0,7839498000.0,7839498000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,insurance_receivables,finance_balance_sheet_parent_current_only.csv,insurance_receivables,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,loan_and_advance,finance_balance_sheet_parent_current_only.csv,loan_and_advance,551769753000.0,551769753000.0,551769753000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,advance_payment,finance_balance_sheet_parent_current_only.csv,advance_payment,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,hold_for_sale_assets,finance_balance_sheet_parent_current_only.csv,hold_for_sale_assets,444978554000.0,444978554000.0,444978554000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,hold_to_maturity_investments,finance_balance_sheet_parent_current_only.csv,hold_to_maturity_investments,251978532000.0,251978532000.0,251978532000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,longterm_equity_invest,finance_balance_sheet_parent_current_only.csv,longterm_equity_invest,3870724000.0,3870724000.0,3870724000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,investment_property,finance_balance_sheet_parent_current_only.csv,investment_property,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,inventories,finance_balance_sheet_parent_current_only.csv,inventories,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,fixed_assets,finance_balance_sheet_parent_current_only.csv,fixed_assets,4307757000.0,4307757000.0,4307757000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,constru_in_process,finance_balance_sheet_parent_current_only.csv,constru_in_process,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,intangible_assets,finance_balance_sheet_parent_current_only.csv,intangible_assets,536155000.0,536155000.0,536155000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,long_deferred_expense,finance_balance_sheet_parent_current_only.csv,long_deferred_expense,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,deferred_tax_assets,finance_balance_sheet_parent_current_only.csv,deferred_tax_assets,5929578000.0,5929578000.0,5929578000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,other_asset,finance_balance_sheet_parent_current_only.csv,other_asset,12652328000.0,12652328000.0,12652328000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,total_assets,finance_balance_sheet_parent_current_only.csv,total_assets,1761944663000.0,1761944663000.0,1761944663000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,borrowing_from_centralbank,finance_balance_sheet_parent_current_only.csv,borrowing_from_centralbank,122000000000.0,122000000000.0,122000000000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,shortterm_loan,finance_balance_sheet_parent_current_only.csv,shortterm_loan,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,borrowing_capital,finance_balance_sheet_parent_current_only.csv,borrowing_capital,47243150000.0,47243150000.0,47243150000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,sold_buyback_secu_proceeds,finance_balance_sheet_parent_current_only.csv,sold_buyback_secu_proceeds,75931187000.0,75931187000.0,75931187000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,proxy_secu_proceeds,finance_balance_sheet_parent_current_only.csv,proxy_secu_proceeds,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,notes_payable,finance_balance_sheet_parent_current_only.csv,notes_payable,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,advance_peceipts,finance_balance_sheet_parent_current_only.csv,advance_peceipts,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,commission_payable,finance_balance_sheet_parent_current_only.csv,commission_payable,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,salaries_payable,finance_balance_sheet_parent_current_only.csv,salaries_payable,1803592000.0,1803592000.0,1803592000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,taxs_payable,finance_balance_sheet_parent_current_only.csv,taxs_payable,3237064000.0,3237064000.0,3237064000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,interest_payable,finance_balance_sheet_parent_current_only.csv,interest_payable,16210885000.0,16210885000.0,16210885000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,estimate_liability,finance_balance_sheet_parent_current_only.csv,estimate_liability,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,longterm_loan,finance_balance_sheet_parent_current_only.csv,longterm_loan,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,bonds_payable,finance_balance_sheet_parent_current_only.csv,bonds_payable,247380552000.0,247380552000.0,247380552000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,deferred_tax_liability,finance_balance_sheet_parent_current_only.csv,deferred_tax_liability,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,other_liability,finance_balance_sheet_parent_current_only.csv,other_liability,10841932000.0,10841932000.0,10841932000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,total_liability,finance_balance_sheet_parent_current_only.csv,total_liability,1643155616000.0,1643155616000.0,1643155616000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,paidin_capital,finance_balance_sheet_parent_current_only.csv,paidin_capital,6004450000.0,6004450000.0,6004450000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,capital_reserve_fund,finance_balance_sheet_parent_current_only.csv,capital_reserve_fund,30253538000.0,30253538000.0,30253538000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,treasury_stock,finance_balance_sheet_parent_current_only.csv,treasury_stock,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,surplus_reserve_fund,finance_balance_sheet_parent_current_only.csv,surplus_reserve_fund,22227344000.0,22227344000.0,22227344000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,equities_parent_company_owners,finance_balance_sheet_parent_current_only.csv,equities_parent_company_owners,118789047000.0,118789047000.0,118789047000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,retained_profit,finance_balance_sheet_parent_current_only.csv,retained_profit,38847951000.0,38847951000.0,38847951000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,minority_interests,finance_balance_sheet_parent_current_only.csv,minority_interests,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-03-31,2017q1,,total_owner_equities,finance_balance_sheet_parent_current_only.csv,total_owner_equities,118789047000.0,118789047000.0,118789047000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-03-31,2017q1,,other_comprehensive_income,finance_balance_sheet_parent_current_only.csv,other_comprehensive_income,325764000.0,325764000.0,325764000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-06-30,2017q2,,deposit_in_ib,finance_balance_sheet_parent_current_only.csv,deposit_in_ib,18176806000.0,18176806000.0,18176806000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-06-30,2017q2,,cash_equivalents,finance_balance_sheet_parent_current_only.csv,cash_equivalents,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-06-30,2017q2,,deposit_client,finance_balance_sheet_parent_current_only.csv,deposit_client,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-06-30,2017q2,,cash_in_cb,finance_balance_sheet_parent_current_only.csv,cash_in_cb,135188568000.0,135188568000.0,135188568000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-06-30,2017q2,,settlement_provi,finance_balance_sheet_parent_current_only.csv,settlement_provi,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-06-30,2017q2,,settlement_provi_client,finance_balance_sheet_parent_current_only.csv,settlement_provi_client,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-06-30,2017q2,,lend_capital,finance_balance_sheet_parent_current_only.csv,lend_capital,92936051000.0,92936051000.0,92936051000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-06-30,2017q2,,bought_sellback_assets,finance_balance_sheet_parent_current_only.csv,bought_sellback_assets,11789130000.0,11789130000.0,11789130000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-06-30,2017q2,,interest_receivable,finance_balance_sheet_parent_current_only.csv,interest_receivable,7476386000.0,7476386000.0,7476386000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-06-30,2017q2,,insurance_receivables,finance_balance_sheet_parent_current_only.csv,insurance_receivables,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-06-30,2017q2,,loan_and_advance,finance_balance_sheet_parent_current_only.csv,loan_and_advance,562953319000.0,562953319000.0,562953319000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-06-30,2017q2,,advance_payment,finance_balance_sheet_parent_current_only.csv,advance_payment,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-06-30,2017q2,,hold_for_sale_assets,finance_balance_sheet_parent_current_only.csv,hold_for_sale_assets,415232698000.0,415232698000.0,415232698000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-06-30,2017q2,,hold_to_maturity_investments,finance_balance_sheet_parent_current_only.csv,hold_to_maturity_investments,260014084000.0,260014084000.0,260014084000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-06-30,2017q2,,longterm_equity_invest,finance_balance_sheet_parent_current_only.csv,longterm_equity_invest,3870724000.0,3870724000.0,3870724000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-06-30,2017q2,,investment_property,finance_balance_sheet_parent_current_only.csv,investment_property,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-06-30,2017q2,,inventories,finance_balance_sheet_parent_current_only.csv,inventories,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-06-30,2017q2,,fixed_assets,finance_balance_sheet_parent_current_only.csv,fixed_assets,4420259000.0,4420259000.0,4420259000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-06-30,2017q2,,constru_in_process,finance_balance_sheet_parent_current_only.csv,constru_in_process,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601229.XSHG,parent_balance,2017-06-30,2017q2,,intangible_assets,finance_balance_sheet_parent_current_only.csv,intangible_assets,510387000.0,510387000.0,510387000.0,,identity_q1_or_ytd_diff,True,
601229.XSHG,parent_balance,2017-06-30,2017q2,,long_deferred_expense,finance_balance_sheet_parent_current_only.csv,long_deferred_expense,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
