code,statement_family,report_period_end,quarter_key,year_key,standard_field_name,source_table,source_field,raw_primary_value,raw_fallback_value,raw_value_used,prior_cumulative_value_used,transformation_rule,conversion_success,missing_reason
601328.XSHG,indicator,2014-03-31,2014q1,,eps,indicator.csv,eps,0.2517,0.2517,0.2517,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,adjusted_profit,indicator.csv,adjusted_profit,18599000000.0,18599000000.0,18599000000.0,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,operating_profit,indicator.csv,operating_profit,19474000000.0,19474000000.0,19474000000.0,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,value_change_profit,indicator.csv,value_change_profit,3073000000.0,3073000000.0,3073000000.0,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,roe,indicator.csv,roe,4.35,4.35,4.35,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,inc_return,indicator.csv,inc_return,4.33,4.33,4.33,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,roa,indicator.csv,roa,0.31,0.31,0.31,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,net_profit_margin,indicator.csv,net_profit_margin,41.94,41.94,41.94,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,gross_profit_margin,indicator.csv,gross_profit_margin,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601328.XSHG,indicator,2014-03-31,2014q1,,expense_to_total_revenue,indicator.csv,expense_to_total_revenue,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601328.XSHG,indicator,2014-03-31,2014q1,,operation_profit_to_total_revenue,indicator.csv,operation_profit_to_total_revenue,53.58,53.58,53.58,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,net_profit_to_total_revenue,indicator.csv,net_profit_to_total_revenue,41.94,41.94,41.94,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,operating_expense_to_total_revenue,indicator.csv,operating_expense_to_total_revenue,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601328.XSHG,indicator,2014-03-31,2014q1,,ga_expense_to_total_revenue,indicator.csv,ga_expense_to_total_revenue,23.79,23.79,23.79,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,financing_expense_to_total_revenue,indicator.csv,financing_expense_to_total_revenue,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601328.XSHG,indicator,2014-03-31,2014q1,,operating_profit_to_profit,indicator.csv,operating_profit_to_profit,80.71,80.71,80.71,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,invesment_profit_to_profit,indicator.csv,invesment_profit_to_profit,12.74,12.74,12.74,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,adjusted_profit_to_profit,indicator.csv,adjusted_profit_to_profit,99.51,99.51,99.51,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,goods_sale_and_service_to_revenue,indicator.csv,goods_sale_and_service_to_revenue,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601328.XSHG,indicator,2014-03-31,2014q1,,ocf_to_revenue,indicator.csv,ocf_to_revenue,-138.05,-138.05,-138.05,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,ocf_to_operating_profit,indicator.csv,ocf_to_operating_profit,-317.06,-317.06,-317.06,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,inc_total_revenue_year_on_year,indicator.csv,inc_total_revenue_year_on_year,6.02,6.02,6.02,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,inc_total_revenue_annual,indicator.csv,inc_total_revenue_annual,11.23,11.23,11.23,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,inc_revenue_year_on_year,indicator.csv,inc_revenue_year_on_year,6.02,6.02,6.02,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,inc_revenue_annual,indicator.csv,inc_revenue_annual,11.23,11.23,11.23,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,inc_operation_profit_year_on_year,indicator.csv,inc_operation_profit_year_on_year,4.86,4.86,4.86,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,inc_operation_profit_annual,indicator.csv,inc_operation_profit_annual,39.69,39.69,39.69,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,inc_net_profit_year_on_year,indicator.csv,inc_net_profit_year_on_year,5.68,5.68,5.68,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,inc_net_profit_annual,indicator.csv,inc_net_profit_annual,37.71,37.71,37.71,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,inc_net_profit_to_shareholders_year_on_year,indicator.csv,inc_net_profit_to_shareholders_year_on_year,5.56,5.56,5.56,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-03-31,2014q1,,inc_net_profit_to_shareholders_annual,indicator.csv,inc_net_profit_to_shareholders_annual,37.54,37.54,37.54,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-06-30,2014q2,,eps,indicator.csv,eps,0.2435,0.2435,0.2435,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-06-30,2014q2,,adjusted_profit,indicator.csv,adjusted_profit,17950000000.0,17950000000.0,17950000000.0,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-06-30,2014q2,,operating_profit,indicator.csv,operating_profit,20250000000.0,20250000000.0,20250000000.0,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-06-30,2014q2,,value_change_profit,indicator.csv,value_change_profit,548000000.0,548000000.0,548000000.0,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-06-30,2014q2,,roe,indicator.csv,roe,4.11,4.11,4.11,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-06-30,2014q2,,inc_return,indicator.csv,inc_return,4.08,4.08,4.08,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-06-30,2014q2,,roa,indicator.csv,roa,0.3,0.3,0.3,,identity_q1_or_ytd_diff,True,
601328.XSHG,indicator,2014-06-30,2014q2,,net_profit_margin,indicator.csv,net_profit_margin,39.69,39.69,39.69,,identity_q1_or_ytd_diff,True,
