code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601528.XSHG,bank_indicator,2021-12-31,,2021,2022-03-31,total_loan,85034312000.0,bank_indicator.csv,total_loan,annual_direct,identity_q1_or_ytd_diff,
601528.XSHG,bank_indicator,2021-12-31,,2021,2022-03-31,total_deposit,102358896000.0,bank_indicator.csv,total_deposit,annual_direct,identity_q1_or_ytd_diff,
601528.XSHG,bank_indicator,2021-12-31,,2021,2022-03-31,interest_earning_assets,,bank_indicator.csv,interest_earning_assets,,identity_q1_or_ytd_diff,missing_raw_value
601528.XSHG,bank_indicator,2021-12-31,,2021,2022-03-31,non_interest_earning_assets,136867516000.0,bank_indicator.csv,non_interest_earning_assets,annual_direct,identity_q1_or_ytd_diff,
601528.XSHG,bank_indicator,2021-12-31,,2021,2022-03-31,interest_earning_assets_yield,,bank_indicator.csv,interest_earning_assets_yield,,identity_q1_or_ytd_diff,missing_raw_value
601528.XSHG,bank_indicator,2021-12-31,,2021,2022-03-31,interest_bearing_liabilities,,bank_indicator.csv,interest_bearing_liabilities,,identity_q1_or_ytd_diff,missing_raw_value
601528.XSHG,bank_indicator,2021-12-31,,2021,2022-03-31,non_interest_bearing_liabilities,123051420000.0,bank_indicator.csv,non_interest_bearing_liabilities,annual_direct,identity_q1_or_ytd_diff,
601528.XSHG,bank_indicator,2021-12-31,,2021,2022-03-31,interest_bearing_liabilities_interest_rate,0.0,bank_indicator.csv,interest_bearing_liabilities_interest_rate,annual_direct,identity_q1_or_ytd_diff,
601528.XSHG,bank_indicator,2021-12-31,,2021,2022-03-31,non_interest_income,314603000.0,bank_indicator.csv,non_interest_income,annual_direct,identity_q1_or_ytd_diff,
601528.XSHG,bank_indicator,2021-12-31,,2021,2022-03-31,non_interest_income_ratio,9.5039,bank_indicator.csv,non_interest_income_ratio,annual_direct,identity_q1_or_ytd_diff,
601528.XSHG,bank_indicator,2021-12-31,,2021,2022-03-31,net_interest_margin,2.34,bank_indicator.csv,net_interest_margin,annual_direct,identity_q1_or_ytd_diff,
601528.XSHG,bank_indicator,2021-12-31,,2021,2022-03-31,net_profit_margin,2.24,bank_indicator.csv,net_profit_margin,annual_direct,identity_q1_or_ytd_diff,
601528.XSHG,bank_indicator,2021-12-31,,2021,2022-03-31,core_level_capital,13662844000.0,bank_indicator.csv,core_level_capital,annual_direct,identity_q1_or_ytd_diff,
601528.XSHG,bank_indicator,2021-12-31,,2021,2022-03-31,net_core_level_capital,13662844000.0,bank_indicator.csv,net_core_level_capital,annual_direct,identity_q1_or_ytd_diff,
601528.XSHG,bank_indicator,2021-12-31,,2021,2022-03-31,core_level_capital_adequacy_ratio,15.41,bank_indicator.csv,core_level_capital_adequacy_ratio,annual_direct,identity_q1_or_ytd_diff,
