code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,eps,0.2105,indicator.csv,eps,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,adjusted_profit,2009819000.0,indicator.csv,adjusted_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,operating_profit,2553356000.0,indicator.csv,operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,value_change_profit,562871000.0,indicator.csv,value_change_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,roe,2.16,indicator.csv,roe,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,inc_return,2.14,indicator.csv,inc_return,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,roa,0.19,indicator.csv,roa,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,net_profit_margin,35.11,indicator.csv,net_profit_margin,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,gross_profit_margin,,indicator.csv,gross_profit_margin,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,expense_to_total_revenue,57.53,indicator.csv,expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,operation_profit_to_total_revenue,42.47,indicator.csv,operation_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,net_profit_to_total_revenue,35.11,indicator.csv,net_profit_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,operating_expense_to_total_revenue,,indicator.csv,operating_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,ga_expense_to_total_revenue,29.91,indicator.csv,ga_expense_to_total_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,financing_expense_to_total_revenue,,indicator.csv,financing_expense_to_total_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,operating_profit_to_profit,77.98,indicator.csv,operating_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,invesment_profit_to_profit,22.05,indicator.csv,invesment_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,adjusted_profit_to_profit,99.0,indicator.csv,adjusted_profit_to_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,goods_sale_and_service_to_revenue,,indicator.csv,goods_sale_and_service_to_revenue,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,ocf_to_revenue,-239.9,indicator.csv,ocf_to_revenue,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,ocf_to_operating_profit,-564.86,indicator.csv,ocf_to_operating_profit,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,inc_total_revenue_year_on_year,,indicator.csv,inc_total_revenue_year_on_year,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,inc_total_revenue_annual,-1.95,indicator.csv,inc_total_revenue_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,inc_revenue_year_on_year,,indicator.csv,inc_revenue_year_on_year,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,inc_revenue_annual,-1.95,indicator.csv,inc_revenue_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,inc_operation_profit_year_on_year,,indicator.csv,inc_operation_profit_year_on_year,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,inc_operation_profit_annual,-20.68,indicator.csv,inc_operation_profit_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,inc_net_profit_year_on_year,,indicator.csv,inc_net_profit_year_on_year,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,inc_net_profit_annual,-20.01,indicator.csv,inc_net_profit_annual,quarterly_direct,identity_q1_or_ytd_diff,
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,inc_net_profit_to_shareholders_year_on_year,,indicator.csv,inc_net_profit_to_shareholders_year_on_year,,identity_q1_or_ytd_diff,missing_raw_value
601825.XSHG,indicator,2021-12-31,2021q4,,2022-04-30,inc_net_profit_to_shareholders_annual,-20.38,indicator.csv,inc_net_profit_to_shareholders_annual,quarterly_direct,identity_q1_or_ytd_diff,
