code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,net_deposit_increase,1100824000000.0,finance_cashflow_statement_current_only.csv,net_deposit_increase,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,net_borrowing_from_central_bank,12344000000.0,finance_cashflow_statement_current_only.csv,net_borrowing_from_central_bank,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,net_borrowing_from_finance_co,,finance_cashflow_statement_current_only.csv,net_borrowing_from_finance_co,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,interest_and_commission_cashin,147224000000.0,finance_cashflow_statement_current_only.csv,interest_and_commission_cashin,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,net_increase_in_placements,,finance_cashflow_statement_current_only.csv,net_increase_in_placements,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,net_buyback,,finance_cashflow_statement_current_only.csv,net_buyback,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,tax_levy_refund,,finance_cashflow_statement_current_only.csv,tax_levy_refund,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,goods_and_services_cash_paid,,finance_cashflow_statement_current_only.csv,goods_and_services_cash_paid,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,net_loan_and_advance_increase,551367000000.0,finance_cashflow_statement_current_only.csv,net_loan_and_advance_increase,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,net_deposit_in_cb_and_ib,165976000000.0,finance_cashflow_statement_current_only.csv,net_deposit_in_cb_and_ib,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,original_compensation_paid,,finance_cashflow_statement_current_only.csv,original_compensation_paid,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,policy_dividend_cash_paid,,finance_cashflow_statement_current_only.csv,policy_dividend_cash_paid,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,staff_behalf_paid,26542000000.0,finance_cashflow_statement_current_only.csv,staff_behalf_paid,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,tax_payments,11534000000.0,finance_cashflow_statement_current_only.csv,tax_payments,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,subtotal_operate_cash_inflow,1260392000000.0,finance_cashflow_statement_current_only.csv,subtotal_operate_cash_inflow,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,subtotal_operate_cash_outflow,873340000000.0,finance_cashflow_statement_current_only.csv,subtotal_operate_cash_outflow,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,net_operate_cash_flow,387052000000.0,finance_cashflow_statement_current_only.csv,net_operate_cash_flow,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,invest_withdrawal_cash,187650000000.0,finance_cashflow_statement_current_only.csv,invest_withdrawal_cash,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,invest_proceeds,15607000000.0,finance_cashflow_statement_current_only.csv,invest_proceeds,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,fix_intan_other_asset_acqui_cash,5123000000.0,finance_cashflow_statement_current_only.csv,fix_intan_other_asset_acqui_cash,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,invest_cash_paid,160190000000.0,finance_cashflow_statement_current_only.csv,invest_cash_paid,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,impawned_loan_net_increase,,finance_cashflow_statement_current_only.csv,impawned_loan_net_increase,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,subtotal_invest_cash_inflow,204958000000.0,finance_cashflow_statement_current_only.csv,subtotal_invest_cash_inflow,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,subtotal_invest_cash_outflow,165319000000.0,finance_cashflow_statement_current_only.csv,subtotal_invest_cash_outflow,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,net_invest_cash_flow,39639000000.0,finance_cashflow_statement_current_only.csv,net_invest_cash_flow,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,cash_from_invest,0.0,finance_cashflow_statement_current_only.csv,cash_from_invest,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,cash_from_bonds_issue,30639000000.0,finance_cashflow_statement_current_only.csv,cash_from_bonds_issue,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,cash_from_borrowing,,finance_cashflow_statement_current_only.csv,cash_from_borrowing,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,subtotal_finance_cash_inflow,30639000000.0,finance_cashflow_statement_current_only.csv,subtotal_finance_cash_inflow,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,borrowing_repayment,19261000000.0,finance_cashflow_statement_current_only.csv,borrowing_repayment,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,dividend_interest_payment,2289000000.0,finance_cashflow_statement_current_only.csv,dividend_interest_payment,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,subtotal_finance_cash_outflow,21564000000.0,finance_cashflow_statement_current_only.csv,subtotal_finance_cash_outflow,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,net_finance_cash_flow,9075000000.0,finance_cashflow_statement_current_only.csv,net_finance_cash_flow,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,exchange_rate_change_effect,3748000000.0,finance_cashflow_statement_current_only.csv,exchange_rate_change_effect,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,cash_equivalent_increase,439514000000.0,finance_cashflow_statement_current_only.csv,cash_equivalent_increase,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,cash_equivalents_at_beginning,1150566000000.0,finance_cashflow_statement_current_only.csv,cash_equivalents_at_beginning,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-03-31,2014q1,,2014-04-25,cash_and_equivalents_at_end,1590080000000.0,finance_cashflow_statement_current_only.csv,cash_and_equivalents_at_end,single_quarter,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,net_deposit_increase,264501000000.0,finance_cashflow_statement_current_only.csv,net_deposit_increase,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,net_borrowing_from_central_bank,17141000000.0,finance_cashflow_statement_current_only.csv,net_borrowing_from_central_bank,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,net_borrowing_from_finance_co,,finance_cashflow_statement_current_only.csv,net_borrowing_from_finance_co,,identity_q1_or_ytd_diff,missing_prior_cumulative_report
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,interest_and_commission_cashin,150834000000.0,finance_cashflow_statement_current_only.csv,interest_and_commission_cashin,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,net_increase_in_placements,,finance_cashflow_statement_current_only.csv,net_increase_in_placements,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,net_buyback,,finance_cashflow_statement_current_only.csv,net_buyback,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,tax_levy_refund,,finance_cashflow_statement_current_only.csv,tax_levy_refund,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,goods_and_services_cash_paid,,finance_cashflow_statement_current_only.csv,goods_and_services_cash_paid,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,net_loan_and_advance_increase,274694000000.0,finance_cashflow_statement_current_only.csv,net_loan_and_advance_increase,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,net_deposit_in_cb_and_ib,36277000000.0,finance_cashflow_statement_current_only.csv,net_deposit_in_cb_and_ib,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,original_compensation_paid,,finance_cashflow_statement_current_only.csv,original_compensation_paid,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,policy_dividend_cash_paid,,finance_cashflow_statement_current_only.csv,policy_dividend_cash_paid,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,staff_behalf_paid,15631000000.0,finance_cashflow_statement_current_only.csv,staff_behalf_paid,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,tax_payments,41353000000.0,finance_cashflow_statement_current_only.csv,tax_payments,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,subtotal_operate_cash_inflow,541374000000.0,finance_cashflow_statement_current_only.csv,subtotal_operate_cash_inflow,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,subtotal_operate_cash_outflow,485459000000.0,finance_cashflow_statement_current_only.csv,subtotal_operate_cash_outflow,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,net_operate_cash_flow,55915000000.0,finance_cashflow_statement_current_only.csv,net_operate_cash_flow,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,invest_withdrawal_cash,246435000000.0,finance_cashflow_statement_current_only.csv,invest_withdrawal_cash,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,invest_proceeds,21842000000.0,finance_cashflow_statement_current_only.csv,invest_proceeds,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,fix_intan_other_asset_acqui_cash,5931000000.0,finance_cashflow_statement_current_only.csv,fix_intan_other_asset_acqui_cash,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,invest_cash_paid,326683000000.0,finance_cashflow_statement_current_only.csv,invest_cash_paid,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,impawned_loan_net_increase,,finance_cashflow_statement_current_only.csv,impawned_loan_net_increase,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,subtotal_invest_cash_inflow,272838000000.0,finance_cashflow_statement_current_only.csv,subtotal_invest_cash_inflow,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,subtotal_invest_cash_outflow,332654000000.0,finance_cashflow_statement_current_only.csv,subtotal_invest_cash_outflow,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,net_invest_cash_flow,-59816000000.0,finance_cashflow_statement_current_only.csv,net_invest_cash_flow,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,cash_from_invest,28000000.0,finance_cashflow_statement_current_only.csv,cash_from_invest,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,cash_from_bonds_issue,37070000000.0,finance_cashflow_statement_current_only.csv,cash_from_bonds_issue,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,cash_from_borrowing,,finance_cashflow_statement_current_only.csv,cash_from_borrowing,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,subtotal_finance_cash_inflow,37098000000.0,finance_cashflow_statement_current_only.csv,subtotal_finance_cash_inflow,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,borrowing_repayment,19930000000.0,finance_cashflow_statement_current_only.csv,borrowing_repayment,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,dividend_interest_payment,42217000000.0,finance_cashflow_statement_current_only.csv,dividend_interest_payment,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,subtotal_finance_cash_outflow,62143000000.0,finance_cashflow_statement_current_only.csv,subtotal_finance_cash_outflow,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,net_finance_cash_flow,-25045000000.0,finance_cashflow_statement_current_only.csv,net_finance_cash_flow,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,exchange_rate_change_effect,1597000000.0,finance_cashflow_statement_current_only.csv,exchange_rate_change_effect,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,cash_equivalent_increase,-27349000000.0,finance_cashflow_statement_current_only.csv,cash_equivalent_increase,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,cash_equivalents_at_beginning,0.0,finance_cashflow_statement_current_only.csv,cash_equivalents_at_beginning,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-06-30,2014q2,,2014-08-20,cash_and_equivalents_at_end,-27349000000.0,finance_cashflow_statement_current_only.csv,cash_and_equivalents_at_end,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-09-30,2014q3,,2014-10-31,net_deposit_increase,-184193000000.0,finance_cashflow_statement_current_only.csv,net_deposit_increase,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-09-30,2014q3,,2014-10-31,net_borrowing_from_central_bank,161241000000.0,finance_cashflow_statement_current_only.csv,net_borrowing_from_central_bank,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-09-30,2014q3,,2014-10-31,net_borrowing_from_finance_co,-108825000000.0,finance_cashflow_statement_current_only.csv,net_borrowing_from_finance_co,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-09-30,2014q3,,2014-10-31,interest_and_commission_cashin,149964000000.0,finance_cashflow_statement_current_only.csv,interest_and_commission_cashin,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-09-30,2014q3,,2014-10-31,net_increase_in_placements,,finance_cashflow_statement_current_only.csv,net_increase_in_placements,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-09-30,2014q3,,2014-10-31,net_buyback,,finance_cashflow_statement_current_only.csv,net_buyback,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-09-30,2014q3,,2014-10-31,tax_levy_refund,,finance_cashflow_statement_current_only.csv,tax_levy_refund,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-09-30,2014q3,,2014-10-31,goods_and_services_cash_paid,,finance_cashflow_statement_current_only.csv,goods_and_services_cash_paid,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-09-30,2014q3,,2014-10-31,net_loan_and_advance_increase,28692000000.0,finance_cashflow_statement_current_only.csv,net_loan_and_advance_increase,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-09-30,2014q3,,2014-10-31,net_deposit_in_cb_and_ib,-6748000000.0,finance_cashflow_statement_current_only.csv,net_deposit_in_cb_and_ib,converted_from_ytd,identity_q1_or_ytd_diff,
601988.XSHG,cash_flow,2014-09-30,2014q3,,2014-10-31,original_compensation_paid,,finance_cashflow_statement_current_only.csv,original_compensation_paid,,identity_q1_or_ytd_diff,missing_raw_value
601988.XSHG,cash_flow,2014-09-30,2014q3,,2014-10-31,policy_dividend_cash_paid,,finance_cashflow_statement_current_only.csv,policy_dividend_cash_paid,,identity_q1_or_ytd_diff,missing_raw_value
