code,statement_family,report_period_end,quarter_key,year_key,standard_field_name,source_table,source_field,raw_primary_value,raw_fallback_value,raw_value_used,prior_cumulative_value_used,transformation_rule,conversion_success,missing_reason
601988.XSHG,income,2014-03-31,2014q1,,operating_revenue,finance_income_statement_current_only.csv,operating_revenue,120038000000.0,120038000000.0,120038000000.0,,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-03-31,2014q1,,interest_income,finance_income_statement_current_only.csv,interest_income,142457000000.0,76467000000.0,142457000000.0,,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-03-31,2014q1,,interest_expense,finance_income_statement_current_only.csv,interest_expense,65990000000.0,,65990000000.0,,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-03-31,2014q1,,commission_income,finance_income_statement_current_only.csv,commission_income,30719000000.0,28970000000.0,30719000000.0,,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-03-31,2014q1,,commission_expense,finance_income_statement_current_only.csv,commission_expense,1749000000.0,,1749000000.0,,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-03-31,2014q1,,asset_impairment_loss,finance_income_statement_current_only.csv,asset_impairment_loss,15096000000.0,15096000000.0,15096000000.0,,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-03-31,2014q1,,credit_impairment_loss,finance_income_statement_current_only.csv,credit_impairment_loss,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601988.XSHG,income,2014-03-31,2014q1,,investment_income,finance_income_statement_current_only.csv,investment_income,-953000000.0,-953000000.0,-953000000.0,,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-03-31,2014q1,,operating_profit,finance_income_statement_current_only.csv,operating_profit,60717000000.0,60717000000.0,60717000000.0,,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-03-31,2014q1,,total_profit,finance_income_statement_current_only.csv,total_profit,60928000000.0,60928000000.0,60928000000.0,,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-03-31,2014q1,,income_tax_expense,finance_income_statement_current_only.csv,income_tax_expense,13729000000.0,13729000000.0,13729000000.0,,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-03-31,2014q1,,net_profit,finance_income_statement_current_only.csv,net_profit,47199000000.0,47199000000.0,47199000000.0,,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-03-31,2014q1,,np_parent_company_owners,finance_income_statement_current_only.csv,np_parent_company_owners,45363000000.0,45363000000.0,45363000000.0,,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-03-31,2014q1,,minority_profit,finance_income_statement_current_only.csv,minority_profit,1836000000.0,1836000000.0,1836000000.0,,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-06-30,2014q2,,operating_revenue,finance_income_statement_current_only.csv,operating_revenue,234924000000.0,114886000000.0,234924000000.0,120038000000.0,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-06-30,2014q2,,interest_income,finance_income_statement_current_only.csv,interest_income,294193000000.0,80208000000.0,294193000000.0,142457000000.0,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-06-30,2014q2,,interest_expense,finance_income_statement_current_only.csv,interest_expense,137518000000.0,,137518000000.0,65990000000.0,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-06-30,2014q2,,commission_income,finance_income_statement_current_only.csv,commission_income,55575000000.0,23161000000.0,55575000000.0,30719000000.0,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-06-30,2014q2,,commission_expense,finance_income_statement_current_only.csv,commission_expense,3444000000.0,,3444000000.0,1749000000.0,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-06-30,2014q2,,asset_impairment_loss,finance_income_statement_current_only.csv,asset_impairment_loss,27782000000.0,27782000000.0,27782000000.0,15096000000.0,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-06-30,2014q2,,credit_impairment_loss,finance_income_statement_current_only.csv,credit_impairment_loss,,,,,identity_q1_or_ytd_diff,False,missing_raw_value
601988.XSHG,income,2014-06-30,2014q2,,investment_income,finance_income_statement_current_only.csv,investment_income,1314000000.0,2267000000.0,1314000000.0,-953000000.0,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-06-30,2014q2,,operating_profit,finance_income_statement_current_only.csv,operating_profit,121429000000.0,60712000000.0,121429000000.0,60717000000.0,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-06-30,2014q2,,total_profit,finance_income_statement_current_only.csv,total_profit,121950000000.0,61022000000.0,121950000000.0,60928000000.0,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-06-30,2014q2,,income_tax_expense,finance_income_statement_current_only.csv,income_tax_expense,28541000000.0,14812000000.0,28541000000.0,13729000000.0,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-06-30,2014q2,,net_profit,finance_income_statement_current_only.csv,net_profit,93409000000.0,46210000000.0,93409000000.0,47199000000.0,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-06-30,2014q2,,np_parent_company_owners,finance_income_statement_current_only.csv,np_parent_company_owners,89724000000.0,44361000000.0,89724000000.0,45363000000.0,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-06-30,2014q2,,minority_profit,finance_income_statement_current_only.csv,minority_profit,3685000000.0,1849000000.0,3685000000.0,1836000000.0,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-09-30,2014q3,,operating_revenue,finance_income_statement_current_only.csv,operating_revenue,346334000000.0,111410000000.0,346334000000.0,234924000000.0,identity_q1_or_ytd_diff,True,
601988.XSHG,income,2014-09-30,2014q3,,interest_income,finance_income_statement_current_only.csv,interest_income,449345000000.0,82100000000.0,449345000000.0,294193000000.0,identity_q1_or_ytd_diff,True,
