code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601998.XSHG,income,2014-03-31,2014q1,,2014-04-30,operating_revenue,29800000000.0,finance_income_statement_current_only.csv,operating_revenue,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-03-31,2014q1,,2014-04-30,interest_income,49954000000.0,finance_income_statement_current_only.csv,interest_income,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-03-31,2014q1,,2014-04-30,interest_expense,27818000000.0,finance_income_statement_current_only.csv,interest_expense,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-03-31,2014q1,,2014-04-30,commission_income,6501000000.0,finance_income_statement_current_only.csv,commission_income,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-03-31,2014q1,,2014-04-30,commission_expense,333000000.0,finance_income_statement_current_only.csv,commission_expense,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-03-31,2014q1,,2014-04-30,asset_impairment_loss,4949000000.0,finance_income_statement_current_only.csv,asset_impairment_loss,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-03-31,2014q1,,2014-04-30,credit_impairment_loss,,finance_income_statement_current_only.csv,credit_impairment_loss,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,income,2014-03-31,2014q1,,2014-04-30,investment_income,956000000.0,finance_income_statement_current_only.csv,investment_income,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-03-31,2014q1,,2014-04-30,operating_profit,14351000000.0,finance_income_statement_current_only.csv,operating_profit,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-03-31,2014q1,,2014-04-30,total_profit,14374000000.0,finance_income_statement_current_only.csv,total_profit,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-03-31,2014q1,,2014-04-30,income_tax_expense,3443000000.0,finance_income_statement_current_only.csv,income_tax_expense,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-03-31,2014q1,,2014-04-30,net_profit,10931000000.0,finance_income_statement_current_only.csv,net_profit,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-03-31,2014q1,,2014-04-30,np_parent_company_owners,10706000000.0,finance_income_statement_current_only.csv,np_parent_company_owners,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-03-31,2014q1,,2014-04-30,minority_profit,225000000.0,finance_income_statement_current_only.csv,minority_profit,single_quarter,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-06-30,2014q2,,2014-08-29,operating_revenue,32306000000.0,finance_income_statement_current_only.csv,operating_revenue,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-06-30,2014q2,,2014-08-29,interest_income,52326000000.0,finance_income_statement_current_only.csv,interest_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-06-30,2014q2,,2014-08-29,interest_expense,28848000000.0,finance_income_statement_current_only.csv,interest_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-06-30,2014q2,,2014-08-29,commission_income,6996000000.0,finance_income_statement_current_only.csv,commission_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-06-30,2014q2,,2014-08-29,commission_expense,357000000.0,finance_income_statement_current_only.csv,commission_expense,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-06-30,2014q2,,2014-08-29,asset_impairment_loss,6668000000.0,finance_income_statement_current_only.csv,asset_impairment_loss,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-06-30,2014q2,,2014-08-29,credit_impairment_loss,,finance_income_statement_current_only.csv,credit_impairment_loss,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,income,2014-06-30,2014q2,,2014-08-29,investment_income,1334000000.0,finance_income_statement_current_only.csv,investment_income,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-06-30,2014q2,,2014-08-29,operating_profit,15128000000.0,finance_income_statement_current_only.csv,operating_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-06-30,2014q2,,2014-08-29,total_profit,15129000000.0,finance_income_statement_current_only.csv,total_profit,converted_from_ytd,identity_q1_or_ytd_diff,
601998.XSHG,income,2014-06-30,2014q2,,2014-08-29,income_tax_expense,3635000000.0,finance_income_statement_current_only.csv,income_tax_expense,converted_from_ytd,identity_q1_or_ytd_diff,
