code,statement_family,report_period_end,quarter_key,year_key,pub_date,standard_field_name,standard_value,source_table,source_field,period_basis,transformation_rule,missing_reason
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,deposit_in_ib,142335000000.0,finance_balance_sheet_parent_current_only.csv,deposit_in_ib,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,cash_equivalents,,finance_balance_sheet_parent_current_only.csv,cash_equivalents,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,deposit_client,,finance_balance_sheet_parent_current_only.csv,deposit_client,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,cash_in_cb,506607000000.0,finance_balance_sheet_parent_current_only.csv,cash_in_cb,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,settlement_provi,,finance_balance_sheet_parent_current_only.csv,settlement_provi,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,settlement_provi_client,,finance_balance_sheet_parent_current_only.csv,settlement_provi_client,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,lend_capital,89166000000.0,finance_balance_sheet_parent_current_only.csv,lend_capital,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,bought_sellback_assets,302900000000.0,finance_balance_sheet_parent_current_only.csv,bought_sellback_assets,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,interest_receivable,19080000000.0,finance_balance_sheet_parent_current_only.csv,interest_receivable,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,insurance_receivables,,finance_balance_sheet_parent_current_only.csv,insurance_receivables,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,loan_and_advance,1893920000000.0,finance_balance_sheet_parent_current_only.csv,loan_and_advance,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,advance_payment,,finance_balance_sheet_parent_current_only.csv,advance_payment,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,hold_for_sale_assets,163136000000.0,finance_balance_sheet_parent_current_only.csv,hold_for_sale_assets,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,hold_to_maturity_investments,157866000000.0,finance_balance_sheet_parent_current_only.csv,hold_to_maturity_investments,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,longterm_equity_invest,10100000000.0,finance_balance_sheet_parent_current_only.csv,longterm_equity_invest,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,investment_property,,finance_balance_sheet_parent_current_only.csv,investment_property,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,inventories,,finance_balance_sheet_parent_current_only.csv,inventories,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,fixed_assets,13001000000.0,finance_balance_sheet_parent_current_only.csv,fixed_assets,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,constru_in_process,,finance_balance_sheet_parent_current_only.csv,constru_in_process,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,intangible_assets,1256000000.0,finance_balance_sheet_parent_current_only.csv,intangible_assets,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,long_deferred_expense,,finance_balance_sheet_parent_current_only.csv,long_deferred_expense,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,deferred_tax_assets,8078000000.0,finance_balance_sheet_parent_current_only.csv,deferred_tax_assets,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,other_asset,12846000000.0,finance_balance_sheet_parent_current_only.csv,other_asset,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,total_assets,3824001000000.0,finance_balance_sheet_parent_current_only.csv,total_assets,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,borrowing_from_centralbank,,finance_balance_sheet_parent_current_only.csv,borrowing_from_centralbank,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,shortterm_loan,,finance_balance_sheet_parent_current_only.csv,shortterm_loan,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,borrowing_capital,47502000000.0,finance_balance_sheet_parent_current_only.csv,borrowing_capital,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,sold_buyback_secu_proceeds,39267000000.0,finance_balance_sheet_parent_current_only.csv,sold_buyback_secu_proceeds,quarterly_direct,identity_q1_or_ytd_diff,
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,proxy_secu_proceeds,,finance_balance_sheet_parent_current_only.csv,proxy_secu_proceeds,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,notes_payable,,finance_balance_sheet_parent_current_only.csv,notes_payable,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,advance_peceipts,,finance_balance_sheet_parent_current_only.csv,advance_peceipts,,identity_q1_or_ytd_diff,missing_raw_value
601998.XSHG,parent_balance,2014-03-31,2014q1,,2014-04-30,commission_payable,,finance_balance_sheet_parent_current_only.csv,commission_payable,,identity_q1_or_ytd_diff,missing_raw_value
