statement_family,missing_reason,row_count
balance,missing_raw_value,53666
balance,,49447
balance,outside_current_available_window,8442
bank_indicator,,12923
bank_indicator,provider_unavailable_annual_bank_indicator,6678
bank_indicator,missing_raw_value,3348
cash_flow,,41236
cash_flow,missing_raw_value,14797
cash_flow,outside_current_available_window,4662
cash_flow,missing_prior_cumulative_report,910
income,,20359
income,outside_current_available_window,1764
income,missing_raw_value,1074
income,missing_prior_cumulative_report,113
indicator,,41482
indicator,missing_raw_value,6227
indicator,outside_current_available_window,3906
parent_balance,,38528
parent_balance,missing_raw_value,28722
parent_balance,missing_target_report,9700
parent_balance,outside_current_available_window,6300
